moririn.co.bd: 0 moririn-co-bd.mail.protection.outlook.com.
myhealth.co.bd: 10 mx.zoho.com.
myhealth.co.bd: 50 mx3.zoho.com.
myhealth.co.bd: 20 mx2.zoho.com.
asl.co.bd: 10 alt4.aspmx.l.google.com.
asl.co.bd: 1 aspmx.l.google.com.
asl.co.bd: 10 alt3.aspmx.l.google.com.
asl.co.bd: 5 alt1.aspmx.l.google.com.
asl.co.bd: 5 alt2.aspmx.l.google.com.
eshop.co.bd: 0 eshop.co.bd.
innovative.co.bd: 10 mx.zoho.com.
innovative.co.bd: 50 mx3.zoho.com.
innovative.co.bd: 20 mx2.zoho.com.
tools.com.bd: 20 mx2.zoho.com.
tools.com.bd: 10 mx.zoho.com.
tools.com.bd: 50 mx3.zoho.com.
gaming.com.bd: 10 alt4.aspmx.l.google.com.
gaming.com.bd: 10 alt3.aspmx.l.google.com.
gaming.com.bd: 5 alt1.aspmx.l.google.com.
gaming.com.bd: 5 alt2.aspmx.l.google.com.
gaming.com.bd: 1 aspmx.l.google.com.
flowers.com.bd: 10 mail1.800-flowers.net.
mds.com.bd: 10 alt3.aspmx.l.google.com.
mds.com.bd: 5 alt2.aspmx.l.google.com.
mds.com.bd: 10 alt4.aspmx.l.google.com.
mds.com.bd: 5 alt1.aspmx.l.google.com.
mds.com.bd: 1 aspmx.l.google.com.
boomerang.com.bd: 0 _dc-mx.d2347c32627a.boomerang.com.bd.
lit.com.bd: 89 route3.mx.cloudflare.net.
lit.com.bd: 79 route2.mx.cloudflare.net.
lit.com.bd: 50 route1.mx.cloudflare.net.
hr.com.bd: 5 mail.hr.com.bd.
houses.com.bd: 20 30271396.in2.mandrillapp.com.
houses.com.bd: 10 30271396.in1.mandrillapp.com.
citi.com.bd: 10 custmx.cscdns.net.
env.com.bd: 5 alt1.aspmx.l.google.com.
env.com.bd: 1 aspmx.l.google.com.
env.com.bd: 5 alt2.aspmx.l.google.com.
env.com.bd: 10 alt3.aspmx.l.google.com.
env.com.bd: 10 alt4.aspmx.l.google.com.
carnival.com.bd: 0 mail.carnival.com.bd.
kingdom.com.bd: 0 _dc-mx.a92388155228.kingdom.com.bd.
dazzle.com.bd: 20 mx2.zoho.com.
dazzle.com.bd: 10 mx.zoho.com.
dazzle.com.bd: 50 mx3.zoho.com.
vigor.com.bd: 0 vigor.com.bd.
dolphin.com.bd: 11 mx.email-messaging.com.
dolphin.com.bd: 10 aspmx3.googlemail.com.
dolphin.com.bd: 5 alt1.aspmx.l.google.com.
dolphin.com.bd: 10 aspmx2.googlemail.com.
dolphin.com.bd: 1 aspmx.l.google.com.
dolphin.com.bd: 5 alt2.aspmx.l.google.com.
callcenter.com.bd: 10 mail.callcenter.com.bd.
sun.com.bd: 5 mail.sun.com.bd.
innovative.com.bd: 10 mx.zoho.com.
innovative.com.bd: 50 mx3.zoho.com.
innovative.com.bd: 20 mx2.zoho.com.
ott.com.bd: 20 mx3-hosting.jellyfish.systems.
ott.com.bd: 5 mx1-hosting.jellyfish.systems.
ott.com.bd: 10 mx2-hosting.jellyfish.systems.
resell.com.bd: 10 mx2-hosting.jellyfish.systems.
resell.com.bd: 5 mx1-hosting.jellyfish.systems.
resell.com.bd: 20 mx3-hosting.jellyfish.systems.
epay.com.bd: 0 _dc-mx.83664814ba8a.epay.com.bd.
precious.com.bd: 5 alt1.aspmx.l.google.com.
precious.com.bd: 10 aspmx2.googlemail.com.
precious.com.bd: 10 aspmx3.googlemail.com.
precious.com.bd: 1 aspmx.l.google.com.
precious.com.bd: 5 alt2.aspmx.l.google.com.
area51.com.bd: 10 _dc-mx.77f6a96f71ec.area51.com.bd.
environment.com.bd: 10 mx2-hosting.jellyfish.systems.
environment.com.bd: 20 mx3-hosting.jellyfish.systems.
environment.com.bd: 5 mx1-hosting.jellyfish.systems.
pip.com.bd: 5 mx1-hosting.jellyfish.systems.
pip.com.bd: 20 mx3-hosting.jellyfish.systems.
pip.com.bd: 10 mx2-hosting.jellyfish.systems.
hearts.com.bd: 44 route3.mx.cloudflare.net.
hearts.com.bd: 48 route1.mx.cloudflare.net.
hearts.com.bd: 87 route2.mx.cloudflare.net.
finesse.com.bd: 10 finesse.com.bd.
central.com.bd: 40 mx4.mailguard.cloud.
central.com.bd: 10 mx1.mailguard.cloud.
central.com.bd: 30 mx3.mailguard.cloud.
central.com.bd: 20 mx2.mailguard.cloud.
update.com.bd: 5 alt1.aspmx.l.google.com.
update.com.bd: 1 aspmx.l.google.com.
