winwin.hk: 0 mail.winwin.hk.
sunflower.hk: 0 sunflower-hk.mail.protection.outlook.com.
pizza.hk: 0 mail.pizza.hk.
maven.hk: 0 maven-hk.mail.protection.outlook.com.
mastodon.hk: 10 mx01.mail.icloud.com.
mastodon.hk: 10 mx02.mail.icloud.com.
uap.hk: 10 custmx.cscdns.net.
mastodon.hk: 10 mx01.mail.icloud.com.
mastodon.hk: 10 mx02.mail.icloud.com.
we.hk: 10 mxdomain.qq.com.
mirror.hk: 10 arrow.mxrouting.net.
mirror.hk: 20 arrow-relay.mxrouting.net.
growth.hk: 0 webhost.dynadot.com.
live.hk: 10 apc.olc.protection.outlook.com.
harmony.hk: 10 aspmx.l.google.com.
harmony.hk: 20 alt1.aspmx.l.google.com.
harmony.hk: 40 aspmx2.googlemail.com.
harmony.hk: 50 aspmx3.googlemail.com.
harmony.hk: 30 alt2.aspmx.l.google.com.
tbc.hk: 30 aspmx2.googlemail.com.
tbc.hk: 30 aspmx5.googlemail.com.
tbc.hk: 10 aspmx.l.google.com.
tbc.hk: 20 alt2.aspmx.l.google.com.
tbc.hk: 20 alt1.aspmx.l.google.com.
tbc.hk: 30 aspmx4.googlemail.com.
tbc.hk: 30 aspmx3.googlemail.com.
henry.hk: 20 pdns.fitec.com.hk.
henry.hk: 10 v1721.henry.hk.
origin.hk: 5 mail.origin.hk.
allure.hk: 10 custmx.cscdns.net.
allure.hk: 0 null.allure.hk.
qq88.hk: 49 route2.mx.cloudflare.net.
qq88.hk: 100 route3.mx.cloudflare.net.
qq88.hk: 37 route1.mx.cloudflare.net.
hustle.hk: 1 aspmx.l.google.com.
hustle.hk: 10 alt3.aspmx.l.google.com.
hustle.hk: 10 alt4.aspmx.l.google.com.
hustle.hk: 5 alt1.aspmx.l.google.com.
hustle.hk: 5 alt2.aspmx.l.google.com.
tara.hk: 20 alt1.aspmx.l.google.com.
tara.hk: 10 aspmx.l.google.com.
tara.hk: 30 aspmx5.googlemail.com.
tara.hk: 30 aspmx4.googlemail.com.
tara.hk: 30 aspmx3.googlemail.com.
tara.hk: 20 alt2.aspmx.l.google.com.
awesome.hk: 55 amir.mx.cloudflare.net.
awesome.hk: 16 isaac.mx.cloudflare.net.
awesome.hk: 37 linda.mx.cloudflare.net.
morpho.hk: 10 mail.morpho.hk.
goods.hk: 20 mailsec.protonmail.ch.
goods.hk: 10 mail.protonmail.ch.
oculus.hk: 0 mail.oculus.de.
ease.hk: 10 aspmx3.googlemail.com.
ease.hk: 1 aspmx.l.google.com.
ease.hk: 5 alt1.aspmx.l.google.com.
ease.hk: 5 alt2.aspmx.l.google.com.
ease.hk: 10 aspmx2.googlemail.com.
gig.hk: 0 _dc-mx.8ebf6c22cac9.gig.hk.
lumos.hk: 0 lumos-hk.mail.protection.outlook.com.
frank.hk: 10 mx02.mail.icloud.com.
frank.hk: 10 mx01.mail.icloud.com.
bot.hk: 20 mx2.zoho.com.
bot.hk: 10 mx.zoho.com.
argos.hk: 5 relay2.netnames.net.
arc.hk: 20 mx2.zoho.com.
arc.hk: 50 mx3.zoho.com.
arc.hk: 10 mx.zoho.com.
ima.hk: 10 mx.zoho.com.
ima.hk: 20 mx2.zoho.com.
scrum.hk: 1 aspmx.l.google.com.
scrum.hk: 5 alt2.aspmx.l.google.com.
scrum.hk: 10 alt4.aspmx.l.google.com.
scrum.hk: 5 alt1.aspmx.l.google.com.
scrum.hk: 10 alt3.aspmx.l.google.com.
risk.hk: 10 mx02.mail.icloud.com.
risk.hk: 10 mx01.mail.icloud.com.
atomic.hk: 20 mailsec.protonmail.ch.
atomic.hk: 10 mail.protonmail.ch.
car.hk: 5 alt2.aspmx.l.google.com.
car.hk: 5 alt1.aspmx.l.google.com.
car.hk: 10 alt4.aspmx.l.google.com.
car.hk: 1 aspmx.l.google.com.
car.hk: 10 alt3.aspmx.l.google.com.
trading.hk: 1 aspmx.l.google.com.
trading.hk: 10 alt3.aspmx.l.google.com.
trading.hk: 5 alt1.aspmx.l.google.com.
trading.hk: 5 alt2.aspmx.l.google.com.
trading.hk: 10 alt4.aspmx.l.google.com.
casino.hk: 10 aspmx.l.google.com.
casino.hk: 10 alt2.aspmx.l.google.com.
saas.hk: 10 aspmx.l.google.com.
saas.hk: 20 alt4.aspmx.l.google.com.
saas.hk: 20 alt1.aspmx.l.google.com.
saas.hk: 20 alt3.aspmx.l.google.com.
saas.hk: 20 alt2.aspmx.l.google.com.
