cloud.im: 0 cloud-im.mail.protection.outlook.com.
init.im: 0 .
token.im: 5 alt1.aspmx.l.google.com.
token.im: 10 alt4.aspmx.l.google.com.
token.im: 5 alt2.aspmx.l.google.com.
token.im: 1 aspmx.l.google.com.
token.im: 10 alt3.aspmx.l.google.com.
status.im: 10 aspmx2.googlemail.com.
status.im: 5 alt2.aspmx.l.google.com.
status.im: 5 alt1.aspmx.l.google.com.
status.im: 10 aspmx3.googlemail.com.
status.im: 1 aspmx.l.google.com.
init.im: 0 .
crc.im: 1 crc-im.mail.protection.outlook.com.
local.im: 10 inbound-smtp.us-east-1.amazonaws.com.
novo.im: 0 novo-im.mail.protection.outlook.com.
resolve.im: 0 .
shelf.im: 1 aspmx.l.google.com.
shelf.im: 10 alt3.aspmx.l.google.com.
shelf.im: 5 alt2.aspmx.l.google.com.
shelf.im: 5 alt1.aspmx.l.google.com.
shelf.im: 10 alt4.aspmx.l.google.com.
c.im: 1 mail.c.im.
arena.im: 5 alt2.aspmx.l.google.com.
arena.im: 10 alt4.aspmx.l.google.com.
arena.im: 5 alt1.aspmx.l.google.com.
arena.im: 10 alt3.aspmx.l.google.com.
arena.im: 1 aspmx.l.google.com.
safe.im: 54 linda.mx.cloudflare.net.
safe.im: 21 amir.mx.cloudflare.net.
safe.im: 4 isaac.mx.cloudflare.net.
socks.im: 85 linda.mx.cloudflare.net.
socks.im: 78 amir.mx.cloudflare.net.
socks.im: 26 isaac.mx.cloudflare.net.
echo.im: 10 alt3.aspmx.l.google.com.
echo.im: 5 alt2.aspmx.l.google.com.
echo.im: 5 alt1.aspmx.l.google.com.
echo.im: 1 aspmx.l.google.com.
echo.im: 10 alt4.aspmx.l.google.com.
one.im: 0 .
hey.im: 10 mail.protonmail.ch.
hey.im: 20 mailsec.protonmail.ch.
socks.im: 26 isaac.mx.cloudflare.net.
socks.im: 85 linda.mx.cloudflare.net.
socks.im: 78 amir.mx.cloudflare.net.
360.im: 0 .
nic.im: 10 relay.iom.com.
becker.im: 1 smtp.google.com.
riot.im: 5 alt1.aspmx.l.google.com.
riot.im: 1 aspmx.l.google.com.
riot.im: 10 alt4.aspmx.l.google.com.
riot.im: 5 alt2.aspmx.l.google.com.
riot.im: 10 alt3.aspmx.l.google.com.
rst.im: 5 mxbiz1.qq.com.
rst.im: 10 mxbiz2.qq.com.
keystone.im: 10 eforward1.registrar-servers.com.
keystone.im: 20 eforward5.registrar-servers.com.
keystone.im: 15 eforward4.registrar-servers.com.
keystone.im: 10 eforward2.registrar-servers.com.
keystone.im: 10 eforward3.registrar-servers.com.
frame.im: 10 mx01.mail.icloud.com.
frame.im: 10 mx02.mail.icloud.com.
abi.im: 0 mail.abi.im.
system.im: 0 .
vlxx.im: 20 eforward5.registrar-servers.com.
vlxx.im: 10 eforward1.registrar-servers.com.
vlxx.im: 15 eforward4.registrar-servers.com.
vlxx.im: 10 eforward2.registrar-servers.com.
vlxx.im: 10 eforward3.registrar-servers.com.
