pulse.mg: 0 pulse-mg.mail.eo.outlook.com.
sport.mg: 10 mail.sport.mg.
dubai.mg: 0 _dc-mx.c093696dbc53.dubai.mg.
talk.mg: 15 aspmx2.googlemail.com.
talk.mg: 20 aspmx3.googlemail.com.
talk.mg: 1 aspmx.l.google.com.
talk.mg: 10 alt2.aspmx.l.google.com.
talk.mg: 5 alt1.aspmx.l.google.com.
mbs.mg: 5 alt1.aspmx.l.google.com.
mbs.mg: 5 alt2.aspmx.l.google.com.
mbs.mg: 10 alt3.aspmx.l.google.com.
mbs.mg: 1 aspmx.l.google.com.
mbs.mg: 10 alt4.aspmx.l.google.com.
radio.mg: 10 aspmx3.googlemail.com.
radio.mg: 1 aspmx.l.google.com.
radio.mg: 10 aspmx2.googlemail.com.
radio.mg: 5 alt1.aspmx.l.google.com.
radio.mg: 5 alt2.aspmx.l.google.com.
bni.mg: 10 mail.bni.mg.
bni.mg: 20 mail2.bni.mg.
tim.mg: 1 aspmx.l.google.com.
kibo.mg: 0 kibo-mg.mail.protection.outlook.com.
flowers.mg: 1 bh.markmonitor.com.
sm.mg: 30 aspmx2.googlemail.com.
sm.mg: 10 aspmx.l.google.com.
sm.mg: 20 alt2.aspmx.l.google.com.
sm.mg: 30 aspmx3.googlemail.com.
sm.mg: 30 aspmx5.googlemail.com.
sm.mg: 30 aspmx4.googlemail.com.
sm.mg: 20 alt1.aspmx.l.google.com.
lumos.mg: 10 mx2.hostinger.com.
lumos.mg: 5 mx1.hostinger.com.
fastforward.mg: 10 mail.fastforward.mg.
lightbox.mg: 1 ASPMX.L.GOOGLE.COM.
lightbox.mg: 10 ALT3.ASPMX.L.GOOGLE.COM.
lightbox.mg: 5 ALT2.ASPMX.L.GOOGLE.COM.
lightbox.mg: 10 ALT4.ASPMX.L.GOOGLE.COM.
lightbox.mg: 5 ALT1.ASPMX.L.GOOGLE.COM.
pullable.mg: 7 route3.mx.cloudflare.net.
pullable.mg: 95 route1.mx.cloudflare.net.
pullable.mg: 55 route2.mx.cloudflare.net.
sms.mg: 10 mx2.hostinger.com.
sms.mg: 5 mx1.hostinger.com.
gill.mg: 50 fb.mail.gandi.net.
gill.mg: 10 spool.mail.gandi.net.
quora.mg: 10 custmx.cscdns.net.
mit.mg: 10 crossbox.dnshostnetwork.com.
arw.mg: 0 .
ttt.mg: 10 mail.ttt.mg.
69.mg: 10 mx2.hostinger.de.
69.mg: 5 mx1.hostinger.de.
traffic.mg: 10 aspmx3.googlemail.com.
traffic.mg: 1 aspmx.l.google.com.
traffic.mg: 5 alt1.aspmx.l.google.com.
traffic.mg: 10 aspmx2.googlemail.com.
traffic.mg: 5 alt2.aspmx.l.google.com.
call.mg: 50 fb.mail.gandi.net.
call.mg: 10 spool.mail.gandi.net.
baobab.mg: 10 spool.mail.gandi.net.
baobab.mg: 50 fb.mail.gandi.net.
mgl.mg: 10 mail.mgl.mg.
blessings.mg: 10 mail.blessings.mg.
ampm.mg: 0 .
sera.mg: 78 route2.mx.cloudflare.net.
sera.mg: 60 route1.mx.cloudflare.net.
sera.mg: 43 route3.mx.cloudflare.net.
porsche.mg: 0 .
dmc.mg: 50 fb.mail.gandi.net.
dmc.mg: 10 spool.mail.gandi.net.
dmc.mg: 0 dmc-mg.mail.protection.outlook.com.
titan.mg: 10 alt3.aspmx.l.google.com.
titan.mg: 5 alt1.aspmx.l.google.com.
titan.mg: 10 alt4.aspmx.l.google.com.
titan.mg: 5 alt2.aspmx.l.google.com.
titan.mg: 1 aspmx.l.google.com.
lambda.mg: 9 route1.mx.cloudflare.net.
lambda.mg: 13 route2.mx.cloudflare.net.
lambda.mg: 97 route3.mx.cloudflare.net.
wi.mg: 10 mx02.mail.icloud.com.
wi.mg: 10 mx01.mail.icloud.com.
thisis.mg: 10 spool.mail.gandi.net.
thisis.mg: 50 fb.mail.gandi.net.
cav.mg: 10 mailako.cav.mg.
yas.mg: 1 smtp.google.com.
yas.mg: 0 yas-mg.mail.protection.outlook.com.
festo.mg: 0 .
park.mg: 5 mx-int10.dts.mg.
park.mg: 20 mx2.tgn.mg.
cysmos.mg: 10 mx1.netim.net.
cysmos.mg: 10 mx2.netim.net.
annuaire.mg: 0 _dc-mx.1392d37659d0.annuaire.mg.
1800flowers.mg: 1 bh.markmonitor.com.
backmarket.mg: 50 fb.mail.gandi.net.
backmarket.mg: 10 spool.mail.gandi.net.
information.mg: 63 route2.mx.cloudflare.net.
information.mg: 52 route3.mx.cloudflare.net.
information.mg: 75 route1.mx.cloudflare.net.
insightful.mg: 10 mail.insightful.mg.
inf.mg: 0 inf-mg.mail.protection.outlook.com.
dot.mg: 0 ma.illi.co.mg.
dot.mg: 10 ns46.dot.mg.
ticket.mg: 87 route1.mx.cloudflare.net.
ticket.mg: 8 route2.mx.cloudflare.net.
ticket.mg: 37 route3.mx.cloudflare.net.
bitpanda.mg: 0 .
stake.mg: 0 .
consulting.mg: 78 route1.mx.cloudflare.net.
consulting.mg: 14 route3.mx.cloudflare.net.
consulting.mg: 26 route2.mx.cloudflare.net.
pay.mg: 10 aspmx2.googlemail.com.
pay.mg: 5 alt1.aspmx.l.google.com.
pay.mg: 5 alt2.aspmx.l.google.com.
pay.mg: 1 aspmx.l.google.com.
pay.mg: 10 aspmx3.googlemail.com.
moov.mg: 10 mx2.tgn.mg.
moov.mg: 5 smtp-i.dts.mg.
oa.mg: 10 spool.mail.gandi.net.
oa.mg: 50 fb.mail.gandi.net.
mft.mg: 10 alt4.aspmx.l.google.com.
mft.mg: 5 alt1.aspmx.l.google.com.
mft.mg: 10 alt3.aspmx.l.google.com.
mft.mg: 1 aspmx.l.google.com.
mft.mg: 5 alt2.aspmx.l.google.com.
chronos.mg: 10 mx.yandex.net.
roundtable.mg: 0 roundtable-mg.mail.protection.outlook.com.
tickets.mg: 10 _dc-mx.f4f849df6a5c.tickets.mg.
naos.mg: 0 mx3.nameshield.com.
naos.mg: 10 mx4.nameshield.net.
totum.mg: 50 fb.mail.gandi.net.
totum.mg: 10 spool.mail.gandi.net.
