anime.re: 10 59c2d84559430040b9ecd9926e3676.pamx1.hotmail.com.
cli.re: 0 mail1.worldrid.com.
loli.re: 5 alt2.aspmx.l.google.com.
loli.re: 1 aspmx.l.google.com.
loli.re: 5 alt1.aspmx.l.google.com.
loli.re: 10 alt4.aspmx.l.google.com.
loli.re: 10 alt3.aspmx.l.google.com.
stellar.re: 10 mx2.stellar.re.
avalon.re: 10 smtp02.topdns.com.
avalon.re: 10 smtp04.topdns.com.
avalon.re: 10 smtp03.topdns.com.
app.re: 63 route1.mx.cloudflare.net.
app.re: 33 route2.mx.cloudflare.net.
app.re: 91 route3.mx.cloudflare.net.
lux.re: 5 ALT2.ASPMX.L.GOOGLE.COM.
lux.re: 1 ASPMX.L.GOOGLE.COM.
lux.re: 10 ALT4.ASPMX.L.GOOGLE.COM.
lux.re: 10 ALT3.ASPMX.L.GOOGLE.COM.
lux.re: 5 ALT1.ASPMX.L.GOOGLE.COM.
infinity.re: 5 alt2.aspmx.l.google.com.
infinity.re: 1 aspmx.l.google.com.
infinity.re: 5 alt1.aspmx.l.google.com.
infinity.re: 10 alt4.aspmx.l.google.com.
infinity.re: 10 alt3.aspmx.l.google.com.
cyza.re: 10 mx1.netim.net.
cyza.re: 10 mx2.netim.net.
abi.re: 77 route2.mx.cloudflare.net.
abi.re: 14 route3.mx.cloudflare.net.
abi.re: 74 route1.mx.cloudflare.net.
mycloud.re: 10 mail.mycloud.re.
lora.re: 10 spool.mail.gandi.net.
lora.re: 50 fb.mail.gandi.net.
cli.re: 0 mail1.worldrid.com.
spark.re: 5 alt1.aspmx.l.google.com.
spark.re: 1 aspmx.l.google.com.
spark.re: 5 alt2.aspmx.l.google.com.
spark.re: 10 alt3.aspmx.l.google.com.
spark.re: 10 alt4.aspmx.l.google.com.
alex.re: 50 fb.mail.gandi.net.
alex.re: 10 spool.mail.gandi.net.
algo.re: 50 fb.mail.gandi.net.
algo.re: 10 spool.mail.gandi.net.
indigo.re: 10 mta-gw.infomaniak.ch.
name.re: 84 route2.mx.cloudflare.net.
name.re: 99 route3.mx.cloudflare.net.
name.re: 8 route1.mx.cloudflare.net.
growth.re: 1 mx0.mail.ovh.net.
growth.re: 50 mx2.mail.ovh.net.
growth.re: 5 mx1.mail.ovh.net.
growth.re: 100 mx3.mail.ovh.net.
joyce.re: 10 joyce-re.mail.protection.outlook.com.
chen.re: 1 aspmx.l.google.com.
chen.re: 10 alt3.aspmx.l.google.com.
chen.re: 5 alt1.aspmx.l.google.com.
chen.re: 10 alt4.aspmx.l.google.com.
chen.re: 5 alt2.aspmx.l.google.com.
bash.re: 20 blizzard-relay.mxrouting.net.
bash.re: 10 blizzard.mxrouting.net.
dave.re: 0 biela.uberspace.de.
nomad.re: 10 mx1.netim.net.
