portal.sc: 5 mail.portal.sc.
w88.sc: 10 alt4.aspmx.l.google.com.
w88.sc: 5 alt1.aspmx.l.google.com.
w88.sc: 5 alt2.aspmx.l.google.com.
w88.sc: 10 alt3.aspmx.l.google.com.
w88.sc: 1 aspmx.l.google.com.
android.sc: 10 aspmx3.googlemail.com.
android.sc: 5 alt1.aspmx.l.google.com.
android.sc: 5 alt2.aspmx.l.google.com.
android.sc: 1 aspmx.l.google.com.
android.sc: 10 aspmx2.googlemail.com.
time.sc: 10 alt3.aspmx.l.google.com.
time.sc: 10 alt4.aspmx.l.google.com.
time.sc: 1 aspmx.l.google.com.
time.sc: 5 alt2.aspmx.l.google.com.
time.sc: 5 alt1.aspmx.l.google.com.
connect.sc: 0 connect-sc.mail.protection.outlook.com.
cyber.sc: 0 cyber-sc.mail.protection.outlook.com.
nostr.sc: 0 nostr-sc.mail.protection.outlook.com.
hunter.sc: 10 alt3.aspmx.l.google.com.
hunter.sc: 5 alt2.aspmx.l.google.com.
hunter.sc: 5 alt1.aspmx.l.google.com.
hunter.sc: 10 alt4.aspmx.l.google.com.
hunter.sc: 1 aspmx.l.google.com.
teamviewer.sc: 0 .
index.sc: 1 smtp.google.com.
link.sc: 8 route1.mx.cloudflare.net.
link.sc: 74 route3.mx.cloudflare.net.
link.sc: 99 route2.mx.cloudflare.net.
tools.sc: 50 fb.mail.gandi.net.
tools.sc: 10 spool.mail.gandi.net.
aviator.sc: 1 smtp.google.com.
fetch.sc: 50 mx3.zoho.com.
fetch.sc: 10 mx.zoho.com.
fetch.sc: 20 mx2.zoho.com.
fetch.sc: 30 inbound-smtp.us-east-1.amazonaws.com.
unlock.sc: 50 fb.mail.gandi.net.
unlock.sc: 10 spool.mail.gandi.net.
btc.sc: 10 mx4.name.com.
btc.sc: 50 mx7.name.com.
btc.sc: 30 mx5.name.com.
btc.sc: 20 mx3.name.com.
btc.sc: 40 mx8.name.com.
btc.sc: 60 mx6.name.com.
get.sc: 10 alt4.aspmx.l.google.com.
get.sc: 5 alt2.aspmx.l.google.com.
get.sc: 1 aspmx.l.google.com.
get.sc: 5 alt1.aspmx.l.google.com.
get.sc: 10 alt3.aspmx.l.google.com.
board.sc: 10 alt3.aspmx.l.google.com.
board.sc: 5 alt2.aspmx.l.google.com.
board.sc: 10 alt4.aspmx.l.google.com.
board.sc: 5 alt1.aspmx.l.google.com.
board.sc: 1 aspmx.l.google.com.
pp.sc: 40 route1.mx.cloudflare.net.
pp.sc: 83 route3.mx.cloudflare.net.
pp.sc: 50 route2.mx.cloudflare.net.
octopus.sc: 0 octopus-sc.mail.protection.outlook.com.
festo.sc: 0 .
mmo.sc: 10 alt4.aspmx.l.google.com.
mmo.sc: 1 aspmx.l.google.com.
mmo.sc: 10 alt3.aspmx.l.google.com.
mmo.sc: 5 alt2.aspmx.l.google.com.
mmo.sc: 5 alt1.aspmx.l.google.com.
milo.sc: 15 yzbt3to26lpu7cgawoh4if6jikxu6r5e6bfj2daxpgbvz535iifq.mx-verification.google.com.
milo.sc: 1 smtp.google.com.
scott.sc: 20 mailsec.protonmail.ch.
scott.sc: 10 mail.protonmail.ch.
juan.sc: 10 aspmx3.googlemail.com.
juan.sc: 5 alt2.aspmx.l.google.com.
juan.sc: 5 alt1.aspmx.l.google.com.
juan.sc: 10 aspmx2.googlemail.com.
juan.sc: 1 aspmx.l.google.com.
invest.sc: 0 invest.sc.
transformers.sc: 5 inbound-smtp.us-east-1.amazonaws.com.
damien.sc: 10 mail.protonmail.ch.
damien.sc: 20 mailsec.protonmail.ch.
e.sc: 42069 e.sc.
dpl.sc: 0 d243014.a.ess.uk.barracudanetworks.com.
dpl.sc: 1 d243014.b.ess.uk.barracudanetworks.com.
scale.sc: 1 aspmx.l.google.com.
scale.sc: 5 alt2.aspmx.l.google.com.
scale.sc: 5 alt1.aspmx.l.google.com.
scale.sc: 10 alt3.aspmx.l.google.com.
scale.sc: 10 alt4.aspmx.l.google.com.
vijay.sc: 0 vijay-sc.mail.protection.outlook.com.
ton.sc: 10 mc.s.ton.sc.
zenith.sc: 0 zenith-sc.mail.protection.outlook.com.
repo.sc: 10 mx.mail.zinlab.com.
cac.sc: 1 aspmx.l.google.com.
cac.sc: 5 alt2.aspmx.l.google.com.
cac.sc: 10 aspmx3.googlemail.com.
cac.sc: 5 alt1.aspmx.l.google.com.
cac.sc: 10 aspmx2.googlemail.com.
eventhorizon.sc: 10 mx3.mail.ovh.net.
eventhorizon.sc: 1 mx4.mail.ovh.net.
sdc.sc: 10 mx1.netim.net.
sdc.sc: 10 mx2.netim.net.
maxim.sc: 50 mx3.zoho.com.
maxim.sc: 20 mx2.zoho.com.
maxim.sc: 10 mx.zoho.com.
lynx.sc: 10 mx.lynx.sc.
codex.sc: 0 codex-sc.mail.protection.outlook.com.
capy.sc: 10 mx1.privateemail.com.
capy.sc: 10 mx2.privateemail.com.
smith.sc: 10 inbound-smtp.us-east-1.amazonaws.com.
oldschool.sc: 10 mx.zoho.com.
oldschool.sc: 20 mx2.zoho.com.
axia.sc: 0 axia-sc.mail.protection.outlook.com.
123movies.sc: 1 mail.pickelhost.com.
ats.sc: 20 mx2.zoho.com.
ats.sc: 10 mx.zoho.com.
ats.sc: 30 mx3.zoho.com.
bnb.sc: 10 spool.mail.gandi.net.
bnb.sc: 50 fb.mail.gandi.net.
vogue.sc: 10 custmx.cscdns.net.
vogue.sc: 0 null.vogue.sc.
hiltonhead.sc: 40 mx4.name.com.
hiltonhead.sc: 20 mx3.name.com.
hiltonhead.sc: 50 mx8.name.com.
hiltonhead.sc: 30 mx6.name.com.
hiltonhead.sc: 60 mx7.name.com.
hiltonhead.sc: 10 mx5.name.com.
bazar.sc: 50 alt4.aspmx.l.google.com.
bazar.sc: 30 alt2.aspmx.l.google.com.
bazar.sc: 20 alt1.aspmx.l.google.com.
bazar.sc: 10 aspmx.l.google.com.
bazar.sc: 40 alt3.aspmx.l.google.com.
agency.sc: 1 aspmx.l.google.com.
agency.sc: 5 alt1.aspmx.l.google.com.
agency.sc: 10 aspmx2.googlemail.com.
agency.sc: 5 alt2.aspmx.l.google.com.
agency.sc: 10 aspmx3.googlemail.com.
leads.sc: 10 30314668.in1.mandrillapp.com.
leads.sc: 20 30314668.in2.mandrillapp.com.
beyonce.sc: 10 custmx.cscdns.net.
sourcing.sc: 50 mx3.zoho.com.
sourcing.sc: 10 mx.zoho.com.
sourcing.sc: 20 mx2.zoho.com.
stack.sc: 30 route2.mx.cloudflare.net.
stack.sc: 77 route3.mx.cloudflare.net.
stack.sc: 68 route1.mx.cloudflare.net.
artificial.sc: 5 alt1.aspmx.l.google.com.
artificial.sc: 10 alt3.aspmx.l.google.com.
artificial.sc: 1 aspmx.l.google.com.
artificial.sc: 5 alt2.aspmx.l.google.com.
artificial.sc: 10 alt4.aspmx.l.google.com.
remax.sc: 100 relay2.netnames.net.
remax.sc: 10 relay1.netnames.net.
porsche.sc: 0 .
assembly.sc: 10 alt4.aspmx.l.google.com.
assembly.sc: 10 alt3.aspmx.l.google.com.
assembly.sc: 1 aspmx.l.google.com.
assembly.sc: 5 alt1.aspmx.l.google.com.
assembly.sc: 5 alt2.aspmx.l.google.com.
inbox.sc: 80 route1.mx.cloudflare.net.
inbox.sc: 88 route3.mx.cloudflare.net.
inbox.sc: 18 route2.mx.cloudflare.net.
horus.sc: 10 mail.horus.sc.
fun88.sc: 5 alt2.aspmx.l.google.com.
fun88.sc: 1 aspmx.l.google.com.
fun88.sc: 5 alt1.aspmx.l.google.com.
fun88.sc: 10 alt3.aspmx.l.google.com.
fun88.sc: 10 alt4.aspmx.l.google.com.
omni.sc: 0 omni-sc.mail.protection.outlook.com.
frontier.sc: 20 frontier.sc.
quick.sc: 1 mail.pickelhost.com.
serenity.sc: 10 mx2.privateemail.com.
serenity.sc: 10 mx1.privateemail.com.
arch.sc: 55 route2.mx.cloudflare.net.
arch.sc: 21 route1.mx.cloudflare.net.
arch.sc: 18 route3.mx.cloudflare.net.
big.sc: 10 aspmx.l.google.com.
big.sc: 20 alt1.aspmx.l.google.com.
big.sc: 20 alt2.aspmx.l.google.com.
big.sc: 30 aspmx3.googlemail.com.
big.sc: 30 aspmx2.googlemail.com.
big.sc: 30 aspmx5.googlemail.com.
big.sc: 30 aspmx4.googlemail.com.
brain.sc: 10 aspmx5.googlemail.com.
brain.sc: 10 aspmx3.googlemail.com.
brain.sc: 10 aspmx4.googlemail.com.
brain.sc: 5 alt2.aspmx.l.google.com.
brain.sc: 1 aspmx.l.google.com.
brain.sc: 10 aspmx2.googlemail.com.
brain.sc: 5 alt1.aspmx.l.google.com.
anderson.sc: 30 mx30.mailspamprotection.com.
anderson.sc: 10 mx10.mailspamprotection.com.
anderson.sc: 20 mx20.mailspamprotection.com.
a2z.sc: 5 alt2.aspmx.l.google.com.
a2z.sc: 10 alt4.aspmx.l.google.com.
