mojo.vc: 10 mojo-vc.mail.protection.outlook.com.
vip.vc: 0 .
logos.vc: 0 .
stx.vc: 0 .
protocol.vc: 5 alt1.aspmx.l.google.com.
protocol.vc: 10 alt4.aspmx.l.google.com.
protocol.vc: 1 aspmx.l.google.com.
protocol.vc: 5 alt2.aspmx.l.google.com.
protocol.vc: 10 alt3.aspmx.l.google.com.
snow.vc: 10 alt4.aspmx.l.google.com.
snow.vc: 10 alt3.aspmx.l.google.com.
snow.vc: 5 alt2.aspmx.l.google.com.
snow.vc: 5 alt1.aspmx.l.google.com.
snow.vc: 1 aspmx.l.google.com.
high.vc: 0 .
crypto.vc: 50 mx4.name.com.
crypto.vc: 30 mx7.name.com.
crypto.vc: 60 mx3.name.com.
crypto.vc: 20 mx5.name.com.
crypto.vc: 40 mx6.name.com.
crypto.vc: 10 mx8.name.com.
cool.vc: 0 .
lead.vc: 5 alt2.aspmx.l.google.com.
lead.vc: 1 aspmx.l.google.com.
lead.vc: 5 alt1.aspmx.l.google.com.
lead.vc: 10 alt4.aspmx.l.google.com.
lead.vc: 10 alt3.aspmx.l.google.com.
naughty.vc: 0 .
chicken.vc: 0 .
arc.vc: 0 .
nexa.vc: 0 .
eth.vc: 50 mx3.zoho.com.
eth.vc: 20 mx2.zoho.com.
eth.vc: 10 mx.zoho.com.
33win.vc: 0 .
pragmatic.vc: 10 alt4.aspmx.l.google.com.
pragmatic.vc: 5 alt1.aspmx.l.google.com.
pragmatic.vc: 10 alt3.aspmx.l.google.com.
pragmatic.vc: 1 aspmx.l.google.com.
pragmatic.vc: 5 alt2.aspmx.l.google.com.
human.vc: 5 alt2.aspmx.l.google.com.
human.vc: 10 alt3.aspmx.l.google.com.
human.vc: 5 alt1.aspmx.l.google.com.
human.vc: 10 alt4.aspmx.l.google.com.
human.vc: 1 aspmx.l.google.com.
pixel.vc: 0 .
hammer.vc: 0 .
koala.vc: 0 .
pride.vc: 5 alt1.aspmx.l.google.com.
pride.vc: 10 aspmx3.googlemail.com.
pride.vc: 10 aspmx2.googlemail.com.
pride.vc: 1 aspmx.l.google.com.
pride.vc: 5 alt2.aspmx.l.google.com.
love.vc: 0 .
lara.vc: 0 .
aiagent.vc: 0 .
rosen.vc: 0 .
ufabet168.vc: 15 eforward4.registrar-servers.com.
ufabet168.vc: 10 eforward1.registrar-servers.com.
ufabet168.vc: 20 eforward5.registrar-servers.com.
ufabet168.vc: 10 eforward3.registrar-servers.com.
ufabet168.vc: 10 eforward2.registrar-servers.com.
gig.vc: 10 alt3.aspmx.l.google.com.
gig.vc: 5 alt1.aspmx.l.google.com.
gig.vc: 1 aspmx.l.google.com.
gig.vc: 10 alt4.aspmx.l.google.com.
gig.vc: 5 alt2.aspmx.l.google.com.
spiral.vc: 0 .
sunflower.vc: 0 .
care.vc: 0 .
shbet.vc: 0 .
profile.vc: 0 .
posh.vc: 0 .
football.vc: 0 .
luv.vc: 0 .
threads.vc: 0 .
emily.vc: 10 alt3.aspmx.l.google.com.
emily.vc: 10 alt4.aspmx.l.google.com.
emily.vc: 5 alt1.aspmx.l.google.com.
emily.vc: 1 aspmx.l.google.com.
emily.vc: 5 alt2.aspmx.l.google.com.
001.vc: 0 .
singularity.vc: 1 aspmx.l.google.com.
singularity.vc: 10 aspmx3.googlemail.com.
singularity.vc: 10 aspmx2.googlemail.com.
singularity.vc: 5 alt2.aspmx.l.google.com.
singularity.vc: 5 alt1.aspmx.l.google.com.
clip.vc: 0 .
zeus.vc: 0 .
icecream.vc: 0 .
sfera.vc: 0 sfera-vc.mail.protection.outlook.com.
lobster.vc: 0 .
