amazon.vn: 10 amazon-smtp.amazon.com.
infinite.vn: 37 route2.mx.cloudflare.net.
infinite.vn: 97 route3.mx.cloudflare.net.
infinite.vn: 74 route1.mx.cloudflare.net.
winwin.vn: 20 ALT1.ASPMX.L.GOOGLE.COM.
winwin.vn: 30 ASPMX4.GOOGLEMAIL.COM.
winwin.vn: 10 mail.winwin.vn.
winwin.vn: 10 ASPMX.L.GOOGLE.COM.
winwin.vn: 30 ASPMX3.GOOGLEMAIL.COM.
winwin.vn: 20 ALT2.ASPMX.L.GOOGLE.COM.
winwin.vn: 30 ASPMX5.GOOGLEMAIL.COM.
winwin.vn: 30 ASPMX2.GOOGLEMAIL.COM.
cake.vn: 0 cake-vn.mail.protection.outlook.com.
sts.vn: 0 sts-vn.mail.protection.outlook.com.
mega.vn: 0 mega-vn.mail.protection.outlook.com.
fit.vn: 5 alt1.aspmx.l.google.com.
fit.vn: 10 alt4.aspmx.l.google.com.
fit.vn: 1 aspmx.l.google.com.
fit.vn: 10 alt3.aspmx.l.google.com.
fit.vn: 5 alt2.aspmx.l.google.com.
algo.vn: 10 mx.algoplatform.vn.
startup.vn: 20 mx2.improvmx.com.
startup.vn: 10 mx1.improvmx.com.
app.vn: 1 aspmx.l.google.com.
app.vn: 10 alt4.aspmx.l.google.com.
app.vn: 5 alt2.aspmx.l.google.com.
app.vn: 5 alt1.aspmx.l.google.com.
app.vn: 10 alt3.aspmx.l.google.com.
bigbang.vn: 20 mx2.zoho.com.
bigbang.vn: 10 mx.zoho.com.
bigbang.vn: 50 mx3.zoho.com.
betting.vn: 81 route3.mx.cloudflare.net.
betting.vn: 80 route1.mx.cloudflare.net.
betting.vn: 96 route2.mx.cloudflare.net.
very.vn: 20 alt2.aspmx.l.google.com.
very.vn: 30 aspmx4.googlemail.com.
very.vn: 20 alt1.aspmx.l.google.com.
very.vn: 30 aspmx3.googlemail.com.
very.vn: 30 aspmx2.googlemail.com.
very.vn: 30 aspmx5.googlemail.com.
very.vn: 10 aspmx.l.google.com.
moonbase.vn: 1 aspmx.l.google.com.
moonbase.vn: 10 alt3.aspmx.l.google.com.
moonbase.vn: 10 alt4.aspmx.l.google.com.
moonbase.vn: 5 alt2.aspmx.l.google.com.
moonbase.vn: 5 alt1.aspmx.l.google.com.
fwd.vn: 10 custmx.cscdns.net.
vibe.vn: 1 smtp.google.com.
vibe.vn: 10 alt3.aspmx.l.google.com.
vibe.vn: 10 alt4.aspmx.l.google.com.
vibe.vn: 5 alt1.aspmx.l.google.com.
vibe.vn: 1 aspmx.l.google.com.
vibe.vn: 5 alt2.aspmx.l.google.com.
6688.vn: 10 mx.zoho.com.
6688.vn: 20 mx2.zoho.com.
6688.vn: 50 mx3.zoho.com.
elegant.vn: 7 route3.mx.cloudflare.net.
elegant.vn: 80 route2.mx.cloudflare.net.
elegant.vn: 58 route1.mx.cloudflare.net.
digital.vn: 10 alt4.aspmx.l.google.com.
digital.vn: 10 alt3.aspmx.l.google.com.
digital.vn: 5 alt1.aspmx.l.google.com.
digital.vn: 1 aspmx.l.google.com.
digital.vn: 5 alt2.aspmx.l.google.com.
hosting.vn: 1 smtp.google.com.
stx.vn: 5 alt1.aspmx.l.google.com.
stx.vn: 1 aspmx.l.google.com.
stx.vn: 5 alt2.aspmx.l.google.com.
stx.vn: 10 alt4.aspmx.l.google.com.
stx.vn: 10 alt3.aspmx.l.google.com.
mojo.vn: 10 alt3.aspmx.l.google.com.
mojo.vn: 10 alt4.aspmx.l.google.com.
mojo.vn: 5 alt1.aspmx.l.google.com.
