world4you.at	World4You Internet Services GmbH (AS38955)	13
CLOUDFLARENET	AMAZON-02 (AS16509)	1384
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	1581
SECURITYSERVICES	AMAZON-02 (AS16509)	114
cloudflare.com	CLOUDFLARENET (AS13335)	1884
globalteflcourse.com	UNIFIEDLAYER-AS-1 (AS46606)	1
AMAZON-02	AMAZON-02 (AS16509)	48
IS-AS-1	AMAZON-02 (AS16509)	728
Host Europe GmbH	AMAZON-02 (AS16509)	957
parklogic.com	Akamai Connected Cloud (AS63949)	30
prodomaines.com	Claranet SAS (AS34948)	1
NSONE	FASTLY (AS54113)	1
checkdomain.de	dogado GmbH (AS8648)	3
SECURITYSERVICES	AS-VULTR (AS20473)	14
NSONE	AMAZON-02 (AS16509)	62
netim.net	FASTLY (AS54113)	1
CLOUDFLARENET	PONYNET (AS53667)	185
my-control-panel.com	PONYNET (AS53667)	1
SECURITYSERVICES	Akamai Connected Cloud (AS63949)	219
ipcom GmbH	InterNetworX Management GmbH (AS48596)	10
ipcom GmbH	Kamatera Inc (AS204548)	1
markmonitor.com	AMAZON-02 (AS16509)	47
OVH SAS	OVH SAS (AS16276)	148
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	698
domserver.de	InterNetX GmbH (AS15456)	1
AMAZON-02	GOOGLE (AS15169)	25
ns14.net	Mittwald CM Service GmbH & Co. KG (AS15817)	4
co.kr	LG DACOM Corporation (AS3786)	8
Host Europe GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	20
fastdns.hk	SunnyVision Limited (AS38478)	1
ipcom GmbH	AMAZON-02 (AS16509)	19
SECURITYSERVICES	Privex Inc. (AS210083)	1
SECURITYSERVICES	AMAZON-AES (AS14618)	19
mcnx.jp	Mirai Communication Network Inc. (AS7690)	1
com.br	HVC-AS (AS29802)	2
dns.ws	CENTURYLINK-LEGACY-SAVVIS (AS3561)	3
vaiadigital.net	AMAZON-02 (AS16509)	1
GOOGLE	Wix.com Ltd. (AS58182)	54
awsdns-22.net	AMAZON-02 (AS16509)	3
netim.net	Eurofiber France SAS (AS24935)	9
SECURITYSERVICES	CLOUDFLARENET (AS13335)	39
routing.net	comtrance service GmbH (AS30962)	1
i2hostingsolution.com	WHG Hosting Services Ltd (AS204800)	1
CLOUDFLARENET	SEDO GmbH (AS47846)	76
wombatdns.com	LEASEWEB-USA-DAL (AS394380)	2
SECURITYSERVICES	CSC (AS19574)	54
mdnsservice.com	TUCOWS (AS15348)	27
ipcom GmbH	Hetzner Online GmbH (AS24940)	10
htm.to	ARTERIA Networks Corporation (AS17506)	1
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	50
IONOS SE	united-domains GmbH (AS202108)	76
bodis.com	AMAZON-02 (AS16509)	18
daffodilnet.com	Daffodil Online Ltd. (AS58768)	3
netfirms.com	BIZLAND-SD (AS29873)	1
CLOUDFLARENET	DigiRock, Inc. (AS37907)	3
infomaniak.com	Infomaniak Network SA (AS29222)	8
cloudflare.com	Hydra Communications Ltd (AS25369)	1
AS48707 OPS PL sp. z o.o.	AS48707 OPS PL sp. z o.o. (AS48707)	18
cloudflare.com	OVH SAS (AS16276)	8
AMAZON-02	Akamai Connected Cloud (AS63949)	13
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	22
cloudflare.com	GMO Internet Group, Inc. (AS7506)	1
one.com	DIGITALOCEAN-ASN (AS14061)	1
gn.to	NTT PC Communications, Inc. (AS2514)	1
AMAZON-02	FC2-INC-2 (AS63210)	1
iptwins.com	Claranet Limited (AS8426)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	97
iwantmyname.net	GOOGLE-CLOUD-PLATFORM (AS396982)	7
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	21
MICROSOFT-CORP-MSN-AS-BLOCK	T-Mobile Austria GmbH (AS8412)	1
zoneedit.com	Internet Initiative Japan Inc. (AS2497)	1
dyn.com	AMAZON-AES (AS14618)	1
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	10
hover.com	TUCOWS (AS15348)	14
AMAZON-AES	AMAZON-AES (AS14618)	83
