SECURITYSERVICES	NAMECHEAP-NET (AS22612)	1280
CLOUDFLARENET	AMAZON-02 (AS16509)	1247
SECURITYSERVICES	Akamai Connected Cloud (AS63949)	242
Soluciones Corporativas IP, SL	Team Internet AG (AS61969)	150
andornet.ad	OVH SAS (AS16276)	9
CLOUDFLARENET	Awaser Oman LLC (AS204170)	1
SEDO GmbH	SEDO GmbH (AS47846)	31
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	31
CLOUDFLARENET	CLOUDFLARENET (AS13335)	955
MICROSOFT-CORP-MSN-AS-BLOCK	Andorra Telecom, S.a.u. (AS6752)	9
MICROSOFT-CORP-MSN-AS-BLOCK	10dencehispahard, S.L. (AS197712)	1
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	284
itpas.ad	IONOS SE (AS8560)	1
Combell NV	Combell NV (AS34762)	10
CLOUDFLARENET	Hostinger International Limited (AS47583)	72
CLOUDFLARENET	Dimension Network & Communication Limited (AS59371)	10
acens Technologies, S.L.	acens Technologies, S.L. (AS16371)	17
ipcom GmbH	SafeBrands S.A.S. (AS34173)	1
CLOUDFLARENET	Partner Hosting LTD (AS215826)	1
DinaHosting S.L.	DinaHosting S.L. (AS42612)	99
Host Europe GmbH	Host Europe GmbH (AS21499)	1
CLOUDFLARENET	CTG Server Limited (AS152194)	22
SECURITYSERVICES	AS-VULTR (AS20473)	4
cdmon.net	Cloudi Nextgen Sl (AS49635)	1
cdmon.net	10dencehispahard, S.L. (AS197712)	53
SECURITYSERVICES	OVH SAS (AS16276)	6
gr-ns.com	GETRESPONSE Sp.z o.o. (AS198881)	1
markmonitor.com	AMAZON-02 (AS16509)	38
andornet.ad	Andorra Telecom, S.a.u. (AS6752)	158
SECURITYSERVICES	FASTLY (AS54113)	10
dnsimple.com	AMAZON-02 (AS16509)	1
netim.net	Eurofiber France SAS (AS24935)	22
OVH SAS	OVH SAS (AS16276)	111
Soluciones Corporativas IP, SL	Telefonica De Espana S.a.u. (AS3352)	1
ns35.de	SpaceNet AG (AS5539)	1
i4projects.nl	Cloudflare London, LLC (AS209242)	1
awsdns-04.com	AMAZON-02 (AS16509)	2
awsdns-19.org	AMAZON-02 (AS16509)	1
GANDI SAS	GANDI SAS (AS29169)	94
lemarit.de	AS-VULTR (AS20473)	1
casamuntanya.ad	OVH SAS (AS16276)	2
Andorra Telecom, S.a.u.	ICM Netsystems 2005 SL (AS197876)	14
NSONE	AMAZON-02 (AS16509)	47
CLOUDFLARENET	DREAMHOST-AS (AS26347)	9
ipcom GmbH	AMAZON-02 (AS16509)	21
sedoparking.com	SEDO GmbH (AS47846)	59
CLOUDFLARENET	Chinanet (AS4134)	1
CLOUDFLARENET	EVANZO e-commerce GmbH (AS42730)	1
NUCDN	Team Internet AG (AS61969)	77
SECURITYSERVICES	rh-tec Business GmbH (AS25560)	1
CLOUDFLARENET	INCAPSULA (AS19551)	50
Host Europe GmbH	AMAZON-02 (AS16509)	203
serviciosdns.com	OVH SAS (AS16276)	1
awsdns-17.com	FRITZ EGGER GmbH & Co. OG (AS198211)	1
IONOS SE	Andorra Telecom, S.a.u. (AS6752)	2
CLOUDFLARENET	IONOS SE (AS8560)	5
IONOS SE	IONOS SE (AS8560)	114
awsdns-14.com	AMAZON-02 (AS16509)	1
GANDI SAS	Andorra Telecom, S.a.u. (AS6752)	2
reg-ns.net	sprint S.A. (AS197226)	1
OVH SAS	Andorra Telecom, S.a.u. (AS6752)	12
SECURITYSERVICES	CSC (AS19574)	54
CLOUDFLARENET	GOOGLE (AS15169)	7
NUCDN	Adam EcoTech, S.A (AS15699)	34
SECURITYSERVICES	AMAZON-02 (AS16509)	56
xundns.com	SonderCloud Limited (AS133199)	7
CLOUDFLARENET	OVH SAS (AS16276)	7
opendomain.vip	Asia Pacific Telecom (AS17709)	1
awsdns-02.net	Andorra Telecom, S.a.u. (AS6752)	1
dominiok.it	IONOS SE (AS8560)	1
AMAZON-02	AMAZON-02 (AS16509)	4
dnspod.net	Alibaba US Technology Co., Ltd. (AS45102)	3
