AMAZON-02	WHG Hosting Services Ltd (AS14670)	156
AMAZON-02	CLOUDFLARENET (AS13335)	605
NSONE	AMAZON-02 (AS16509)	540
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	411
Emirates Telecommunications Group Company (etisalat Group) Pjsc	CLOUDFLARENET (AS13335)	897
GOOGLE	Wix.com Ltd. (AS58182)	2470
CLOUDFLARENET	Hostinger International Limited (AS47583)	11725
Cloud DNS Ltd	MADJIN SAS (AS51236)	206
Emirates Telecommunications Group Company (etisalat Group) Pjsc	AMAZON-02 (AS16509)	855
AMAZON-02	AMAZON-02 (AS16509)	2268
Emirates Telecommunications Group Company (etisalat Group) Pjsc	Emirates Telecommunications Group Company (etisalat Group) Pjsc (AS5384)	22510
bigrockservers.com	UNIFIEDLAYER-AS-1 (AS46606)	57
okyanusmedya.net	BurtiNET Internet Hizmetleri (AS203248)	1
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	684
AMAZON-02	GOOGLE (AS15169)	1004
Akamai International B.V.	Akamai International B.V. (AS20940)	84
CLOUDFLARENET	CLOUDFLARENET (AS13335)	10917
Cloud DNS Ltd	DIGITALOCEAN-ASN (AS14061)	12
inmotionhosting.com	INMOTION (AS22611)	200
SECURITYSERVICES	CSC (AS19574)	2292
netim.net	Eurofiber France SAS (AS24935)	186
VNET a.s.	VNET a.s. (AS29405)	17
AMAZON-02	Wix.com Ltd. (AS58182)	34
Emirates Telecommunications Group Company (etisalat Group) Pjsc	JOESD-18501 (AS18501)	4
IONOS SE	united-domains GmbH (AS202108)	766
AMAZON-AES	AMAZON-AES (AS14618)	2079
Signet B.V.	Signet B.V. (AS20857)	737
register.be	Combell NV (AS34762)	12
AUTOMATTIC	AUTOMATTIC (AS2635)	217
ipcom GmbH	CLOUDFLARENET (AS13335)	319
tasjeel.ae	Contabo GmbH (AS51167)	33
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	563
CLOUDFLARENET	INCAPSULA (AS19551)	810
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	500
tasjeel.ae	AMAZON-02 (AS16509)	838
IWEB-AS	IWEB-AS (AS32613)	39
aeserver.com	Leaseweb Deutschland GmbH (AS28753)	1660
tasjeel.ae	Akamai Connected Cloud (AS63949)	5644
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	1571
tasjeel.ae	OVH SAS (AS16276)	1597
aeserver.com	OVH SAS (AS16276)	31
tasjeel.ae	WHG Hosting Services Ltd (AS51713)	1346
hostclusters.com	LEASEWEB-USA-DAL (AS394380)	2
AMAZON-02	OVH SAS (AS16276)	6045
markmonitor.com	AMAZON-02 (AS16509)	529
WEHOSTWEBSITES-COM	WEHOSTWEBSITES-COM (AS30475)	12
AMAZON-02	WHG Hosting Services Ltd (AS51713)	1130
Contabo GmbH	Contabo GmbH (AS51167)	209
tasjeel.ae	CLOUDFLARENET (AS13335)	2115
Emirates Telecommunications Group Company (etisalat Group) Pjsc	A2HOSTING (AS55293)	69
CLOUDFLARENET	AMAZON-02 (AS16509)	2697
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	886
one.com	One.com A/S (AS51468)	974
CLOUDFLARENET	BIZLAND-SD (AS29873)	168
