aplus.net	INFB2-AS (AS30447)	7
shahhost.net	UK Dedicated Servers Limited (AS42831)	16
my-control-panel.com	PONYNET (AS53667)	4
CLOUDFLARENET	TELUS Communications (AS852)	18
IS-AS-1	IS-AS-1 (AS19318)	210
markmonitor.com	AMAZON-02 (AS16509)	55
justhost.com	UNIFIEDLAYER-AS-1 (AS46606)	4
thundercloud.uk	Awareness Software Limited (AS34931)	5
BIZLAND-SD	BIZLAND-SD (AS29873)	4
greengeeks.net	SINGLEHOP-LLC (AS32475)	4
NSONE	Cloudflare London, LLC (AS209242)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	128
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	32
CLOUDFLARENET	CLOUDFLARENET (AS13335)	255
NUCDN	Team Internet AG (AS61969)	3
CLOUDFLARENET	Hostinger International Limited (AS47583)	70
monopost.com	Greysom Limited (AS12678)	2
IS-AS-1	OVH SAS (AS16276)	35
nscluster.eu	AMAZON-02 (AS16509)	1
awsdns-25.net	AMAZON-02 (AS16509)	5
INTERSERVER-LAX	INTERSERVER-LAX (AS26666)	5
audi.de	Audi AG (AS12331)	1
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	41
Akamai International B.V.	Koninklijke Luchtvaart Maatschappij N.V. (AS28806)	1
NL-811-40021	Contabo GmbH (AS51167)	8
supercp.com	A2HOSTING (AS55293)	2
iptv.af	INTERSERVER-LAX (AS26666)	2
AMAZON-AES	AMAZON-AES (AS14618)	56
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	5
identinc.com	DIGITALOCEAN-ASN (AS14061)	1
stabledisks.com	Ficolo Oy (AS49282)	1
afghanwebsolutions.com	SINGLEHOP-LLC (AS32475)	3
AMAZON-02	WHG Hosting Services Ltd (AS199404)	4
NL-811-40021	NL-811-40021 (AS40021)	31
co.uk	CSC (AS19574)	1
ahmad.af	AMAZON-AES (AS14618)	1
Safenames Ltd.	Safenames Ltd. (AS60819)	23
netim.net	OVH SAS (AS16276)	1
register.it	SEEWEB s.r.l. (AS12637)	1
register.it	Register S.p.A. (AS39729)	7
desec.io	Ministry of Communication & IT (AS58469)	1
Cloud DNS Ltd	Asiatech Data Transmission company (AS51433)	2
IS-AS-1	HVC-AS (AS29802)	18
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	6
AMAZON-02	WHG Hosting Services Ltd (AS51713)	2
CLOUDFLARENET	DREAMHOST-AS (AS26347)	7
leaseweb.nl	LeaseWeb Netherlands B.V. (AS60781)	1
AMAZON-02	WHG Hosting Services Ltd (AS209341)	2
Hydra Communications Ltd	Enix Ltd (AS52148)	38
SECURITYSERVICES	CSC (AS19574)	40
unknown	Enix Ltd (AS52148)	19
atvirtual.com	Festo Management SE (AS41700)	2
Emirates Telecommunications Group Company (etisalat Group) Pjsc	AMAZON-02 (AS16509)	6
a2hosting.com	A2HOSTING (AS55293)	1
perf1.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
IONOS SE	Mittwald CM Service GmbH & Co. KG (AS15817)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	6
NL-811-40021	GOOGLE-CLOUD-PLATFORM (AS396982)	2
zoneedit.com	EDNS (AS16686)	3
dominiando.asia	Register S.p.A. (AS39729)	1
Contabo GmbH	Contabo GmbH (AS51167)	5
CLOUDFLARENET	Pars Shabakeh Azarakhsh LLC (AS208161)	5
LIQUIDWEB	LIQUIDWEB (AS32244)	33
eolas.fr	FASTLY (AS54113)	1
SECURITYSERVICES	AUTOMATTIC (AS2635)	2
parkingcrew.net	Team Internet AG (AS206834)	4
Rackspace Ltd.	Akamai Connected Cloud (AS63949)	2
netim.net	Eurofiber France SAS (AS24935)	43
gov.af	Ministry of Communication & IT (AS58469)	5
iwantmyname.net	InterNetX GmbH (AS15456)	10
CLOUDFLARENET	INCAPSULA (AS19551)	39
CLOUDFLARENET	Green Floid LLC (AS21100)	1
INMOTION	INMOTION (AS22611)	14
awsdns-17.com	AMAZON-AES (AS14618)	1
awsdns-06.com	Afghan Wireless Communication Company (AS38742)	1
ipcom GmbH	CLOUDFLARENET (AS13335)	1
CLOUDFLARENET	ZONER a.s. (AS34222)	1
supremepanel.com	LIQUIDNETLTD1 (AS14555)	5
ipcom GmbH	InterNetworX Management GmbH (AS48596)	17
NSONE	AMAZON-02 (AS16509)	8
IONOS SE	united-domains GmbH (AS202108)	15
gcd-dns.com	AMAZON-02 (AS16509)	2
AMAZON-02	OVH SAS (AS16276)	18
CLOUDFLARENET	Net-Build GmbH (AS38927)	1
GOOGLE	Wix.com Ltd. (AS58182)	6
natrohost.com	Cizgi Telekomunikasyon Anonim Sirketi (AS34619)	1
awsdns-04.com	AMAZON-02 (AS16509)	1
IS-AS-1	AMAZON-02 (AS16509)	4
ipcom GmbH	FASTLY (AS54113)	3
yourdomainprovider.net	Eweka Internet Services B.V. (AS34343)	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	3
iwantmyname.net	GOOGLE-CLOUD-PLATFORM (AS396982)	4
SECURITYSERVICES	COGECO-PEER1 (AS13768)	4
startechaf.com	UNIFIEDLAYER-AS-1 (AS46606)	3
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	54
safebrands.com	AMAZON-02 (AS16509)	1
GOOGLE	GOOGLE (AS15169)	2
apple.com	APPLE-ENGINEERING (AS714)	1
CLOUDFLARENET	SQUARESPACE (AS53831)	4
hascpanel.com	IS-AS-1 (AS19318)	2
