CLOUDFLARENET	CLOUDFLARENET (AS13335)	4183
NUCDN	Contabo GmbH (AS51167)	1
routing.net	Hosting.de GmbH (AS12574)	7
netim.net	Eurofiber France SAS (AS24935)	336
registeral.com	Keminet SHPK (AS197706)	475
sedoparking.com	SEDO GmbH (AS47846)	160
Host.AL Shpk	Host.AL Shpk (AS213683)	5
nics-al.com	Contabo GmbH (AS51167)	10
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	297
dn-s.nl	Signet B.V. (AS20857)	3
prohost.mk	Hetzner Online GmbH (AS24940)	2
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	1179
cloudydns.com	OVH SAS (AS16276)	439
netim.net	GOOGLE-CLOUD-PLATFORM (AS396982)	7
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	356
host.al	Host.AL Shpk (AS213683)	1348
host.al	Digicom SHPK (AS35444)	8
Host Europe GmbH	AMAZON-02 (AS16509)	310
SEDO GmbH	SEDO GmbH (AS47846)	19
CLOUDFLARENET	Hostinger International Limited (AS47583)	708
host.al	WII (AS32097)	115
CLOUDFLARENET	AS40676 (AS40676)	2
meganameservers.eu	Internet Names for Business Inc (AS9115)	3
Keminet SHPK	Keminet SHPK (AS197706)	346
inmotionhosting.com	INMOTION (AS22611)	54
HURRICANE	Hetzner Online GmbH (AS24940)	8
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	142
inmotionhosting.com	IMH-IAD (AS54641)	19
CLOUDFLARENET	INCAPSULA (AS19551)	45
AMAZON-02	GOOGLE (AS15169)	177
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	38
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	10
supremedns.com	UK Dedicated Servers Limited (AS42831)	20
velia.net Internetdienste GmbH	velia.net Internetdienste GmbH (AS29066)	7
NSONE	AMAZON-02 (AS16509)	109
CLOUDFLARENET	Contabo GmbH (AS51167)	63
glipac.ch	Bluewin (AS3303)	1
DEFENSE-NET	Hetzner Online GmbH (AS24940)	37
kbitehosting.nl	Previder B.V. (AS20847)	1
SECURITYSERVICES	CSC (AS19574)	98
serveriai.lt	UAB Interneto vizija (AS212531)	10
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	33
NAMECHEAP-NET	NAMECHEAP-NET (AS22612)	345
hostserv.eu	hosttech GmbH (AS207143)	2
MICROSOFT-CORP-MSN-AS-BLOCK	CLOUDFLARENET (AS13335)	2
contabo.net	Contabo GmbH (AS51167)	183
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	88
AMAZON-02	A2HOSTING (AS55293)	149
gransy.com	CASABLANCA INT a.s. (AS15685)	8
greenhost.eu	Hetzner Online GmbH (AS24940)	15
markmonitor.com	AMAZON-02 (AS16509)	131
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	16
AMAZON-02	Team Internet AG (AS61969)	56
GOOGLE	Wix.com Ltd. (AS58182)	71
ipcom GmbH	AMAZON-02 (AS16509)	32
Contabo GmbH	Contabo GmbH (AS51167)	65
GOOGLE-CLOUD-PLATFORM	DIGITALOCEAN-ASN (AS14061)	3
webhost-dns.com	GOOGLE (AS15169)	3
CLOUDFLARENET	AMAZON-02 (AS16509)	281
DIGICERT	AS-VULTR (AS20473)	6
host.al	UNIFIEDLAYER-AS-1 (AS46606)	3
webhost-dns.com	AMAZON-AES (AS14618)	3
Akamai Connected Cloud	Akamai Connected Cloud (AS63949)	16
FBD shpk	FBD shpk (AS38916)	36
dominiok.it	3U TELECOM GmbH (AS198710)	8
PONYNET	Wildcard UK Limited (AS34119)	1
speedweb.sk	SWAN, a.s. (AS5578)	3
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	167
AMAZON-02	WHG Hosting Services Ltd (AS209341)	42
cloudydns.com	Hetzner Online GmbH (AS24940)	67
Contabo GmbH	SQUARESPACE (AS53831)	1
webhost-dns.com	Hetzner Online GmbH (AS24940)	6
webhost-dns.com	OVH SAS (AS16276)	149
host.al	AMAZON-AES (AS14618)	8
One Albania Sh.a.	One Albania Sh.a. (AS42313)	17
host.al	CLOUDFLARENET (AS13335)	69
WHG Hosting Services Ltd	WHG Hosting Services Ltd (AS14670)	24
CLOUDFLARENET	OVH SAS (AS16276)	60
Cloud DNS Ltd	Team Internet AG (AS61969)	10
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	27
pronet.al	Pronet sh.p.k. (AS33924)	1
hostgator.com	CLOUDFLARENET (AS13335)	11
CLOUDFLARENET	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	1
Contabo GmbH	Hetzner Online GmbH (AS24940)	3
IONOS SE	IONOS SE (AS8560)	17
medusamarketing.gr	Hetzner Online GmbH (AS24940)	1
dnsiaas.com	MULTA-ASN1 (AS35916)	1
host.al	GOOGLE (AS15169)	9
CLOUDFLARENET	INTERFIBER Sh.p.k (AS211147)	1
cloudydns.com	NAMECHEAP-NET (AS22612)	2
cloud86.nl	Duocast B.V. (AS31477)	3
mcafee.com	AMAZON-02 (AS16509)	1
NUCDN	Team Internet AG (AS61969)	21
host.al	Shinjiru Technology Sdn Bhd (AS45839)	1
pegasuscomm.al	WorldStream B.V. (AS49981)	1
Akamai International B.V.	DEERE (AS10846)	2
CLOUDFLARENET	GOOGLE (AS15169)	11
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	111
gov.al	Agjencia Kombetare Shoqerise se Informacionit (AS5576)	14
CLOUDFLARENET	Zepter IT Sp. z o.o. (AS35785)	1
UNIFIEDLAYER-AS-1	Contabo GmbH (AS51167)	2
Hetzner Online GmbH	Contabo GmbH (AS51167)	71
AMAZON-02	WHG Hosting Services Ltd (AS36218)	4
atakdomain.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
WII	Hetzner Online GmbH (AS24940)	8
dnshostingperte.it	Reevo S.p.A. (AS3242)	2
yashi.al	NAMECHEAP-NET (AS22612)	2
srvcp.com	SpeedyPage Ltd (AS142594)	1
dnsv2.com	CLOUDFLARENET (AS13335)	1
SuperHosting.BG Ltd.	SuperHosting.BG Ltd. (AS201200)	17
Albanian Hosting SH.P.K.	Albanian Hosting SH.P.K. (AS48014)	5
hi-tech-al.com	Hetzner Online GmbH (AS24940)	1
AMAZON-02	Akamai Connected Cloud (AS63949)	62
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	15
DIGICERT	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Keminet SHPK	Reevo S.p.A. (AS3242)	1
hostnet.nl	One.com A/S (AS51468)	9
netim.net	CLOUDFLARENET (AS13335)	11
alwaysoutbound.com	PRIVATESYSTEMS (AS63410)	1
CLOUDFLARENET	A2HOSTING (AS55293)	17
Hetzner Online GmbH	Akamai Connected Cloud (AS63949)	2
awsdns-06.net	AMAZON-02 (AS16509)	1
is-fun.net	TelemaxX Telekommunikation GmbH (AS12843)	7
ACTIVE 24, s.r.o.	WebSupport s.r.o. (AS51013)	20
registrar-servers.com	NAMECHEAP-NET (AS22612)	19
awsdns-08.org	AMAZON-02 (AS16509)	3
CLOUDFLARENET	NAMECHEAP-NET (AS22612)	16
host.al	Cloudflare London, LLC (AS209242)	10
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	4
netim.net	Eurofiber France SAS (AS35625)	10
CLOUDFLARENET	Host.AL Shpk (AS213683)	10
cloudyhost.com	Hetzner Online GmbH (AS24940)	104
fastpath.gr	Fastpath Ike (AS56457)	3
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	22
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	71
HURRICANE	Rrjeti Akademik Shqiptar (AS57961)	2
istanco.com	FASTLY (AS54113)	1
OVH SAS	OVH SAS (AS16276)	13
