aari.ru	State Institution Arctic and Antarctic Research Institute (AS35764)	1
inet-labs.net	WIIT AG (AS24961)	1
cloudflare.com	CLOUDFLARENET (AS13335)	2
net.au	Department of Climate Change Energy the Environment and Water (AS38474)	5
net.au	SQUARESPACE (AS53831)	2
fink.org	Init7 (Switzerland) Ltd. (AS13030)	1
42.pl	Netia SA (AS12741)	1
net.nz	Solarix Networks Limited (AS24192)	2
ac.uk	Jisc Services Limited (AS786)	1
awsdns-17.org	Cloudflare London, LLC (AS209242)	1
hostmar.com	Dattatec.com (AS27823)	3
awi.de	kyberio GmbH (AS24679)	2
net.nz	Dreamscape Networks Limited (AS38719)	1
home.pl	Nitronet Sp. z o.o. (AS39310)	1
awsdns-02.com	WISC-MADISON-AS (AS59)	1
fatcow.com	BIZLAND-SD (AS29873)	1
zoneedit.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
net.nz	WEEBLY (AS27647)	1
awsdns-05.com	WISC-MADISON-AS (AS59)	1
wordpress.com	AUTOMATTIC (AS2635)	2
justhost.com	UNIFIEDLAYER-AS-1 (AS46606)	2
belspo.be	FLY (AS40509)	1
azure-dns.com	Jisc Services Limited (AS786)	1
belspo.be	FSKNET-DK Forskningsnettet - Danish network for Research and Education (AS1835)	1
kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
registrar-servers.com	ORACLE-BMC-31898 (AS31898)	1
gov.au	Wholesale Services Provider (AS45671)	1
101domain.com	The University of Tasmania (AS7573)	1
gov.au	Squiz Pty Ltd (AS55532)	1
keymachine.de	Keyweb AG (AS31103)	1
cloudns.net	U-CHICAGO-AS (AS160)	1
redesdigitales.com	NAMECRANE (AS46824)	1
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
net.nz	SiteHost New Zealand (AS45179)	1
ac.nz	SQUARESPACE (AS53831)	1
awi.de	Verein zur Foerderung eines Deutschen Forschungsnetzes e.V. (AS680)	1
1und1.de	IONOS SE (AS8560)	1
