Dattatec.com	Dattatec.com (AS27823)	2840
servidoraweb.net	NUT HOST SRL (AS264649)	352
CLOUDFLARENET	DREAMHOST-AS (AS26347)	109
godns.net	Telecom Argentina S.A. (AS7303)	264
AS17378	AS17378 (AS17378)	75
MICROSOFT-CORP-MSN-AS-BLOCK	SERVERCENTRAL (AS23352)	4
servidoraweb.net	FASTLY (AS54113)	2
AMAZON-02	LINKED STORE BRASIL CRIACAO E DESENVOL DE SOFTWARE (AS273584)	1092
com.ar	CL-1763-47869 (AS47869)	84
NSONE	AMAZON-AES (AS14618)	59
org.ar	GOOGLE-CLOUD-PLATFORM (AS396982)	3
CLOUDFLARENET	CLOUDFLARENET (AS13335)	1514
wiroos.com	OVH SAS (AS16276)	187
com.ar	IS-AS-1 (AS19318)	6
aliasdns.net	AMAZON-AES (AS14618)	202
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	43
net.ar	ORACLE-BMC-31898 (AS31898)	1
IFX18747	IFX18747 (AS18747)	161
com.ar	COOPERATIVA DE SERVICIOS PUBLICOS Y SOCIALES VILLA DEL ROSARIO LTDA (AS28100)	1
aliasdns.net	AMAZON-02 (AS16509)	125
com.ar	Summit S.A. (AS52327)	1
Host Europe GmbH	AMAZON-02 (AS16509)	67
CLOUDFLARENET	Hostinger International Limited (AS47583)	1533
com.ar	LINKED STORE BRASIL CRIACAO E DESENVOL DE SOFTWARE (AS273584)	7
GOOGLE	Wix.com Ltd. (AS58182)	251
lineadns.com	HVC-AS (AS29802)	48
sedoparking.com	SEDO GmbH (AS47846)	158
GOOGLE	AMAZON-02 (AS16509)	5
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	153
SEDO GmbH	SEDO GmbH (AS47846)	11
servidoraweb.net	Cloudflare London, LLC (AS209242)	1
NSS S.A.	NSS S.A. (AS16814)	69
AMAZON-02	AMAZON-02 (AS16509)	377
BIZLAND-SD	BIZLAND-SD (AS29873)	12
NSONE	AMAZON-02 (AS16509)	136
miwiredhosting.com	IWEB-AS (AS32613)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	170
markmonitor.com	AMAZON-02 (AS16509)	64
com.ar	PRIVATESYSTEMS (AS63410)	61
AMAZON-02	FRITZ EGGER GmbH & Co. OG (AS198211)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	71
CLOUDFLARENET	Dattatec.com (AS27823)	62
ocssoftware.com	DIMENOC (AS33182)	2
LIQUIDWEB	LIQUIDWEB (AS53824)	3
MICROSOFT-CORP-MSN-AS-BLOCK	DIGITALOCEAN-ASN (AS14061)	4
IFX18747	NSS S.A. (AS16814)	20
cdmon.net	Hostinger International Limited (AS47583)	3
AMAZON-02	AMAZON-AES (AS14618)	131
apprural.com	Administracion Nacional de Telecomunicaciones (AS6057)	2
G2K ARGENTINA S.A.	G2K ARGENTINA S.A. (AS52236)	10
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	18
INMOTION	INMOTION (AS22611)	5
com.ar	COOP . DE PROV . OBRAS Y SERV . PUBL. LTDA. DE ARMSTRONG (AS266897)	1
CLOUDFLARENET	Telecom Argentina S.A. (AS7303)	23
servidoraweb.net	OVH SAS (AS16276)	47
register.it	AMAZON-02 (AS16509)	11
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	39
AMAZON-02	Team Internet AG (AS206834)	21
dnsimple.com	ML-1432-54994 (AS54994)	1
afraid.org	SHARKTECH (AS46844)	5
dnscentrales.com	Gigared S.A. (AS20207)	6
AMAZON-02	WHG Hosting Services Ltd (AS14670)	21
Combell NV	Combell NV (AS34762)	39
Allytech S.A.	NSS S.A. (AS16814)	28
creativamotion.com	PRIVATESYSTEMS (AS63410)	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	51
Dattatec.com	AMAZON-AES (AS14618)	23
AMAZON-02	OVH SAS (AS16276)	21
godns.net	AMAZON-02 (AS16509)	4
com.ar	Cloudflare London, LLC (AS209242)	1
com.ar	Dattatec.com (AS27823)	22
MICROSOFT-CORP-MSN-AS-BLOCK	INCAPSULA (AS19551)	2
labsit.com	NL-811-40021 (AS40021)	5
Dattatec.com	CLOUDFLARENET (AS13335)	20
OVH SAS	COGENT-174 (AS174)	5
Dattatec.com	AMAZON-02 (AS16509)	66
HURRICANE	GOOGLE (AS15169)	3
Hostinger International Limited	Hostinger International Limited (AS47583)	16
Dattatec.com	GO-DADDY-COM-LLC (AS398787)	1
com.ar	InterBS S.R.L. BAEHOST (AS61493)	20
cloudns.net	GOOGLE (AS15169)	2
servidoraweb.net	IONOS SE (AS8560)	1
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	78
inmotionhosting.com	INMOTION (AS22611)	20
ELSERVER S.R.L	ELSERVER S.R.L (AS52270)	35
Gigared S.A.	IS-AS-1 (AS19318)	20
com.ar	NSS S.A. (AS16814)	65
afraid.org	Telecom Argentina S.A. (AS7303)	9
NSS S.A.	Allytech S.A. (AS266660)	62
rumbo-hosting.net	DIMENOC (AS33182)	4
AMAZON-02	Cloudflare London, LLC (AS209242)	8
CLOUDFLARENET	NSS S.A. (AS16814)	13
managed-ip.com	CLOUDFLARENET (AS13335)	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	126
CLOUDFLARENET	AMAZON-02 (AS16509)	107
OVH SAS	OVH SAS (AS16276)	44
Host Europe GmbH	LINKED STORE BRASIL CRIACAO E DESENVOL DE SOFTWARE (AS273584)	8
Akamai Connected Cloud	Akamai Connected Cloud (AS63949)	17
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	18
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	28
Dattatec.com	Techtel LMDS Comunicaciones Interactivas S.A. (AS11664)	5
afraid.org	SOFTLAYER (AS36351)	33
atlanticadigital.net	LINKED STORE BRASIL CRIACAO E DESENVOL DE SOFTWARE (AS273584)	1
CLOUDFLARENET	AS-VULTR (AS20473)	3
CLOUDFLARENET	LINKED STORE BRASIL CRIACAO E DESENVOL DE SOFTWARE (AS273584)	56
Safenames Ltd.	Safenames Ltd. (AS60819)	16
CLOUDFLARENET	BIZLAND-SD (AS29873)	5
SERVERCENTRAL	SERVERCENTRAL (AS23352)	105
MICROSOFT-CORP-MSN-AS-BLOCK	Telecom Argentina S.A. (AS7303)	7
com.ar	Tecnologia WorkOut S.A. (AS27865)	2
nuthost.com	NUT HOST SRL (AS264649)	9
mynameserve.com	IONOS SE (AS8560)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Servicios para el Transporte de Informacion S.A. (AS27994)	1
DIMENOC	DIMENOC (AS33182)	36
com.ar	Cooperativa Telefonica Del Viso (AS19889)	2
