hyp.net	Domeneshop AS (AS12996)	963
world4you.at	World4You Internet Services GmbH (AS38955)	58566
CLOUDFLARENET	CLOUDFLARENET (AS13335)	16026
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	24941
IONOS SE	Ledl.net GmbH (AS25575)	19
Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH	Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH (AS1764)	1364
AMAZON-02	DIGITALOCEAN-ASN (AS14061)	3912
Host Europe GmbH	AMAZON-02 (AS16509)	14971
hoststar.hosting	Hetzner Online GmbH (AS24940)	2531
sedoparking.com	SEDO GmbH (AS47846)	10678
s-network.de	Hetzner Online GmbH (AS24940)	6
AUTOMATTIC	AUTOMATTIC (AS2635)	577
VNET a.s.	VNET a.s. (AS29405)	335
IONOS SE	IONOS SE (AS8560)	35330
ipcom GmbH	AMAZON-02 (AS16509)	4363
internet1.de	Optitrust GmbH (AS200062)	139
ipcom GmbH	EDIS GmbH (AS57169)	4976
abaton.at	abaton EDV-Dienstleistungs GmbH (AS42572)	903
WVNET Information und Kommunikation GmbH	WVNET Information und Kommunikation GmbH (AS29081)	16
Hetzner Online GmbH	AMAZON-02 (AS16509)	215
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	37056
the-domains.website	AMAZON-02 (AS16509)	3404
iworx-host.com	Magyar Telekom Plc. (AS5483)	7
conova.at	SALZBURG AG fur Energie, Verkehr und Telekommunikation (AS8445)	242
Tarhely.Eu Szolgaltato Kft.	Tarhely.Eu Szolgaltato Kft. (AS43359)	158
ns14.net	InterNetX GmbH (AS15456)	3462
a1.net	GOOGLE-CLOUD-PLATFORM (AS396982)	177
CLOUDFLARENET	Hostinger International Limited (AS47583)	2639
Hetzner Online GmbH	eww ag (AS21013)	340
T-Mobile Austria GmbH	T-Mobile Austria GmbH (AS8412)	9739
NUCDN	Team Internet AG (AS61969)	734
helloly.com	helloly GmbH (AS208689)	2921
ipcom GmbH	InterNetworX Management GmbH (AS48596)	4089
Nessus GmbH	Nessus GmbH (AS47692)	14554
Ledl.net GmbH	Ledl.net GmbH (AS25575)	8855
