GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	51
GOOGLE	Wix.com Ltd. (AS58182)	8
node.fi	Hetzner Online GmbH (AS24940)	1
AMAZON-AES	AMAZON-AES (AS14618)	8
Alands Telekommunikation Ab	Alands Telekommunikation Ab (AS3238)	55
CLOUDFLARENET	CLOUDFLARENET (AS13335)	154
Domainkeskus Oy	Domainkeskus Oy (AS201964)	15
CLOUDFLARENET	Wix.com Ltd. (AS58182)	1
world4you.at	World4You Internet Services GmbH (AS38955)	5
netim.net	Eurofiber France SAS (AS24935)	75
inwx.ch	InterNetworX Management GmbH (AS48596)	2
Alands Telekommunikation Ab	GOOGLE-CLOUD-PLATFORM (AS396982)	1
netsto.net	ABCDE GROUP (AS133201)	2
awsdns-03.com	DIGITALOCEAN-ASN (AS14061)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	59
CLOUDFLARENET	Hostinger International Limited (AS47583)	22
Host Europe GmbH	AMAZON-02 (AS16509)	41
d.sb	HOSTHATCH (AS63473)	1
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	2
registrar-servers.com	AS-VULTR (AS20473)	1
messagingengine.com	Fastmail Pty Ltd (AS151847)	3
awsdns-15.org	AMAZON-02 (AS16509)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	39
Alands Telekommunikation Ab	DIGITALOCEAN-ASN (AS14061)	7
CLOUDFLARENET	Miss Hosting AB (AS200719)	3
bluehost.com	UNIFIEDLAYER-AS-1 (AS46606)	2
messagingengine.com	OVH SAS (AS16276)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	CCI-TEXAS (AS6300)	1
ipcom GmbH	netcup GmbH (AS197540)	1
istanco.com	GO-DADDY-COM-LLC (AS398101)	27
timecloud.us	MULTA-ASN1 (AS35916)	1
1984.is	1984 ehf (AS44925)	1
ipconnect.fi	IP-Connect AB (AS200134)	8
aland.fi	Baffin Bay Networks AB (AS42649)	4
loopia.se	Loopia AB (AS39570)	4
eftydns.com	Signet B.V. (AS20857)	3
CLOUDFLARENET	LAKENETWORKS-AS (AS6517)	1
CLOUDFLARENET	Alibaba US Technology Co., Ltd. (AS45102)	1
CLOUDFLARENET	British Telecommunications PLC (AS2856)	1
zj.fi	Hetzner Online GmbH (AS24940)	2
com.br	DIMENOC SERVICOS DE INFORMATICA LTDA (AS53055)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Dustin Aktiebolag (AS199520)	1
porkbun.com	AMAZON-02 (AS16509)	1
ui-global-dns.biz	IONOS SE (AS8560)	1
GOOGLE	Ip Server LLC (AS44812)	1
Host Europe GmbH	Host Europe GmbH (AS8972)	1
GANDI SAS	GANDI SAS (AS29169)	4
CLOUDFLARENET	FASTLY (AS54113)	4
Jakobstadsnejdens Telefon Ab	Jakobstadsnejdens Telefon Ab (AS24751)	22
markmonitor.com	AMAZON-02 (AS16509)	10
Alands Telekommunikation Ab	AMAZON-02 (AS16509)	5
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	7
NUCDN	Datacenter Luxembourg S.A. (AS24611)	5
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	5
CLOUDFLARENET	Rackforest Zrt. (AS62214)	1
cloudhosting.uk	Krystal Hosting Ltd (AS12488)	1
Hetzner Online GmbH	AMAZON-AES (AS14618)	1
CLOUDFLARENET	IP-Connect AB (AS200134)	2
m1ns.fyi	CLOUDFLARENET (AS13335)	1
xtom.com	xTom GmbH (AS3214)	1
registrar-servers.com	Hetzner Online GmbH (AS24940)	1
Alands Telekommunikation Ab	DNA Oyj (AS16086)	1
ipcom GmbH	InterNetworX Management GmbH (AS48596)	5
cafe24.com	Korea Telecom (AS4766)	1
dobry-hosting.pl	Hetzner Online GmbH (AS24940)	1
sedoparking.com	SEDO GmbH (AS47846)	9
keekles.org	AS-INTER (AS12110)	2
lsd.cat	PONYNET (AS53667)	2
CLOUDFLARENET	KPN B.V. (AS1136)	1
CLOUDFLARENET	Alessio Cairoli (AS212516)	1
netflix.net	AMAZON-02 (AS16509)	1
namecity.com	Iomart Cloud Services Limited (AS20860)	1
parkingcrew.net	Team Internet AG (AS61969)	1
zoneedit.com	ODERLAND Webbhotell AB (AS44136)	1
Alands Telekommunikation Ab	UpCloud Ltd (AS202053)	1
ACTIVE 24, s.r.o.	Loopia AB (AS41528)	6
porsche.asia	Dr. Ing. h.c. F. Porsche AG (AS33848)	1
awsdns-39.com	AMAZON-02 (AS16509)	1
sportsbetting.ax	CLOUDFLARENET (AS13335)	1
IONOS SE	united-domains GmbH (AS202108)	10
awsdns-04.org	AMAZON-02 (AS16509)	1
portsdns.net	Telia Cygate Oy (AS29422)	1
idp365.net	Safenames Ltd. (AS60819)	3
netim.net	Telia Cygate Oy (AS29422)	1
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	9
dnsmadeeasy.com	Hetzner Online GmbH (AS24940)	1
as207960.net	AS207960 Cyfyngedig (AS207960)	1
lmgz.eu	Hetzner Online GmbH (AS24940)	1
co.uk	IONOS SE (AS8560)	1
hostnet.nl	One.com A/S (AS51468)	2
folkhalsan.fi	Jakobstadsnejdens Telefon Ab (AS24751)	1
CLOUDFLARENET	Jakobstadsnejdens Telefon Ab (AS24751)	1
awsdns-11.org	AMAZON-AES (AS14618)	1
webb.net	Hetzner Online GmbH (AS24940)	11
ky.ax	Patrik Lagerman (AS35100)	1
CLOUDFLARENET	INCAPSULA (AS19551)	6
nic.ru	Jsc ru-center (AS48287)	1
CLOUDFLARENET	A1 Bulgaria EAD (AS29580)	2
aftermarket.com	AMAZON-02 (AS16509)	2
NUCDN	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
netim.net	Binary Racks Limited (AS59895)	1
omc-dns.com	OMCnet Internet Service GmbH (AS15388)	11
mythic-beasts.com	RAMNODE (AS3842)	1
Hetzner Online GmbH	Contabo GmbH (AS51167)	2
Yelles AB	Yelles AB (AS206170)	7
safenames.com	Safenames Ltd. (AS60819)	1
selectel.ru	JSC Selectel (AS49505)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	9
cscdns.net	CSC (AS19574)	3
folkhalsan.fi	AMAZON-02 (AS16509)	1
loopia.se	WEEBLY (AS27647)	1
ohituskaista.net	Telia Cygate Oy (AS29422)	1
netnames.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
hostinger.com	Hostinger International Limited (AS47583)	1
NSONE	AMAZON-02 (AS16509)	2
cronon.de	Strato GmbH (AS6724)	1
istanco.com	AMAZON-02 (AS16509)	2
Alands Telekommunikation Ab	Baffin Bay Networks AB (AS42649)	5
Hetzner Online GmbH	AMAZON-02 (AS16509)	1
natrohost.com	Cizgi Telekomunikasyon Anonim Sirketi (AS34619)	1
CLOUDFLARENET	Scaleway S.a.s. (AS12876)	1
ipconnect.fi	DIGITALOCEAN-ASN (AS14061)	1
meownium.com	Hetzner Online GmbH (AS24940)	1
brandshelter.com	CtrlS (AS18229)	1
loopia.se	Telia Company AB (AS3301)	1
CLOUDFLARENET	HOSTHATCH (AS63473)	1
cprapid.com	OVH SAS (AS16276)	1
netim.net	Yelles AB (AS206170)	1
Alands Telekommunikation Ab	GleSYS AB (AS42708)	2
anycastdns.cc	Hong Kong Zhengxing Technology Co., Ltd. (AS150706)	1
CLOUDFLARENET	GOOGLE (AS15169)	1
awsdns-04.com	Clouvider Limited (AS62240)	1
Alands Telekommunikation Ab	AMAZON-AES (AS14618)	2
CLOUDFLARENET	AS-COLOCROSSING (AS36352)	1
CLOUDFLARENET	HOP179 (AS11967)	1
servidoraweb.net	NUT HOST SRL (AS264649)	1
seodomains.top	M247 Europe SRL (AS9009)	1
Alands Telekommunikation Ab	FASTLY (AS54113)	1
global-wire.eu	GW (AS8145)	2
simply.com	team.blue Denmark A/S (AS48854)	1
dnspod.net	AMAZON-02 (AS16509)	1
namesystem.se	Oulun DataCenter Oy (AS48618)	1
routing.net	Hosting.de GmbH (AS12574)	4
Host Europe GmbH	Host Europe GmbH (AS21499)	3
ACTIVE 24, s.r.o.	DIGITALOCEAN-ASN (AS14061)	1
funet.fi	Alands Telekommunikation Ab (AS3238)	2
ipcom GmbH	DIGITALOCEAN-ASN (AS14061)	1
CLOUDFLARENET	Staclar Carrier Ltd. (AS213190)	1
VITAL-DNS	Alands Telekommunikation Ab (AS3238)	2
parnet.fi	Paraisten Puhelin Oy (AS42885)	1
solvez.com	Jakobstadsnejdens Telefon Ab (AS24751)	1
netnames.net	CSC (AS19574)	1
bits-bytes.fi	Jakobstadsnejdens Telefon Ab (AS24751)	1
a2hosting.com	A2HOSTING (AS55293)	1
registrar-servers.com	NAMECHEAP-NET (AS22612)	3
CLOUDFLARENET	netcup GmbH (AS197540)	1
ipcom GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	2
vhosting-it.com	Servereasy Srl (AS60798)	1
ipconnect.fi	Alands Telekommunikation Ab (AS3238)	1
softax.pl	Softax sp.j. (AS200504)	1
fcomet.com	Akamai Connected Cloud (AS63949)	1
istanco.com	DIGITALOCEAN-ASN (AS14061)	1
ri.fi	GOOGLE-CLOUD-PLATFORM (AS396982)	1
