CLOUDFLARENET	AzFiberNet Ltd. (AS203971)	8
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	207
CLOUDFLARENET	A2HOSTING (AS55293)	45
CLOUDFLARENET	CLOUDFLARENET (AS13335)	5772
Safenames Ltd.	Safenames Ltd. (AS60819)	31
CLOUDFLARENET	Hostinger International Limited (AS47583)	1534
hostinq1.com	LIQUIDNETLTD1 (AS14555)	23
AUTOMATTIC	AUTOMATTIC (AS2635)	25
Delta Telecom Ltd	Delta Telecom Ltd (AS29049)	566
smart Sistemz Technoloji Mmm	smart Sistemz Technoloji Mmm (AS34876)	7
domishko.ru	e-Style ISP LLC (AS20655)	3
datacentre.az	Baku Telephone Communication LLC (AS28787)	1
OVH SAS	OVH SAS (AS16276)	122
OUR Technology LLC	OUR Technology LLC (AS213881)	233
twinservers.net	PE Skurykhin Mukola Volodumurovuch (AS56851)	9
AMAZON-02	GOOGLE (AS15169)	18
SECURITYSERVICES	CSC (AS19574)	153
reg.ru	Domain names registrar REG.RU, Ltd (AS197695)	118
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	812
Beget LLC	Beget LLC (AS198610)	444
host.az	INTRA Network Systems Ltd (AS15815)	191
nic.ru	Servicepipe LLC (AS201706)	1
OVH SAS	P.a.g.m. Ou (AS198068)	38
NAMECHEAP-NET	NAMECHEAP-NET (AS22612)	167
Arvid Logicum OU	Arvid Logicum OU (AS202376)	68
fornex.com	Fornex Hosting S.L. (AS44051)	149
timeweb.org	TimeWeb LLC (AS9123)	146
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	123
CLOUDFLARENET	LIQUIDWEB (AS32244)	15
Akamai Connected Cloud	Akamai Connected Cloud (AS63949)	27
AMAZON-02	A2HOSTING (AS55293)	86
YANDEX LLC	Hetzner Online GmbH (AS24940)	18
CLOUDFLARENET	Ddos-guard Ltd (AS57724)	85
Netbudur Telekomunikasyon Limited Sirketi	Netbudur Telekomunikasyon Limited Sirketi (AS202505)	51
AzInTelecom LLC	AzInTelecom LLC (AS200729)	19
IS-AS-1	IS-AS-1 (AS19318)	38
BurtiNET Internet Hizmetleri	BurtiNET Internet Hizmetleri (AS203248)	6
Hydra Communications Ltd	Enix Ltd (AS52148)	157
CLOUDFLARENET	AMAZON-02 (AS16509)	181
GOOGLE	Wix.com Ltd. (AS58182)	213
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	280
veridyen.com	Veridyen Bilisim Teknolojileri Sanayi ve Ticaret Limited Sirketi (AS209853)	54
GOOGLE	FASTLY (AS54113)	2
alotvshop.com	AG Telekom MMC. (AS57293)	1
Contabo GmbH	Contabo GmbH (AS51167)	71
linode.com	Akamai Connected Cloud (AS63949)	9
EuroByte LLC	EuroByte LLC (AS210079)	6
Hostinger International Limited	Hostinger International Limited (AS47583)	18
unknown	NETWORK-SOLUTIONS-HOSTING (AS19871)	18
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	67
Delta Telecom Ltd	FASTLY (AS54113)	6
GHOSTnet GmbH	GHOSTnet GmbH (AS12586)	51
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	29
gorenje.si	PERFTECH, podjetje za proizvodnjo in uvajanje novih tehnologij, d.o.o. (AS6764)	1
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	153
alfanet.az	Alfanet LLC (AS50274)	189
CLOUDFLARENET	Baku Telephone Communication LLC (AS28787)	11
liquidweb.com	LIQUIDWEB (AS32244)	2
domainhizmetleri.net	DH Bulut Bilisim Anonim Sirketi (AS34828)	15
Hosting Ukraine LTD	Tilda Publishing Ltd. (AS205282)	2
hostsila.com	Hostpro Lab LLC (AS196645)	13
CLOUDFLARENET	Iomart Cloud Services Limited (AS20860)	1
hostinq1.com	Belcloud LTD (AS44901)	2
Hosting Dunyam Bilisim Teknolojileri Ticaret Limited Sirketi	Hosting Dunyam Bilisim Teknolojileri Ticaret Limited Sirketi (AS212219)	13
burtinet.com	BurtiNET Internet Hizmetleri (AS203248)	2
managed-ip.info	Buhler AG (AS34261)	2
MICROSOFT-CORP-MSN-AS-BLOCK	LIQUIDWEB (AS32244)	33
awsdns-36.net	AMAZON-02 (AS16509)	1
Hostart LLC	Hostart LLC (AS207619)	32
bind.az	GSP LLC (AS203622)	33
Mustafa cakir	Mustafa cakir (AS213795)	72
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	4
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	30
AMAZON-02	SINGLEHOP-LLC (AS32475)	38
