ADVAN-CAST	mCloud doo (AS35779)	9
CLOUDFLARENET	CLOUDFLARENET (AS13335)	1735
BH Telecom d.d. Sarajevo	BH Telecom d.d. Sarajevo (AS9146)	75
netim.net	Eurofiber France SAS (AS24935)	68
HostUS	Globalhost d.o.o. (AS200698)	3530
careerjet.net	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	2
ipcom GmbH	AMAZON-02 (AS16509)	29
fakat.net	Hetzner Online GmbH (AS24940)	2891
NUCDN	Team Internet AG (AS61969)	26
DIGICERT	Host Europe GmbH (AS21501)	2
LeaseWeb Netherlands B.V.	LeaseWeb Netherlands B.V. (AS60781)	26
GOOGLE	Wix.com Ltd. (AS58182)	91
ns14.net	Host Europe GmbH (AS8972)	4
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	213
hostgator.com	Porsche Informatik Gesellschaft m.b.H (AS29085)	1
bitlab.host	Hetzner Online GmbH (AS24940)	20
AMAZON-02	WHG Hosting Services Ltd (AS209341)	78
crohost.net	Plus Hosting Grupa d.o.o. (AS12417)	221
loopia.se	Loopia AB (AS39570)	14
unlimited.rs	United Internet Ltd. (AS207604)	51
hostingww.com	Instra Corporation Pty Ltd (AS133104)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Combell NV (AS34762)	4
PRIVATESYSTEMS	PRIVATESYSTEMS (AS63410)	29
credit-suisse.com	UBS Group AG (AS8729)	2
promotim.ba	QSS D.O.O. Sarajevo (AS50537)	18
CLOUDFLARENET	INCAPSULA (AS19551)	100
dnspod.net	Alibaba US Technology Co., Ltd. (AS45102)	2
inmotionhosting.com	IMH-IAD (AS54641)	12
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	697
mandzo.work	OVH SAS (AS16276)	2
Akamai International B.V.	Akamai International B.V. (AS20940)	10
wwdh.hu	Hetzner Online GmbH (AS24940)	2
Contabo GmbH	Contabo GmbH (AS51167)	52
GANDI SAS	GANDI SAS (AS29169)	81
AMAZON-02	CLOUDFLARENET (AS13335)	1
mkstrsljen.ba	Integra Inzenjering d.o.o. (AS209271)	1
serveriai.lt	OVH SAS (AS16276)	1
unknown	WHG Hosting Services Ltd (AS209341)	7
SECURITYSERVICES	CSC (AS19574)	146
dnserv.com	Telemach Slovenija d.o.o. (AS41828)	2
ipcom GmbH	DXC-AS3360 (AS3360)	1
