Host Europe GmbH	AMAZON-02 (AS16509)	47
CLOUDFLARENET	AMAZON-02 (AS16509)	13
williamsind.com	GOOGLE (AS15169)	1
CLOUDFLARENET	SQUARESPACE (AS53831)	2
awsdns-25.com	METANET AG (AS21069)	1
powweb.com	BIZLAND-SD (AS29873)	1
ultradns.biz	SECURITYSERVICES (AS12008)	1
markmonitor.com	AMAZON-02 (AS16509)	21
GOOGLE	CLOUDFLARENET (AS13335)	1
cloudflare.com	CLOUDFLARENET (AS13335)	45
CLOUDFLARENET	DREAMHOST-AS (AS26347)	16
namecheaphosting.com	NAMECHEAP-NET (AS22612)	1
ESTRUXTURE-QC-10929	IWEB-AS (AS32613)	1
Host Europe GmbH	Cloudflare London, LLC (AS209242)	4
awsdns-42.org	TSG Interactive Services Limited (AS48536)	2
SECURITYSERVICES	CSC (AS19574)	21
SECURITYSERVICES	Bayerische Motoren Werke Aktiengesellschaft (AS8590)	1
dyn.com	Hostinger International Limited (AS47583)	1
cloudflare.com	AMAZON-02 (AS16509)	2
dns-h.com	Hetzner Online GmbH (AS24940)	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	4
justhost.com	UNIFIEDLAYER-AS-1 (AS46606)	1
dns.com	Dimension Network & Communication Limited (AS59371)	5
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	9
bumble.com	Greysom Limited (AS12678)	1
UNIFIEDLAYER-AS-1	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
CLOUDFLARENET	PRETECS (AS39962)	1
arvixe.com	UNIFIEDLAYER-AS-1 (AS46606)	1
Safenames Ltd.	Safenames Ltd. (AS60819)	9
amzndns.com	AMAZON-02 (AS16509)	1
GOOGLE	Wix.com Ltd. (AS58182)	11
CLOUDFLARENET	CYBERCON (AS7393)	8
tildadns.com	Ddos-guard Ltd (AS57724)	1
domainoo.fr	Planet Service SARL (AS61168)	1
wheretohost.net	H4Y-TECHNOLOGIES (AS397373)	1
CLOUDFLARENET	FASTLY (AS54113)	1
BB-COLUMBUS	BB-COLUMBUS (AS14813)	5
easydns.com	EDNS (AS16686)	1
sourcedns.com	LIQUIDWEB (AS32244)	1
CLOUDFLARENET	A2HOSTING (AS55293)	1
easydns.com	Amarutu Technology Ltd (AS206264)	1
LIQUIDWEB	BB-COLUMBUS (AS14813)	2
cloudflare.com	GO-DADDY-COM-LLC (AS400754)	1
phase8.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
DIGICERT	XO-AS15 (AS2828)	1
CLOUDFLARENET	INCAPSULA (AS19551)	9
LIQUIDWEB	LIQUIDWEB (AS32244)	13
GOOGLE	GOOGLE (AS15169)	1
cloudflare.com	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	5
registrar-servers.com	NAMECHEAP-NET (AS22612)	1
CLOUDFLARENET	HVC-AS (AS29802)	2
easydns.ca	BB-COLUMBUS (AS14813)	1
CWC-ROC-11139	GO-DADDY-COM-LLC (AS398101)	4
webops.host	UPCLOUDUSA (AS25697)	2
CLOUDFLARENET	BB-COLUMBUS (AS14813)	1
nameshield.net	Nameshield SAS (AS20756)	2
ORACLE-BMC-31898	CLOUD-CARIB-LTD (AS19377)	1
sedoparking.com	SEDO GmbH (AS47846)	1
wpx.net	K Media Tech Ltd. (AS210250)	1
dns-parking.com	Hostinger International Limited (AS47583)	2
williamsind.com	DREAMHOST-AS (AS26347)	3
ORACLE-BMC-31898	ORACLE-BMC-31898 (AS31898)	2
CLOUDFLARENET	RACKSPACE (AS27357)	1
easydns.ca	EDNS (AS16686)	2
omnis.com	OMNIS (AS19237)	2
dotblock.com	HOSTROCKET (AS23535)	1
Host Europe GmbH	UNIFIEDLAYER-AS-1 (AS46606)	1
trouble-free.net	IS-AS-1 (AS19318)	1
Host Europe GmbH	SQUARESPACE (AS53831)	1
AMAZON-02	GOOGLE (AS15169)	4
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	2
thdns.com	CTG Server Limited (AS152194)	2
SECURITYSERVICES	INCAPSULA (AS19551)	1
co.uk	Web Wiz Ltd (AS203315)	2
CWC-ROC-11139	BB-COLUMBUS (AS14813)	4
vmsserver.com	ECL-1 (AS23422)	2
transat.com	TRANSAT (AS54447)	1
cloudflare.com	Alibaba US Technology Co., Ltd. (AS45102)	7
CLOUDFLARENET	COGECO-PEER1 (AS13768)	1
amigokit.com	UNINET (AS8151)	2
mendesco.net	IMH-IAD (AS54641)	1
CLOUDFLARENET	LIQUIDWEB (AS32244)	3
SECURITYSERVICES	COGECO-PEER1 (AS13768)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	2
cincoamor.com	AMAZON-AES (AS14618)	1
cloudflare.com	Cloudflare London, LLC (AS209242)	6
CLOUDFLARENET	CLOUDFLARENET (AS13335)	6
homedepot.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
aplus.net	UNIFIEDLAYER-AS-1 (AS46606)	1
AMAZON-02	A2HOSTING (AS55293)	3
awsdns-30.net	AMAZON-AES (AS14618)	1
relatable.host	UNIFIEDLAYER-AS-1 (AS46606)	2
SECURITYSERVICES	AMAZON-02 (AS16509)	1
bb-online.net	AMAZON-AES (AS14618)	1
ORACLE-BMC-31898	DIGI-BDS-ASN (AS35900)	4
webhostingpremium.com	GORILLASERVERS (AS53850)	1
iptwins.com	OVH SAS (AS16276)	4
inmotionhosting.com	IMH-IAD (AS54641)	1
safenames.com	Safenames Ltd. (AS60819)	3
co.uk	CLOUDFLARENET (AS13335)	2
brandshelter.com	froxlor GmbH (AS207048)	1
dnspod.net	DXTL Tseung Kwan O Service (AS134548)	2
ipage.com	BIZLAND-SD (AS29873)	3
LIQUIDWEB	RMH-14 (AS33070)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	2
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	3
SECURITYSERVICES	RACKSPACE (AS19994)	1
CLOUDFLARENET	AS-COLOCROSSING (AS36352)	1
GOOGLE	AMAZON-AES (AS14618)	1
Host Europe GmbH	AS-COLOCROSSING (AS36352)	1
bluecatdns.com	AMAZON-AES (AS14618)	1
ESTRUXTURE-QC-10929	ESTRUXTURE-QC-10929 (AS10929)	4
GOOGLE	INCAPSULA (AS19551)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	1
delair.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
safenames.net	SECURITYSERVICES (AS12008)	1
awsdns-24.org	AMAZON-AES (AS14618)	1
hostway.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
aapconsulting.bb	DIGITALOCEAN-ASN (AS14061)	1
cloudflare.com	LEMON TELECOMMUNICATIONS LIMITED (AS132325)	3
Akamai International B.V.	DEERE (AS10846)	2
trippete.net	OVH SAS (AS16276)	1
siteprotect.com	HWSERVICES-32400 (AS32400)	1
DIGICERT	SQUARESPACE (AS53831)	1
telus.ca	TELUS Communications (AS852)	1
dynu.com	Cloudie Limited (AS55933)	1
cloudflare.com	DIGITALOCEAN-ASN (AS14061)	1
awsdns-27.com	AMAZON-02 (AS16509)	1
awsdns-07.net	AMAZON-AES (AS14618)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	2
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	1
brandshelter.com	AMAZON-02 (AS16509)	2
linode.com	Akamai Connected Cloud (AS63949)	1
cscudns.com	CSC (AS19574)	1
cloudflare.com	Palestine Telecommunications Company (PALTEL) (AS12975)	3
