CLOUDFLARENET	CLOUDFLARENET (AS13335)	463
com.bd	Telecom Operator & Internet Service Provider as well (AS17494)	210
webrserver.com	Enix Ltd (AS52148)	2
AMAZON-02	WHG Hosting Services Ltd (AS199404)	6
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	173
itoutsourcebd.com	UNIFIEDLAYER-AS-1 (AS46606)	1
CLOUDFLARENET	ColoCone (AS147303)	5
whitednsservice.com	FIBERSTATE (AS26042)	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
hostingbangladesh.com	Hetzner Online GmbH (AS24940)	29
careerjet.net	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	1
webhostbd.net	DLITS (AS151967)	6
exonhost.com	Purple IT Ltd (AS138358)	52
Tomattos Technologies Ltd.	Tomattos Technologies Ltd. (AS136246)	7
sika.com	CSC (AS19574)	1
bikiran.net	OVH SAS (AS16276)	2
NSONE	AMAZON-02 (AS16509)	17
CLOUDFLARENET	Hostinger International Limited (AS47583)	221
CLOUDFLARENET	INCAPSULA (AS19551)	6
PONYNET	Wildcard UK Limited (AS34119)	3
softnsolution.com	RAMNODE (AS3842)	1
mohasagordns.com	OVH SAS (AS16276)	3
servconfig.com	INMOTION (AS22611)	3
noc40.com	NewMedia Express Pte Ltd (AS38001)	3
hostseba.com	ColoCone (AS147303)	9
CLOUDFLARENET	IS-AS-1 (AS19318)	2
bdnameserver.com	Purple IT Ltd (AS138358)	2
rootserver.pw	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	2
bdgetshop.com	Contabo Asia Private Limited (AS141995)	1
drikict.net	Drik ICT Ltd (AS55828)	3
doofaz.com	NAMECHEAP-NET (AS22612)	1
AMAZON-02	WHG Hosting Services Ltd (AS204800)	20
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	9
dhakawebhost.com	Purple IT Ltd (AS138358)	3
EBN HOST LIMITED	EBN HOST LIMITED (AS133070)	36
CLOUDFLARENET	AMAZON-02 (AS16509)	40
AS-VULTR	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	5
my-control-panel.com	PONYNET (AS53667)	2
ithostbd.com	Tomattos Technologies Ltd. (AS136246)	4
site4now.net	SHARKTECH (AS46844)	4
com.bd	AS40676 (AS40676)	1
contabo.net	NL-811-40021 (AS40021)	1
GANDI SAS	GANDI SAS (AS29169)	13
registrar-servers.com	UAB Interneto vizija (AS212531)	1
whitecyber.net	OVH SAS (AS16276)	2
UNIFIEDLAYER-AS-1	Next Online Limited. (AS9441)	1
brotherhoodit.com	Mango Teleservices Limited ISP (AS132608)	1
CLOUDFLARENET	Contabo Asia Private Limited (AS141995)	5
rupshagraphics.com	ColoCone (AS147303)	1
lexsynergy.info	Akamai Connected Cloud (AS63949)	1
Host Europe GmbH	SQUARESPACE (AS53831)	1
CLOUDFLARENET	FIBERSTATE (AS26042)	1
CLOUDFLARENET	Little Boys. Net (AS140226)	1
amarserver.com	LIMESTONENETWORKS (AS46475)	2
CLOUDFLARENET	EARTH TELECOMMUNICATION Pvt LTD. (AS58715)	1
CLOUDFLARENET	HVC-AS (AS29802)	1
exonhost.com	EXONHOST (AS139016)	7
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	7
almadinapharma.com	RAMNODE (AS3842)	2
exonhost.com	GORILLASERVERS (AS53850)	11
greengeeks.net	SINGLEHOP-LLC (AS32475)	1
eassociatesbd.com	NAMECHEAP-NET (AS22612)	1
servercpanel.com	Ummah Host (AS153523)	4
itplanbd.xyz	360 Internet Inc (AS140068)	1
net.bd	RENDER (AS397273)	1
dhakawebhost.com	HVC-AS (AS29802)	3
hostexpert.biz	Invision IT (AS140244)	1
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	17
dhl.com	DHLNET (AS2571)	1
exonhost.com	IS-AS-1 (AS19318)	4
ethii.com	MAJESTIC-HOSTING-01 (AS396073)	2
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	5
exonhost.com	OVH SAS (AS16276)	3
i2hostingsolution.com	WHG Hosting Services Ltd (AS204800)	1
dimedns.com	AS40676 (AS40676)	1
snowyserver.com	RELIABLESITE (AS23470)	3
webrserver.com	GORILLASERVERS (AS53850)	7
CLOUDFLARENET	AS-COLOCROSSING (AS36352)	8
hashtagdevs.com	DIGITALOCEAN-ASN (AS14061)	1
awsdns-31.net	AMAZON-02 (AS16509)	1
SECURITYSERVICES	CSC (AS19574)	26
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	13
secureservercompany.com	Flarezen Ltd. (AS147181)	3
cloudns.io	Enix Ltd (AS52148)	1
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	10
hostever.us	RELIABLESITE (AS23470)	1
CLOUDFLARENET	Royal Green Communication Limited (AS38493)	3
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	47
registrar-servers.com	NAMECHEAP-NET (AS22612)	9
hostseba.com	DLITS (AS151967)	15
net.bd	Hostinger International Limited (AS47583)	3
dan.com	AMAZON-02 (AS16509)	4
CLOUDFLARENET	OVH SAS (AS16276)	10
core2cloudx.com	Wolast Technologies (AS150142)	2
ultradns.net	SECURITYSERVICES (AS12008)	1
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	4
CLOUDFLARENET	Tenbyte Limited (AS153610)	2
webdesigncompanybd.com	ColoCone (AS147303)	1
mywhiteserver.com	PhoenixNAP (AS59210)	3
rootcloudex.com	Wolast Technologies (AS150142)	1
enterclouds.com	NAMECHEAP-NET (AS22612)	1
dianadns.com	Diana Host Ltd (AS148993)	15
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	17
bdit.xyz	Hetzner Online GmbH (AS24940)	1
linode.com	Akamai Connected Cloud (AS63949)	4
unifiedit.cc	Unified Information Technology Limited (AS151422)	1
CLOUDFLARENET	Purple IT Ltd (AS138358)	5
corpinter.de	AMAZON-02 (AS16509)	2
CLOUDFLARENET	xTom Pty Ltd (AS8888)	1
hostns.io	Enix Ltd (AS52148)	2
xeonbd.com	Xeon (AS133938)	15
unknown	Optimus Technologies (AS141988)	1
SECURITYSERVICES	INCAPSULA (AS19551)	1
adnslhosting.com	DIGITALOCEAN-ASN (AS14061)	1
atom.com	AMAZON-AES (AS14618)	1
incomcloud.com	INCOMIT SOLUTION (AS137425)	2
rushdahost.com	Wolast Technologies (AS150142)	2
CLOUDFLARENET	Galaxy Net (AS139927)	1
nogorhost.com	ExtentIT Solution Limited (AS153528)	1
CLOUDFLARENET	Wolast Technologies (AS150142)	4
systechsolution.us	UNIFIEDLAYER-AS-1 (AS46606)	3
CLOUDFLARENET	Diana Host Ltd (AS148993)	2
cloudns.net	Flarezen Ltd. (AS147181)	1
whitecyber.net	Hetzner Online GmbH (AS24940)	1
spaceship.net	NAMECHEAP-NET (AS22612)	3
limda.net	Optimus Technologies (AS141988)	22
akaarserver.xyz	AMAZON-02 (AS16509)	1
markmonitor.com	UBIMET GmbH (AS209571)	1
CLOUDFLARENET	NOCIX (AS33387)	1
CLOUDFLARENET	Systems Solutions & development Technologies Limited (AS63526)	1
hostwev.com	Gotipath (AS138408)	2
markmonitor.com	AMAZON-02 (AS16509)	11
alwaysonbd.net	AlwaysOn Network Bangladesh Ltd (AS38744)	3
CLOUDFLARENET	Contabo GmbH (AS51167)	5
IS-AS-1	IS-AS-1 (AS19318)	11
srizonit.com	ExtentIT Solution Limited (AS153528)	1
fatfog.com	WHG Hosting Services Ltd (AS204800)	1
CLOUDFLARENET	A2HOSTING (AS55293)	3
doelhosting.com	HVC-AS (AS29802)	1
srsdns.com	JOYPUR COLO (AS151837)	2
CLOUDFLARENET	IOFLOOD (AS53755)	2
ihostman.com	OVH SAS (AS16276)	5
itsian.xyz	ColoCone (AS147303)	1
loyalcom.net	Hostinger International Limited (AS47583)	1
cloudns.net	CLOUDFLARENET (AS13335)	1
7uphost.com	OVH SAS (AS16276)	3
speedcloudssd.com	Hetzner Online GmbH (AS24940)	3
INMOTION	INMOTION (AS22611)	3
aitlbd.org	LIQUIDWEB (AS32244)	1
awsdns-01.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
sitechai.com	Hetzner Online GmbH (AS24940)	3
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	6
net.bd	Stargate Communications Ltd. (AS45905)	1
dhakawebhost.com	Hetzner Online GmbH (AS24940)	13
hstgr.cloud	AMAZON-02 (AS16509)	1
MICROSOFT-CORP-MSN-AS-BLOCK	UNIFIEDLAYER-AS-1 (AS46606)	1
awsdns-15.net	AMAZON-02 (AS16509)	1
sarkarhost.com	ColoCone (AS147303)	2
udag.de	united-domains GmbH (AS202108)	1
ahlamhosting.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
bddevs.com	FIBERSTATE (AS26042)	1
AMAZON-02	A2HOSTING (AS55293)	17
wixdns.net	Wix.com Ltd. (AS58182)	3
bbts.net	Broad Band Telecom Services Ltd (AS45326)	1
AmberIT Limited	AmberIT Limited (AS23956)	5
lutfulbari.com	Contabo GmbH (AS51167)	1
rongdhonuonline.com	Mohammad Kamrul Hasan ta SK Traders (AS136141)	1
hostap.cloud	360 Internet Inc (AS140068)	1
CLOUDFLARENET	Xeon (AS133938)	2
he.net	Ad-din Mother Care Limited (AS151488)	1
unknown	UNIFIEDLAYER-AS-1 (AS46606)	4
deshihosting.com	OVH SAS (AS16276)	1
pinamir.com	AMAZON-02 (AS16509)	1
optimax-bd.com	OptiMax Communication Ltd. (AS38031)	1
AMAZON-02	OVH SAS (AS16276)	1
cloudns.net	AMAZON-AES (AS14618)	1
nsresponse.com	AS-COLOCROSSING (AS36352)	1
hostever.com	MiM Digital Marketing Solution Ltd. (AS137410)	1
superglobalhost.com	A2HOSTING (AS55293)	1
clouds-network.net	Hexazn (AS152098)	3
srhostbd.org	Tomattos Technologies Ltd. (AS136246)	2
net.bd	OVH SAS (AS16276)	1
whitelabelhost.net	RELIABLESITE (AS23470)	2
dynu.com	WII (AS32097)	2
