rzone.de	Strato GmbH (AS6724)	7101
thednscompany.com	Previder B.V. (AS20847)	5
hostnet.nl	One.com A/S (AS51468)	10446
OVH SAS	OVH SAS (AS16276)	85906
register.be	Combell NV (AS34762)	5230
european-server.com	Combell NV (AS34762)	17986
CLOUDFLARENET	CLOUDFLARENET (AS13335)	23226
one.com	One.com A/S (AS51468)	37007
AMAZON-02	DIGITALOCEAN-ASN (AS14061)	12228
DIGITALOCEAN-ASN	Stichting DIGI NL (AS206281)	16138
AMAZON-02	Team Internet AG (AS61969)	1669
Host Europe GmbH	AMAZON-02 (AS16509)	20346
CLOUDFLARENET	Hostinger International Limited (AS47583)	6371
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	7684
OVH SAS	Proximus NV (AS5432)	241
PLANETHOSTER-8	PLANETHOSTER-8 (AS53589)	1370
Signet B.V.	Signet B.V. (AS20857)	18964
Scaleway S.a.s.	OVH SAS (AS16276)	126
european-server.com	AMAZON-02 (AS16509)	418
european-server.com	Cloudflare London, LLC (AS209242)	125
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	3788
CLOUDFLARENET	Global-e ICT solutions B.V. (AS39591)	16
GOOGLE	Wix.com Ltd. (AS58182)	12704
Hetzner Online GmbH	LeaseWeb Netherlands B.V. (AS60781)	16
one.com	GOOGLE-CLOUD-PLATFORM (AS396982)	300
jemasoft.be	Combell NV (AS34762)	5
BIT BV	CLDIN B.V. (AS48635)	2535
Cloud DNS Ltd	AS-VULTR (AS20473)	41
Akamai International B.V.	GANDI SAS (AS29169)	34
sedoparking.com	SEDO GmbH (AS47846)	3610
combell.net	Combell NV (AS34762)	40304
GANDI SAS	GANDI SAS (AS29169)	7361
CLDIN B.V.	Netrouting B.V. (AS6206)	1
IONOS SE	united-domains GmbH (AS202108)	3754
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	1034
NSONE	SOFTLAYER (AS36351)	130
myfasthosting.com	Hoasted B.V. (AS205876)	25
Host Europe GmbH	Cloudflare London, LLC (AS209242)	411
ns53.be	Devout BV (AS216471)	1686
DIGITALOCEAN-ASN	AMAZON-02 (AS16509)	1472
Signet B.V.	CLOUDFLARENET (AS13335)	577
O2switch SAS	O2switch SAS (AS50474)	2322
the-domains.website	AMAZON-02 (AS16509)	5528
OVH SAS	CLOUDFLARENET (AS13335)	720
hostedby.eu	Combell NV (AS34762)	79
nadns1.com	Nameshield SAS (AS20756)	89
dnssrv.nl	CLDIN B.V. (AS48635)	433
AMAZON-02	AMAZON-AES (AS14618)	201
Host Europe GmbH	Telenet BV (AS6848)	58
cloud86.nl	Duocast B.V. (AS31477)	1812
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	6387
easyhost.be	Combell NV (AS34762)	11404
