Telehouse EAD	Telehouse EAD (AS57344)	1236
NSONE	CLOUDFLARENET (AS13335)	5
netim.net	Eurofiber France SAS (AS24935)	255
SuperHosting.BG Ltd.	SuperHosting.BG Ltd. (AS49699)	1752
sk-hosting.net	Hetzner Online GmbH (AS24940)	3
CLOUDFLARENET	CLOUDFLARENET (AS13335)	5771
SECURITYSERVICES	CSC (AS19574)	381
Delta HighTech Ltd.	Delta HighTech Ltd. (AS8860)	2493
SuperHosting.BG Ltd.	Vivacom Bulgaria EAD (AS8866)	28
controlpanel.si	CLOUDFLARENET (AS13335)	2
SuperHosting.BG Ltd.	SuperHosting.BG Ltd. (AS201200)	17910
bgdns.net	Telepoint Ltd (AS31083)	1017
bgdns.net	A1 Bulgaria EAD (AS29580)	29
Cyber_Folks S.A.	Cyber_Folks S.A. (AS41079)	16
seliton.com	Hetzner Online GmbH (AS24940)	246
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	119
dedibox.fr	Scaleway S.a.s. (AS12876)	1
bgdns.net	Hetzner Online GmbH (AS24940)	144
AMAZON-02	Team Internet AG (AS61969)	457
grid-one.bg	M SAT Cable EAD (AS21230)	1
ICDSoft Ltd.	ICDSoft Ltd. (AS8739)	428
bgdns.net	Boriana-eood (AS197050)	1
GANDI SAS	GANDI SAS (AS29169)	155
AMAZON-02	GOOGLE (AS15169)	453
IONOS SE	united-domains GmbH (AS202108)	237
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	68
bgdns.net	Daticum AD (AS47748)	8
GOOGLE	Wix.com Ltd. (AS58182)	557
HURRICANE	Telepoint Ltd (AS31083)	8
CLOUDFLARENET	SuperHosting.BG Ltd. (AS201200)	232
i-Wet Ltd.	i-Wet Ltd. (AS29122)	13
sbs.bg	ICDSoft Ltd. (AS8739)	1
bgdns.net	SuperHosting.BG Ltd. (AS201200)	1928
msk.bg	A1 Bulgaria EAD (AS8717)	37
CLOUDFLARENET	Neterra Ltd. (AS34224)	58
forpsi.cz	INTERNET CZ, a.s. (AS24806)	4
Telepoint Ltd	Telepoint Ltd (AS31083)	539
a1.net	Telekom Austria (AS8447)	12
revolta.com	M SAT Cable EAD (AS21230)	1
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	172
Bulinfo Eood	Bulinfo Eood (AS12982)	9
OVH SAS	OVH SAS (AS16276)	257
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	148
AMAZON-02	OVH SAS (AS16276)	100
bgdns.net	AMAZON-AES (AS14618)	143
markum.net	Netfactor Telekominikasyon ve Teknoloji Hizmetleri San. ve Tic. A.S. (AS56582)	3
sitedns.net	GOOGLE-CLOUD-PLATFORM (AS396982)	274
CLOUDFLARENET	AMAZON-AES (AS14618)	16
linode.com	Contabo GmbH (AS51167)	2
parkovka.ua	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	TURKTICARET.NET YAZILIM HIZMETLERI SAN. ve TIC. A.S. (AS197720)	1
bulgartel.bg	SuperHosting.BG Ltd. (AS201200)	1
Cyber_Folks S.A.	Hetzner Online GmbH (AS24940)	1
Cloud DNS Ltd	SuperHosting.BG Ltd. (AS49699)	5
combell.net	Combell NV (AS34762)	39
CLOUDFLARENET	INCAPSULA (AS19551)	64
vipbrother.bg	Neterra Ltd. (AS34224)	1
insystem.it	Hetzner Online GmbH (AS24940)	1
ipcom GmbH	AMAZON-02 (AS16509)	99
coolicehost.com	Petar Petrov (AS202634)	232
CLOUDFLARENET	Miss Hosting AB (AS200719)	85
Neterra Ltd.	Neterra Ltd. (AS34224)	208
perf1.com	Nameshield SAS (AS20756)	32
HURRICANE	Vivacom Bulgaria EAD (AS8866)	6
lirex.net	Evolink AD (AS8262)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	406
cloudns.net	Hetzner Online GmbH (AS24940)	27
NSONE	AMAZON-02 (AS16509)	167
perf1.com	GTS Telecom SRL (AS5606)	1
domeny.tv	Dataspace P.s.a. (AS50599)	81
BIX.BG Ltd.	Jobs.bg Ltd (AS49737)	17
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	12
CLOUDFLARENET	netcup GmbH (AS197540)	32
irisvisia.com	SuperHosting.BG Ltd. (AS49699)	2
ports.se	Telia Company AB (AS3301)	1
e-space.bg	Daticum AD (AS47748)	15
AMAZON-02	SINGLEHOP-LLC (AS32475)	2
CLOUDFLARENET	AMAZON-02 (AS16509)	341
xgoth.com	TBISS Ltd. (AS42295)	21
savana.cz	Webglobe, s.r.o. (AS29134)	4
markmonitor.com	AMAZON-02 (AS16509)	220
webglobe.sk	Hetzner Online GmbH (AS24940)	1
bgdns.net	BiConsult Eood (AS42431)	1
Global One Ltd.	Global One Ltd. (AS35489)	49
CLOUDFLARENET	Telehouse EAD (AS57344)	46
neoserv.si	Optimus IT d.o.o. (AS48894)	8
Delta HighTech Ltd.	AMAZON-02 (AS16509)	9
alarm.bg	Hetzner Online GmbH (AS24940)	1
bgdns.net	CLOUDFLARENET (AS13335)	572
Hosting-27 LTD	Hosting-27 LTD (AS42347)	13
MICROSOFT-CORP-MSN-AS-BLOCK	SuperHosting.BG Ltd. (AS201200)	39
wy.sk	VSHosting s.r.o. (AS43541)	1
bambo.bg	UltraNET Ltd (AS39184)	1
brocloud.de	Contabo GmbH (AS51167)	1
Belcloud LTD	Belcloud LTD (AS44901)	12
ip-plus.net	dogado GmbH (AS47215)	1
bgdns.net	Vivacom Bulgaria EAD (AS8866)	142
CLOUDFLARENET	Scaleway S.a.s. (AS12876)	5
canmakeit.eu	Telehouse EAD (AS57344)	2
CLOUDFLARENET	Delta HighTech Ltd. (AS8860)	103
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	67
cloudns.net	HVC-AS (AS29802)	1
ports.se	Tele2 SWIPnet (AS1257)	21
SuperHosting.BG Ltd.	SQUARESPACE (AS53831)	19
awsdns-27.org	AMAZON-02 (AS16509)	1
IONOS SE	Redcentric Solutions Ltd (AS31463)	1
Host Europe GmbH	AMAZON-02 (AS16509)	95
Seonet Multimedia s.r.o.	Seonet Multimedia s.r.o. (AS59925)	29
CLOUDFLARENET	velia.net Internetdienste GmbH (AS29066)	8
msk.bg	Evolink AD (AS8262)	11
is-fun.net	TelemaxX Telekommunikation GmbH (AS12843)	24
Vivacom Bulgaria EAD	Vivacom Bulgaria EAD (AS8866)	158
cloudns.net	velia.net Internetdienste GmbH (AS29066)	4
SECURITYSERVICES	Key-Systems GmbH (AS196763)	1
awsdns-16.net	AMAZON-02 (AS16509)	2
exohosting.cz	VNET a.s. (AS29405)	1
bgdns.net	NETH LLC (AS202302)	1
CLOUDFLARENET	OVH SAS (AS16276)	31
GANDI SAS	OVH SAS (AS16276)	5
isp.bg	Hashlink EOOD (AS203917)	3
lh.pl	LH.pl Sp. z o.o. (AS203417)	3
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	41
Delta HighTech Ltd.	Wix.com Ltd. (AS58182)	1
zoneedit.com	Neterra Ltd. (AS34224)	1
bgdns.net	GOOGLE (AS15169)	34
active24.cz	ACTIVE 24, s.r.o. (AS25234)	16
bgdns.net	BGLAN LTD (AS41782)	2
bgdns.net	GOOGLE-CLOUD-PLATFORM (AS396982)	56
CLOUDFLARENET	Vivacom Bulgaria EAD (AS8866)	30
CLOUDFLARENET	A1 Bulgaria EAD (AS8717)	24
IONOS SE	Varna Net Ltd. (AS20665)	1
SuperHosting.BG Ltd.	AMAZON-AES (AS14618)	32
CLOUDFLARENET	DA International Group Ltd. (AS203380)	6
CLOUDFLARENET	Net Service BG Ltd (AS60168)	10
bdata.at	kabelplus GmbH (AS8339)	1
SuperHosting.BG Ltd.	AMAZON-02 (AS16509)	92
ByteOpt SLLC	ByteOpt SLLC (AS210746)	39
hosthouse.gr	Hetzner Online GmbH (AS24940)	1
ASP Ltd	ASP Ltd (AS35480)	27
Akamai Connected Cloud	Akamai Connected Cloud (AS63949)	34
bgdns.net	AMAZON-02 (AS16509)	219
Zulu Ltd.	Zulu Ltd. (AS31298)	13
NUCDN	Datacenter Luxembourg S.A. (AS24611)	132
bgwebdesign.info	Contabo GmbH (AS51167)	2
bgdns.net	Tilda Publishing Ltd. (AS205282)	24
CLOUDFLARENET	AS-VULTR (AS20473)	13
alidns.com	Alibaba US Technology Co., Ltd. (AS45102)	2
sts.bg	STS Invest Holding AD (AS25224)	5
OVH SAS	CLOUDFLARENET (AS13335)	65
novagraaf-dns.com	Unics EOOD (AS13306)	1
server321.com	ICDSoft Ltd. (AS8739)	1
webglobe.cz	ACTIVE 24, s.r.o. (AS25234)	2
nameshield.net	AMAZON-02 (AS16509)	1
IONOS SE	Hetzner Online GmbH (AS24940)	13
bgdns.net	Unics EOOD (AS13306)	2
IONOS SE	DIGITALOCEAN-ASN (AS14061)	1
