markmonitor.com	AMAZON-02 (AS16509)	49
servconfig.com	INMOTION (AS22611)	13
mediabox.bi	Contabo GmbH (AS51167)	1
SECURITYSERVICES	CSC (AS19574)	44
registrar-servers.com	NAMECHEAP-NET (AS22612)	1
intellyhosting.be	Vodafone Libertel B.V. (AS33915)	4
francedns.com	AMAZON-02 (AS16509)	3
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	43
cloudns.net	Team Internet AG (AS61969)	2
CLOUDFLARENET	Tencent Building, Kejizhongyi Avenue (AS132203)	5
ericsson.se	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
Host Europe GmbH	AMAZON-02 (AS16509)	80
Contabo GmbH	Contabo GmbH (AS51167)	227
CLOUDFLARENET	CLOUDFLARENET (AS13335)	164
awsdns-02.net	Internet Initiative Japan Inc. (AS2497)	1
NSONE	GOOGLE (AS15169)	2
netforafrica.net	LIQUIDNETLTD1 (AS14555)	9
netim.net	Eurofiber France SAS (AS35625)	1
francedns.com	Eurofiber France SAS (AS24935)	13
CLOUDFLARENET	AMAZON-02 (AS16509)	175
Rackspace Ltd.	Akamai Connected Cloud (AS63949)	7
Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH (AS28753)	6
netim.net	Eurofiber France SAS (AS24935)	42
emirates.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
eurodns.com	Koninklijke Luchtvaart Maatschappij N.V. (AS28806)	1
pamusab.bi	Contabo GmbH (AS51167)	1
NSONE	AMAZON-02 (AS16509)	9
istanco.com	AMAZON-02 (AS16509)	1
SEDO GmbH	SEDO GmbH (AS47846)	11
wixdns.net	Wix.com Ltd. (AS58182)	4
awsdns-18.com	SQUARESPACE (AS53831)	1
combell.net	Combell NV (AS34762)	6
ipcom GmbH	AMAZON-02 (AS16509)	14
xundns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
AMAZON-AES	AMAZON-AES (AS14618)	24
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	3
q-ns.de	Q-MEX Networks GmbH (AS211664)	1
nameshield.net	Nameshield SAS (AS20756)	12
CLOUDFLARENET	AS-VULTR (AS20473)	10
GANDI SAS	GANDI SAS (AS29169)	21
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	13
OVH SAS	truehostcloud (AS329278)	5
