ns0.com	PAIR-NETWORKS (AS7859)	6
markmonitor.zone	AMAZON-02 (AS16509)	9
CLOUDFLARENET	CLOUDFLARENET (AS13335)	123
Host Europe GmbH	AMAZON-AES (AS14618)	3
CLOUDFLARENET	AMAZON-02 (AS16509)	179
CLOUDFLARENET	SQUARESPACE (AS53831)	49
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	3
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	8
CLOUDFLARENET	SCALEMATRIX (AS33695)	146
MICROSOFT-CORP-MSN-AS-BLOCK	SQUARESPACE (AS53831)	6
GOOGLE	Wix.com Ltd. (AS58182)	76
CLOUDFLARENET	GO-DADDY-COM-LLC (AS400754)	5
DIGICERT	IWEB-AS (AS32613)	18
CLOUDFLARENET	AMAZON-AES (AS14618)	7
SECURITYSERVICES	CSC (AS19574)	60
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	60
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	28
lnhi.net	Cloudflare London, LLC (AS209242)	1
MICROSOFT-CORP-MSN-AS-BLOCK	NEXCESS-NET (AS36444)	20
wiredtree.com	LIQUIDWEB (AS32244)	2
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	8
GANDI SAS	GANDI SAS (AS29169)	6
OMNIS-ANYCAST-1	OMNIS (AS19237)	8
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	23
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	6
CLOUDFLARENET	Hostinger International Limited (AS47583)	20
markmonitor.zone	EDNS (AS16686)	3
dnsimple.com	CLOUDFLARENET (AS13335)	1
Host Europe GmbH	CLOUDFLARENET (AS13335)	7
Cloud DNS Ltd	LIQUIDWEB (AS32244)	3
clubexpress.com	AMAZON-AES (AS14618)	2
safenames.com	PLAYIT-GG (AS400519)	1
LIQUIDWEB	LIQUIDWEB (AS32244)	33
AUTOMATTIC	AUTOMATTIC (AS2635)	6
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	42
awsdns-34.net	AMAZON-02 (AS16509)	1
CLOUDFLARENET	1P-WSS (AS395532)	5
opalstack.com	LEASEWEB-USA-DAL (AS394380)	2
mono.net	mono solutions ApS (AS201595)	2
EDNS	UNIFIEDLAYER-AS-1 (AS46606)	2
Host Europe GmbH	LOGIC-3855 (AS3855)	4
hostway.net	SQUARESPACE (AS53831)	2
blacknightdns.com	AMAZON-02 (AS16509)	1
name-services.com	UNIFIEDLAYER-AS-1 (AS46606)	2
Host Europe GmbH	Cloudflare London, LLC (AS209242)	14
LIQUIDWEB	CLOUDFLARENET (AS13335)	1
DIGICERT	DIGICERT (AS16552)	13
SECURITYSERVICES	LOGIC-3855 (AS3855)	2
CLOUDFLARENET	DREAMHOST-AS (AS26347)	8
dnsimple.com	Hyve Ltd (AS204413)	3
CLOUDFLARENET	GO-DADDY-COM-LLC (AS398101)	21
DIGICERT	INMOTION (AS22611)	2
NSONE	AMAZON-02 (AS16509)	6
SOFTLAYER	SOFTLAYER (AS36351)	2
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	32
LOGIC-3855	LOGIC-3855 (AS3855)	6
SOFTLAYER	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
CLOUDFLARENET	LIQUIDWEB (AS32244)	7
LOGIC-3855	Cloudflare London, LLC (AS209242)	1
CLOUDFLARENET	GO-DADDY-COM-LLC (AS398787)	3
VITAL-DNS	TELEBERMUDA (AS16413)	3
CLOUDFLARENET	AS40028 (AS40028)	2
inmotionhosting.com	IMH-IAD (AS54641)	6
unifiedns.com	HVC-AS (AS29802)	4
CLOUDFLARENET	TIER-NET (AS397423)	6
markmonitor.zone	Cloudflare London, LLC (AS209242)	3
empire-technology.net	EMPIRE (AS54839)	1
DIGICERT	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
CLOUDFLARENET	AS-INTERMEDIA (AS16406)	1
GO-DADDY-COM-LLC	SQUARESPACE (AS53831)	1
awsdns-16.org	AMAZON-02 (AS16509)	1
TRANSACT-BM-ASN	TRANSACT-BM-ASN (AS32020)	2
inmotionhosting.com	INMOTION (AS22611)	2
Akamai Connected Cloud	Akamai Connected Cloud (AS63949)	8
Host Europe GmbH	AUTOMATTIC (AS2635)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Cloudflare London, LLC (AS209242)	3
awsdns-02.net	AMAZON-AES (AS14618)	1
NEXCESS-NET	NEXCESS-NET (AS36444)	2
TRANSACT-BM-ASN	SUCURI-SEC (AS30148)	1
tribe.bm	Net for Choice (AS134286)	1
awsdns-08.net	AMAZON-02 (AS16509)	1
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
AMAZON-02	A2HOSTING (AS55293)	5
DIGICERT	GOOGLE-CLOUD-PLATFORM (AS396982)	5
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	10
markmonitor.com	AMAZON-02 (AS16509)	11
CLOUDFLARENET	Net for Choice (AS134286)	4
CLOUDFLARENET	Wix.com Ltd. (AS58182)	6
BIZLAND-SD	BIZLAND-SD (AS29873)	6
EDNS	EDNS (AS16686)	10
awsdns-05.org	AMAZON-AES (AS14618)	1
CLOUDFLARENET	Krystal Hosting Ltd (AS12488)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	27
VITAL-DNS	GOOGLE-CLOUD-PLATFORM (AS396982)	5
LOGIC-3855	Akamai Connected Cloud (AS63949)	2
1P-WSS	INFB2-AS (AS30447)	1
credit-suisse.com	UBS Group AG (AS8729)	4
CLOUDFLARENET	NEXCESS-NET (AS36444)	23
awsdns-02.org	AMAZON-02 (AS16509)	1
interserver.net	IS-AS-1 (AS19318)	1
LINKBERMUDA	1P-WSS (AS395532)	6
Host Europe GmbH	AMAZON-02 (AS16509)	19
Host Europe GmbH	A2HOSTING (AS55293)	2
LINKBERMUDA	GOOGLE-CLOUD-PLATFORM (AS396982)	2
LOGIC-3855	GOOGLE-CLOUD-PLATFORM (AS396982)	4
CLOUDFLARENET	Host Europe GmbH (AS21499)	3
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	12
AMAZON-02	GOOGLE (AS15169)	16
MICROSOFT-CORP-MSN-AS-BLOCK	BIZLAND-SD (AS29873)	1
awsdns-20.org	AMAZON-02 (AS16509)	1
oneworldhosting.com	LIQUIDWEB (AS32244)	2
gov.bm	AMAZON-02 (AS16509)	1
CLOUDFLARENET	AS-26496-GO-DADDY-COM-LLC (AS26496)	1
uu.net	WUCHICAGO (AS16744)	1
1P-WSS	1P-WSS (AS395532)	12
1P-WSS	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Cloud DNS Ltd	INMOTION (AS22611)	5
hostgator.com	SQUARESPACE (AS53831)	7
SECURITYSERVICES	SECURITYSERVICES (AS12008)	5
CLOUDFLARENET	EVC-AS (AS19626)	7
CLOUDFLARENET	WEEBLY (AS27647)	2
awsdns-04.net	AMAZON-02 (AS16509)	1
CLOUDFLARENET	Contabo GmbH (AS51167)	1
SECURITYSERVICES	AMAZON-02 (AS16509)	4
Host Europe GmbH	NEXCESS-NET (AS36444)	3
stabletransit.com	LIQUIDWEB (AS32244)	3
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	5
MICROSOFT-CORP-MSN-AS-BLOCK	SCALEMATRIX (AS33695)	7
CLOUDFLARENET	Akamai Connected Cloud (AS63949)	4
LOGIC-3855	AMAZON-02 (AS16509)	1
VITAL-DNS	LOGIC-3855 (AS3855)	2
nameshield.net	Nameshield SAS (AS20756)	1
phase8.net	Team Blue Internet Services Uk Limited (AS8622)	1
yourhostingaccount.com	BIZLAND-SD (AS29873)	1
ui-dns.biz	SQUARESPACE (AS53831)	1
CLOUDFLARENET	OVH SAS (AS16276)	8
co.uk	ServerHouse Ltd (AS21472)	1
theplanet.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	9
LOGIC-3855	INMOTION (AS22611)	3
MICROSOFT-CORP-MSN-AS-BLOCK	LOGIC-3855 (AS3855)	4
oxygen.bm	GOOGLE-CLOUD-PLATFORM (AS396982)	2
OMNIS-ANYCAST-1	mono solutions ApS (AS201595)	1
infomaniak.ch	Infomaniak Network SA (AS29222)	2
VITAL-DNS	CLOUDFLARENET (AS13335)	1
BIZLAND-SD	SQUARESPACE (AS53831)	2
CLOUDFLARENET	AS-VULTR (AS20473)	5
SOFTLAYER	LIQUIDWEB (AS32244)	2
LOGIC-3855	FASTLY (AS54113)	2
LOGIC-3855	LINKBERMUDA (AS11269)	1
SECURITYSERVICES	CW Vodafone Group PLC (AS1273)	1
taj.bm	Net for Choice (AS134286)	1
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	6
SOFTLAYER	Zen Internet Ltd (AS13037)	1
Akamai Connected Cloud	mono solutions ApS (AS201595)	6
DIGICERT	INCAPSULA (AS19551)	1
DIGICERT	LIQUIDWEB (AS32244)	2
LOGIC-3855	Infomaniak Network SA (AS29222)	1
SOFTLAYER	SQUARESPACE (AS53831)	1
TRANSACT-BM-ASN	NEXCESS-NET (AS36444)	1
CLOUDFLARENET	TELEBERMUDA (AS16413)	1
DIGICERT	A2HOSTING (AS55293)	4
CLOUDFLARENET	mono solutions ApS (AS201595)	8
MICROSOFT-CORP-MSN-AS-BLOCK	GOOGLE-CLOUD-PLATFORM (AS396982)	6
Cloud DNS Ltd	NForce Entertainment B.V. (AS43350)	3
MICROSOFT-CORP-MSN-AS-BLOCK	LIQUIDWEB (AS32244)	1
hostgator.com	AMAZON-02 (AS16509)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Wix.com Ltd. (AS58182)	4
CLOUDFLARENET	TRANSACT-BM-ASN (AS32020)	1
GO-DADDY-COM-LLC	GO-DADDY-COM-LLC (AS398101)	11
VITAL-DNS	AMAZON-AES (AS14618)	7
GO-DADDY-COM-LLC	GO-DADDY-COM-LLC (AS400754)	1
SOFTLAYER	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	1
pointhq.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	Vautron Rechenzentrum AG (AS25504)	1
credit-suisse.com	Credit Suisse Group (AS3083)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Akamai Connected Cloud (AS63949)	12
teamunify.net	AMAZON-02 (AS16509)	1
penguin-uk.net	SysGroup plc (AS39537)	2
newtekdns.com	CRYSTALTECH (AS14992)	2
LOGIC-3855	BrainStorm Network, Inc (AS136258)	1
co.uk	Cloudflare London, LLC (AS209242)	2
DIGICERT	Wix.com Ltd. (AS58182)	4
runbox.net	NTHL (AS11042)	2
LINKBERMUDA	LIQUIDWEB (AS32244)	2
clara.net	Claranet Limited (AS8426)	1
CLOUDFLARENET	CARINET (AS10439)	1
Host Europe GmbH	Awareness Software Limited (AS34931)	1
inmotionhosting.com	CLOUDFLARENET (AS13335)	1
co.uk	Zen Internet Ltd (AS13037)	1
NSONE	GOOGLE (AS15169)	2
NTHL	LIQUIDWEB (AS32244)	1
twoandquarter.bm	SQUARESPACE (AS53831)	1
SOFTLAYER	GOOGLE-CLOUD-PLATFORM (AS396982)	1
topfloormarketing.net	PRIVATESYSTEMS (AS63410)	1
VITAL-DNS	Wix.com Ltd. (AS58182)	1
Host Europe GmbH	SQUARESPACE (AS53831)	4
Host Europe GmbH	Host Europe GmbH (AS21501)	1
LOGIC-3855	SUCURI-SEC (AS30148)	1
wix.com	Wix.com Ltd. (AS58182)	2
foodhub.bm	Net for Choice (AS134286)	1
DIGICERT	SQUARESPACE (AS53831)	3
DIGICERT	Hostinger International Limited (AS47583)	2
Akamai International B.V.	AKAMAI-AS (AS16625)	2
EDNS	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
Cloud DNS Ltd	AMAZON-AES (AS14618)	4
SECURITYSERVICES	Hiscox Underwriting Group Services Ltd (AS50202)	1
Cloud DNS Ltd	GO-DADDY-COM-LLC (AS398787)	2
DIGICERT	NEXCESS-NET (AS36444)	4
co.uk	GOOGLE-CLOUD-PLATFORM (AS396982)	1
ORACLE-BMC-31898	AMAZON-02 (AS16509)	1
iptwins.com	OVH SAS (AS16276)	4
MICROSOFT-CORP-MSN-AS-BLOCK	UNIFIEDLAYER-AS-1 (AS46606)	2
CLOUDFLARENET	Awareness Software Limited (AS34931)	1
LOGIC-3855	PRETECS (AS39962)	1
TRANSACT-BM-ASN	UNIFIEDLAYER-AS-1 (AS46606)	3
name-services.com	RACKSPACE (AS27357)	4
SOFTLAYER	CRYSTALTECH (AS14992)	2
CLOUDFLARENET	METANET AG (AS21069)	1
ultradns.biz	SECURITYSERVICES (AS12008)	1
Host Europe GmbH	UNIFIEDLAYER-AS-1 (AS46606)	1
Globalconnect As	AMAZON-02 (AS16509)	3
oxygen.bm	Hetzner Online GmbH (AS24940)	2
VITAL-DNS	NOIP-VITAL (AS14627)	2
Host Europe GmbH	ORACLE-BMC-31898 (AS31898)	1
awsdns-41.net	AMAZON-02 (AS16509)	1
CLOUDFLARENET	DIMENOC (AS33182)	1
VITAL-DNS	GOOGLE (AS15169)	2
turbify.com	AMAZON-AES (AS14618)	3
SOFTLAYER	DIMENOC (AS33182)	1
ipower.com	BIZLAND-SD (AS29873)	2
CLOUDFLARENET	IDIGITAL (AS54643)	9
openhostingservice.com	AUTOMATTIC (AS2635)	1
VITAL-DNS	TRANSACT-BM-ASN (AS32020)	3
namecheaphosting.com	NAMECHEAP-NET (AS22612)	3
DIGICERT	GO-DADDY-COM-LLC (AS398787)	1
excedonet.net	AMAZON-02 (AS16509)	1
rightsdns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
MICROSOFT-CORP-MSN-AS-BLOCK	mono solutions ApS (AS201595)	1
dizinc.com	DIMENOC (AS33182)	2
CLOUDFLARENET	GOOGLE (AS15169)	6
theplanet.com	SQUARESPACE (AS53831)	1
TELEBERMUDA	IDIGITAL (AS54643)	2
DIGICERT	Cloudflare London, LLC (AS209242)	4
websitewelcome.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	3
CLOUDFLARENET	COGENT-174 (AS174)	1
privatewdns.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
VITAL-DNS	EDNS (AS16686)	1
CLOUDFLARENET	AFFINITY-INTER (AS18447)	3
DIGICERT	mono solutions ApS (AS201595)	1
Host Europe GmbH	Hostinger International Limited (AS47583)	2
Akamai International B.V.	INCAPSULA (AS19551)	1
ktechsystems.bm	1P-WSS (AS395532)	1
co.uk	IONOS SE (AS8560)	1
DIGICERT	AMAZON-AES (AS14618)	1
NEXCESS-NET	LIQUIDWEB (AS32244)	1
markmonitor.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
stormweb.net	STORMWEB (AS14807)	1
MICROSOFT-CORP-MSN-AS-BLOCK	CLOUDFLARENET (AS13335)	2
hotstuff.bm	1P-WSS (AS395532)	1
nikoniqdesigns.com	GO-DADDY-COM-LLC (AS398101)	1
CLOUDFLARENET	IMH-IAD (AS54641)	2
Host Europe GmbH	SUCURI-SEC (AS30148)	3
EDNS	SQUARESPACE (AS53831)	1
1P-WSS	Host Europe GmbH (AS21499)	1
CLOUDFLARENET	A2HOSTING (AS55293)	2
dns-h.com	xneelo (AS37153)	1
oxygen.bm	LIQUIDWEB (AS32244)	2
NTHL	CLOUDFLARENET (AS13335)	1
soundsoftware.ca	GOOGLE (AS15169)	3
VITAL-DNS	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
awsdns-06.org	AMAZON-02 (AS16509)	1
LOGIC-3855	SQUARESPACE (AS53831)	1
LOGIC-3855	FIREMINDS-BERMUDA (AS394478)	1
EDNS	DIGITALOCEAN-ASN (AS14061)	1
EDNS	BIZLAND-SD (AS29873)	1
VITAL-DNS	mono solutions ApS (AS201595)	3
VITAL-DNS	Akamai Connected Cloud (AS63949)	1
Globalconnect As	Globalconnect As (AS2116)	1
membersfirstdns.net	CLOUDFLARENET (AS13335)	2
GOOGLE	LIQUIDWEB (AS32244)	1
DIGICERT	GOOGLE (AS15169)	3
hostgator.com	DIGITALOCEAN-ASN (AS14061)	1
qvs.bm	EVC-AS (AS19626)	2
hostpapa.com	ONIAAS (AS40092)	1
GOOGLE	SQUARESPACE (AS53831)	1
rebelchicken.bm	Net for Choice (AS134286)	1
startlogic.com	CLOUDFLARENET (AS13335)	1
registrar-servers.com	NAMECHEAP-NET (AS22612)	1
NTHL	AUTOMATTIC (AS2635)	1
oraclecloud.net	COGECO-PEER1 (AS13768)	1
34sp.com	34SP.com Limited (AS41357)	1
rochenhost.com	GO-DADDY-COM-LLC (AS400754)	1
Host Europe GmbH	GOOGLE (AS15169)	1
Cloud DNS Ltd	AMAZON-02 (AS16509)	1
idp365.net	Safenames Ltd. (AS60819)	1
DIGICERT	CLOUDFLARENET (AS13335)	2
LINKBERMUDA	mono solutions ApS (AS201595)	1
EDNS	NEXCESS-NET (AS36444)	1
BIZLAND-SD	AMAZON-02 (AS16509)	1
vultr.com	Akamai Connected Cloud (AS63949)	1
ipage.com	BIZLAND-SD (AS29873)	2
newtekwebhosting.com	CRYSTALTECH (AS14992)	1
mysecurecloudhost.com	WHG Hosting Services Ltd (AS14670)	1
CLOUDFLARENET	AUTOMATTIC (AS2635)	1
SOFTLAYER	WEEBLY (AS27647)	1
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	1
LIQUIDWEB	GOOGLE-CLOUD-PLATFORM (AS396982)	1
awsdns-01.net	AMAZON-02 (AS16509)	2
Host Europe GmbH	DIGITALOCEAN-ASN (AS14061)	1
Host Europe GmbH	LIQUIDWEB (AS32244)	1
CLOUDFLARENET	LOGIC-3855 (AS3855)	1
LOGIC-3855	GO-DADDY-COM-LLC (AS398787)	1
Cloud DNS Ltd	AS-26496-GO-DADDY-COM-LLC (AS26496)	1
awsdns-37.org	SQUARESPACE (AS53831)	1
Host Europe GmbH	Wix.com Ltd. (AS58182)	1
awsdns-01.org	AMAZON-02 (AS16509)	1
awsdns-13.net	AMAZON-02 (AS16509)	1
LOGIC-3855	OVH SAS (AS16276)	2
teliadns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
safenames.com	Safenames Ltd. (AS60819)	2
blacksun.ca	VDC (AS55017)	1
LINKBERMUDA	EASTLINK-HSI (AS11260)	1
co.uk	AMAZON-02 (AS16509)	1
DIGICERT	IMH-IAD (AS54641)	1
LOGIC-3855	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
LINKBERMUDA	LINKBERMUDA (AS11269)	1
DIGICERT	EVC-AS (AS19626)	2
globalpay.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
CLOUDFLARENET	FIBRENOIRE-INTERNET (AS22652)	1
webhost4life.com	BIZLAND-SD (AS29873)	1
DIGICERT	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
getspace.us	OVH SAS (AS16276)	1
hostgator.com	AS-VULTR (AS20473)	1
DIGICERT	AUTOMATTIC (AS2635)	1
name.com	CLOUDFLARENET (AS13335)	1
bluecatdns.com	AMAZON-AES (AS14618)	1
at-n.com	Node4 Limited (AS31727)	1
co.uk	Hetzner Online GmbH (AS24940)	1
DIGICERT	DIGITALOCEAN-ASN (AS14061)	2
Akamai International B.V.	IWEB-AS (AS32613)	1
LOGIC-3855	mono solutions ApS (AS201595)	1
DIGICERT	GO-DADDY-COM-LLC (AS400754)	2
DIGICERT	AMAZON-02 (AS16509)	1
Host Europe GmbH	SINGLEHOP-LLC (AS32475)	1
awsdns-01.net	CLOUDFLARENET (AS13335)	1
MICROSOFT-CORP-MSN-AS-BLOCK	FASTLY (AS54113)	1
NTHL	AMAZON-02 (AS16509)	1
LINKBERMUDA	SQUARESPACE (AS53831)	2
MICROSOFT-CORP-MSN-AS-BLOCK	GO-DADDY-COM-LLC (AS398101)	1
DIGICERT	Akamai Connected Cloud (AS63949)	1
DIGICERT	GO-DADDY-COM-LLC (AS398101)	1
LINKBERMUDA	AS-26496-GO-DADDY-COM-LLC (AS26496)	1
EDNS	Amarutu Technology Ltd (AS206264)	2
EDNS	LOGIC-3855 (AS3855)	1
stabletransit.com	AS-VULTR (AS20473)	1
DIGICERT	WEEBLY (AS27647)	1
VITAL-DNS	GO-DADDY-COM-LLC (AS398101)	3
awsdns-22.org	AMAZON-02 (AS16509)	1
GO-DADDY-COM-LLC	AS-30083-US-VELIA-NET (AS30083)	1
LINKBERMUDA	OVH SAS (AS16276)	1
stabletransit.com	SQUARESPACE (AS53831)	1
awsdns-11.com	RMH-14 (AS33070)	1
DIGICERT	TRANSACT-BM-ASN (AS32020)	3
LOGIC-3855	CLOUDFLARENET (AS13335)	1
axs2000.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
LINKBERMUDA	AMAZON-02 (AS16509)	1
AUTOMATTIC	xneelo (AS37153)	1
awsdns-10.org	RACKSPACE (AS19994)	1
CLOUDFLARENET	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	1
LOGIC-3855	COGECO-PEER1 (AS13768)	2
dyn.com	AMAZON-02 (AS16509)	1
awsdns-14.net	AMAZON-02 (AS16509)	1
LOGIC-3855	LIQUIDWEB (AS32244)	1
MICROSOFT-CORP-MSN-AS-BLOCK	GO-DADDY-COM-LLC (AS398787)	2
DIGICERT	Vorboss Limited (AS25160)	1
TRANSACT-BM-ASN	AMAZON-AES (AS14618)	1
awsdns-45.net	AMAZON-02 (AS16509)	1
