kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	3
Hostpoint AG	Hostpoint AG (AS29097)	5
register.it	Register S.p.A. (AS39729)	3
cloudns.net	SBA-EDGE-JAX (AS19844)	1
SECURITYSERVICES	CSC (AS19574)	135
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	9
co.uk	Lloyds Banking Group PLC (AS8435)	3
CLOUDFLARENET	AMAZON-02 (AS16509)	62
dotnice.asia	AMAZON-02 (AS16509)	1
co.uk	AMAZON-AES (AS14618)	10
Safenames Ltd.	Safenames Ltd. (AS60819)	47
SECURITYSERVICES	AMAZON-AES (AS14618)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	6
amigokit.com	UNINET (AS8151)	3
lnhi.net	LNH-INC (AS20021)	1
SECURITYSERVICES	COGECO-PEER1 (AS13768)	5
CLOUDFLARENET	INCAPSULA (AS19551)	14
AMAZON-02	GO-DADDY-COM-LLC (AS398101)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	38
markmonitor.com	AMAZON-02 (AS16509)	62
AMAZON-02	OVH SAS (AS16276)	34
Host Europe GmbH	AMAZON-02 (AS16509)	17
CLOUDFLARENET	WHIRLPOOL-ASN (AS11757)	2
safebrands.com	AMAZON-02 (AS16509)	1
Akamai International B.V.	AKAMAI-AS (AS16625)	1
CLOUDFLARENET	LUMOS (AS7795)	2
NUCDN	Team Internet AG (AS61969)	11
microsoftonline.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
supremedns.com	LIQUIDNETLTD1 (AS14555)	4
CLOUDFLARENET	IONOS SE (AS8560)	5
Akamai International B.V.	Marubeni OKI Network Solutions Inc. (AS4677)	1
gov.bs	BATELNET (AS8014)	2
wixdns.net	Wix.com Ltd. (AS58182)	4
Safenames Ltd.	PLAYIT-GG (AS400519)	1
Host Europe GmbH	Host Europe GmbH (AS21499)	2
emirates.com	AMAZON-02 (AS16509)	1
awsdns-03.net	AMAZON-02 (AS16509)	1
dig.com	AMAZON-02 (AS16509)	5
NSONE	GOOGLE (AS15169)	35
centralnic-dns.com	AMAZON-02 (AS16509)	1
Akamai International B.V.	Tinext Cloud SA (AS197352)	1
inmotionhosting.com	INMOTION (AS22611)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	9
sectorshared.net	123NET (AS12129)	1
