Bhutan Telecom Ltd	Bhutan Telecom Ltd (AS18024)	344
bix.bt	Bhutan Internet Exchange (AS7615)	1
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	1
Bhutan Telecom Ltd	LIQUIDNETLTD1 (AS14555)	1
Host Europe GmbH	DIGITALOCEAN-ASN (AS14061)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	7
perf1.com	Nameshield SAS (AS20756)	1
AMAZON-02	WHG Hosting Services Ltd (AS14670)	2
CLOUDFLARENET	CLOUDFLARENET (AS13335)	34
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	7
secureserver.net	GO-DADDY-COM-LLC (AS398101)	1
Bhutan Telecom Ltd	AMAZON-02 (AS16509)	8
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	10
serverhostgroup.com	OVH SAS (AS16276)	5
Bhutan Telecom Ltd	Government Data Center DITTMoIC (AS135666)	10
drukhost.com	DFW-DATACENTER (AS30277)	38
Bhutan Telecom Ltd	OVH SAS (AS16276)	1
CLOUDFLARENET	AMAZON-AES (AS14618)	6
gov.bt	Government Data Center DITTMoIC (AS135666)	12
Bhutan Telecom Ltd	DIGITALOCEAN-ASN (AS14061)	4
markmonitor.com	AMAZON-02 (AS16509)	5
Bhutan Telecom Ltd	Bhutan Telecom Ltd (AS18025)	14
Bhutan Telecom Ltd	GOOGLE-CLOUD-PLATFORM (AS396982)	3
lexsynergy.info	Akamai Connected Cloud (AS63949)	2
Bhutan Telecom Ltd	ORACLE-BMC-31898 (AS31898)	1
r4h.com	PRIVATESYSTEMS (AS63410)	1
noc40.com	IOFLOOD (AS53755)	3
Bhutan Telecom Ltd	Contabo GmbH (AS51167)	1
SECURITYSERVICES	CSC (AS19574)	2
dns-parking.com	Hostinger International Limited (AS47583)	3
co.uk	CSC (AS19574)	1
atsarahost.com	IOFLOOD (AS53755)	4
namecheaphosting.com	NAMECHEAP-NET (AS22612)	4
abithosting.com	LIQUIDNETLTD1 (AS14555)	6
Bhutan Telecom Ltd	CLOUDFLARENET (AS13335)	6
newedge.bt	Data Centre Services (AS132232)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	10
bnb.bt	Bhutan National Bank limited (AS137994)	1
udag.de	united-domains GmbH (AS202108)	2
awsdns-02.net	AMAZON-02 (AS16509)	2
emirates.com	AMAZON-02 (AS16509)	1
tmdcloud.asia	AS-VULTR (AS20473)	2
rightsdns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	2
supremepanel.com	LIQUIDNETLTD1 (AS14555)	1
abithosting.com	AMAZON-02 (AS16509)	1
idp365.net	Safenames Ltd. (AS60819)	1
awsdns-07.net	AMAZON-02 (AS16509)	1
ultradns.biz	SECURITYSERVICES (AS12008)	1
pbsl.bt	QTIME BUSINESSES PRIVATE LIMITED (AS141004)	1
supremedns.com	UK Dedicated Servers Limited (AS42831)	1
awsdns-03.net	AMAZON-02 (AS16509)	1
gov.bt	AMAZON-02 (AS16509)	3
gandi.net	GANDI SAS (AS29169)	1
Tashi InfoComm Limited	Tashi InfoComm Limited (AS23955)	4
Bhutan Telecom Ltd	LEAPSWITCH NETWORKS PRIVATE LIMITED (AS132335)	2
uphosts.online	A2HOSTING (AS55293)	1
siteground.net	GOOGLE (AS15169)	1
wixdns.net	Wix.com Ltd. (AS58182)	1
awsdns-01.net	AMAZON-02 (AS16509)	1
porsche.asia	Dr. Ing. h.c. F. Porsche AG (AS33848)	1
drukren.bt	Government Technology Agency (AS134715)	1
gocloudeasy.com	AS-VULTR (AS20473)	1
awsdns-01.org	AMAZON-02 (AS16509)	1
hostitbro.com	Tier 4 Cloud Services (AS146943)	1
Bhutan Telecom Ltd	INMOTION (AS22611)	2
CLOUDFLARENET	DFW-DATACENTER (AS30277)	1
wordpress.com	AUTOMATTIC (AS2635)	1
domainnetwork.se	CSC (AS19574)	2
Bhutan Telecom Ltd	Tashi InfoComm Limited (AS23955)	1
netflix.net	AMAZON-02 (AS16509)	1
vercel-dns.com	AMAZON-02 (AS16509)	2
drukhost.com	Bhutan Telecom Ltd (AS18024)	1
drukwebs.com	PONYNET (AS53667)	2
eolas.fr	FASTLY (AS54113)	1
GOOGLE	GOOGLE (AS15169)	1
CLOUDFLARENET	WHG Hosting Services Ltd (AS204800)	2
CLOUDFLARENET	LIQUIDNETLTD1 (AS14555)	6
awsdns-25.net	AMAZON-02 (AS16509)	3
googledomains.com	GOOGLE-CLOUD-PLATFORM (AS396982)	2
ngninfra.net	HCL Technologies Sweden AB (AS209236)	2
Akamai International B.V.	Akamai International B.V. (AS20940)	1
awsdns-16.org	AMAZON-02 (AS16509)	1
Bhutan Telecom Ltd	NANO, Bhutan (AS136039)	2
NSONE	GOOGLE (AS15169)	3
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	3
lemarit.de	AS-VULTR (AS20473)	1
perfectgrouperp.bt	QTIME BUSINESSES PRIVATE LIMITED (AS141004)	1
ipage.com	BIZLAND-SD (AS29873)	2
mybluehostin.me	UNIFIEDLAYER-AS-1 (AS46606)	2
awsdns-19.com	AMAZON-02 (AS16509)	1
Bhutan Telecom Ltd	INFORTECH-001 (AS32736)	1
awsdns-08.com	CLOUDFLARENET (AS13335)	1
zaccodigitaltrustlabs.se	DIGICERT (AS16552)	1
huaweicloud-dns.cn	HUAWEI CLOUDS (AS136907)	1
jlrext.com	OVH SAS (AS16276)	1
CLOUDFLARENET	DIGITAL SNAP (AS150055)	1
ns14.net	InterNetX GmbH (AS15456)	1
Bhutan Telecom Ltd	Bhutan Development Bank (AS153740)	1
CLOUDFLARENET	Bhutan Telecom Ltd (AS18024)	1
dns-parking.com	SQUARESPACE (AS53831)	1
bearingpoint.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
yahoo.com	AMAZON-02 (AS16509)	1
inwx.de	Deutsche Telekom AG (AS3320)	1
btix.bt	Bhutan Internet Exchange (AS7615)	1
nano.bt	NANO, Bhutan (AS136039)	1
AMAZON-02	WHG Hosting Services Ltd (AS204800)	1
foxfilm.com	AMAZON-AES (AS14618)	1
CLOUDFLARENET	GOOGLE (AS15169)	1
