warnerbros.com	AMAZON-02 (AS16509)	2
MICROSOFT-CORP-MSN-AS-BLOCK	Republican Unitary Telecommunication Enterprise Beltelecom (AS6697)	4
CLOUDFLARENET	Republican Unitary Telecommunication Enterprise Beltelecom (AS6697)	100
oblgas.by	Belarusian Cloud Technologies LLC (AS60330)	2
hoster.by	Republican Unitary Telecommunication Enterprise Beltelecom (AS6697)	12285
hoster.by	DIGITALOCEAN-ASN (AS14061)	48
Support Chain LLC	Support Chain LLC (AS60591)	2380
activeby.net	Republican Unitary Telecommunication Enterprise Beltelecom (AS6697)	2342
Republican Unitary Telecommunication Enterprise Beltelecom	Republican Unitary Telecommunication Enterprise Beltelecom (AS6697)	2293
hoster.by	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
activeby.net	Aktivnie Tehnologii LLC (AS202090)	360
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	137
hoster.by	AMAZON-02 (AS16509)	64
dnsimple.com	AMAZON-02 (AS16509)	1
hoster.by	Business Network Ltd (AS12406)	425
dnsvisa.com	LeaseWeb Netherlands B.V. (AS60781)	1
HURRICANE	Hetzner Online GmbH (AS24940)	5
promdns.net	Belarusian Cloud Technologies LLC (AS60330)	601
awsdns-03.org	AMAZON-02 (AS16509)	2
hoster.by	Anitex Ltd (AS21062)	8
Yedinyye Resheniya LLC	Yedinyye Resheniya LLC (AS215272)	178
ipcom GmbH	AMAZON-02 (AS16509)	33
foundationdns.com	FASTLY (AS54113)	1
Business Network Ltd	Business Network Ltd (AS12406)	229
SECURITYSERVICES	Entain Services Austria GmbH (AS13008)	12
markmonitor.com	Republican Unitary Telecommunication Enterprise Beltelecom (AS6697)	2
YANDEX LLC	Republican Unitary Telecommunication Enterprise Beltelecom (AS6697)	92
CLOUDFLARENET	CLOUDFLARENET (AS13335)	1325
Republican Unitary Telecommunication Enterprise Beltelecom	Ddos-guard Ltd (AS57724)	150
hoster.by	Ddos-guard Ltd (AS57724)	1554
Republican Unitary Telecommunication Enterprise Beltelecom	First Server Limited (AS205090)	2
hoster.by	Yedinyye Resheniya LLC (AS215272)	88
hoster.by	Cloudflare London, LLC (AS209242)	8
Safenames Ltd.	Safenames Ltd. (AS60819)	46
Beget LLC	Beget LLC (AS198610)	567
