Host SpA	Host SpA (AS47242)	12
bitkip.com	OVH SAS (AS16276)	2
smartlytechs.com	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	1714
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	769
GMO Internet Group, Inc.	GMO Internet Group, Inc. (AS7506)	137
marques.bz	OVH SAS (AS16276)	1
CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	1371
muumuu-domain.com	GMO Internet Group, Inc. (AS7506)	99
CLOUDFLARENET	OVH SAS (AS16276)	16
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	431
Host Europe GmbH	AMAZON-02 (AS16509)	2796
Host Europe GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	72
Host Europe GmbH	AS40676 (AS40676)	2
awsdns-07.com	LIQUIDWEB (AS53824)	1
SECURITYSERVICES	DIGITALOCEAN-ASN (AS14061)	13
ne.jp	SAKURA Internet Inc. (AS9371)	82
CLOUDFLARENET	OIS1 (AS26337)	46
Host Europe GmbH	OMNIS (AS19237)	2
CLOUDFLARENET	COGENT-174 (AS174)	19
SECURITYSERVICES	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
planethoster.net	PLANETHOSTER-8 (AS53589)	2
awsdns-14.net	AMAZON-AES (AS14618)	1
CLOUDFLARENET	CTG Server Limited (AS152194)	13
markmonitor.com	AMAZON-02 (AS16509)	262
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	56
dtag.de	T-Systems International GmbH (AS34086)	2
CLOUDFLARENET	BIZLAND-SD (AS29873)	19
mchost.ru	Iron Hosting Centre LTD (AS216139)	1
SECURITYSERVICES	AMAZON-AES (AS14618)	25
timeweb.org	Ddos-guard Ltd (AS57724)	6
dnspod.com	AS-COLOCROSSING (AS36352)	1
ns14.net	InterNetX GmbH (AS15456)	16
Signet B.V.	Signet B.V. (AS20857)	64
NUCDN	EntServ Deutschland GmbH (AS15854)	1
hostnet.nl	GOOGLE-CLOUD-PLATFORM (AS396982)	1
myprivatehosting.biz	IT.Gate S.p.A. (AS12779)	3
aplus.net	INFB2-AS (AS30447)	30
schlundtech.de	1&1 Versatel Deutschland GmbH (AS8881)	1
OVH SAS	FASTLY (AS54113)	1
nic.ru	Jsc ru-center (AS48287)	36
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	17
infomaniak.com	Infomaniak Network SA (AS29222)	5
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	60
netcup GmbH	netcup GmbH (AS197540)	16
netim.net	Eurofiber France SAS (AS24935)	18
CLOUDFLARENET	AMAZON-02 (AS16509)	503
SECURITYSERVICES	CSC (AS19574)	237
hover.com	AMAZON-02 (AS16509)	10
AMAZON-02	OVH SAS (AS16276)	22
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	151
asok.de	Sunrise GmbH (AS6730)	1
CLOUDFLARENET	Ddos-guard Ltd (AS57724)	11
CLOUDFLARENET	INCAPSULA (AS19551)	30
sedoparking.com	SEDO GmbH (AS47846)	130
lolipop.jp	GMO Internet Group, Inc. (AS7506)	145
cyberfolks.pl	Cyber_Folks S.A. (AS41079)	3
Safenames Ltd.	Safenames Ltd. (AS60819)	53
ipcom GmbH	AMAZON-02 (AS16509)	50
transform.bz	METANET AG (AS21069)	1
domainnamedns.com	Antbox Networks Limited (AS138995)	33
SECURITYSERVICES	SECURITYSERVICES (AS12008)	30
hover.com	TUCOWS (AS15348)	154
PAIR-NETWORKS	PAIR-NETWORKS (AS7859)	11
Host Europe GmbH	netcup GmbH (AS214996)	1
shopco.com	TUCOWS (AS15348)	17
raiffeisen.net	Konverto SpA (AS44512)	54
GMO Internet Group, Inc.	GMO Internet Group, Inc. (AS58791)	83
Xserver Inc.	Xserver Inc. (AS131965)	253
tuwebhost.us	UK Dedicated Servers Limited (AS42831)	5
yahoo.com	AMAZON-02 (AS16509)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	57
ne.jp	IDC Frontier Inc. (AS4694)	4
IONOS SE	united-domains GmbH (AS202108)	94
zcom.it	snafu Gesellschaft fuer interaktive Netzwerke mbH (AS34171)	2
namezeal.com	AMAZON-02 (AS16509)	1
NSONE	AMAZON-AES (AS14618)	31
Host Europe GmbH	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	2
myhost.tools	TTL-LTD (AS19651)	1
cloudns.net	NForce Entertainment B.V. (AS43350)	2
flnet.su	JSC Faberlic (AS38974)	3
COLT Technology Services Group Limited	Deutsche Telekom Global Business Solutions GmbH (AS8387)	20
OVH SAS	OVH SAS (AS16276)	139
CLOUDFLARENET	Cloudsigma Ag (AS50837)	1
servertown.ch	Datawire Ag (AS48971)	2
hover.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
CLOUDFLARENET	Dream Vps Ltd (AS213038)	1
AMAZON-02	AD IT Systems GmbH (AS204038)	1
CLOUDFLARENET	Dmntr Network Solutions (AS204773)	1
CLOUDFLARENET	Almouroltec Servicos De Informatica E Internet Lda (AS24768)	1
Host Europe GmbH	CENTRAL INFORMATION TECHNOLOGY OFFICE CITO (AS267932)	2
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	22
CLOUDFLARENET	SAKURA Internet Inc. (AS7684)	11
ab stract ltd	ab stract ltd (AS39287)	15
CLOUDFLARENET	ATT-INTERNET4 (AS7018)	18
edisoft.net	Infrastructure Italia Colo S.r.l. (AS203201)	1
SECURITYSERVICES	Akamai Connected Cloud (AS63949)	75
hostiq.ua	PE Skurykhin Mukola Volodumurovuch (AS56851)	4
name-services.com	Keyweb AG (AS31103)	1
JSC RTComm.RU	JSC RTComm.RU (AS8342)	5
perf1.com	GANDI SAS (AS29169)	1
name-services.com	AMAZON-02 (AS16509)	36
AMAZON-02	AMAZON-02 (AS16509)	58
sprinthost.net	Sprinthost.ru LLC (AS35278)	4
veniceplaza.net	Limitis s.r.l. (AS50178)	1
bytemedns.com	OVH SAS (AS16276)	1
konzept.cc	myNet GmbH (AS31543)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	94
world4you.at	World4You Internet Services GmbH (AS38955)	9
hostpro.ua	Hetzner Online GmbH (AS24940)	1
ns14.net	Infomaniak Network SA (AS29222)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	149
GANDI SAS	GANDI SAS (AS29169)	75
DIGITALOCEAN-ASN	DIGITALOCEAN-ASN (AS14061)	4
hpe.com	HPINC (AS2165)	1
IONOS SE	IONOS SE (AS8560)	24
mschosting.com	Exabytes Network Singapore Pte. Ltd. (AS38532)	1
name-services.com	DigiRock, Inc. (AS37907)	3
ns26.de	Pixel X e.K. (AS60380)	2
bumhosting.com	Khomutov Artem Sergeevich (AS215206)	1
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	62
CLOUDFLARENET	COLOSSEUM-ONL (AS19842)	1
CLOUDFLARENET	InterNetX GmbH (AS15456)	3
name-services.com	GMO Internet Group, Inc. (AS58791)	8
Host Europe GmbH	DIGITALOCEAN-ASN (AS14061)	40
systemdns.com	AMAZON-AES (AS14618)	17
