tld-ns.com	DIAMATRIX (AS327979)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	82
globservers.com	IS-AS-1 (AS19318)	3
AFRINET	AFRINET (AS37415)	5
co.za	Afrihost (AS37611)	52
CLOUDFLARENET	O2switch SAS (AS50474)	14
OVH SAS	OVH SAS (AS16276)	75
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	11
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	86
atom.com	AMAZON-AES (AS14618)	4
hostinc.info	Hetzner Online GmbH (AS24940)	1
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	56
kalanda.net	SAS Kalanda (AS61047)	1
interna.me	IONOS SE (AS8560)	12
site4now.net	SHARKTECH (AS46844)	5
NUCDN	AMAZON-AES (AS14618)	4
UNITED-SA	UNITED-SA (AS328442)	204
Host Europe GmbH	NL-811-40021 (AS40021)	3
monopost.com	Greysom Limited (AS12678)	2
perf1.com	Nameshield SAS (AS20756)	23
CLOUDFLARENET	CLOUDFLARENET (AS13335)	356
BULL-HN	BULL-HN (AS6)	24
AMAZON-02	Team Internet AG (AS61969)	13
Groupe LWS SARL	Groupe LWS SARL (AS210403)	56
hostmonster.com	UNIFIEDLAYER-AS-1 (AS46606)	2
glipac.ch	Bluewin (AS3303)	1
CLOUDFLARENET	OVH SAS (AS16276)	14
kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
Contabo GmbH	Contabo GmbH (AS51167)	29
eltech-congo.cd	OLIVERSOFT (AS328618)	3
CLOUDFLARENET	Hostinger International Limited (AS47583)	76
Groupe LWS SARL	AMAZON-02 (AS16509)	1
francedns.com	Eurofiber France SAS (AS24935)	5
inmotionhosting.com	INMOTION (AS22611)	1
netim.net	Eurofiber France SAS (AS24935)	49
CLOUDFLARENET	MULTA-ASN1 (AS35916)	1
ceni.cd	Liquid Telecommunications Ltd (AS30844)	1
forpsi.net	INTERNET CZ, a.s. (AS24806)	1
Host Europe GmbH	AMAZON-02 (AS16509)	12
cloudwebhosting.com	OVH SAS (AS16276)	2
co.za	xneelo (AS37153)	1
SECURITYSERVICES	CSC (AS19574)	66
CLOUDFLARENET	Contabo GmbH (AS51167)	7
instradns.com	OVH SAS (AS16276)	51
CLOUDFLARENET	Liquid Web B.V. (AS201682)	1
supremedns.com	LIQUIDNETLTD1 (AS14555)	27
awsdns-01.org	CLOUDFLARENET (AS13335)	1
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	38
co.za	AMAZON-02 (AS16509)	1
CLOUDFLARENET	COGECO-PEER1 (AS13768)	10
