OVH SAS	OVH SAS (AS16276)	40
cloudflare.com	CLOUDFLARENET (AS13335)	1668
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	148
freenom.com	Host Europe GmbH (AS21499)	196
CLOUDFLARENET	AMAZON-02 (AS16509)	37
desec.io	SYNLINQ (AS44486)	1
freenom.com	GMO Internet Group, Inc. (AS58791)	2
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	188
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	9
cloudflare.com	Silicon Cloud Global US (AS149042)	1
freenom.com	UNIFIEDLAYER-AS-1 (AS46606)	91
Hangzhou Alibaba Advertising Co.,Ltd.	Chinanet (AS4134)	9
Host Europe GmbH	Host Europe GmbH (AS21499)	69
freenom.com	Contabo GmbH (AS51167)	15
markmonitor.com	AMAZON-02 (AS16509)	68
NSONE	AMAZON-02 (AS16509)	13
Hangzhou Alibaba Advertising Co.,Ltd.	AMAZON-AES (AS14618)	1
ipcom GmbH	InterNetworX Management GmbH (AS48596)	22
freenom.com	Artmotion Sh.p.k. (AS33983)	1
LIQUIDNETLTD1	LIQUIDNETLTD1 (AS14555)	5
freenom.com	OVH SAS (AS16276)	20
cloudflare.com	AMAZON-02 (AS16509)	63
cloudflare.com	Atman Sp. z o.o. (AS57367)	16
freenom.com	VIETNAM POSTS AND TELECOMMUNICATIONS GROUP (AS135905)	3
SECURITYSERVICES	Silverhill Group Holding Ltd (AS202492)	1
nameshield.net	Nameshield SAS (AS20756)	9
cloudflare.com	ORACLE-BMC-31898 (AS31898)	132
protozoahost.com	Hetzner Online GmbH (AS24940)	1
HURRICANE	VIRP (AS32875)	8
freenom.com	AS-30083-US-VELIA-NET (AS30083)	1
1984.is	SINGLEHOP-LLC (AS32475)	1
domainoo.fr	Planet Service SARL (AS61168)	2
xundns.com	QINGYE-CLOUD (AS13378)	1
cloudns.net	Smart Telecom Limited (AS31376)	1
ipcom GmbH	Strato GmbH (AS6724)	3
cloudflare.com	Akamai Connected Cloud (AS63949)	2
cloudflare.com	IT7NET (AS25820)	18
cloudflare.com	GOOGLE (AS15169)	11
projectok.cf	Bharti Airtel Ltd., Telemedia Services (AS24560)	1
dnspod.net	AMAZON-02 (AS16509)	3
cloudflare.com	DIGITALOCEAN-ASN (AS14061)	3
CLOUDFLARENET	GOOGLE (AS15169)	1
infomaniak.ch	Infomaniak Network SA (AS29222)	2
emirates.com	AMAZON-02 (AS16509)	2
dnspod.net	IT7NET (AS25820)	3
Hangzhou Alibaba Advertising Co.,Ltd.	China Unicom Beijing Province Network (AS4808)	1
ipcom GmbH	Walde IT-Systeme (AS203226)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	17
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	3
value-domain.com	GMO Internet Group, Inc. (AS58791)	2
HURRICANE	Melbikomas UAB (AS8849)	1
dnspod.net	China Mobile Communications Group Co., Ltd. (AS9808)	1
cloudflare.com	CHINA UNICOM China169 Backbone (AS4837)	13
dnspod.net	CHINA UNICOM China169 Backbone (AS4837)	5
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	9
lemarit.de	AS-VULTR (AS20473)	1
SECURITYSERVICES	SECURITYSERVICES (AS12008)	2
HOST4GEEKS-LLC	HOST4GEEKS-LLC (AS393960)	14
com.ar	PRIVATESYSTEMS (AS63410)	1
cloudflare.com	China Telecom Beijing Tianjin Hebei Big Data Industry Park Branch (AS141679)	1
cloudflare.com	DISTRIBUTEL-AS11814 (AS11814)	1
freenom.com	VIDEOTRON (AS5769)	1
dnspod.net	Beijing Shijihulian Yuntong Network Technology Co., Ltd. (AS136160)	1
com.br	Hostinger International Limited (AS47583)	2
perf1.com	Nameshield SAS (AS20756)	18
freenom.com	IDC Frontier Inc. (AS4694)	1
cloudns.net	ASN01-SOGE (AS4540)	1
cloudflare.com	AS-COLOCROSSING (AS36352)	27
markmonitor.com	ML-1432-54994 (AS54994)	1
cloudflare.com	MULTA-ASN1 (AS35916)	27
PONYNET	Wildcard UK Limited (AS34119)	22
freenom.com	GOOGLE-CLOUD-PLATFORM (AS396982)	14
cloudflare.com	Chinanet (AS4134)	12
cloudflare.com	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	1
cloudflare.com	GOOGLE-CLOUD-PLATFORM (AS396982)	15
freenom.com	Istanbul Arel Universitesi (AS210690)	1
Hangzhou Alibaba Advertising Co.,Ltd.	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	1
freenom.com	SAKURA Internet Inc. (AS9371)	1
dnspod.net	ORACLE-BMC-31898 (AS31898)	5
eurodns.com	Koninklijke Luchtvaart Maatschappij N.V. (AS28806)	1
freenom.com	FASTLY (AS54113)	11
freenom.com	UAB Interneto vizija (AS212531)	2
netim.net	Eurofiber France SAS (AS24935)	6
freenom.com	Sony Network Communications Inc. (AS2527)	1
dnspod.net	Chinanet (AS4134)	16
parkingcrew.net	Team Internet AG (AS61969)	2
freenom.com	DIGITALOCEAN-ASN (AS14061)	3
markmonitor.com	NCUBE-OREGON-AS (AS1219)	2
HURRICANE	AS-COLOCROSSING (AS36352)	3
cloudflare.com	OVH SAS (AS16276)	13
freenom.com	ORACLE-BMC-31898 (AS31898)	15
freenom.com	China Telecom Group (AS4812)	1
bluehost.com	CLOUDFLARENET (AS13335)	1
francedns.com	OVH SAS (AS16276)	1
Safenames Ltd.	COLLEGENET (AS26569)	1
Hangzhou Alibaba Advertising Co.,Ltd.	CHINA UNICOM China169 Backbone (AS4837)	4
Safenames Ltd.	Safenames Ltd. (AS60819)	11
HURRICANE	ORACLE-BMC-31898 (AS31898)	3
cloudflare.com	Oy Crea Nova Hosting Solution Ltd (AS51765)	3
dnspod.net	CHINATELECOM Hubei province Wuhan 5G network (AS137266)	1
IONOS SE	united-domains GmbH (AS202108)	15
awsdns-29.com	AMAZON-AES (AS14618)	1
cloudflare.com	Delta-Net LLC (AS48279)	1
cloudflare.com	China Unicom Beijing Province Network (AS4808)	4
cloudflare.com	RENDER (AS397273)	2
cloudflare.com	SuperHosting.BG Ltd. (AS201200)	1
digicertdns.com	DIGICERT (AS16552)	1
G-Core Labs S.A.	G-Core Labs S.A. (AS199524)	6
freenom.com	Hetzner Online GmbH (AS24940)	11
contabo.net	Contabo GmbH (AS51167)	5
ipcom GmbH	Alexhost Srl (AS200019)	1
markmonitor.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
opentld.com	Hetzner Online GmbH (AS24940)	1
HURRICANE	CLOUDFLARENET (AS13335)	2
cloudflare.com	aurologic GmbH (AS30823)	1
cloudflare.com	Alibaba US Technology Co., Ltd. (AS45102)	7
freenom.com	Green Floid LLC (AS21100)	1
markmonitor.zone	AMAZON-02 (AS16509)	4
cloudns.net	NForce Entertainment B.V. (AS43350)	1
freenom.com	Dedicated Servers Australia (AS58940)	2
freenom.com	COMCAST-7922 (AS7922)	2
HURRICANE	Chinanet (AS4134)	3
zoneedit.com	EDNS (AS16686)	1
iaasdns.com	MULTA-ASN1 (AS35916)	1
freenom.com	AMAZON-AES (AS14618)	2
cloudflare.com	NETLAB-SDN (AS979)	4
1984.is	1984 ehf (AS44925)	1
bengu.org	WIIT AG (AS24961)	1
freenom.com	Xserver Inc. (AS131965)	3
namemaster.de	GHOSTnet GmbH (AS12586)	1
