Groupe LWS SARL	Groupe LWS SARL (AS210403)	74
CLOUDFLARENET	CLOUDFLARENET (AS13335)	45
cfai.cg	Groupe LWS SARL (AS210403)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	53
lwsdns.com	Groupe LWS SARL (AS210403)	5
CLOUDFLARENET	AMAZON-02 (AS16509)	23
ultradns.com	AMAZON-02 (AS16509)	1
aprc.cg	Groupe LWS SARL (AS210403)	1
GANDI SAS	GANDI SAS (AS29169)	60
OVH SAS	OVH SAS (AS16276)	64
SECURITYSERVICES	CSC (AS19574)	58
dan.com	AMAZON-02 (AS16509)	1
cloud4africa.net	VEONE (AS328025)	81
kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
cdv.cg	Groupe LWS SARL (AS210403)	1
CLOUDFLARENET	CongoTelecom (AS37451)	1
AMAZON-02	WHG Hosting Services Ltd (AS36454)	3
awsdns-36.com	AMAZON-02 (AS16509)	1
IONOS SE	IONOS SE (AS8560)	73
netim.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
awsdns-25.net	AMAZON-02 (AS16509)	4
OVH SAS	Wix.com Ltd. (AS58182)	1
CLOUDFLARENET	Groupe LWS SARL (AS210403)	1
safenames.com	Safenames Ltd. (AS60819)	9
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	1
markmonitor.com	AMAZON-02 (AS16509)	43
hp.com	AMAZON-02 (AS16509)	1
Host Europe GmbH	TATA Communications formerly VSNL is Leading ISP (AS4755)	1
DIMENOC	DIMENOC (AS33182)	6
Akamai International B.V.	Koninklijke Luchtvaart Maatschappij N.V. (AS28806)	2
PLANETHOSTER-8	PLANETHOSTER-8 (AS53589)	32
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	5
IONOS SE	PLANETHOSTER-8 (AS53589)	40
apple.com	APPLE-ENGINEERING (AS714)	1
SECURITYSERVICES	SECURITYSERVICES (AS12008)	7
Akamai International B.V.	MASTER-7-AS (AS26380)	1
DIGICERT	CLT-NIC (AS10515)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	2
IONOS SE	AMAZON-02 (AS16509)	3
DIGICERT	Eurofiber France SAS (AS24935)	1
Host Europe GmbH	AMAZON-02 (AS16509)	8
CLOUDFLARENET	INCAPSULA (AS19551)	11
Akamai International B.V.	Akamai International B.V. (AS20940)	5
Safenames Ltd.	Safenames Ltd. (AS60819)	8
dell.com	Akamai International B.V. (AS33905)	1
dnspod.net	Alibaba US Technology Co., Ltd. (AS45102)	14
SECURITYSERVICES	AMAZON-02 (AS16509)	3
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	5
nameshield.net	Nameshield SAS (AS20756)	6
co.za	Web-Africa-Networks-AS (AS328453)	1
nameshield.net	AMAZON-AES (AS14618)	1
NUCDN	Team Internet AG (AS61969)	2
perf1.com	Nameshield SAS (AS20756)	17
elykya.com	Hostpro Lab LLC (AS196645)	2
hosteur.com	Hosteur SAS (AS204818)	2
dominiando.asia	Register S.p.A. (AS39729)	1
rightsdns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
mfs.cg	OVH SAS (AS16276)	1
netim.net	Eurofiber France SAS (AS24935)	7
facebook.com	FACEBOOK (AS32934)	2
bnamed.eu	AMAZON-02 (AS16509)	1
