Hostpoint AG	Hostpoint AG (AS29097)	148997
Host Europe GmbH	Host Europe GmbH (AS20773)	697
CLOUDFLARENET	Iomart Managed Services Limited (AS35425)	1
cyon GmbH	cyon GmbH (AS47302)	30027
CLOUDFLARENET	CLOUDFLARENET (AS13335)	20580
OVH SAS	OVH SAS (AS16276)	14108
hoststar.hosting	Hetzner Online GmbH (AS24940)	24699
co.uk	MGMRI-AS (AS16667)	17
Infomaniak Network SA	Infomaniak Network SA (AS29222)	36233
Sunrise GmbH	Sunrise GmbH (AS6730)	18021
swizzonic.ch	Register S.p.A. (AS39729)	17712
one.com	One.com A/S (AS51468)	3609
METANET AG	METANET AG (AS21069)	36739
ns14.net	netlogix GmbH & Co. KG (AS206231)	12
CLOUDFLARENET	SQUARESPACE (AS53831)	97
gpk.eu	AMAZON-02 (AS16509)	2818
ipcom GmbH	AMAZON-02 (AS16509)	3192
NUCDN	Datacenter Luxembourg S.A. (AS24611)	7143
exenti.ch	hosttech GmbH (AS207143)	188
AMAZON-02	GOOGLE (AS15169)	1710
Hostpoint AG	Akenes SA (AS61098)	83
Infomaniak Network SA	Scaleway S.a.s. (AS12876)	52
GOOGLE	Wix.com Ltd. (AS58182)	28829
cyon GmbH	NTS workspace AG (AS15576)	35
ImproWare AG	ImproWare AG (AS6772)	105
iper.ch	Sunrise GmbH (AS6730)	3
intername.ch	Team Internet AG (AS61969)	1467
afraid.org	green.ch AG (AS1836)	14
Host Europe GmbH	AMAZON-02 (AS16509)	28599
infomaniak.com	Infomaniak Network SA (AS29222)	47172
AMAZON-02	Team Internet AG (AS61969)	3091
hosttech.ch	hosttech GmbH (AS207143)	17751
hostfactory.ch	firstcolo GmbH (AS44066)	20
GANDI SAS	AMAZON-02 (AS16509)	1668
webkoenig.ch	AMAZON-AES (AS14618)	16
Hostpoint AG	CLOUDFLARENET (AS13335)	3687
NovaTrend Services GmbH	NovaTrend Services GmbH (AS35206)	12721
ns14.net	InterNetX GmbH (AS15456)	2579
pro.io	METANET AG (AS21069)	12810
tizoo.com	TiZoo Sarl (AS209042)	1300
checkdomain.de	Xirra GmbH (AS51191)	1379
hosttech.ch	CLOUDFLARENET (AS13335)	349
Host Europe GmbH	ALPEIN Software SWISS AG (AS203200)	6
VTX Services SA	VTX Services SA (AS12350)	1994
sedoparking.com	SEDO GmbH (AS47846)	8898
Webland AG	Webland AG (AS25563)	11432
METANET AG	SQUARESPACE (AS53831)	167
AMAZON-02	CLOUDFLARENET (AS13335)	270
dotaustria.com	Hutchison Drei Austria GmbH (AS8437)	512
cyon GmbH	Cloudflare London, LLC (AS209242)	150
centinated.ch	Mittwald CM Service GmbH & Co. KG (AS15817)	25
IONOS SE	IONOS SE (AS8560)	15269
rzone.de	Strato GmbH (AS6724)	5936
SEDO GmbH	SEDO GmbH (AS47846)	2073
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	327
Host Europe GmbH	Host Europe GmbH (AS21499)	2843
mrmail.co	NAMECHEAP-NET (AS22612)	27
dogado GmbH	green.ch AG (AS1836)	3549
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	97
fuxxsolutions.ch	hosttech GmbH (AS207143)	33
Hetzner Online GmbH	dogado GmbH (AS8648)	2907
SECURITYSERVICES	SECURITYSERVICES (AS12008)	387
IONOS SE	Hetzner Online GmbH (AS24940)	724
Vadian.Net AG	Sunrise GmbH (AS6730)	2225
domainkunden.de	CLOUDFLARENET (AS13335)	2
Hostpoint AG	Wix.com Ltd. (AS58182)	514
IONOS SE	united-domains GmbH (AS202108)	7616
GANDI SAS	GANDI SAS (AS29169)	7629
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	1056
hoststar.hosting	Cyberlink AG (AS15623)	9
Hostpoint AG	Hetzner Online GmbH (AS24940)	882
ch-inter.net	METANET AG (AS21069)	5508
TcNet GmbH	AMAZON-02 (AS16509)	3
Hetzner Online GmbH	Team Internet AG (AS61969)	453
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	10133
schlundtech.de	Hetzner Online GmbH (AS24940)	413
cyon GmbH	hosttech GmbH (AS207143)	28
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	474
infomaniak.com	CLOUDFLARENET (AS13335)	1239
Host Europe GmbH	CLOUDFLARENET (AS13335)	3594
Hostpoint AG	AMAZON-AES (AS14618)	315
CLOUDFLARENET	Hostinger International Limited (AS47583)	5822
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	2950
ipcom GmbH	GOOGLE (AS15169)	2012
checkdomain.de	Hetzner Online GmbH (AS24940)	1006
Hostpoint AG	GOOGLE-CLOUD-PLATFORM (AS396982)	894
Tinext Cloud SA	Tinext Cloud SA (AS197352)	103
nameserver.center	Hetzner Online GmbH (AS24940)	3875
dodns.net	VTX Services SA (AS12350)	1
jobchannel.ch	GOOGLE-CLOUD-PLATFORM (AS396982)	4
hostfactory.ch	Zettaplan AG (AS200713)	7640
swizzonic.ch	Host Europe GmbH (AS34011)	2462
AMAZON-02	DIGITALOCEAN-ASN (AS14061)	3623
ipcom GmbH	InterNetworX Management GmbH (AS48596)	2629
ch-inter.net	firstcolo GmbH (AS44066)	25
firmenich.com	FASTLY (AS54113)	1
NSONE	AMAZON-02 (AS16509)	3371
zoneedit.com	Bluewin (AS3303)	50
ewdns.ch	EveryWare AG (AS24951)	341
swizzonic.ch	CLOUDFLARENET (AS13335)	256
Datasource AG	Datasource AG (AS51395)	2468
AMAZON-02	AMAZON-02 (AS16509)	5071
Hetzner Online GmbH	green.ch AG (AS1836)	6576
ipax.at	IPAX GmbH (AS44133)	31
Hostpoint AG	SQUARESPACE (AS53831)	1916
rebrandly.org	AMAZON-AES (AS14618)	1
CTS Computers and Telecommunications Systems SAS	CTS Computers and Telecommunications Systems SAS (AS35393)	48
netcup GmbH	netcup GmbH (AS197540)	1544
lemarit.de	AS-VULTR (AS20473)	222
Nessus GmbH	Sunrise GmbH (AS6730)	9
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	11652
alfahosting.info	dogado GmbH (AS45012)	441
