netim.net	Eurofiber France SAS (AS24935)	377
Hydra Communications Ltd	Enix Ltd (AS52148)	143
lwsdns.com	Groupe LWS SARL (AS210403)	56
OVH SAS	Scaleway S.a.s. (AS12876)	397
NUCDN	AMAZON-02 (AS16509)	2
NSONE	AMAZON-02 (AS16509)	17
Groupe LWS SARL	Groupe LWS SARL (AS210403)	195
namebay.com	Nameshield SAS (AS20756)	5
CLOUDFLARENET	CLOUDFLARENET (AS13335)	635
cloud4africa.net	VEONE (AS328025)	295
cloudns.net	Hetzner Online GmbH (AS24940)	3
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	67
obambu.com	Hetzner Online GmbH (AS24940)	25
waguiserver.net	WHG Hosting Services Ltd (AS14670)	3
O2switch SAS	O2switch SAS (AS50474)	160
Hydra Communications Ltd	CLOUDFLARENET (AS13335)	8
OVH SAS	OVH SAS (AS16276)	212
routing.net	Eurofiber France SAS (AS24935)	64
perf1.com	Nameshield SAS (AS20756)	39
Hydra Communications Ltd	Contabo GmbH (AS51167)	3
PLANETHOSTER-8	PLANETHOSTER-8 (AS53589)	79
francedns.com	Eurofiber France SAS (AS24935)	176
awsdns-25.net	AMAZON-02 (AS16509)	4
CLOUDFLARENET	AMAZON-02 (AS16509)	108
kaeweb.com	OVH SAS (AS16276)	2
cloud4africa.net	OVH SAS (AS16276)	29
Contabo GmbH	Ddos-guard Ltd (AS57724)	1
awsdns-09.net	NAMECHEAP-NET (AS22612)	1
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	62
tomoua.com	OVH SAS (AS16276)	2
cetsi.eu	Cyllene Its SAS (AS12826)	8
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	8
markmonitor.com	AMAZON-02 (AS16509)	58
AMAZON-02	WHG Hosting Services Ltd (AS51713)	13
MICROSOFT-CORP-MSN-AS-BLOCK	Eurofiber France SAS (AS24935)	4
CLOUDFLARENET	Hostinger International Limited (AS47583)	267
ex2-r9.com	OVH SAS (AS16276)	3
ansut.ci	SOCIETE-NATIONALE-DE-DEVELOPPEMENT-INFOR (AS328193)	3
turhost.com	Cizgi Telekomunikasyon Anonim Sirketi (AS42807)	3
CLOUDFLARENET	INFOTECHSYS (AS6943)	1
Hydra Communications Ltd	Hydra Communications Ltd (AS25369)	180
Hetzner Online GmbH	Contabo GmbH (AS51167)	44
OVH SAS	CLOUDFLARENET (AS13335)	12
francedns.com	GOOGLE (AS15169)	2
GANDI SAS	GANDI SAS (AS29169)	117
routing.net	Hosting.de GmbH (AS12574)	121
OXAHOST-AS	OXAHOST-AS (AS328853)	53
CLOUDFLARENET	Scaleway S.a.s. (AS12876)	3
itsmind.zone	Hetzner Online GmbH (AS24940)	1
whazhe.com	Contabo GmbH (AS51167)	4
abovedomains.com	Trellian Pty. Limited (AS133618)	3
SECURITYSERVICES	AMAZON-02 (AS16509)	5
ORANGE-COTE-IVOIRE	ORANGE-COTE-IVOIRE (AS29571)	130
CLOUDFLARENET	INCAPSULA (AS19551)	26
CLOUDFLARENET	PLANETHOSTER-8 (AS53589)	1
OVH SAS	Groupe LWS SARL (AS210403)	21
istanco.com	Hostinger International Limited (AS47583)	43
is-fun.net	TelemaxX Telekommunikation GmbH (AS12843)	4
OVH SAS	Hetzner Online GmbH (AS24940)	7
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	3
awsdns-12.org	AMAZON-AES (AS14618)	1
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	23
netim.net	IONOS SE (AS8560)	4
Hangzhou Alibaba Advertising Co.,Ltd.	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	11
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	12
CLOUDFLARENET	OVH SAS (AS16276)	12
netim.net	AMAZON-02 (AS16509)	13
contabo.net	Contabo GmbH (AS51167)	41
SECURITYSERVICES	CSC (AS19574)	76
istanco.com	GO-DADDY-COM-LLC (AS398101)	27
CLOUDFLARENET	Contabo GmbH (AS51167)	11
OVH SAS	AMAZON-02 (AS16509)	9
routing.net	O2switch SAS (AS50474)	3
CLOUDFLARENET	TechoServers LTD (AS215845)	1
bodis.com	AMAZON-02 (AS16509)	18
cloud4africa.net	PLANETHOSTER-8 (AS53589)	3
GOOGLE	Wix.com Ltd. (AS58182)	30
web-dns1.com	OVH SAS (AS16276)	1
ORANGE-COTE-IVOIRE	Register S.p.A. (AS39729)	1
davb.ci	DIGITALOCEAN-ASN (AS14061)	1
ipcom GmbH	InterNetworX Management GmbH (AS48596)	10
O2switch SAS	Contabo Asia Private Limited (AS141995)	1
anycastdns.cc	High Family Technology Co., Limited (AS142032)	1
SEDO GmbH	SEDO GmbH (AS47846)	7
Safenames Ltd.	Safenames Ltd. (AS60819)	17
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	23
NUCDN	Datacenter Luxembourg S.A. (AS24611)	8
CLOUDFLARENET	Neue Medien Muennich GmbH (AS34788)	1
nameshield.net	Nameshield SAS (AS20756)	15
hostoweb.com	HOSTOWEB (AS37738)	4
afnet.net	MTNCI-AS (AS36974)	6
CLOUDFLARENET	Telefonica De Espana S.a.u. (AS3352)	1
IOFLOOD	Binary Racks Limited (AS59895)	2
dihost.net	netcup GmbH (AS197540)	1
routing.net	AMAZON-02 (AS16509)	4
ipcom GmbH	netcup GmbH (AS197540)	1
koutouan.ci	OVH SAS (AS16276)	4
AMAZON-02	GOOGLE (AS15169)	23
SUCURI-SEC	SUCURI-SEC (AS30148)	5
afnet.net	Hetzner Online GmbH (AS24940)	2
NL-811-40021	NL-811-40021 (AS40021)	24
ipmanagerinc.net	AMAZON-02 (AS16509)	1
cloud4africa.net	Hostinger International Limited (AS47583)	4
accenture.com	ACCENTURE (AS3573)	1
supremepanel.com	LIQUIDNETLTD1 (AS14555)	11
Contabo GmbH	Contabo GmbH (AS51167)	44
Host Europe GmbH	AMAZON-02 (AS16509)	30
ORANGE-COTE-IVOIRE	OVH SAS (AS16276)	14
GANDI SAS	SMABTP (AS208482)	1
supremepanel.com	OVH SAS (AS16276)	1
Groupe LWS SARL	DIGITALOCEAN-ASN (AS14061)	1
Hetzner Online GmbH	CLOUDFLARENET (AS13335)	7
domainhizmetleri.net	DH Bulut Bilisim Anonim Sirketi (AS34828)	2
bb-online.net	AS-VULTR (AS20473)	1
IOFLOOD	IOFLOOD (AS53755)	32
gransy.com	CASABLANCA INT a.s. (AS15685)	3
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	66
nadns1.com	Nameshield SAS (AS20756)	3
ORANGE-COTE-IVOIRE	DREAMHOST-AS (AS26347)	1
namebay.com	NXO France SAS (AS199483)	1
