azure-dns.com	INCAPSULA (AS19551)	1
net.ck	Telecom Cook Islands (AS10131)	27
google.com	GOOGLE (AS15169)	1
SECURITYSERVICES	CSC (AS19574)	7
inmotionhosting.com	INMOTION (AS22611)	4
net.ck	A2HOSTING (AS55293)	1
credit-suisse.com	UBS Group AG (AS8729)	1
inmotionhosting.com	SQUARESPACE (AS53831)	1
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
att.net	UPS (AS12217)	1
LDSCHURCH1	LDSCHURCH1 (AS19648)	2
101domain.com	AMAZON-02 (AS16509)	3
nsone.net	AMAZON-02 (AS16509)	1
nsone.net	Akamai International B.V. (AS213120)	1
markmonitor.com	AMAZON-02 (AS16509)	4
audi.de	Audi AG (AS12331)	1
websitewelcome.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
flexihostings.net	OVH SAS (AS16276)	1
ultradns.biz	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
net.ck	ICONZ Ltd (AS4770)	1
co.uk	AMAZON-02 (AS16509)	1
SECURITYSERVICES	AMAZON-02 (AS16509)	1
eliteitco.com	ONIAAS (AS40092)	1
SECURITYSERVICES	DXC-AS3360 (AS3360)	1
LDSCHURCH1	GENSOCIETYUTAH (AS33397)	1
greengeeks.net	SINGLEHOP-LLC (AS32475)	1
facebook.com	FACEBOOK (AS32934)	1
SECURITYSERVICES	SECURITYSERVICES (AS12008)	1
net.ck	AMAZON-AES (AS14618)	1
