CLOUDFLARENET	CLOUDFLARENET (AS13335)	250560
longmingdns.com	ZILLION-NETWORK (AS54801)	3992
nowcndns.com	LUOGELANG FRANCE LIMITED (AS135097)	16659
longmingdns.com	Edgenap Ltd (AS61414)	4630
longmingdns.com	UNIT A17,9F SILVERCORP INTL TOWER 707-713 NATHAN RD (AS134175)	12442
Hangzhou Alibaba Advertising Co.,Ltd.	China Mobile Communications Group Co., Ltd. (AS9808)	1608
dnsip.com	Scalaxy B.V. (AS58061)	3903
nowcndns.com	PEG-LA (AS398823)	54685
myhostadmin.net	UNIT A17,9F SILVERCORP INTL TOWER 707-713 NATHAN RD (AS134175)	9160
longmingdns.com	DXTL Tseung Kwan O Service (AS134548)	54863
Hangzhou Alibaba Advertising Co.,Ltd.	I LAYER LIMITED (AS137899)	1777
longmingdns.com	HONG KONG KOWLOON TELECOMMUNICATIONS CO.,LIMITED (AS135357)	13292
nowcndns.com	DXTL Tseung Kwan O Service (AS134548)	49629
julydns.com	PEG-HK (AS398478)	15000
dnspod.net	Tencent Building, Kejizhongyi Avenue (AS132203)	4426
nowcndns.com	LUOGELANG FRANCE LIMITED (AS142286)	3853
julydns.com	AROSS-AS (AS400619)	28638
CHINANET SiChuan Telecom Internet Data Center	DXTL Tseung Kwan O Service (AS134548)	311
nowcndns.com	I LAYER LIMITED (AS137899)	133
Hangzhou Alibaba Advertising Co.,Ltd.	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	180622
longmingdns.com	ESITED (AS22552)	15187
huaweicloud-dns.cn	Huawei Cloud Service data center (AS55990)	3015
Hangzhou Alibaba Advertising Co.,Ltd.	Cloud Computing Corporation (AS58519)	448
julydns.com	POWER LINE DATACENTER (AS132839)	75828
julydns.com	DXTL Tseung Kwan O Service (AS134548)	29530
longmingdns.com	WHDOT-LLC (AS26207)	2862
Hangzhou Alibaba Advertising Co.,Ltd.	High Family Technology Co., Limited (AS142032)	1189
julydns.com	ENZUINC (AS18978)	12812
Hangzhou Alibaba Advertising Co.,Ltd.	NETWORK-SOLUTIONS-HOSTING (AS19871)	62
julydns.com	LUOGELANG FRANCE LIMITED (AS142286)	5809
CLOUDFLARENET	ASLINE LIMITED (AS137951)	2564
22.cn	Huawei Cloud Service data center (AS55990)	1336
longmingdns.com	HENGTONG-IDC-LLC (AS26658)	5654
Hangzhou Alibaba Advertising Co.,Ltd.	Shenzhen Tencent Computer Systems Company Limited (AS45090)	11944
CLOUDFLARENET	LUOGELANG FRANCE LIMITED (AS142286)	5690
nowcndns.com	POWER LINE DATACENTER (AS132839)	16646
xincache.com	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	6472
nowcndns.com	PEG-HK (AS398478)	41826
nowcndns.com	ZILLION-NETWORK (AS54801)	11007
CLOUDFLARENET	OWGELS INTERNATIONAL CO., LIMITED (AS139880)	4050
Hangzhou Alibaba Advertising Co.,Ltd.	Chinanet (AS4134)	10192
myhostadmin.net	DXTL Tseung Kwan O Service (AS134548)	20130
nowcndns.com	NTT-DATA-2914 (AS2914)	11116
nowcndns.com	GNET INC. (AS9294)	13683
longmingdns.com	DXTL (AS58658)	2718
xundns.com	Dimension Network & Communication Limited (AS59371)	3157
Host Europe GmbH	AMAZON-02 (AS16509)	19536
myhostadmin.net	CHINANET SiChuan Telecom Internet Data Center (AS38283)	7450
ename.net	CHINA UNICOM China169 Backbone (AS4837)	325
sharesdns.com	PEG-SV (AS54600)	123
nowcndns.com	PEG-SV (AS54600)	128102
Beijing Volcano Engine Technology Co., Ltd.	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	51
julydns.com	West263 International Limited (AS139021)	9225
longmingdns.com	PEG-SV (AS54600)	37923
CLOUDFLARENET	GNET INC. (AS9294)	7878
dnspod.net	Shenzhen Tencent Computer Systems Company Limited (AS45090)	32897
CLOUDFLARENET	Yancy Limited (AS138415)	5982
Hangzhou Alibaba Advertising Co.,Ltd.	Alibaba US Technology Co., Ltd. (AS45102)	26114
dnsnw.com	LUOGELANG FRANCE LIMITED (AS135097)	1559
CHINANET Guangdong province network	CHINANET Guangdong province network (AS134764)	175
myhostadmin.net	Cloudie Limited (AS55933)	2307
myhostadmin.net	LUOGELANG FRANCE LIMITED (AS135097)	8295
dnspod.net	CHINA UNICOM China169 Backbone (AS4837)	2198
nowcndns.com	UNIT A17,9F SILVERCORP INTL TOWER 707-713 NATHAN RD (AS134175)	14436
longmingdns.com	POWER LINE DATACENTER (AS132839)	2178
longmingdns.com	PEG-HK (AS398478)	3511
dnspod.net	ASLINE LIMITED (AS137951)	3334
julydns.com	OWGELS INTERNATIONAL CO., LIMITED (AS139880)	4802
julydns.com	GNET INC. (AS9294)	18129
szhot.com	Chinanet (AS4134)	79
CLOUDFLARENET	CNSERVERS (AS40065)	6700
CHINANET Guangdong province network	Tencent Building, Kejizhongyi Avenue (AS132203)	26
myhostadmin.net	POWER LINE DATACENTER (AS132839)	2499
imadiff.com	Mediactive SAS (AS197133)	1
dns.com	ASLINE LIMITED (AS137951)	1644
22.cn	LUOGELANG FRANCE LIMITED (AS135097)	302
longmingdns.com	PEG-LA (AS398823)	17798
Hangzhou Alibaba Advertising Co.,Ltd.	ENZUINC (AS18978)	7979
Hangzhou Alibaba Advertising Co.,Ltd.	CNSERVERS (AS40065)	7197
dnsnw.com	CHINANET SiChuan Telecom Internet Data Center (AS38283)	82
CLOUDFLARENET	LARUS Limited (AS17561)	279
myhostadmin.net	Alibaba US Technology Co., Ltd. (AS45102)	1639
nowcndns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	270
CLOUDFLARENET	POWER LINE DATACENTER (AS132839)	8709
dnspod.net	Alibaba US Technology Co., Ltd. (AS45102)	2263
Hangzhou Alibaba Advertising Co.,Ltd.	Cloudie Limited (AS55933)	5756
nowcndns.com	OWS-NETWORK (AS984)	3839
julydns.com	LUOGELANG FRANCE LIMITED (AS135097)	4554
CLOUDFLARENET	LUOGELANG FRANCE LIMITED (AS135097)	9449
Hangzhou Alibaba Advertising Co.,Ltd.	IDC, China Telecommunications Corporation (AS23724)	729
myhostadmin.net	PEG-HK (AS398478)	738
ezdnscenter.com	China Telecom Group (AS4811)	1999
julydns.com	NOCIX (AS33387)	1455
Hangzhou Alibaba Advertising Co.,Ltd.	CHINATELECOM Jiangsu Suqian IDC network (AS137699)	43
julydns.com	ASLINE LIMITED (AS137951)	17148
CHINANET SiChuan Telecom Internet Data Center	CHINANET SiChuan Telecom Internet Data Center (AS38283)	2283
julydns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2168
NUCDN	Team Internet AG (AS61969)	195
Hangzhou Alibaba Advertising Co.,Ltd.	Beijing Guanghuan Xinwang Digital (AS55960)	136
Hangzhou Alibaba Advertising Co.,Ltd.	Jiangsu Wuxi International IDC network (AS138950)	52
myhostadmin.net	PEG-LA (AS398823)	1721
Hangzhou Alibaba Advertising Co.,Ltd.	OVH SAS (AS16276)	225
ezdnscenter.com	Netsec Limited (AS45753)	8
julydns.com	PEG-SG (AS394432)	1257
IONOS SE	united-domains GmbH (AS202108)	2177
myhostadmin.net	AROSS-AS (AS400619)	2793
judns.com	DXTL Tseung Kwan O Service (AS134548)	1450
com.cn	Chinanet (AS4134)	337
nowcndns.com	XRUI TECHNOLOGY LIMITED (AS153494)	737
