SECURITYSERVICES	NAMECHEAP-NET (AS22612)	1936
myhostadmin.net	Tencent Building, Kejizhongyi Avenue (AS132203)	14
CLOUDFLARENET	JSC IOT (AS29182)	1
dyns.cx	AMAZON-AES (AS14618)	1
net.au	SYNERGY WHOLESALE PTY LTD (AS45638)	5
CLOUDFLARENET	Miss Hosting AB (AS200719)	2
CLOUDFLARENET	AMAZON-02 (AS16509)	1075
CLOUDFLARENET	CLOUDFLARENET (AS13335)	2039
Safenames Ltd.	Safenames Ltd. (AS60819)	14
Host Europe GmbH	AMAZON-02 (AS16509)	397
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	58
awsdns-30.com	SQUARESPACE (AS53831)	1
accudns.net	Iomart Managed Services Limited (AS35425)	1
private-nameserver.net	NAMECRANE (AS46824)	1
CLOUDFLARENET	GO-DADDY-COM-LLC (AS398101)	1
SECURITYSERVICES	AMAZON-02 (AS16509)	198
xundns.com	19 Chun Wang Street, Tseung Kwan O Industrial Estate, N.T. Hong Kong (AS135581)	13
BIZLAND-SD	BIZLAND-SD (AS29873)	7
directnic.com	TP (AS399522)	15
CLOUDFLARENET	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	1
msit.systems	Hetzner Online GmbH (AS24940)	1
Signet B.V.	Signet B.V. (AS20857)	150
1and1-dns.com	IONOS SE (AS8560)	1
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	48
CLOUDFLARENET	CTG Server Limited (AS152194)	97
CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	57
one.com	One.com A/S (AS51468)	27
Hangzhou Alibaba Advertising Co.,Ltd.	CHINA UNICOM China169 Backbone (AS4837)	1
omc-dns.com	OMCnet Internet Service GmbH (AS15388)	3
CLOUDFLARENET	Hostinger International Limited (AS47583)	166
hostplay.com	Iws Networks LLC (AS199968)	2
cloudns.net	Hetzner Online GmbH (AS24940)	3
CLOUDFLARENET	Cgi Global Limited (AS56971)	1
AMAZON-02	GOOGLE (AS15169)	15
AMAZON-02	OVH SAS (AS16276)	27
CLOUDFLARENET	FASTLY (AS54113)	46
anno.com	DFW-DATACENTER (AS30277)	1
CLOUDFLARENET	Netsec Limited (AS45753)	71
hosttech.ch	BSE Software GmbH (AS9044)	1
ellipsis.cx	Akamai Connected Cloud (AS63949)	1
SECURITYSERVICES	WEEBLY (AS27647)	1
uk2.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
AMAZON-02	Ddos-guard Ltd (AS57724)	1
GANDI SAS	UpCloud Ltd (AS202053)	1
ddns.mx	WIIT AG (AS24961)	1
CLOUDFLARENET	Fastmail Pty Ltd (AS151847)	30
GANDI SAS	GANDI SAS (AS29169)	43
secureserver.net	GO-DADDY-COM-LLC (AS398101)	1
sedoparking.com	SEDO GmbH (AS47846)	119
ab stract ltd	ab stract ltd (AS39287)	10
ad.jp	KDDI Web Communications Inc. (AS9597)	1
IONOS SE	united-domains GmbH (AS202108)	44
CLOUDFLARENET	IONOS SE (AS8560)	5
CLOUDFLARENET	Cloudie Limited (AS55933)	10
CLOUDFLARENET	Citytelecom LLC (AS29076)	1
grote.net	Signet B.V. (AS35470)	1
sucuridns.com	SUCURI-SEC (AS30148)	1
OVH SAS	OVH SAS (AS16276)	49
ne.jp	SAKURA Internet Inc. (AS7684)	1
IONOS SE	Contabo GmbH (AS51167)	2
AMAZON-AES	AMAZON-AES (AS14618)	96
NSONE	AMAZON-02 (AS16509)	109
co.uk	AMAZON-02 (AS16509)	8
SECURITYSERVICES	CLOUDFLARENET (AS13335)	31
Akamai Connected Cloud	Akamai Connected Cloud (AS63949)	5
CLOUDFLARENET	DREAMHOST-AS (AS26347)	66
CLOUDFLARENET	Deutsche Telekom AG (AS3320)	4
dnspod.net	Chinanet (AS4134)	3
AMAZON-02	AMAZON-02 (AS16509)	12
myhostadmin.net	QUICKPACKET (AS46261)	1
ab stract ltd	Gigabit Hosting Sdn Bhd (AS55720)	1
MICROSOFT-CORP-MSN-AS-BLOCK	CLOUDFLARENET (AS13335)	2
ipcom GmbH	InterNetworX Management GmbH (AS48596)	4
CLOUDFLARENET	OVH SAS (AS16276)	28
CLOUDFLARENET	PONYNET (AS53667)	59
NetActuate, Inc	Hosting technology LTD (AS48282)	1
SECURITYSERVICES	CSC (AS19574)	31
SECURITYSERVICES	FASTLY (AS54113)	40
1and1-dns.biz	IONOS SE (AS8560)	2
SECURITYSERVICES	NL-811-40021 (AS40021)	3
Knipp Medien und Kommunikation GmbH	ScaleUp Technologies GmbH & Co. KG (AS29014)	73
AS-VULTR	AS-VULTR (AS20473)	10
CLOUDFLARENET	XNNET (AS932)	6
G-Core Labs S.A.	DXTL Tseung Kwan O Service (AS134548)	40
SECURITYSERVICES	Zomro B.V. (AS204601)	3
bodis.com	AMAZON-02 (AS16509)	32
access.net	PANIX (AS2033)	1
GOOGLE	Wix.com Ltd. (AS58182)	22
NSONE	SEDO GmbH (AS47846)	13
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	25
galea.cx	Aussie Broadband (AS4764)	1
AMAZON-02	Team Internet AG (AS206834)	35
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	20
myhostadmin.net	AMAZON-AES (AS14618)	1
CLOUDFLARENET	FD-298-8796 (AS8796)	28
ludeksterba.cz	Dragon Internet a.s. (AS15614)	1
SECURITYSERVICES	Cloudflare London, LLC (AS209242)	23
dnsimple.com	AMAZON-02 (AS16509)	1
Hostinger International Limited	Hostinger International Limited (AS47583)	6
medima.cz	T-Mobile Czech Republic a.s. (AS13036)	2
DIGICERT	LeaseWeb Netherlands B.V. (AS60781)	1
NSONE	Servicos De Comunicacoes E Multimedia S.A. (AS3243)	1
xundns.com	GNET INC. (AS9294)	49
SECURITYSERVICES	Akamai Connected Cloud (AS63949)	42
SECURITYSERVICES	FLY (AS40509)	3
zoneedit.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
G-Core Labs S.A.	CTG Server Limited (AS152194)	9
CLOUDFLARENET	IT7NET (AS25820)	18
NForce Entertainment B.V.	THEOPT-HOU (AS40156)	1
CLOUDFLARENET	DXTL Tseung Kwan O Service (AS134548)	19
Host Europe GmbH	INMOTION (AS22611)	29
CLOUDFLARENET	UCLOUD INFORMATION TECHNOLOGY HK LIMITED (AS135377)	12
megahost.xyz	Hetzner Online GmbH (AS24940)	3
CLOUDFLARENET	Antbox Networks Limited (AS138995)	6
online.net	Scaleway S.a.s. (AS12876)	2
CLOUDFLARENET	NTT-DATA-2914 (AS2914)	1
Host Europe GmbH	DEDICATED (AS63018)	1
BIZLAND-SD	WIIT AG (AS24961)	1
ORACLE-BMC-31898	AMAZON-AES (AS14618)	1
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	25
SECURITYSERVICES	UpCloud Ltd (AS202053)	1
cloudns.net	AMAZON-02 (AS16509)	5
bandsal.at	OVH SAS (AS16276)	3
SECURITYSERVICES	OVH SAS (AS16276)	21
Hetzner Online GmbH	IONOS SE (AS8560)	2
GANDI SAS	GOOGLE (AS15169)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	67
texaserve.com	WHG Hosting Services Ltd (AS14670)	1
vngdns.net	VNG Corporation (AS38244)	1
myhostadmin.net	China Telecom (AS151185)	1
xundns.com	LUOGELANG FRANCE LIMITED (AS135097)	1
NSONE	GOOGLE-CLOUD-PLATFORM (AS396982)	2
CLOUDFLARENET	China Unicom Beijing Province Network (AS4808)	1
muumuu-domain.com	GMO Internet Group, Inc. (AS7506)	14
SECURITYSERVICES	WII (AS32097)	1
lolipop.jp	GMO Internet Group, Inc. (AS58791)	1
awsdns-02.net	AMAZON-02 (AS16509)	1
dnsip.com	AS-COLOCROSSING (AS36352)	2
KDDI CORPORATION	KDDI CORPORATION (AS2516)	5
CLOUDFLARENET	IPLUS LLC (AS43060)	1
phase8.net	Team Blue Internet Services Uk Limited (AS8622)	1
ab stract ltd	AMAZON-02 (AS16509)	5
CLOUDFLARENET	NL-811-40021 (AS40021)	8
xel.nl	BIT BV (AS12859)	1
CLOUDFLARENET	Contabo GmbH (AS51167)	12
dnspod.net	Tencent Building, Kejizhongyi Avenue (AS132203)	5
