CLOUDFLARENET	CLOUDFLARENET (AS13335)	1051
AMAZON-02	A2HOSTING (AS55293)	32
co.uk	IONOS SE (AS8560)	6
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	305
NUCDN	Team Internet AG (AS61969)	52
edrive-hosting.cz	LiveSport s.r.o. (AS52130)	3
netim.net	Eurofiber France SAS (AS24935)	144
CLOUDFLARENET	AMAZON-02 (AS16509)	82
AMAZON-02	GOOGLE (AS15169)	187
linode.com	Akamai Connected Cloud (AS63949)	5
CLOUDFLARENET	Hostinger International Limited (AS47583)	161
SECURITYSERVICES	CSC (AS19574)	77
datapack.net	Hetzner Online GmbH (AS24940)	1
gransy.com	CASABLANCA INT a.s. (AS15685)	17
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	28
WHG Hosting Services Ltd	WHG Hosting Services Ltd (AS14670)	41
world4you.at	World4You Internet Services GmbH (AS38955)	17
multiserver.gr	Combell NV (AS34762)	1
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	59
happybyte.gr	Hetzner Online GmbH (AS24940)	3
tierra.net	TIERRANET (AS10732)	2
ipcom GmbH	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
Dataspace P.s.a.	Dataspace P.s.a. (AS50599)	10
Logosnet Services Limited	Logosnet Services Limited (AS5504)	2
elcoserv.com	LeaseWeb Netherlands B.V. (AS60781)	1
Host Europe GmbH	Contabo GmbH (AS51167)	2
nic.ru	Jsc ru-center (AS48287)	1
NUCDN	Hetzner Online GmbH (AS24940)	2
Safenames Ltd.	Safenames Ltd. (AS60819)	51
DEFENSE-NET	Hetzner Online GmbH (AS24940)	49
IONOS SE	IONOS SE (AS8560)	16
netim.net	HOSTWINDS (AS54290)	2
CLOUDFLARENET	LeaseWeb Netherlands B.V. (AS60781)	2
virtualict.com	Combell NV (AS34762)	1
GANDI SAS	GANDI SAS (AS29169)	56
hostven07.com	Arvid Logicum OU (AS202376)	1
WHG Hosting Services Ltd	UNIFIEDLAYER-AS-1 (AS46606)	1
Vautron Rechenzentrum AG	Vautron Rechenzentrum AG (AS25504)	20
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	43
CLOUDFLARENET	Contabo GmbH (AS51167)	14
dnsv2.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
inmotionhosting.com	INMOTION (AS22611)	10
Business System Telehouse, Ooo	Business System Telehouse, Ooo (AS47440)	4
WHG Hosting Services Ltd	Hetzner Online GmbH (AS24940)	2
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	14
CLOUDFLARENET	Cablenet Communication Systems plc (AS35432)	5
NUCDN	AMAZON-02 (AS16509)	9
Combell NV	Combell NV (AS34762)	45
WorldStream B.V.	WorldStream B.V. (AS49981)	6
ZONER a.s.	ZONER a.s. (AS34222)	4
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	29
Akamai International B.V.	Akamai International B.V. (AS20940)	12
nameshield.net	Nameshield SAS (AS20756)	41
managed-ip.com	SysEleven GmbH (AS25291)	1
GOOGLE	Wix.com Ltd. (AS58182)	118
antasia.cy	Ultahost, Inc. (AS214036)	1
Cablenet Communication Systems plc	Cablenet Communication Systems plc (AS35432)	1
fozzy.com	Webzilla B.V. (AS35415)	7
GOOGLE	SINGLEHOP-LLC (AS32475)	2
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	52
CLOUDFLARENET	GO-DADDY-COM-LLC (AS398101)	3
Neue Medien Muennich GmbH	Hetzner Online GmbH (AS24940)	1
Host Europe GmbH	AMAZON-02 (AS16509)	42
abdns.biz	Aruba S.p.A. (AS31034)	2
CLOUDFLARENET	UAB Interneto vizija (AS212531)	10
Combell NV	ENARTIA Single Member S.A. (AS199246)	1
itgrator.org	Hetzner Online GmbH (AS24940)	1
web4u.cz	Web4U s.r.o. (AS39790)	1
OVH SAS	OVH SAS (AS16276)	40
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	32
CLOUDFLARENET	SpeedyPage Ltd (AS142594)	1
nscluster.ee	AMAZON-02 (AS16509)	1
ZONER a.s.	Vodafone Czech Republic a.s. (AS16019)	1
srvrec.com	OVH SAS (AS16276)	6
ipcom GmbH	AMAZON-02 (AS16509)	27
netim.net	JSC ER-Telecom Holding (AS41733)	4
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	21
Host Europe GmbH	Hetzner Online GmbH (AS24940)	14
mvps-hosted.com	MVPS LTD (AS202448)	3
upress.io	uPress Inc (AS209622)	1
