IONOS SE	IONOS SE (AS8560)	721267
timmehosting.de	Hetzner Online GmbH (AS24940)	4642
Signet B.V.	Signet B.V. (AS20857)	8357
Host Europe GmbH	Host Europe GmbH (AS34011)	80110
AMAZON-02	Akamai Connected Cloud (AS63949)	19424
rzone.de	Strato GmbH (AS6724)	583144
dovendi.eu	Hetzner Online GmbH (AS24940)	33117
IONOS SE	AMAZON-02 (AS16509)	5337
BitPoint AG	BitPoint AG (AS20791)	125
sedoparking.com	SEDO GmbH (AS47846)	192827
GOOGLE	SQUARESPACE (AS53831)	6255
rzone.de	IONOS SE (AS8560)	66834
redirectdom.com	Hetzner Online GmbH (AS24940)	150197
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	189018
netcup GmbH	netcup GmbH (AS197540)	79089
CLOUDFLARENET	CLOUDFLARENET (AS13335)	70353
SEDO GmbH	SEDO GmbH (AS47846)	253713
Neue Medien Muennich GmbH	CLOUDFLARENET (AS13335)	3717
ha-dns.net	Hetzner Online GmbH (AS24940)	1331
Hetzner Online GmbH	CLOUDFLARENET (AS13335)	620
snafu.de	snafu Gesellschaft fuer interaktive Netzwerke mbH (AS34171)	201
IONOS SE	Cloudflare London, LLC (AS209242)	1919
WIIT AG	WIIT AG (AS24961)	1967
DIGITALOCEAN-ASN	Stichting DIGI NL (AS206281)	2253
Host Europe GmbH	Host Europe GmbH (AS60253)	7926
lemarit.de	AS-VULTR (AS20473)	1435
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	259656
dnsservice.net	Aixit GmbH (AS29551)	26
bodis.com	AMAZON-02 (AS16509)	4440
powerdns.de	UD Media GmbH (AS199753)	4620
IONOS SE	united-domains GmbH (AS202108)	158115
Host Europe GmbH	netcup GmbH (AS197540)	1269
AMAZON-02	Team Internet AG (AS61969)	95774
PlusServer GmbH	AMAZON-02 (AS16509)	35
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	14672
Host Europe GmbH	Host Europe GmbH (AS21499)	89784
GOOGLE	Wix.com Ltd. (AS58182)	27238
TNG Stadtnetz GmbH	Contabo GmbH (AS51167)	8
Core-Backbone GmbH	Mittwald CM Service GmbH & Co. KG (AS15817)	28151
MICROSOFT-CORP-MSN-AS-BLOCK	Vodafone GmbH (AS3209)	20
ipcom GmbH	Hetzner Online GmbH (AS24940)	38352
netuse.de	AMAZON-02 (AS16509)	69
regfish GmbH	regfish GmbH (AS203560)	937
Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.	SOPRADO GmbH (AS20546)	1
Hostpoint AG	Hostpoint AG (AS29097)	11869
redtechnology.com	Red Technology Solutions Limited (AS47351)	3
checkdomain.de	Xirra GmbH (AS51191)	18319
MK Netzdienste GmbH & Co. KG	MK Netzdienste GmbH & Co. KG (AS25394)	22051
hostnet.nl	One.com A/S (AS51468)	5786
ri-solution.com	Deutsche Telekom AG (AS3320)	96
Claranet Limited	Claranet Limited (AS8426)	174
TelemaxX Telekommunikation GmbH	TelemaxX Telekommunikation GmbH (AS12843)	7287
Deutsche Post AG	Deutsche Post AG (AS12291)	46
velia.net Internetdienste GmbH	velia.net Internetdienste GmbH (AS29066)	1152
EVANZO e-commerce GmbH	EVANZO e-commerce GmbH (AS42730)	36231
second-ns.com	Hetzner Online GmbH (AS24940)	56801
etes.de	ETES GmbH (AS205890)	86
ns14.net	Hetzner Online GmbH (AS24940)	23453
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	1353
TNG Stadtnetz GmbH	TNG Stadtnetz GmbH (AS13101)	370
SECURITYSERVICES	Datagroup Se (AS198333)	72
