ignum.com	WEDOS Internet, a.s. (AS197019)	1
sedoparking.com	SEDO GmbH (AS47846)	51
bnamed.net	Enreach Netherlands B.V. (AS39647)	5
hostserv.eu	hosttech GmbH (AS207143)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	95
Host Europe GmbH	AUTOMATTIC (AS2635)	1
CLOUDFLARENET	INCAPSULA (AS19551)	8
pavietnam.vn	VNPT Corp (AS45899)	2
CLOUDFLARENET	CLOUDFLARENET (AS13335)	54
hostnet.nl	FASTLY (AS54113)	1
teamviewer.com	ANEXIA Internetdienstleistungs GmbH (AS42473)	1
checkdomain.de	Xirra GmbH (AS51191)	2
cloudns.net	Hetzner Online GmbH (AS24940)	1
colombiahosting.com	CLOUDFLARENET (AS13335)	1
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	6
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	5
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	2
toby-tec.de	aurologic GmbH (AS30823)	1
afraid.org	ZAYO-6461 (AS6461)	1
basvandisseldorp.nl	DODW Holding B.V. (AS61029)	1
2-host.de	velia.net Internetdienste GmbH (AS29066)	1
warrenasia.net	Liquid Web B.V. (AS201682)	1
GOOGLE	Wix.com Ltd. (AS58182)	10
markmonitor.com	AMAZON-02 (AS16509)	9
dns-servers.eu	Hotel Reservation Service Robert Ragge GmbH (AS28801)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS398787)	14
gransy.com	INTERNET CZ, a.s. (AS24806)	1
safenames.com	Safenames Ltd. (AS60819)	2
ignum.com	Webglobe, s.r.o. (AS29134)	7
hostingpalvelu.fi	Planeetta Internet Oy (AS58003)	1
CLOUDFLARENET	GOOGLE (AS15169)	2
SECURITYSERVICES	UPS (AS12217)	1
crazydomains.com	Dreamscape Networks Limited (AS38719)	2
domserver.de	InterNetX GmbH (AS15456)	1
madhosting.uk	20i Limited (AS48254)	2
bnamed.be	OVH SAS (AS16276)	2
bnamed.eu	AMAZON-02 (AS16509)	1
netim.net	FLY (AS40509)	1
AMAZON-02	GOOGLE (AS15169)	3
IONOS SE	IONOS SE (AS8560)	19
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	4
ns14.net	InterNetX GmbH (AS15456)	2
afraid.org	Cellcom Fixed Line Communication L.P (AS1680)	1
CLOUDFLARENET	JOESD-18501 (AS18501)	1
qth.nl	Strato GmbH (AS6724)	1
regery.net	Hetzner Online GmbH (AS24940)	1
ping.fr	OVH SAS (AS16276)	1
afraid.org	SOFTLAYER (AS36351)	1
hostnet.nl	One.com A/S (AS51468)	2
nicns.net	aurologic GmbH (AS30823)	3
register.eu	COMCAST-7922 (AS7922)	1
netflix.net	AMAZON-02 (AS16509)	1
combell.net	TUT-AS (AS53334)	1
Safenames Ltd.	Safenames Ltd. (AS60819)	4
1and1.com	IONOS SE (AS8560)	1
netim.net	Eurofiber France SAS (AS24935)	18
Hostpoint AG	Hostpoint AG (AS29097)	8
domain24.de	Key-Systems GmbH (AS13246)	3
OVH SAS	OVH SAS (AS16276)	9
DJIBOUTI TELECOM	IONOS SE (AS8560)	1
ne.jp	SAKURA Internet Inc. (AS9370)	4
awsdns-03.org	AMAZON-02 (AS16509)	1
volkswagen.de	Volkswagen AG (AS206618)	1
GANDI SAS	GANDI SAS (AS29169)	6
CLOUDFLARENET	POWER LINE DATACENTER (AS132839)	1
reymi.com	MOJOHOST (AS27589)	1
routing.net	Hosting.de GmbH (AS12574)	2
CLOUDFLARENET	SkyNet Ltd. (AS35807)	1
SECURITYSERVICES	CSC (AS19574)	11
Host Europe GmbH	Contabo GmbH (AS51167)	1
webhostbox.net	PUBLIC-DOMAIN-REGISTRY (AS394695)	1
register.eu	COLT Technology Services Group Limited (AS8220)	1
ipage.com	BIZLAND-SD (AS29873)	1
dns-parking.com	Hostinger International Limited (AS47583)	4
netclusive.net	Equinix (Germany) GmbH (AS24989)	1
co.uk	Zen Internet Ltd (AS13037)	1
dnspod.net	UCLOUD INFORMATION TECHNOLOGY HK LIMITED (AS135377)	1
register.it	OVH SAS (AS16276)	1
inwx.de	InterNetworX Management GmbH (AS48596)	3
zoneedit.com	EDNS (AS16686)	6
co.uk	20i Limited (AS48254)	1
IONOS SE	Cloudflare London, LLC (AS209242)	1
networkdns.biz	Synextra Limited (AS59778)	1
IONOS SE	united-domains GmbH (AS202108)	13
netim.net	ATT-INTERNET4 (AS7018)	1
co.uk	Iomart Managed Services Limited (AS39451)	1
aplus.net	INFB2-AS (AS30447)	1
dnsmadeeasy.com	HURRICANE (AS6939)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	14
CLOUDFLARENET	Alibaba US Technology Co., Ltd. (AS45102)	2
banahosting.com	SERVERCENTRAL (AS23352)	1
akam.net	Akamai International B.V. (AS20940)	1
1and1.fr	IONOS SE (AS8560)	1
axc.nl	CLDIN B.V. (AS48635)	1
DJIBOUTI TELECOM	DJIBOUTI TELECOM (AS30990)	5
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	5
dcube-resource.be	LeaseWeb Netherlands B.V. (AS60781)	1
unet.net	DataWeb Global Group B.V. (AS39572)	1
CLOUDFLARENET	FASTLY (AS54113)	3
no-ip.com	Aussie Broadband (AS4764)	1
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	2
mycyberhosting.com	atom86 BV (AS47543)	1
dieleman.nl	Uniserver Internet B.V. (AS31673)	1
CLOUDFLARENET	XMISSION (AS6315)	1
IONOS SE	DIGITALOCEAN-ASN (AS14061)	1
GANDI SAS	Infomaniak Network SA (AS29222)	1
mediatemple.net	GO-DADDY-COM-LLC (AS398101)	2
netim.net	OVH SAS (AS16276)	1
afraid.org	IWEB-AS (AS32613)	1
netsto.net	ORACLE-BMC-31898 (AS31898)	1
nameshield.net	Nameshield SAS (AS20756)	2
register.it	Register S.p.A. (AS39729)	5
mwebdns.de	ConnectingBytes GmbH (AS34568)	1
lh.pl	LH.pl Sp. z o.o. (AS203417)	2
cyberneticos.com	Cyberneticos Hosting SL (AS198968)	1
easydns.ca	EDNS (AS16686)	2
yourhostingaccount.com	BIZLAND-SD (AS29873)	3
future-s.com	Future Spirits Co.,Ltd. (AS23824)	1
register.be	Combell NV (AS34762)	1
efxi.net	GREENLIGHT-NETWORKS (AS31775)	1
world4you.at	World4You Internet Services GmbH (AS38955)	2
interna.me	IONOS SE (AS8560)	1
dn-s.nl	We Dare B.V. (AS20495)	1
ns14.net	netcup GmbH (AS197540)	1
opusnet.com	OPUS-INTERACTIVE-HIO1 (AS14380)	1
checkdomain.de	Hetzner Online GmbH (AS24940)	5
phase8.net	Team Blue Internet Services Uk Limited (AS8622)	14
akam.net	NCUBE-OREGON-AS (AS1219)	1
awsdns-25.net	AMAZON-02 (AS16509)	2
afraid.org	Team Blue Carrier Limited (AS29550)	1
zoneedit.com	OVH SAS (AS16276)	1
co.uk	AMAZON-02 (AS16509)	3
millenniumarts.net	Hetzner Online GmbH (AS24940)	1
namecheaphosting.com	NAMECHEAP-NET (AS22612)	1
afternic.com	AMAZON-02 (AS16509)	2
awsdns-01.org	AMAZON-02 (AS16509)	1
eleven2.com	IHNET (AS33494)	1
q0.ru	QWARTA LLC (AS50214)	1
eurodns.com	Julius Blum GmbH (AS197964)	1
yourhostingaccount.com	WII (AS32097)	1
NSONE	Cloudflare London, LLC (AS209242)	1
trouble-free.net	IS-AS-1 (AS19318)	1
mydns.jp	Sony Network Communications Inc. (AS2527)	1
co.uk	Zycomm Electronics Limited (AS39875)	1
first-ns.de	Hetzner Online GmbH (AS24940)	1
afraid.org	JSC ER-Telecom Holding (AS51645)	1
awsdns-41.com	AMAZON-02 (AS16509)	1
infomaniak.ch	Infomaniak Network SA (AS29222)	2
dogado.de	dogado GmbH (AS8648)	1
gransy.com	CASABLANCA INT a.s. (AS15685)	3
awsdns-21.net	Green Floid LLC (AS50979)	1
eurodns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
webair.net	WEBAIR-INTERNET (AS27257)	1
hostwindsdns.com	HOSTWINDS (AS54290)	1
dns1.de	Hetzner Online GmbH (AS24940)	1
hagehosting.com	Signet B.V. (AS20857)	1
secureparkme.com	Dreamscape Networks Limited (AS38719)	1
AMAZON-02	CLOUDFLARENET (AS13335)	1
powweb.com	BIZLAND-SD (AS29873)	2
perf1.com	Nameshield SAS (AS20756)	3
netsto.net	CTG Server Limited (AS152194)	1
