hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	54
CLOUDFLARENET	AMAZON-02 (AS16509)	301
CLOUDFLARENET	FASTLY (AS54113)	44
cloudflare.com	CLOUDFLARENET (AS13335)	1077
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	486
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	58
CLOUDFLARENET	DREAMHOST-AS (AS26347)	69
markmonitor.com	AMAZON-02 (AS16509)	162
CLOUDFLARENET	CLOUDFLARENET (AS13335)	175
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	50
CLOUDFLARENET	Hostinger International Limited (AS47583)	231
AMAZON-02	OVH SAS (AS16276)	122
Safenames Ltd.	Safenames Ltd. (AS60819)	33
cloudflare.com	AMAZON-02 (AS16509)	128
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	39
IONOS SE	IONOS SE (AS8560)	66
Host Europe GmbH	AMAZON-02 (AS16509)	91
CLOUDFLARENET	AMAZON-AES (AS14618)	34
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	35
awsdns-06.net	AMAZON-02 (AS16509)	1
OVH SAS	OVH SAS (AS16276)	102
CLOUDFLARENET	GO-DADDY-COM-LLC (AS400754)	5
hostgator.com	INCAPSULA (AS19551)	2
NUCDN	DIGITALOCEAN-ASN (AS14061)	2
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	39
awsdns-07.net	AMAZON-02 (AS16509)	1
kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	115
DinaHosting S.L.	DinaHosting S.L. (AS42612)	17
net.do	GOOGLE-CLOUD-PLATFORM (AS396982)	1
sitesbythey.com	PDC-BGP (AS395584)	1
CLOUDFLARENET	Leaseweb UK Limited (AS205544)	2
Akamai International B.V.	Akamai International B.V. (AS20940)	17
SECURITYSERVICES	SECURITYSERVICES (AS12008)	14
beget.com	Beget LLC (AS198610)	3
Telefonica De Espana S.a.u.	Telefonica De Espana S.a.u. (AS3352)	5
HVC-AS	HVC-AS (AS29802)	99
NSONE	AMAZON-02 (AS16509)	46
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	33
timeweb.org	TimeWeb LLC (AS9123)	2
evoletpharma.com	UNIFIEDLAYER-AS-1 (AS46606)	1
DIGITALOCEAN-ASN	OVH SAS (AS16276)	12
awsdns-19.com	OVH SAS (AS16276)	1
CLOUDFLARENET	IONOS SE (AS8560)	10
cloudflare.com	SEDO GmbH (AS47846)	1
CLOUDFLARENET	Netsons s.r.l. (AS60087)	3
sanofi-synthelabo.com	AMAZON-02 (AS16509)	1
tal.de	tal.de GmbH (AS8820)	1
Akamai International B.V.	AMAZON-02 (AS16509)	2
Signet B.V.	Signet B.V. (AS20857)	31
CLOUDFLARENET	Bharti Airtel Ltd., Telemedia Services (AS24560)	1
dnspod.net	CLOUDFLARENET (AS13335)	1
CLOUDFLARENET	INCAPSULA (AS19551)	164
CLOUDFLARENET	DinaHosting S.L. (AS42612)	3
aofk.com	AMAZON-02 (AS16509)	2
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	79
CLOUDFLARENET	WEBINT (AS11989)	1
domainoo.fr	Planet Service SARL (AS61168)	2
CLOUDFLARENET	SQUARESPACE (AS53831)	30
byethost7.org	Wildcard UK Limited (AS34119)	2
sedoparking.com	SEDO GmbH (AS47846)	43
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	27
Cloud DNS Ltd	HVC-AS (AS29802)	15
bearingpoint.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
CLOUDFLARENET	AUTOMATTIC (AS2635)	4
MICROSOFT-CORP-MSN-AS-BLOCK	Dattatec.com (AS27823)	1
gransy.com	skHosting.eu s.r.o. (AS201702)	1
CLOUDFLARENET	CLDIN B.V. (AS48635)	1
ACTIVE 24, s.r.o.	GOOGLE-CLOUD-PLATFORM (AS396982)	1
hp.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	GOOGLE (AS15169)	16
ipower.com	BIZLAND-SD (AS29873)	1
