CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	164
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	2116
Zone Media OU	AMAZON-02 (AS16509)	412
sedoparking.com	SEDO GmbH (AS47846)	508
Radicenter OU	Radicenter OU (AS216263)	2498
Telia Eesti AS	Elkdata OU (AS61189)	11612
Zone Media OU	Zone Media OU (AS49604)	29696
serveriai.lt	UAB Interneto vizija (AS212531)	1226
bmlg.eu	Zone Media OU (AS49604)	34
G-Core Labs S.A.	UNIT A17,9F SILVERCORP INTL TOWER 707-713 NATHAN RD (AS134175)	27
Safenames Ltd.	Safenames Ltd. (AS60819)	76
CLOUDFLARENET	CLOUDFLARENET (AS13335)	4074
Telia Eesti AS	FASTLY (AS54113)	50
contabo.net	Contabo GmbH (AS51167)	36
Hangzhou Alibaba Advertising Co.,Ltd.	CHINA UNICOM China169 Backbone (AS4837)	1
brainstorm.ee	Hetzner Online GmbH (AS24940)	1
G-Core Labs S.A.	DXTL Tseung Kwan O Service (AS134548)	123
netim.net	Eurofiber France SAS (AS24935)	878
Telia Eesti AS	CLOUDFLARENET (AS13335)	234
GOOGLE	Deda Tech SRL (AS24817)	1
SECURITYSERVICES	AMAZON-02 (AS16509)	44
CLOUDFLARENET	AMAZON-02 (AS16509)	362
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	99
Compic OU	Compic OU (AS39823)	355
Host Europe GmbH	AMAZON-02 (AS16509)	367
NSONE	AMAZON-02 (AS16509)	137
SECURITYSERVICES	SERVERCENTRAL (AS23352)	1
CLOUDFLARENET	Radicenter OU (AS216263)	2
Tele2 SWIPnet	Zone Media OU (AS49604)	6
Telia Eesti AS	Telia Eesti AS (AS3249)	2254
markmonitor.zone	AMAZON-02 (AS16509)	34
dnsbackup.net	Webglobe, s.r.o. (AS29134)	3
Zone Media OU	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	56
virtuaal.com	Virtuaal.com OU (AS205930)	1010
MICROSOFT-CORP-MSN-AS-BLOCK	Unilever PLC (AS21188)	1
serveriai.lt	UAB Baltnetos komunikacijos (AS15440)	9
Telia Eesti AS	DIGITALOCEAN-ASN (AS14061)	51
xundns.com	SonderCloud Limited (AS133199)	5
Telia Eesti AS	Tilda Publishing Ltd. (AS205282)	16
G-Core Labs S.A.	CTG Server Limited (AS152194)	64
Telia Eesti AS	UpCloud Ltd (AS202053)	9
IONOS SE	united-domains GmbH (AS202108)	207
cloudns.net	FASTLY (AS54113)	2
Hostpoint AG	Hostpoint AG (AS29097)	19
0800freecall.ch	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	INCAPSULA (AS19551)	250
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	51
Zone Media OU	Hetzner Online GmbH (AS24940)	415
OU Interframe	Garmtech Lp (AS43108)	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	67
Zone Media OU	Telia Lietuva, AB (AS43811)	5
NUCDN	Corpex Internet GmbH (AS39227)	1
GOOGLE	Wix.com Ltd. (AS58182)	745
alphahost.lv	Media Partners Sia (AS199558)	1
AMAZON-02	SINGLEHOP-LLC (AS32475)	13
register.it	Register S.p.A. (AS39729)	72
maximagroup.eu	SIA Tet (AS12578)	1
Zone Media OU	DIGITALOCEAN-ASN (AS14061)	175
CITIC Telecom CPC Netherlands B.V.	INCAPSULA (AS19551)	2
Telia Eesti AS	SONICTEST Ltd. (AS57873)	13
AMAZON-02	SECURITYSERVICES (AS12008)	2
Telia Eesti AS	Zone Media OU (AS49604)	949
Zone Media OU	ORACLE-BMC-31898 (AS31898)	24
Zone Media OU	WEEBLY (AS27647)	46
eurodns.biz	AMAZON-02 (AS16509)	1
G-Core Labs S.A.	POWER LINE DATACENTER (AS132839)	65
AMAZON-02	OVH SAS (AS16276)	199
G-Core Labs S.A.	XRUI TECHNOLOGY LIMITED (AS153494)	298
netim.net	CLOUDFLARENET (AS13335)	22
Radicenter OU	Zone Media OU (AS49604)	50
AS-VULTR	AS-VULTR (AS20473)	19
SECURITYSERVICES	CSC (AS19574)	509
extranet.ee	AS STV (AS61307)	35
Telia Eesti AS	Cloudflare London, LLC (AS209242)	33
beehosting.pro	Hetzner Online GmbH (AS24940)	172
netcup GmbH	netcup GmbH (AS197540)	26
Zone Media OU	Telia Eesti AS (AS3249)	396
NUCDN	Datacenter Luxembourg S.A. (AS24611)	212
Zone Media OU	Aktsiaselts WaveCom (AS34702)	65
Telia Eesti AS	SQUARESPACE (AS53831)	99
netim.net	Miss Hosting AB (AS200719)	1
european-server.com	Combell NV (AS34762)	6
CLOUDFLARENET	NAMECHEAP-NET (AS22612)	1
BEIT GmbH	BEIT GmbH (AS211784)	10
Aktsiaselts WaveCom	Aktsiaselts WaveCom (AS34702)	678
BUNNYWAY, informacijske storitve d.o.o.	Contabo GmbH (AS51167)	2
Information System Authority	Aktsiaselts WaveCom (AS34702)	1
Institute of Mathematics and Computer Science of University of Latvia	Institute of Mathematics and Computer Science of University of Latvia (AS5538)	33
Zone Media OU	Ddos-guard Ltd (AS57724)	47
CITIC Telecom CPC Netherlands B.V.	CITIC Telecom CPC Netherlands B.V. (AS3327)	41
Telia Eesti AS	Wix.com Ltd. (AS58182)	29
Zone Media OU	FASTLY (AS54113)	143
Telia Eesti AS	GleSYS AB (AS35382)	2
cloudns.net	Scalaxy B.V. (AS58061)	3
Telia Eesti AS	AMAZON-02 (AS16509)	183
SECURITYSERVICES	UAB Interneto vizija (AS212531)	1
Zone Media OU	Elkdata OU (AS61189)	99
combell.net	Combell NV (AS34762)	26
GleSYS AB	GleSYS AB (AS35382)	13
loginet.ee	Loginet Solutions LLC (AS60415)	83
Zone Media OU	IONOS SE (AS8560)	11
AS INFONET	AMAZON-02 (AS16509)	3
MICROSOFT-CORP-MSN-AS-BLOCK	Zone Media OU (AS49604)	94
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	44
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	33
MICROSOFT-CORP-MSN-AS-BLOCK	SIA BITE Latvija (AS2588)	1
CLOUDFLARENET	Contabo GmbH (AS51167)	21
Zone Media OU	OVH SAS (AS16276)	65
CLOUDFLARENET	NHNCLOUD (AS45974)	2
dhosting.pl Sp. z o.o.	dhosting.pl Sp. z o.o. (AS48896)	7
afraid.org	Telia Eesti AS (AS3249)	8
Zone Media OU	Cloudflare London, LLC (AS209242)	57
Telia Eesti AS	AMAZON-AES (AS14618)	15
Signet B.V.	Signet B.V. (AS20857)	153
Telia Eesti AS	Hetzner Online GmbH (AS24940)	111
SCAAM0001	Host Europe GmbH (AS8972)	6
AMAZON-02	AMAZON-02 (AS16509)	344
Kernel AS	Kernel AS (AS39038)	234
G-Core Labs S.A.	NETLAB-SDN (AS979)	15
CLOUDFLARENET	Hostinger International Limited (AS47583)	362
ANEXIA Internetdienstleistungs GmbH	Tele2 SWIPnet (AS1257)	60
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	13
tns1.eu	Tarhely.Eu Szolgaltato Kft. (AS43359)	3
Host Europe GmbH	Elkdata OU (AS61189)	1
ipcom GmbH	AMAZON-02 (AS16509)	108
ports.se	Tele2 SWIPnet (AS1257)	84
AMAZON-AES	AMAZON-AES (AS14618)	41
interna.me	IONOS SE (AS8560)	33
Zone Media OU	Primend OU (AS215447)	15
RJ Network OU	RJ Network OU (AS202759)	94
NUCDN	Team Internet AG (AS61969)	159
Kernel AS	Hetzner Online GmbH (AS24940)	3
CLOUDFLARENET	Hetzner Online GmbH (AS213230)	2
Haridus- ja Teadusministeerium	Zone Media OU (AS49604)	36
Zone Media OU	netcup GmbH (AS197540)	16
CITIC Telecom CPC Netherlands B.V.	Zone Media OU (AS49604)	31
Radicenter OU	GOOGLE-CLOUD-PLATFORM (AS396982)	5
Zone Media OU	CLOUDFLARENET (AS13335)	422
123ns.de	'ingenit GmbH & Co. KG' (AS57376)	21
CLOUDFLARENET	Zone Media OU (AS49604)	77
linode.com	Akamai Connected Cloud (AS63949)	25
Zone Media OU	Wix.com Ltd. (AS58182)	47
serveriai.lt	AMAZON-AES (AS14618)	2
CLOUDFLARENET	netcup GmbH (AS197540)	7
Radicenter OU	WEEBLY (AS27647)	3
CLOUDFLARENET	CTG Server Limited (AS152194)	49
mz-mail.com	Hetzner Online GmbH (AS24940)	1
G-Core Labs S.A.	Hong Kong Zhengxing Technology Co., Ltd. (AS150706)	7
nmugroup.com	Nordisk Media Utveckling AB (AS204074)	20
Elisa Eesti AS	Telia Eesti AS (AS3249)	24
DIGITALOCEAN-ASN	AMAZON-02 (AS16509)	14
ORACLE-BMC-31898	ORACLE-BMC-31898 (AS31898)	7
IONOS SE	IONOS SE (AS8560)	25
Zone Media OU	Tilda Publishing Ltd. (AS205282)	142
yx.ee	Aktsiaselts WaveCom (AS34702)	14
nicns.net	OVH SAS (AS16276)	4
CLOUDFLARENET	JSC RTComm.RU (AS8342)	1
cdk.com	CDK-GLOBAL (AS40443)	2
ns14.net	InterNetX GmbH (AS15456)	33
awsdns-11.org	AMAZON-02 (AS16509)	1
Server Farm LLC	Server Farm LLC (AS202635)	66
Elisa Oyj	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	1
Akamai Connected Cloud	Synextra Limited (AS59778)	8
Radicenter OU	CLOUDFLARENET (AS13335)	13
SERVERSTACK-ASN	SERVERSTACK-ASN (AS46652)	4
CLOUDFLARENET	Alibaba US Technology Co., Ltd. (AS45102)	21
AMAZON-02	GOOGLE (AS15169)	77
buyhost.eu	Compic OU (AS39823)	14
easydns.ca	Sky UK Limited (AS5607)	1
Zone Media OU	UpCloud Ltd (AS202053)	16
hostserv.eu	Hetzner Online GmbH (AS24940)	2
is-fun.net	TelemaxX Telekommunikation GmbH (AS12843)	21
Zone Media OU	UAB Interneto vizija (AS212531)	36
SECURITYSERVICES	Telia Company AB (AS3301)	2
UAB Interneto vizija	UAB Interneto vizija (AS212531)	115
AMAZON-02	Hostinger International Limited (AS47583)	2
netim.net	Contabo GmbH (AS51167)	3
Zone Media OU	Virtuaal.com OU (AS205930)	14
Zone Media OU	Elisa Eesti AS (AS2586)	114
Haridus- ja Teadusministeerium	Haridus- ja Teadusministeerium (AS3221)	59
Elisa Eesti AS	Elisa Eesti AS (AS2586)	152
ilait.se	Binero AB (AS35041)	1
wedos.com	WEDOS Internet, a.s. (AS197019)	3
tera.lt	UAB Cherry Servers (AS16125)	1
Information System Authority	Information System Authority (AS8240)	18
Cyber_Folks S.A.	Cyber_Folks S.A. (AS43758)	49
planeetta.net	Planeetta Internet Oy (AS58003)	5
serveriai.lt	Hetzner Online GmbH (AS24940)	7
CSC Telecom SIA	OU CSC Telecom Estonia (AS207872)	7
IONOS SE	Strato GmbH (AS6724)	1
Host Europe GmbH	Host Europe GmbH (AS21499)	24
Zone Media OU	GOOGLE-CLOUD-PLATFORM (AS396982)	126
Zone Media OU	SQUARESPACE (AS53831)	183
Zone Media OU	M247 Europe SRL (AS9009)	6
SIA BITE Latvija	Zone Media OU (AS49604)	1
ipcom GmbH	rh-tec Business GmbH (AS25560)	1
Gransy s.r.o.	Gransy s.r.o. (AS60592)	5
Telia Eesti AS	GOOGLE-CLOUD-PLATFORM (AS396982)	53
CLOUDFLARENET	Hong Kong Communications International Co., Limited (AS140227)	151
CLOUDFLARENET	Telia Eesti AS (AS3249)	95
Netnod AB	Adacor Hosting GmbH (AS42442)	10
YANDEX LLC	Aktsiaselts WaveCom (AS34702)	1
iptwins.com	OVH SAS (AS16276)	7
ipcom GmbH	CLOUDFLARENET (AS13335)	15
AMAZON-02	A2HOSTING (AS55293)	49
GANDI SAS	Firstline IT ApS (AS60153)	1
Telia Eesti AS	Signet B.V. (AS20857)	10
AMAZON-02	Aktsiaselts WaveCom (AS34702)	3
Telia Eesti AS	Institute of Mathematics and Computer Science of University of Latvia (AS5538)	2
AMAZON-02	Zone Media OU (AS49604)	14
hostns.io	Enix Ltd (AS52148)	3
Hangzhou Alibaba Advertising Co.,Ltd.	PEG-TY (AS398993)	1
awsdns-04.com	Zone Media OU (AS49604)	1
Zone Media OU	AMAZON-AES (AS14618)	45
netsite.dk	Netsite A/S (AS205206)	3
G-Core Labs S.A.	Dimension Network & Communication Limited (AS59371)	92
ipcom GmbH	Nazwa.pl Sp.z.o.o. (AS15967)	1
Zone Media OU	OU CSC Telecom Estonia (AS207872)	2
GANDI SAS	GANDI SAS (AS29169)	226
CLOUDFLARENET	OVH SAS (AS16276)	33
Tele2 SWIPnet	Tele2 SWIPnet (AS1257)	92
BIZLAND-SD	BIZLAND-SD (AS29873)	7
CLOUDFLARENET	FASTLY (AS54113)	33
Webhuset AS	Gigahost AS (AS56655)	1
CLOUDFLARENET	SQUARESPACE (AS53831)	14
huset.no	Compic OU (AS39823)	1
light.ee	Telia Eesti AS (AS3249)	2
markmonitor.com	T-Mobile Czech Republic a.s. (AS13036)	2
wiseman.ee	Tele2 SWIPnet (AS1257)	3
neodns.info	IS-AS-1 (AS19318)	1
bacloud.com	Informacines sistemos ir technologijos, UAB (AS61272)	3
augustfest.ee	Telia Eesti AS (AS3249)	1
AUTOMATTIC	AUTOMATTIC (AS2635)	77
com.ua	OVH SAS (AS16276)	1
DIGICERT	DIGICERT (AS16552)	50
markmonitor.com	AMAZON-02 (AS16509)	257
headoff.biz	i-Wet Ltd. (AS29122)	2
Elisa Oyj	Elisa Oyj (AS719)	3
JSC Selectel	Scalaxy B.V. (AS58061)	1
ipcom GmbH	InterNetworX Management GmbH (AS48596)	53
Zone Media OU	Information System Authority (AS56588)	9
NUCDN	Adam EcoTech, S.A (AS15699)	11
garmtech.com	Garmtech Lp (AS43108)	24
upgradehost.ru	Hetzner Online GmbH (AS24940)	1
hyperionworks.com	PDC-BGP (AS395584)	1
bodis.com	AMAZON-02 (AS16509)	68
Institute of Mathematics and Computer Science of University of Latvia	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Contabo GmbH	Contabo GmbH (AS51167)	28
Nordea Bank Abp	Nordea Bank Abp (AS201271)	1
keerub.ee	Telia Eesti AS (AS3249)	21
just.ee	CLOUDFLARENET (AS13335)	6
Zone Media OU	Astrec Data OU (AS201601)	27
Telia Eesti AS	Hostinger International Limited (AS47583)	11
GOOGLE	GOOGLE (AS15169)	8
G-Core Labs S.A.	CNSERVERS (AS40065)	125
linuxpl.com	Cyber_Folks S.A. (AS41079)	3
Hostinger International Limited	Hostinger International Limited (AS47583)	15
