ipcom GmbH	CLOUDFLARENET (AS13335)	77
ipcom GmbH	AMAZON-02 (AS16509)	340
ipcom GmbH	DIGITALOCEAN-ASN (AS14061)	37
hysing.is	Eimskip Island ehf (AS203322)	3
CLOUDFLARENET	UK Dedicated Servers Limited (AS42831)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	523
CLOUDFLARENET	INCAPSULA (AS19551)	23
netim.net	Eurofiber France SAS (AS24935)	30
yahoo.fo	NTT-DATA-2914 (AS2914)	1
gigahost.dk	Sentia Denmark A/S (AS16245)	20
CLOUDFLARENET	GOOGLE (AS15169)	4
AMAZON-02	DIGITALOCEAN-ASN (AS14061)	127
NUCDN	Datacenter Luxembourg S.A. (AS24611)	22
CLOUDFLARENET	AMAZON-02 (AS16509)	315
messagingengine.com	uvensys GmbH (AS58010)	1
julydns.com	Tencent Building, Kejizhongyi Avenue (AS132203)	1
CLOUDFLARENET	Hetzner Online GmbH (AS213230)	2
stabletransit.com	DIGITALOCEAN-ASN (AS14061)	3
MICROSOFT-CORP-MSN-AS-BLOCK	Rackspace Ltd. (AS15395)	1
SECURITYSERVICES	CSC (AS19574)	26
ipcom GmbH	Cloudflare London, LLC (AS209242)	7
CLOUDFLARENET	EWII Bredbaand A/S (AS48288)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	31
CLOUDFLARENET	team.blue Denmark A/S (AS48854)	12
team.blue Denmark A/S	team.blue Denmark A/S (AS48854)	264
afraid.org	SOFTLAYER (AS36351)	1
GOOGLE	Wix.com Ltd. (AS58182)	82
NSONE	AMAZON-02 (AS16509)	9
AMAZON-02	CLOUDFLARENET (AS13335)	6
spaceship.net	AMAZON-02 (AS16509)	4
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	29
one.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
CLOUDFLARENET	Wix.com Ltd. (AS58182)	6
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	11
CLOUDFLARENET	HKCLOUDX (AS62468)	1
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	6
team.blue Denmark A/S	Hetzner Online GmbH (AS24940)	2
team.blue Denmark A/S	DIGITALOCEAN-ASN (AS14061)	1
DIGICERT	team.blue Denmark A/S (AS48854)	16
CLOUDFLARENET	Hostinger International Limited (AS47583)	51
P/F Telefonverkid	P/F Telefonverkid (AS15389)	6
SECURITYSERVICES	SECURITYSERVICES (AS12008)	9
ipcom GmbH	P/F Telefonverkid (AS15389)	43
porsche.asia	Dr. Ing. h.c. F. Porsche AG (AS33848)	1
conova communications GmbH	LINZ STROM GAS WAERME GmbH fuer Energiedienstleistungen und Telekommunikation (AS35369)	5
ipcom GmbH	Host Europe GmbH (AS21499)	2
ipcom GmbH	OVH SAS (AS16276)	9
