OVH SAS	Infomaniak Network SA (AS29222)	3085
namebay.com	OVH SAS (AS16276)	2508
OVH SAS	AMAZON-02 (AS16509)	8834
OVH SAS	OVH SAS (AS16276)	646109
Groupe Serveur SAS	Groupe Serveur SAS (AS20672)	14
GANDI SAS	GANDI SAS (AS29169)	95380
IONOS SE	OVH SAS (AS16276)	4169
IONOS SE	IONOS SE (AS8560)	205622
ACTIVE 24, s.r.o.	WebSupport s.r.o. (AS51013)	492
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	1583
dovendi.eu	Hetzner Online GmbH (AS24940)	42941
dovendi.eu	AMAZON-02 (AS16509)	8492
nameshield.net	Nameshield SAS (AS20756)	7066
GOOGLE	Wix.com Ltd. (AS58182)	29881
Host Europe GmbH	AMAZON-02 (AS16509)	38120
CLDIN B.V.	CLDIN B.V. (AS48635)	1266
CLOUDFLARENET	Hostinger International Limited (AS47583)	47011
CLOUDFLARENET	FASTLY (AS54113)	245
GANDI SAS	Societe Francaise Du Radiotelephone - SFR SA (AS15557)	269
combell.net	Combell NV (AS34762)	2071
SECURITYSERVICES	CSC (AS19574)	16344
lwsdns.com	Groupe LWS SARL (AS210403)	25933
host7x24.com	Register S.p.A. (AS39729)	883
AMAZON-02	DIGITALOCEAN-ASN (AS14061)	6432
NordNet SA	NordNet SA (AS8362)	9712
privianet.com	Privianet SARL (AS49328)	633
amenworld.com	Register S.p.A. (AS39729)	15829
O2switch SAS	O2switch SAS (AS50474)	56179
amenworld.com	Combell NV (AS34762)	1010
IONOS SE	CLOUDFLARENET (AS13335)	8726
plaindns.net	Register S.p.A. (AS39729)	797
Infomaniak Network SA	Infomaniak Network SA (AS29222)	9220
Groupe LWS SARL	Groupe LWS SARL (AS210403)	4671
CLOUDFLARENET	CLOUDFLARENET (AS13335)	60784
Safenames Ltd.	Safenames Ltd. (AS60819)	1013
NSONE	CLOUDFLARENET (AS13335)	3139
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	12054
OVH SAS	GANDI SAS (AS203476)	709
DIGICERT	TDC Holding A/S (AS3292)	1
NSONE	SQUARESPACE (AS53831)	998
amenworld.com	OVH SAS (AS16276)	981
mdwx.be	Signet B.V. (AS20857)	3
Renater	Cloud Temple SAS (AS33930)	11
infomaniak.com	Infomaniak Network SA (AS29222)	17423
Alpilink Cloud S.A.S.	Alpilink Cloud S.A.S. (AS35667)	3012
nom-domaine.fr	OVH SAS (AS16276)	4611
Scaleway S.a.s.	Scaleway S.a.s. (AS12876)	14453
IONOS SE	united-domains GmbH (AS202108)	5642
CLOUDFLARENET	OVH SAS (AS16276)	3018
Ans Academy Limited	NYnet Ltd (AS41484)	1
arkea.com	GOOGLE-CLOUD-PLATFORM (AS396982)	10
Infomaniak Network SA	OVH SAS (AS16276)	764
AUTOMATTIC	AUTOMATTIC (AS2635)	6815
OVH SAS	CLOUDFLARENET (AS13335)	9072
OVH SAS	SAS Nexylan (AS199758)	284
GOOGLE	CLOUDFLARENET (AS13335)	19043
Host Europe GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	245
Celeonet SAS	Celeonet SAS (AS31178)	901
opanda.fr	IONOS SE (AS8560)	1
OVH SAS	GOOGLE-CLOUD-PLATFORM (AS396982)	2382
pulsation.fr	Infoclip SA (AS24776)	2
OVH SAS	O2switch SAS (AS50474)	5799
NSONE	AMAZON-02 (AS16509)	2626
Cloud DNS Ltd	IONOS SE (AS8560)	34
CLOUDFLARENET	AMAZON-02 (AS16509)	4235
the-domains.website	AMAZON-02 (AS16509)	1000
GOOGLE	SQUARESPACE (AS53831)	8696
OVH SAS	Free SAS (AS12322)	2993
register.it	Team Blue Carrier Limited (AS29550)	6
one.com	One.com A/S (AS51468)	5291
GANDI SAS	SdV-Plurimedia (AS8839)	75
PLANETHOSTER-8	PLANETHOSTER-8 (AS53589)	11046
ipcom GmbH	IONOS SE (AS8560)	1824
dataxy.fr	OVH SAS (AS16276)	1434
ladoulatoutenbulles.fr	Groupe LWS SARL (AS210403)	1
PLANETHOSTER-8	GOOGLE (AS15169)	1
OVH SAS	FASTLY (AS54113)	1541
GANDI SAS	OVH SAS (AS16276)	12185
nameshield.net	GOOGLE-CLOUD-PLATFORM (AS396982)	86
ip-193-70-33.eu	OVH SAS (AS16276)	3
OVH SAS	DIGITALOCEAN-ASN (AS14061)	950
CLOUDFLARENET	Signet B.V. (AS20857)	194
OVH SAS	Team Internet AG (AS61969)	72
OVH SAS	Scaleway S.a.s. (AS12876)	6452
NUCDN	Datacenter Luxembourg S.A. (AS24611)	3386
ipcom GmbH	AMAZON-02 (AS16509)	7327
nameshield.net	OVH SAS (AS16276)	612
allianz.com	AMAZON-02 (AS16509)	2
perf1.com	Nameshield SAS (AS20756)	3788
AMAZON-02	Team Internet AG (AS61969)	4090
IONOS SE	Scaleway S.a.s. (AS12876)	849
sedoparking.com	SEDO GmbH (AS47846)	14240
OVH SAS	Orange (AS3215)	1923
managed-ip.com	InterNetX GmbH (AS15456)	174
AMAZON-02	OVH SAS (AS16276)	1974
co.uk	AMAZON-02 (AS16509)	1276
Scaleway S.a.s.	OVH SAS (AS16276)	2628
IDLINE SAS	COGENT-174 (AS174)	2
AMAZON-02	GOOGLE (AS15169)	1420
CLOUDFLARENET	WISTEE SAS (AS48594)	510
NordNet SA	OVH SAS (AS16276)	588
GANDI SAS	Free Pro SAS (AS30781)	1423
perf1.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	46
IONOS SE	AS-VULTR (AS20473)	63
hostingindustries.nl	Internet Vikings International AB (AS51747)	19
Host Europe GmbH	CLOUDFLARENET (AS13335)	2923
register.it	Register S.p.A. (AS39729)	1176
bearstech.net	Iguane Solutions SAS (AS39605)	7
