Gabon-Telecom	Gabon-Telecom (AS16058)	2
Hetzner Online GmbH	FASTLY (AS54113)	1
markmonitor.com	AMAZON-02 (AS16509)	105
CLOUDFLARENET	AMAZON-02 (AS16509)	52
netim.net	Eurofiber France SAS (AS24935)	59
GANDI SAS	OVH SAS (AS16276)	3
CLOUDFLARENET	xTom Japan Corporation (AS3258)	2
CLOUDFLARENET	CLOUDFLARENET (AS13335)	246
GANDI SAS	GANDI SAS (AS29169)	84
SECURITYSERVICES	CSC (AS19574)	58
lwsdns.com	Groupe LWS SARL (AS210403)	203
lwsdns.com	OVH SAS (AS16276)	16
NSONE	GOOGLE (AS15169)	3
CLOUDFLARENET	Hostinger International Limited (AS47583)	44
Safenames Ltd.	Safenames Ltd. (AS60819)	23
hostpoint.ch	AMAZON-02 (AS16509)	1
ipcom GmbH	Akamai Connected Cloud (AS63949)	5
share-dns.com	TERAEXCH (AS399077)	1
gransy.com	CASABLANCA INT a.s. (AS15685)	5
iptwins.com	OVH SAS (AS16276)	4
cetsi.eu	Claranet Limited (AS8426)	1
bengu.org	WIIT AG (AS24961)	1
freenom.com	AS-26496-GO-DADDY-COM-LLC (AS26496)	1
prodomaines.com	Bdl Systemes SAS (AS38926)	1
freenom.com	DFW-DATACENTER (AS30277)	1
IONOS SE	united-domains GmbH (AS202108)	17
SECURITYSERVICES	CSC Administrative Services Limited (AS34922)	1
perf1.com	Nameshield SAS (AS20756)	22
sedoparking.com	SEDO GmbH (AS47846)	6
prxy.biz	NForce Entertainment B.V. (AS43350)	1
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	41
dnsdialoga.com	AMAZON-AES (AS14618)	1
lwsdns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	3
ANINF	ANINF (AS37582)	82
atom.com	AMAZON-AES (AS14618)	4
eftydns.com	Signet B.V. (AS20857)	3
lws-hosting.com	Groupe LWS SARL (AS210403)	2
Gransy s.r.o.	Gransy s.r.o. (AS60592)	14
ANINF	Hostinger International Limited (AS47583)	1
netim.net	Hostinger International Limited (AS47583)	4
