MICROSOFT-CORP-MSN-AS-BLOCK	KYN-GTS (AS14904)	3
CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	24
CLOUDFLARENET	ATT-INTERNET4 (AS7018)	1
bodis.com	AMAZON-02 (AS16509)	11
CLOUDFLARENET	AMAZON-02 (AS16509)	196
vry.gd	IONOS SE (AS8560)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	266
fcomet.com	Akamai Connected Cloud (AS63949)	1
aplus.net	INFB2-AS (AS30447)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	18
webdiscount.net	WEBDISCOUNT GmbH & Co. KG (AS24637)	2
GANDI SAS	Scaleway S.a.s. (AS12876)	3
Hangzhou Alibaba Advertising Co.,Ltd.	IT7NET (AS25820)	9
netim.net	Eurofiber France SAS (AS24935)	15
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	15
markmonitor.com	AMAZON-02 (AS16509)	59
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	15
NUCDN	Team Internet AG (AS61969)	5
iwantmyname.net	WEEBLY (AS27647)	1
GANDI SAS	GANDI SAS (AS29169)	29
xundns.com	SonderCloud Limited (AS133199)	6
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	37
SECURITYSERVICES	CSC (AS19574)	37
CLOUDFLARENET	INCAPSULA (AS19551)	33
bravehost.com	COGENT-174 (AS174)	2
awsdns-20.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
dns.com	YISU CLOUD LTD (AS136970)	4
hoststar.hosting	Hetzner Online GmbH (AS24940)	1
1und1.de	IONOS SE (AS8560)	3
GANDI SAS	FASTLY (AS54113)	3
CLOUDFLARENET	AMAZON-AES (AS14618)	8
AMAZON-02	GOOGLE (AS15169)	9
Hangzhou Alibaba Advertising Co.,Ltd.	Alibaba US Technology Co., Ltd. (AS45102)	4
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	12
AMAZON-02	WHG Hosting Services Ltd (AS14670)	1
G-Core Labs S.A.	Dimension Network & Communication Limited (AS59371)	22
ropa GmbH	ropa GmbH (AS197637)	8
ipcom GmbH	InterNetworX Management GmbH (AS48596)	8
iptwins.com	OVH SAS (AS16276)	3
whirlpool.com	LUMOS (AS7795)	3
CLOUDFLARENET	China Telecom (AS140083)	1
GOOGLE	CSC (AS19574)	2
AMAZON-AES	AMAZON-AES (AS14618)	40
CLOUDFLARENET	CNSERVERS (AS40065)	24
xen.gd	Oy Crea Nova Hosting Solution Ltd (AS51765)	1
dnspod.net	Chinanet (AS4134)	1
dnspod.net	West263 International Limited (AS139021)	2
AMAZON-02	Team Internet AG (AS206834)	12
dnsexit.com	DIGICEL-OECS (AS33582)	2
SERVERSTACK-ASN	SERVERSTACK-ASN (AS46652)	7
CLOUDFLARENET	DREAMHOST-AS (AS26347)	14
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	8
osogrande.com	OGT-AS (AS2901)	1
1and1-dns.com	IONOS SE (AS8560)	2
co.uk	Kering SA (AS15422)	1
ipcom GmbH	DXC-AS3360 (AS3360)	1
awsdns-00.net	AMAZON-02 (AS16509)	2
CLOUDFLARENET	FD-298-8796 (AS8796)	3
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	4
dnspod.net	HanMing HK Limited (AS206888)	3
AMAZON-02	A2HOSTING (AS55293)	8
dnspod.net	Alibaba US Technology Co., Ltd. (AS45102)	2
CLOUDFLARENET	OVH SAS (AS16276)	8
IONOS SE	united-domains GmbH (AS202108)	23
sedo.com	SEDO GmbH (AS47846)	3
OVH SAS	OVH SAS (AS16276)	28
helloserver.win	DIGITALOCEAN-ASN (AS14061)	1
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	16
MICROSOFT-CORP-MSN-AS-BLOCK	GOOGLE-CLOUD-PLATFORM (AS396982)	3
dnsip.com	Netsec Limited (AS45753)	4
home.pl	Orange Polska Spolka Akcyjna (AS5617)	1
checkdomain.de	dogado GmbH (AS45012)	4
leaf.gd	GREX (AS14432)	4
awsdns-05.net	ATT-INTERNET4 (AS7018)	1
hyp.net	Domeneshop AS (AS12996)	12
dig.com	AMAZON-02 (AS16509)	1
hetzner.com	Hetzner Online GmbH (AS24940)	2
NSONE	AMAZON-02 (AS16509)	10
awsdns-00.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	NTT-DATA-2914 (AS2914)	1
