Caucasus Online Ltd.	Caucasus Online Ltd. (AS20771)	92
Georgian Research and Educational Networking Association (GRENA)	Georgian Research and Educational Networking Association (GRENA) (AS20545)	2777
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	746
proservice.ge	Proservice LLC (AS47810)	1387
CLOUDFLARENET	CLOUDFLARENET (AS13335)	2323
Akamai Connected Cloud	Akamai Connected Cloud (AS63949)	41
xundns.com	19 Chun Wang Street, Tseung Kwan O Industrial Estate, N.T. Hong Kong (AS135581)	2
cpanel.ge	Cloud 9 Ltd. (AS57814)	571
AMAZON-02	AMAZON-02 (AS16509)	251
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	61
JSCB Bank of Georgia	JSCB Bank of Georgia (AS48393)	105
CLOUDFLARENET	Hostinger International Limited (AS47583)	545
lemarit.de	LEMARIT GmbH (AS204135)	1
gov.ge	Tbilisi City Hall (AS201174)	6
Proservice LLC	Proservice LLC (AS47810)	846
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	287
CLOUDFLARENET	Tilda Publishing Ltd. (AS205282)	84
ultahost.com	firstcolo GmbH (AS44066)	4
Magticom Ltd.	Magticom Ltd. (AS16010)	335
GOOGLE	Wix.com Ltd. (AS58182)	367
CLOUDFLARENET	Ddos-guard Ltd (AS57724)	40
Host Europe GmbH	DIGITALOCEAN-ASN (AS14061)	1
AMAZON-02	CLOUDFLARENET (AS13335)	99
fastcloud.ge	SysNet LLC (AS210850)	136
Akamai International B.V.	JSCB Bank of Georgia (AS48393)	6
GANDI SAS	GANDI SAS (AS29169)	51
contabo.net	Contabo GmbH (AS51167)	23
proservice.ge	JSC Silknet (AS35805)	9
AMAZON-02	Ddos-guard Ltd (AS57724)	13
Cloud 9 Ltd.	Cloud 9 Ltd. (AS57814)	89
Hetzner Online GmbH	Contabo GmbH (AS51167)	24
SECURITYSERVICES	CHEVRON (AS7862)	1
NSONE	AMAZON-02 (AS16509)	146
SECURITYSERVICES	CSC (AS19574)	50
iman.ge	Proservice LLC (AS47810)	1
unknown	NAMECHEAP-NET (AS22612)	5
nameshield.net	Nameshield SAS (AS20756)	3
AMAZON-02	Akamai Connected Cloud (AS63949)	4
reg.am	WEB LLC (AS16190)	2
HURRICANE	UGT LLC (AS208744)	1
globalcdntech.com	Pars Parva System LLC (AS60631)	1
GOOGLE	CLOUDFLARENET (AS13335)	3
proservice.ge	Its Integra SAS (AS8723)	1
proservice.ge	Caucasus Online Ltd. (AS20771)	172
com.ge	Hetzner Online GmbH (AS24940)	1
sedoparking.com	SEDO GmbH (AS47846)	121
managed-ip.com	novomind AG (AS206775)	2
OVH SAS	OVH SAS (AS16276)	25
cloudns.net	GOOGLE (AS15169)	2
netim.net	Eurofiber France SAS (AS24935)	69
JSC Silknet	JSC Silknet (AS35805)	58
proservice.ge	HOSTING-SOLUTIONS (AS14576)	2
hostgator.com	Odrex Software LLC (AS202223)	1
AMAZON-02	Cloudflare London, LLC (AS209242)	8
cloudns.net	Foodservice LTD (AS56966)	6
Host Europe GmbH	AMAZON-02 (AS16509)	61
AMAZON-02	WHG Hosting Services Ltd (AS209341)	18
markmonitor.com	AMAZON-02 (AS16509)	43
timeweb.org	TimeWeb LLC (AS9123)	27
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	98
Education Managment Information System EMIS	Education Managment Information System EMIS (AS57473)	10
regmix.com	Pq Hosting Plus S.r.l. (AS44477)	1
IS-AS-1	JSC Global Erty (AS34666)	1
OVH SAS	P.a.g.m. Ou (AS198068)	6
CLOUDFLARENET	Wix.com Ltd. (AS58182)	9
HURRICANE	AMAZON-AES (AS14618)	1
Georgian Research and Educational Networking Association (GRENA)	SQUARESPACE (AS53831)	5
AMAZON-02	Cizgi Telekomunikasyon Anonim Sirketi (AS42807)	1
pioneer.ge	Cloud DNS Ltd (AS203391)	1
Hetzner Online GmbH	Proservice LLC (AS47810)	4
linode.com	Akamai Connected Cloud (AS63949)	26
geopay.ge	Cloud 9 Ltd. (AS57814)	54
Georgian Research and Educational Networking Association (GRENA)	Ddos-guard Ltd (AS57724)	14
omedia.ge	Georgian Research and Educational Networking Association (GRENA) (AS20545)	3
unknown	Proservice LLC (AS47810)	24
routing.net	Eurofiber France SAS (AS24935)	2
hostven07.com	Arvid Logicum OU (AS202376)	3
Georgian Research and Educational Networking Association (GRENA)	Hetzner Online GmbH (AS24940)	11
Georgian Research and Educational Networking Association (GRENA)	DIGITALOCEAN-ASN (AS14061)	17
