Host Europe GmbH	AMAZON-02 (AS16509)	6459
CLOUDFLARENET	SQUARESPACE (AS53831)	37
CLOUDFLARENET	CLOUDFLARENET (AS13335)	6344
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	5280
CLOUDFLARENET	19 Chun Wang Street, Tseung Kwan O Industrial Estate, N.T. Hong Kong (AS135581)	65
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	51
pixo.one	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	2467
SECURITYSERVICES	Akamai Connected Cloud (AS63949)	405
CLOUDFLARENET	Rostelecom (AS42610)	1
AMAZON-02	AMAZON-02 (AS16509)	1002
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	92
AMAZON-02	AMAZON-AES (AS14618)	88
emu-dns.com	LeaseWeb Netherlands B.V. (AS60781)	4
NSONE	FLY (AS40509)	1
NSONE	AMAZON-02 (AS16509)	474
SECURITYSERVICES	DIGITALOCEAN-ASN (AS14061)	103
AMAZON-AES	AMAZON-AES (AS14618)	1159
AMAZON-02	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	6
CLDIN B.V.	CLDIN B.V. (AS48635)	17
loopiagroup.com	Loopia AB (AS41528)	1
ab stract ltd	Hetzner Online GmbH (AS24940)	1
AMAZON-02	CLOUDFLARENET (AS13335)	20
GANDI SAS	CLOUDFLARENET (AS13335)	23
SECURITYSERVICES	AMAZON-02 (AS16509)	802
CLOUDFLARENET	FASTLY (AS54113)	105
hover.com	TUCOWS (AS15348)	189
netim.net	Eurofiber France SAS (AS24935)	36
SECURITYSERVICES	OVH SAS (AS16276)	52
CLOUDFLARENET	LEASEWEB-USA-LAX (AS395954)	7
blacknight.com	Blacknight Internet Solutions Limited (AS39122)	5
AMAZON-02	FASTLY (AS54113)	33
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	102
GOOGLE	SQUARESPACE (AS53831)	1
GANDI SAS	GANDI SAS (AS29169)	315
markmonitor.com	AMAZON-02 (AS16509)	103
CLOUDFLARENET	Akamai Connected Cloud (AS63949)	23
AMAZON-02	SWITCH-LTD (AS23005)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	49
CLOUDFLARENET	FD-298-8796 (AS8796)	17
cihdns.net	AUTOMATTIC (AS2635)	1
Host Europe GmbH	CLOUDFLARENET (AS13335)	183
ddos-guard.net	Ddos-guard Ltd (AS57724)	2
Host Europe GmbH	Host Europe GmbH (AS21499)	26
SECURITYSERVICES	INCAPSULA (AS19551)	18
CLOUDFLARENET	CNSERVERS (AS40065)	72
CLOUDFLARENET	POWER LINE DATACENTER (AS132839)	61
Host Europe GmbH	ORACLE-BMC-31898 (AS31898)	3
SECURITYSERVICES	SQUARESPACE (AS53831)	81
OVH SAS	OVH SAS (AS16276)	333
co.kr	AMAZON-02 (AS16509)	11
CLOUDFLARENET	AMAZON-AES (AS14618)	25
SECURITYSERVICES	GOOGLE (AS15169)	19
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	226
hover.com	AMAZON-02 (AS16509)	26
Akamai Connected Cloud	DIGITALOCEAN-ASN (AS14061)	8
AS-VULTR	HURRICANE (AS6939)	6
Host Europe GmbH	AMAZON-AES (AS14618)	48
CLOUDFLARENET	Hostinger International Limited (AS47583)	372
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	35
SECURITYSERVICES	NINTENDO (AS11278)	1
SECURITYSERVICES	VIETNAM POSTS AND TELECOMMUNICATIONS GROUP (AS135905)	2
IONOS SE	AMAZON-02 (AS16509)	19
SECURITYSERVICES	Sky UK Limited (AS5607)	1
channelislandhosting.net	Krystal Hosting Ltd (AS12488)	29
Host Europe GmbH	Wix.com Ltd. (AS58182)	43
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	120
CLOUDFLARENET	Datacamp Limited (AS60068)	9
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	25
AMAZON-02	GOOGLE (AS15169)	113
hostnet.nl	IONOS SE (AS8560)	1
netim.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Host Europe GmbH	ROGERS-COMMUNICATIONS (AS812)	1
Hetzner Online GmbH	Hetzner Online GmbH (AS212317)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	122
core-ns.net	dataforest GmbH (AS58212)	1
GOOGLE	Wix.com Ltd. (AS58182)	250
SECURITYSERVICES	Hetzner Online GmbH (AS212317)	5
team.blue Denmark A/S	AMAZON-02 (AS16509)	1
AUTOMATTIC	AUTOMATTIC (AS2635)	30
AMAZON-02	ATT-INTERNET4 (AS7018)	3
Safenames Ltd.	Safenames Ltd. (AS60819)	52
cihdns.net	FASTLY (AS54113)	12
SECURITYSERVICES	HVC-AS (AS29802)	2
domrobot.com	OVH SAS (AS16276)	1
IONOS SE	Cloudflare London, LLC (AS209242)	4
CLOUDFLARENET	Yancy Limited (AS138415)	38
linode.com	Akamai Connected Cloud (AS63949)	36
dnspod.net	Tencent Building, Kejizhongyi Avenue (AS132203)	3
krystal.io	Krystal Hosting Ltd (AS12488)	1
NSONE	Cloudflare London, LLC (AS209242)	8
myhostadmin.net	Alibaba US Technology Co., Ltd. (AS45102)	23
IONOS SE	IONOS SE (AS8560)	290
sawsells.com	AS-VULTR (AS20473)	4
Host Europe GmbH	RENDER (AS397273)	7
