team.blue Denmark A/S	team.blue Denmark A/S (AS48854)	338
blacknight.com	COGENT-174 (AS174)	1
netim.net	Eurofiber France SAS (AS24935)	152
SECURITYSERVICES	SECURITYSERVICES (AS12008)	17
CLOUDFLARENET	AMAZON-02 (AS16509)	43
private-nameserver.net	WEBHOSTINGHOLDINGS (AS965)	1
Cloud DNS Ltd	Hetzner Online GmbH (AS24940)	101
safenames.com	LeaseWeb Netherlands B.V. (AS60781)	1
AMAZON-02	A2HOSTING (AS55293)	8
ANEXIA Internetdienstleistungs GmbH	DinaHosting S.L. (AS42612)	2
cloudflare.com	LEASEWEB-USA-WDC (AS30633)	1
cloudflare.com	CLOUDFLARENET (AS13335)	334
rro.de	IONOS SE (AS8560)	2
markmonitor.com	AMAZON-02 (AS16509)	72
3m.com	AMAZON-02 (AS16509)	2
GANDI SAS	GANDI SAS (AS29169)	26
iwantmyname.net	RMH-14 (AS33070)	1
neodigit.net	Tecnocratica Centro de Datos, S.L. (AS15954)	1
idvdns.com	AS-COLOCROSSING (AS36352)	2
SECURITYSERVICES	CENTURYLINK-LEGACY-SAVVIS (AS3561)	4
netim.net	AMAZON-AES (AS14618)	3
Cloud DNS Ltd	Din Server Group ApS (AS215052)	12
markmonitor.com	Combell NV (AS34762)	1
sedoparking.com	SEDO GmbH (AS47846)	47
modulo.gl	Host Europe GmbH (AS8972)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	48
cloudns.net	AS-VULTR (AS20473)	2
IONOS SE	united-domains GmbH (AS202108)	40
DIGITALOCEAN-ASN	HVC-AS (AS29802)	3
hyp.net	Domeneshop AS (AS12996)	80
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	9
combell.net	Combell NV (AS34762)	1
Hostpoint AG	Hostpoint AG (AS29097)	40
dominiando.asia	Register S.p.A. (AS39729)	1
powweb.com	BIZLAND-SD (AS29873)	1
ipcom GmbH	AMAZON-02 (AS16509)	20
cloudns.net	Hostkey B.v. (AS57043)	2
bodis.com	AMAZON-02 (AS16509)	23
nic.ru	JSC Selectel (AS49505)	1
SECURITYSERVICES	CSC (AS19574)	67
dns.com	GNET INC. (AS9294)	1
register.it	Register S.p.A. (AS39729)	8
cloudflare.com	Sentia Denmark A/S (AS16245)	1
Akamai International B.V.	MASTER-7-AS (AS26380)	3
CLOUDFLARENET	CLOUDFLARENET (AS13335)	4
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	74
nadns1.com	Hetzner Online GmbH (AS24940)	2
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	10
one.com	One.com A/S (AS51468)	45
Tusass A/S	CLOUDFLARENET (AS13335)	5
inuit.gl	team.blue Denmark A/S (AS48854)	29
gigahost.dk	Sentia Denmark A/S (AS16245)	24
pil.dk	team.blue Denmark A/S (AS48854)	2
regfish-ns.net	AMAZON-02 (AS16509)	1
awsdns-03.net	AMAZON-02 (AS16509)	2
CLOUDFLARENET	GOOGLE (AS15169)	2
Cloud DNS Ltd	Cibicom A/S (AS3342)	5
co.uk	AMAZON-AES (AS14618)	6
Cloud DNS Ltd	DIGITALOCEAN-ASN (AS14061)	9
inuit.gl	Hetzner Online GmbH (AS24940)	3
ipcom GmbH	Hetzner Online GmbH (AS24940)	8
SECURITYSERVICES	AMAZON-02 (AS16509)	8
team.blue Denmark A/S	Tusass A/S (AS8818)	7
nominalia.com	Register S.p.A. (AS39729)	1
Safenames Ltd.	Safenames Ltd. (AS60819)	11
modulo.gl	Combell NV (AS34762)	14
ns14.net	Hetzner Online GmbH (AS24940)	1
netim.net	Scaleway S.a.s. (AS12876)	1
CLOUDFLARENET	INCAPSULA (AS19551)	39
awsdns-25.net	AMAZON-02 (AS16509)	4
awsdns-03.org	AMAZON-02 (AS16509)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Sentia Denmark A/S (AS47292)	1
SECURITYSERVICES	DEFENSE-NET (AS55002)	3
ballensiefen.net	netcup GmbH (AS197540)	1
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	4
dnspod.net	Akari Networks (AS38136)	1
team.blue Denmark A/S	Hetzner Online GmbH (AS24940)	7
netim.net	FASTLY (AS54113)	8
cloudflare.com	MYTEK TRADING PTY LTD (AS132825)	3
stofa.is	Verkis hf (AS47545)	1
one.com	Tusass A/S (AS8818)	11
ipcom GmbH	froxlor GmbH (AS207048)	2
inuit.gl	Tusass A/S (AS8818)	13
epik.com	AMAZON-02 (AS16509)	1
kasserver.com	Neue Medien Muennich GmbH (AS34788)	1
awsdns-41.com	AMAZON-02 (AS16509)	1
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	6
modulo.gl	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
DinaHosting S.L.	DinaHosting S.L. (AS42612)	24
Cloud DNS Ltd	WHG Hosting Services Ltd (AS36454)	1
systemdns.com	SOFTLAYER (AS36351)	1
linthcom.ch	hosttech GmbH (AS207143)	1
cloudflare.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
vismadns.com	Visma Software International AS (AS61213)	1
sitnet.dk	Statens IT (AS58282)	1
Cloud DNS Ltd	Tusass A/S (AS8818)	7
Domain names registrar REG.RU, Ltd	Domain names registrar REG.RU, Ltd (AS197695)	7
managed-vps.net	UpCloud Ltd (AS202053)	1
NSONE	AMAZON-AES (AS14618)	7
Host Europe GmbH	Hetzner Online GmbH (AS24940)	1
NUCDN	Opin Kerfi hf (AS48685)	1
modulo.gl	Tusass A/S (AS8818)	51
team.blue Denmark A/S	GOOGLE-CLOUD-PLATFORM (AS396982)	1
iwantmyname.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
domaintechnik.at	Ledl.net GmbH (AS25575)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	9
awsdns-16.net	AMAZON-02 (AS16509)	2
Hetzner Online GmbH	Akamai Connected Cloud (AS63949)	1
nar.gl	NOCIX (AS33387)	1
Host Europe GmbH	AMAZON-02 (AS16509)	29
Hetzner Online GmbH	Contabo GmbH (AS51167)	8
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	24
netim.net	GOOGLE (AS15169)	3
CLOUDFLARENET	STAFFORDNET (AS11817)	1
dynu.com	CENTURYLINK-US-LEGACY-QWEST (AS209)	1
team.blue Denmark A/S	Sentia Denmark A/S (AS47292)	5
GOOGLE	CLOUDFLARENET (AS13335)	10
systemdns.com	AMAZON-AES (AS14618)	4
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	5
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	6
linode.com	Akamai Connected Cloud (AS63949)	5
monopost.com	Greysom Limited (AS12678)	2
ab stract ltd	Prime LLC (AS213021)	2
SECURITYSERVICES	COGECO-PEER1 (AS13768)	6
GOOGLE	Wix.com Ltd. (AS58182)	17
blueboard.cz	AMAZON-02 (AS16509)	1
inwx.ch	InterNetworX Management GmbH (AS48596)	2
modulo.gl	Hetzner Online GmbH (AS213230)	19
ns14.net	InterNetX GmbH (AS15456)	8
iwantmyname.net	InterNetX GmbH (AS15456)	3
levi.com	CW Vodafone Group PLC (AS1273)	2
MICROSOFT-CORP-MSN-AS-BLOCK	GOOGLE-CLOUD-PLATFORM (AS396982)	3
NUCDN	team.blue Denmark A/S (AS48854)	6
