yourwebhosting.com	BIZLAND-SD (AS29873)	2
markmonitor.com	AMAZON-02 (AS16509)	37
totalenergies.biz	YAHOO-BF1 (AS26101)	1
3m.com	AMAZON-02 (AS16509)	1
NSONE	GOOGLE (AS15169)	3
Cloud DNS Ltd	1984 ehf (AS44925)	4
DIGICERT	Hetzner Online GmbH (AS24940)	12
AMAZON-02	PCT-AS01 (AS14058)	21
CLOUDFLARENET	CLOUDFLARENET (AS13335)	75
co.uk	Iomart Cloud Services Limited (AS20860)	5
LIQUIDWEB	LIQUIDWEB (AS32244)	4
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	16
radio.gm	Strato GmbH (AS6724)	1
SECURITYSERVICES	CSC (AS19574)	29
CLOUDFLARENET	AMAZON-02 (AS16509)	29
AMAZON-02	GOOGLE (AS15169)	5
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
Strato GmbH	IONOS SE (AS8560)	2
awsdns-08.net	PCT-AS01 (AS14058)	1
Host Europe GmbH	OVH SAS (AS16276)	4
brandshelter.com	AMAZON-02 (AS16509)	2
Contabo GmbH	Contabo GmbH (AS51167)	7
CLOUDFLARENET	Hostinger International Limited (AS47583)	23
Strato GmbH	Strato GmbH (AS6724)	10
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	3
perf1.com	Nameshield SAS (AS20756)	5
QCell	QCell (AS37309)	12
webhostbox.net	NETWORK-SOLUTIONS-HOSTING (AS19871)	4
AMAZON-02	AMAZON-02 (AS16509)	14
facebook.com	FACEBOOK (AS32934)	1
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	35
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	1
linode.com	DIGITALOCEAN-ASN (AS14061)	1
hostgator.com	AMAZON-02 (AS16509)	1
adequate.gm	Contabo GmbH (AS51167)	1
ngninfra.net	HCL Technologies Sweden AB (AS209236)	2
GOOGLE	Wix.com Ltd. (AS58182)	8
dell.com	Akamai International B.V. (AS33905)	1
faalentech.com	DIGITALOCEAN-ASN (AS14061)	3
porsche.asia	Dr. Ing. h.c. F. Porsche AG (AS33848)	1
awsdns-34.org	AMAZON-02 (AS16509)	1
linode.com	Hetzner Online GmbH (AS24940)	2
ultradns.biz	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
unique.gm	Unique-Solutions (AS37503)	3
dig.com	AMAZON-02 (AS16509)	1
microsoftonline.com	AMAZON-02 (AS16509)	1
GOOGLE	GOOGLE (AS15169)	1
BIZLAND-SD	BIZLAND-SD (AS29873)	9
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	9
GANDI SAS	GANDI SAS (AS29169)	7
AMAZON-02	AMAZON-AES (AS14618)	3
linode.com	Akamai Connected Cloud (AS63949)	4
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	12
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	4
Akamai International B.V.	NCUBE-OREGON-AS (AS1219)	1
NSONE	AMAZON-02 (AS16509)	3
Cloud DNS Ltd	The Infrastructure Group B.V. (AS60404)	8
AMAZON-02	A2HOSTING (AS55293)	6
aofk.com	AMAZON-02 (AS16509)	2
SECURITYSERVICES	UUNET (AS701)	1
awsdns-08.com	AMAZON-02 (AS16509)	1
