SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8069)	1
ultradns.biz	SECURITYSERVICES (AS12008)	1
CLOUDFLARENET	VSHosting s.r.o. (AS43541)	11
meteo.fr	Antemeta SAS (AS201085)	1
ip-198-100-148.net	OVH SAS (AS16276)	1
SECURITYSERVICES	CSC (AS19574)	115
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	2
francedns.com	FASTLY (AS54113)	1
CLOUDFLARENET	INCAPSULA (AS19551)	6
cloudns.net	Hetzner Online GmbH (AS24940)	28
netim.net	Eurofiber France SAS (AS24935)	30
markmonitor.com	AMAZON-02 (AS16509)	40
Akamai International B.V.	MASTER-7-AS (AS26380)	1
Ikoula Net SAS	Ikoula Net SAS (AS21409)	12
nameshield.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
OVH SAS	OVH SAS (AS16276)	101
sqr.cloud	Cyso Group B.V. (AS25151)	1
registrar-servers.com	Hetzner Online GmbH (AS24940)	1
serverstack.com	SERVERSTACK-ASN (AS46652)	1
rightsdns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
netim.net	FASTLY (AS54113)	1
barbero.zone	DIGITALOCEAN-ASN (AS14061)	3
francedns.com	Eurofiber France SAS (AS24935)	20
CLOUDFLARENET	AMAZON-02 (AS16509)	27
infomaniak.com	Infomaniak Network SA (AS29222)	3
imos.net	imos Gesellschaft fuer Internet-Marketing und Online-Services mbH (AS20677)	3
francedns.com	OVH SAS (AS16276)	4
cloudns.net	OVH SAS (AS16276)	25
yoursrs.com	CLOUDFLARENET (AS13335)	1
netim.net	Infomaniak Network SA (AS29222)	3
Host Europe GmbH	AMAZON-02 (AS16509)	62
ultradns.biz	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
IONOS SE	IONOS SE (AS8560)	10
globvill.de	Global Village GmbH (AS13039)	1
CLOUDFLARENET	OVH SAS (AS16276)	2
co.uk	CLOUDFLARENET (AS13335)	3
prodomaines.com	Bdl Systemes SAS (AS38926)	4
akzonobel.com	AMAZON-02 (AS16509)	2
GANDI SAS	GANDI SAS (AS29169)	47
sedoparking.com	SEDO GmbH (AS47846)	38
kivial.it	IONOS SE (AS8560)	1
GANDI SAS	Scaleway S.a.s. (AS12876)	2
afternic.com	AMAZON-02 (AS16509)	4
udag.de	united-domains GmbH (AS202108)	1
ipcom GmbH	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
cloudns.net	CLOUDFLARENET (AS13335)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	36
portsdns.net	FASTLY (AS54113)	1
Safenames Ltd.	Safenames Ltd. (AS60819)	7
Electricite de France SA	Electricite de France SA (AS1301)	1
hm.ws	The Infrastructure Group B.V. (AS60404)	1
NSONE	CLOUDFLARENET (AS13335)	1
sodipa.gp	OVH SAS (AS16276)	1
ipcom GmbH	AMAZON-02 (AS16509)	25
nameshield.net	Nameshield SAS (AS20756)	12
kasserver.com	AMAZON-02 (AS16509)	1
servidoresdns.net	IONOS SE (AS8560)	1
SECURITYSERVICES	CLOUDFLARENET (AS13335)	1
awsdns-02.net	AMAZON-02 (AS16509)	1
123ns.de	Bicos Computer GmbH (AS12466)	1
rrpproxy.net	AMAZON-02 (AS16509)	1
netsample.com	DIGITALOCEAN-ASN (AS14061)	1
bdmi.net	OVH SAS (AS16276)	5
ascio.com	EPAG Domainservices GmbH (AS12915)	2
zone-srv.net	Scaleway S.a.s. (AS12876)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	4
iptwins.com	OVH SAS (AS16276)	5
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	69
OVH SAS	Scaleway S.a.s. (AS12876)	1
atom.com	AMAZON-AES (AS14618)	1
SCAAM0001	HCL Technologies Sweden AB (AS209236)	3
O2switch SAS	O2switch SAS (AS50474)	6
portsdns.net	Tele2 SWIPnet (AS1257)	1
GANDI SAS	Infomaniak Network SA (AS29222)	1
he.net	Akamai Connected Cloud (AS63949)	1
hodi.host	Bretagne Telecom Sasu (AS42845)	1
bodis.com	AMAZON-02 (AS16509)	13
value-domain.com	GMO Internet Group, Inc. (AS58791)	1
awsdns-05.net	AMAZON-02 (AS16509)	1
yahoo.com	AMAZON-02 (AS16509)	1
cloudns.net	Orange (AS3215)	1
virtuaal.com	Virtuaal.com OU (AS205930)	1
macace.net	Webmate Internet Services Ltd. (AS199204)	1
ORACLE-BMC-31898	ORACLE-BMC-31898 (AS31898)	1
rwgusa.net	AMAZON-02 (AS16509)	1
wordpress.com	AUTOMATTIC (AS2635)	1
keurigonline.be	AMAZON-02 (AS16509)	1
netflix.net	AMAZON-02 (AS16509)	1
kv-gmbh.de	Hetzner Online GmbH (AS24940)	1
mediaserv.net	Idom Technologies SAS (AS51110)	1
OVH SAS	CTS Computers and Telecommunications Systems SAS (AS35393)	1
routing.net	OVH SAS (AS16276)	2
GANDI SAS	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
OVH SAS	Free Pro SAS (AS30781)	1
NUCDN	Team Internet AG (AS61969)	6
ip-5-39-72.eu	OVH SAS (AS16276)	1
netim.net	CLOUDFLARENET (AS13335)	1
iptwins.com	CLOUDFLARENET (AS13335)	1
perf1.com	AMAZON-02 (AS16509)	1
accountservergroup.com	UNIFIEDLAYER-AS-1 (AS46606)	1
publicisgroupe.com	AMAZON-02 (AS16509)	1
register.it	Register S.p.A. (AS39729)	8
perf1.com	Nameshield SAS (AS20756)	9
markmonitor.zone	AMAZON-02 (AS16509)	4
renault.fr	AMAZON-02 (AS16509)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	5
nominalia.com	Register S.p.A. (AS39729)	1
siteground.net	GOOGLE-CLOUD-PLATFORM (AS396982)	2
1and1-dns.biz	IONOS SE (AS8560)	1
SECURITYSERVICES	BAYER-ARCH (AS23167)	1
purasana.gp	Combell NV (AS34762)	1
mediaserv.net	AMAZON-02 (AS16509)	1
OVH SAS	AMAZON-02 (AS16509)	2
bluehost.com	CLOUDFLARENET (AS13335)	1
GANDI SAS	OVH SAS (AS16276)	8
NSONE	GOOGLE (AS15169)	3
OVH SAS	Cloudflare London, LLC (AS209242)	1
mcafee.com	AMAZON-02 (AS16509)	1
cloudns.net	Wildcard UK Limited (AS34119)	1
ORACLE-BMC-31898	AMAZON-02 (AS16509)	1
bnpparibas.com	Iguane Solutions SAS (AS39605)	1
ipcom GmbH	Scaleway S.a.s. (AS12876)	1
indomco.com	CSC (AS19574)	4
SECURITYSERVICES	COGECO-PEER1 (AS13768)	2
dominiok.it	DIMENOC (AS33182)	1
vercel-dns.com	AMAZON-02 (AS16509)	1
GANDI SAS	AMAZON-02 (AS16509)	2
OVH SAS	Fbw Networks SAS (AS209428)	5
netim.net	SQUARESPACE (AS53831)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	6
agxl.name	TURNKEY-INTERNET (AS40244)	1
messagingengine.com	Hetzner Online GmbH (AS24940)	1
OVH SAS	Alwaysdata Sarl (AS60362)	1
MICROSOFT-CORP-MSN-AS-BLOCK	IONOS SE (AS8560)	1
GOOGLE	Safenames Ltd. (AS60819)	1
ns14.net	AMAZON-02 (AS16509)	2
whirlpool.com	LUMOS (AS7795)	3
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
instradns.com	OVH SAS (AS16276)	1
hosteur.com	Canal + Telecom SAS (AS21351)	2
amenworld.com	Register S.p.A. (AS39729)	4
GOOGLE	Wix.com Ltd. (AS58182)	7
GANDI SAS	SQUARESPACE (AS53831)	1
1and1.fr	IONOS SE (AS8560)	1
bearingpoint.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
markmonitor.com	Deutsche Telekom AG (AS3320)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	1
register.it	Keliweb S.R.L (AS202675)	1
sdv.fr	SdV-Plurimedia (AS8839)	1
safenames.com	Safenames Ltd. (AS60819)	1
domaincontrol.com	Vodafone GmbH (AS3209)	1
awsdns-07.net	SQUARESPACE (AS53831)	1
awsdns-36.org	AMAZON-02 (AS16509)	2
