CLOUDFLARENET	CLOUDFLARENET (AS13335)	23503
papaki.gr	Combell NV (AS34762)	11409
fornex.com	Fornex Hosting S.L. (AS16003)	15
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	26412
OVH SAS	OVH SAS (AS16276)	3060
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	362
iphost.gr	IpHost P.C. (AS47521)	3370
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	463
supremedns.com	LIQUIDNETLTD1 (AS14555)	77
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	660
DIGICERT	MARCANT AG (AS15726)	2
CLOUDFLARENET	Hostinger International Limited (AS47583)	5324
papaki.gr	Hetzner Online GmbH (AS24940)	17356
Th.papamichail Vainas - G.psaltakis G.p	Th.papamichail Vainas - G.psaltakis G.p (AS209150)	7549
animalius.gr	UAB Interneto vizija (AS212531)	1
fusioned.net	RouteLabel V.O.F. (AS198203)	55
IONOS SE	IONOS SE (AS8560)	267
Safenames Ltd.	Safenames Ltd. (AS60819)	278
SECURITYSERVICES	CSC (AS19574)	1101
GANDI SAS	GANDI SAS (AS29169)	924
ourplaydate.gr	Hetzner Online GmbH (AS24940)	1
Massivegrid Ltd	Massivegrid Ltd (AS49683)	135
mynewserver.com	DNHOST IKE (AS200128)	1770
papaki.gr	FASTLY (AS54113)	253
unlimited-adrenaline.gr	PRIVATESYSTEMS (AS63410)	1
NSONE	AMAZON-02 (AS16509)	503
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	4356
Hetzner Online GmbH	Hostinger International Limited (AS47583)	11
sedoparking.com	SEDO GmbH (AS47846)	817
Host Europe GmbH	Cloudflare London, LLC (AS209242)	7
CLOUDFLARENET	hyperhosting (AS197746)	42
contabo.net	Contabo GmbH (AS51167)	696
argossecurity.gr	Scaleway S.a.s. (AS12876)	1
Hetzner Online GmbH	Digital Realty Hellas Single Member S.A (AS56910)	13
papaki.gr	AUTOMATTIC (AS2635)	28
iphost.gr	Hetzner Online GmbH (AS24940)	124
Lancom Ltd.	Lancom Ltd. (AS199081)	449
OVH SAS	Hetzner Online GmbH (AS24940)	218
intechs.gr	Hetzner Online GmbH (AS24940)	304
easylogicdns.gr	Dataways S.A. (AS15544)	182
RouteLabel V.O.F.	RouteLabel V.O.F. (AS198203)	104
ultrasystems.gr	ENARTIA Single Member S.A. (AS199246)	1
IpHost P.C.	IpHost P.C. (AS47521)	1875
CLOUDFLARENET	AMAZON-02 (AS16509)	724
nameshield.net	Nameshield SAS (AS20756)	202
apple.com	APPLE-ENGINEERING (AS714)	8
cres.gr	National Infrastructures for Research and Technology S.A. (AS5408)	1
jawas.pl	Cyber_Folks S.A. (AS29522)	1
com.gr	Hetzner Online GmbH (AS24940)	40
meganameservers.eu	Internet Names for Business Inc (AS9115)	860
CLOUDFLARENET	Hostek AB (AS61207)	4
papaki.gr	GOOGLE-CLOUD-PLATFORM (AS396982)	248
AMAZON-AES	AMAZON-AES (AS14618)	605
IONOS SE	united-domains GmbH (AS202108)	821
bestwayrentacar.gr	Hetzner Online GmbH (AS24940)	1
thundercloud.uk	Awareness Software Limited (AS34931)	32
hyperhosting	hyperhosting (AS197746)	1435
CLOUDFLARENET	DREAMHOST-AS (AS26347)	394
OTEnet S\.A\.	OTEnet S\.A\. (AS6799)	1462
Combell NV	Combell NV (AS34762)	12139
CLOUDFLARENET	Ti Sparkle Greece SA (AS198477)	6
okehosting.net	LeaseWeb Netherlands B.V. (AS60781)	1
papaki.gr	Vodafone-panafon Hellenic Telecommunications Company SA (AS12361)	34
hoh-dns.com	3U TELECOM GmbH (AS198710)	1
infohitech.gr	OVH SAS (AS16276)	29
Iomart Cloud Services Limited	Iomart Cloud Services Limited (AS20860)	508
AMAZON-02	Team Internet AG (AS61969)	594
second-ns.com	Hetzner Online GmbH (AS24940)	2439
domainoo.fr	Planet Service SARL (AS61168)	23
AMAZON-02	A2HOSTING (AS55293)	1022
digilab.gr	UKDedicated LTD (AS34282)	48
ipcom GmbH	AMAZON-02 (AS16509)	486
iwantmyname.com	SQUARESPACE (AS53831)	1
papaki.gr	Tilda Publishing Ltd. (AS205282)	13
A2HOSTING	A2HOSTING (AS55293)	107
papaki.gr	SYNAPSECOM S.A. Provider of Telecommunications and Internet Services (AS8280)	29
Ultahost, Inc.	Ultahost, Inc. (AS214036)	52
cityupdate.de	InterNetX GmbH (AS15456)	1
CLOUDFLARENET	CDLAN SpA (AS34971)	4
epafos.gr	Nova Telecommunications & Media Single Member S.A (AS25472)	24
Contabo GmbH	Contabo GmbH (AS51167)	353
DIGITALOCEAN-ASN	LEASEWEB-USA-DAL (AS394380)	12
hosthongkong.com	Tele Asia Limited (AS133398)	1
CLOUDFLARENET	CHARTER-40294-DC (AS40294)	81
CLOUDFLARENET	Belcloud LTD (AS44901)	6
gr-ns.net	hyperhosting (AS197746)	17
AMAZON-02	Fusioned Ltd (AS51392)	52
datapack.net	Scaleway S.a.s. (AS12876)	11
ploognomon.gr	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
followingmydreams.gr	DNHOST IKE (AS200128)	1
AMAZON-02	GOOGLE (AS15169)	2021
markmonitor.com	AMAZON-02 (AS16509)	665
AUTOMATTIC	AUTOMATTIC (AS2635)	307
myip.gr	Myip Networks G.p. (AS216285)	503
server40.net	Hetzner Online GmbH (AS24940)	764
LeaseWeb Netherlands B.V.	LeaseWeb Netherlands B.V. (AS60781)	871
