CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	132
myhostadmin.net	PT Telekomunikasi Indonesia (AS7713)	2
AMAZON-AES	AMAZON-AES (AS14618)	8
myhostadmin.net	Tencent Building, Kejizhongyi Avenue (AS132203)	17
im.forsale	DIGITALOCEAN-ASN (AS14061)	1
dn-s.nl	Signet B.V. (AS20857)	2
Host Europe GmbH	AMAZON-AES (AS14618)	7
Host Europe GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	21
GANDI SAS	OVH SAS (AS16276)	2
dnspod.net	ASLINE LIMITED (AS137951)	1
GANDI SAS	GANDI SAS (AS29169)	31
CLOUDFLARENET	DigiRock, Inc. (AS37907)	8
awsdns-30.org	AMAZON-02 (AS16509)	1
Host Europe GmbH	AMAZON-02 (AS16509)	878
ipcom GmbH	AMAZON-02 (AS16509)	16
CLOUDFLARENET	INCAPSULA (AS19551)	11
mdnsservice.com	TUCOWS (AS15348)	75
afraid.org	SHARKTECH (AS46844)	3
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	4
myhostadmin.net	AS-COLOCROSSING (AS36352)	2
rightsdns.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	325
myhostadmin.net	OWGELS INTERNATIONAL CO., LIMITED (AS153656)	2
Host Europe GmbH	FASTLY (AS54113)	11
gettyimages.com	CENTURYLINK-LEGACY-SAVVIS (AS3561)	1
awsdns-22.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
myhostadmin.net	HOSTHATCH (AS63473)	1
sse-ns.com	AMAZON-02 (AS16509)	1
Hostpoint AG	Hostpoint AG (AS29097)	5
awsdns-02.org	AMAZON-AES (AS14618)	1
CLOUDFLARENET	UNIT A17,9F SILVERCORP INTL TOWER 707-713 NATHAN RD (AS134175)	1
ORACLE-BMC-31898	AMAZON-AES (AS14618)	1
myhostadmin.net	High Family Technology Co., Limited (AS142032)	6
messagingengine.com	Fastmail Pty Ltd (AS151847)	4
awsdns-27.com	AMAZON-AES (AS14618)	1
myhostadmin.net	West263 International Limited (AS139021)	5
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	41
