markmonitor.com	AMAZON-02 (AS16509)	96
inmotionhosting.com	INMOTION (AS22611)	17
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	23
OVH SAS	OVH SAS (AS16276)	23
awsdns-16.com	AMAZON-AES (AS14618)	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	69
muniportales.org	PRIVATESYSTEMS (AS63410)	2
AMAZON-02	WHG Hosting Services Ltd (AS14670)	17
CLOUDFLARENET	CLOUDFLARENET (AS13335)	524
CLOUDFLARENET	AMAZON-02 (AS16509)	125
CLOUDFLARENET	FASTLY (AS54113)	7
dongee.com	OVH SAS (AS16276)	23
exclusivehosting.net	LIQUIDNETLTD1 (AS14555)	13
Akamai International B.V.	Akamai International B.V. (AS20940)	13
SECURITYSERVICES	CSC (AS19574)	122
Host Europe GmbH	SQUARESPACE (AS53831)	3
LIQUIDWEB	LIQUIDWEB (AS32244)	31
dongee.com	CLOUDFLARENET (AS13335)	3
AMAZON-02	SINGLEHOP-LLC (AS32475)	7
CLOUDFLARENET	INCAPSULA (AS19551)	142
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	21
Host Europe GmbH	AMAZON-02 (AS16509)	43
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	2
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	3
portalesgt.com	SQUARESPACE (AS53831)	1
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	43
cloudns.io	Enix Ltd (AS52148)	2
co.uk	AMAZON-AES (AS14618)	14
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	8
bimeda.com	DIGICERT (AS16552)	1
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	19
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	51
anycast.me	Claranet Limited (AS8426)	1
fulcrumgt.com	TOGGLE FIRE NETWORKS (AS25861)	1
udag.de	united-domains GmbH (AS202108)	9
register.it	Register S.p.A. (AS39729)	26
NSONE	AMAZON-AES (AS14618)	16
com.br	DIMENOC SERVICOS DE INFORMATICA LTDA (AS53055)	2
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	54
mediatemple.net	GO-DADDY-COM-LLC (AS398101)	4
Akamai Connected Cloud	Akamai Connected Cloud (AS63949)	10
cdmon.net	ENTEL CHILE S.A. (AS27651)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	153
SECURITYSERVICES	AMAZON-02 (AS16509)	11
DIGICERT	SERVERCENTRAL (AS23352)	1
rackspace.com	RACKSPACE (AS19994)	17
CLOUDFLARENET	AMAZON-AES (AS14618)	12
markmonitor.zone	AMAZON-02 (AS16509)	5
ibizservices.com	CARINET (AS10439)	3
MICROSOFT-CORP-MSN-AS-BLOCK	GOOGLE-CLOUD-PLATFORM (AS396982)	3
RELIABLESITE	RELIABLESITE (AS23470)	10
supremedns.com	LIQUIDNETLTD1 (AS14555)	9
trouble-free.net	IS-AS-1 (AS19318)	3
ports.se	Tele2 SWIPnet (AS1257)	3
perf1.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
awsdns-34.net	AMAZON-AES (AS14618)	1
Host Europe GmbH	TELECOMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA (AS14754)	3
awsdns-15.com	AMAZON-AES (AS14618)	1
linode.com	WHG Hosting Services Ltd (AS14670)	2
hostgator.com	CLOUDFLARENET (AS13335)	6
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	27
netim.net	Eurofiber France SAS (AS24935)	17
AMAZON-02	A2HOSTING (AS55293)	11
HVC-AS	CLOUDFLARENET (AS13335)	1
controldns.mx	AS17378 (AS17378)	1
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	34
CLOUDFLARENET	DREAMHOST-AS (AS26347)	42
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	48
perf1.com	Nameshield SAS (AS20756)	5
MICROSOFT-CORP-MSN-AS-BLOCK	DIGITALOCEAN-ASN (AS14061)	2
CLOUDFLARENET	IWEB-AS (AS32613)	4
NUCDN	Team Internet AG (AS61969)	4
serverhostgroup.com	OVH SAS (AS16276)	8
linode.com	UFINET PANAMA S.A. (AS52468)	1
awsdns-17.com	Scaleway S.a.s. (AS12876)	1
net.co	Telmex Colombia S.A. (AS14080)	1
ig-1.net	Iguane Solutions SAS (AS39605)	1
chcyber.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
abbott.com	AMAZON-02 (AS16509)	2
CLOUDFLARENET	INFB2-AS (AS30447)	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	17
prominent.de	TWL-Kom GmbH (AS9022)	1
NUCDN	QualityHosting AG (AS25260)	1
bitmex.network	AMAZON-02 (AS16509)	1
CLOUDFLARENET	Corporacion de Internet, Sociedad Anonima. (AS262207)	2
netim.net	Seflow s.r.l. (AS49367)	1
dnsguatemala7.com	IWEB-AS (AS32613)	4
SECURITYSERVICES	SECURITYSERVICES (AS12008)	4
alidns.com	IncomparableHKNetwork Co., Limited (AS141159)	1
MICROSOFT-CORP-MSN-AS-BLOCK	LINKEDIN (AS14413)	1
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-AES (AS14618)	3
nameshield.net	Nameshield SAS (AS20756)	10
8.et	MULTA-ASN1 (AS35916)	1
cloudns.net	DREAMHOST-AS (AS26347)	4
registrar-servers.com	GO-DADDY-COM-LLC (AS398787)	1
GOOGLE	Wix.com Ltd. (AS58182)	62
CLOUDFLARENET	netcup GmbH (AS214996)	1
net.mx	IHNET (AS33494)	1
stabletransit.com	AS-30083-US-VELIA-NET (AS30083)	3
AMAZON-02	GOOGLE (AS15169)	9
MICROSOFT-CORP-MSN-AS-BLOCK	CARINET (AS10439)	1
AMAZON-02	OVH SAS (AS16276)	50
CLOUDFLARENET	OVH SAS (AS16276)	14
actualizaweb.com	HVC-AS (AS29802)	3
DIMENOC	DIMENOC (AS33182)	13
avantys.com	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	GOOGLE (AS15169)	7
MICROSOFT-CORP-MSN-AS-BLOCK	CLOUDFLARENET (AS13335)	3
