CLOUDFLARENET	AMAZON-02 (AS16509)	17
mydnspt.net	Almouroltec Servicos De Informatica E Internet Lda (AS24768)	13
markmonitor.com	AMAZON-02 (AS16509)	12
perf1.com	Nameshield SAS (AS20756)	8
dorob.de	NUXOA GmbH (AS198160)	1
netim.net	Eurofiber France SAS (AS24935)	4
atakdomain.com	Atak Domain Bilgi Teknolojileri A.S. (AS211401)	2
CLOUDFLARENET	CLOUDFLARENET (AS13335)	12
nameshield.net	Nameshield SAS (AS20756)	4
CLOUDFLARENET	Hostinger International Limited (AS47583)	60
l4dns.com	INFOLINK-MIA (AS15083)	9
SECURITYSERVICES	CSC (AS19574)	11
com.br	NETWORK-SOLUTIONS-HOSTING (AS19871)	7
CLOUDFLARENET	INCAPSULA (AS19551)	12
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	1
portsdns.net	Tele2 SWIPnet (AS1257)	1
123ns.de	'ingenit GmbH & Co. KG' (AS57376)	1
host-redirect.com	Dominios, S.A. (AS33876)	2
inwx.es	InterNetworX Management GmbH (AS48596)	1
zaccodigitaltrustlabs.se	CSC (AS19574)	2
smsmidlet.com	O2 Czech Republic, a.s. (AS5610)	1
safenames.com	Safenames Ltd. (AS60819)	4
netim.net	Contabo GmbH (AS51167)	1
markmonitor.zone	AMAZON-02 (AS16509)	1
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
pointerns.com	Fiberax Networking&Cloud Ltd. (AS31445)	2
ptup.net	Vodafone Portugal - Communicacoes Pessoais S.A. (AS12353)	1
ipcom GmbH	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	4
ptservidor.net	Sampling Line-servicos E Internet, Lda (AS62416)	2
CLOUDFLARENET	AMAZON-AES (AS14618)	2
brandshelter.com	AMAZON-02 (AS16509)	1
awsdns-07.org	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
ipcom GmbH	InterNetworX Management GmbH (AS48596)	5
dorob.de	GOOGLE (AS15169)	1
registraix.com	NUXOA GmbH (AS198160)	1
mozdomains.com	OVH SAS (AS16276)	1
digitalocean.com	DIGITALOCEAN-ASN (AS14061)	3
co.uk	AMAZON-02 (AS16509)	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
wtservers.com	Dream Fusion - IT Services, Lda (AS39384)	6
pointerns.com	IntornTechnic Ltd. (AS29534)	1
dnscpanel.com	Dominios, S.A. (AS33876)	3
AMAZON-02	WHG Hosting Services Ltd (AS14670)	1
servidados.net	Almouroltec Servicos De Informatica E Internet Lda (AS24768)	1
flespi.net	Zylon (AS8312)	1
awsdns-41.net	AMAZON-02 (AS16509)	1
namecheaphosting.com	NAMECHEAP-NET (AS22612)	1
CLOUDFLARENET	VNPT Corp (AS45899)	1
vrvy.net	MOJOHOST (AS27589)	1
mydnspt.net	AMAZON-02 (AS16509)	1
Rackspace Ltd.	Akamai Connected Cloud (AS63949)	3
volkswagen.de	Volkswagen AG (AS206618)	2
NSONE	GOOGLE (AS15169)	3
awsdns-04.org	Claranet Limited (AS8426)	1
dnssaturno.com	Claranet Limited (AS8426)	1
inss.gw	ORANGE-BISSAU (AS37559)	1
neubox.net	AS17378 (AS17378)	1
fink.org	Fink Telecom Services GmbH (AS6775)	1
awsdns-01.net	AMAZON-02 (AS16509)	1
azure-dns.com	CLOUDFLARENET (AS13335)	1
awsdns-23.org	AMAZON-02 (AS16509)	1
CLOUDFLARENET	rh-tec Business GmbH (AS25560)	1
wixdns.net	Wix.com Ltd. (AS58182)	3
awsdns-25.net	AMAZON-02 (AS16509)	2
idp365.net	Safenames Ltd. (AS60819)	1
planethoster.net	PLANETHOSTER-8 (AS53589)	2
ipcom GmbH	AMAZON-02 (AS16509)	1
logotipo.net	Hetzner Online GmbH (AS24940)	1
kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
markmonitor.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
AMAZON-02	WHG Hosting Services Ltd (AS209341)	2
cloudns.net	NForce Entertainment B.V. (AS43350)	1
webhs.org	Comercio e Prestacao de Servicos Informaticos, Lda (AS59787)	2
ensinus.pt	Dominios, S.A. (AS33876)	2
nscluster.eu	AMAZON-02 (AS16509)	1
safebrands.com	AMAZON-02 (AS16509)	2
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	1
siteground.net	GOOGLE (AS15169)	1
mobiusltd.com	COGECO-PEER1 (AS13768)	1
dnspod.com	COGENT-174 (AS174)	1
azure-dns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
websitewelcome.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
nuvem-dns.biz	Almouroltec Servicos De Informatica E Internet Lda (AS24768)	2
udag.de	united-domains GmbH (AS202108)	3
managed-ip.com	Julius Blum GmbH (AS197964)	1
NSONE	AMAZON-02 (AS16509)	1
paginesi.it	Fastweb (AS12874)	1
ipcom GmbH	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
cloudns.net	M247 Europe SRL (AS9009)	1
dnscpanel.com	AMAZON-AES (AS14618)	1
