CLOUDFLARENET	AMAZON-02 (AS16509)	1210
host206.com	ICDSoft Ltd. (AS8739)	1
apc.sg	Exabytes Network Singapore Pte. Ltd. (AS38532)	3
Host Europe GmbH	AMAZON-02 (AS16509)	273
Dreamscape Networks Limited	ORACLE-BMC-31898 (AS31898)	4
Signet B.V.	Signet B.V. (AS20857)	354
ICDSoft Ltd.	ICDSoft Ltd. (AS8739)	537
AMAZON-02	OVH SAS (AS16276)	1206
CLOUDFLARENET	NETLAB-SDN (AS979)	68
sedoparking.com	SEDO GmbH (AS47846)	258
SECURITYSERVICES	CSC (AS19574)	1930
CLOUDFLARENET	CLOUDFLARENET (AS13335)	4369
MICROSOFT-CORP-MSN-AS-BLOCK	AUTOMATTIC (AS2635)	6
net.hk	SGC-Cloud Alliance Limited (AS131224)	337
RM B, 2F 88 KWAI CHEONG ROAD	RM B, 2F 88 KWAI CHEONG ROAD (AS132056)	757
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	24
ns14.net	Mandala Internet EDV Service GmbH (AS12460)	14
AMAZON-02	PERFORMIVE (AS46562)	2
Akamai International B.V.	Akamai International B.V. (AS20940)	69
net.hk	Speedy Group Corporation Limited (AS55858)	478
dnspod.net	WA-STATE-GOV (AS4193)	1
net.hk	Hong Kong Domain Name Registration Co. Ltd (AS9735)	4340
CITIC Telecom International CPC Limited	CITIC Telecom International CPC Limited (AS4058)	75
dnspod.net	WEEBLY (AS27647)	1
GOOGLE	Wix.com Ltd. (AS58182)	1089
IONOS SE	united-domains GmbH (AS202108)	746
CLOUDFLARENET	SunnyVision Limited (AS38478)	1
CLOUDFLARENET	INCAPSULA (AS19551)	894
abchk.net	HKBN Enterprise Solutions HK Limited (AS9381)	44
Hangzhou Alibaba Advertising Co.,Ltd.	Alibaba US Technology Co., Ltd. (AS45102)	357
NUCDN	Datacenter Luxembourg S.A. (AS24611)	321
nameshield.net	Nameshield SAS (AS20756)	188
ormag.net	Hetzner Online GmbH (AS24940)	2
dataplugs.com	Netsec Limited (AS45753)	246
GANDI SAS	GANDI SAS (AS29169)	717
register.it	Register S.p.A. (AS39729)	236
myhostadmin.net	DXTL Tseung Kwan O Service (AS134548)	6
active24.cz	ACTIVE 24, s.r.o. (AS25234)	13
meganameservers.eu	AMAZON-02 (AS16509)	2
ns0.com	PAIR-NETWORKS (AS7859)	9
domainoo.fr	Planet Service SARL (AS61168)	104
net.hk	Alibaba US Technology Co., Ltd. (AS45102)	128
net.hk	CLOUDFLARENET (AS13335)	255
Hangzhou Alibaba Advertising Co.,Ltd.	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	181
whoisdomain.kr	NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD. (AS135354)	63
Hostpoint AG	Hostpoint AG (AS29097)	47
dn-s.nl	Signet B.V. (AS20857)	15
CLOUDFLARENET	OWGELS INTERNATIONAL CO., LIMITED (AS139880)	151
