studio4web.com	Plus Hosting Grupa d.o.o. (AS12417)	1256
OVH SAS	cyber_Folks d.o.o (AS201563)	3092
mojsite.com	Plus Hosting Grupa d.o.o. (AS12417)	4823
POSLuH d.o.o, za informaticke usluge i trgovinu	POSLuH d.o.o, za informaticke usluge i trgovinu (AS25277)	611
agenturserver.co	Mittwald CM Service GmbH & Co. KG (AS15817)	5
CLOUDFLARENET	CLOUDFLARENET (AS13335)	3899
123ns.de	DIGITALOCEAN-ASN (AS14061)	4
CLOUDFLARENET	AMAZON-02 (AS16509)	328
a1.net	Telekom Austria (AS8447)	13
LIQUIDNETLTD1	LIQUIDNETLTD1 (AS14555)	9
totohost.com	Hetzner Online GmbH (AS24940)	1571
OVH SAS	OMONIA d.o.o. (AS44306)	1
GOOGLE	Plus Hosting Grupa d.o.o. (AS12417)	21
cloud.hr	cyber_Folks d.o.o (AS201563)	70
Telemach Hrvatska d.o.o.	CLOUDFLARENET (AS13335)	3
Sedmi Odjel d.o.o.	Sedmi Odjel d.o.o. (AS198785)	115
site4now.net	SHARKTECH (AS46844)	24
SETCOR d.o.o.	SETCOR d.o.o. (AS61211)	3018
MICROSOFT-CORP-MSN-AS-BLOCK	OVH SAS (AS16276)	6
CLOUDFLARENET	cyber_Folks d.o.o (AS201563)	26
NSONE	AMAZON-02 (AS16509)	288
AMAZON-02	Team Internet AG (AS61969)	85
orbis.hr	Hrvatski Telekom d.d. (AS5391)	473
serverwebstudio.com	Globalhost d.o.o. (AS200698)	2
SECURITYSERVICES	CSC (AS19574)	336
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	2758
Telemach Hrvatska d.o.o.	Telemach Hrvatska d.o.o. (AS34594)	488
CLOUDFLARENET	Telekom Slovenije, d.d. (AS5603)	4
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	129
cloudns.net	A2HOSTING (AS55293)	1
hitrost.net	Hitrost.com Internet Storitve d.o.o. (AS59834)	25
MICROSOFT-CORP-MSN-AS-BLOCK	Nazwa.pl Sp.z.o.o. (AS15967)	1
kuhada.net	Hetzner Online GmbH (AS24940)	940
ns14.net	AMAZON-02 (AS16509)	5
crohost.net	Plus Hosting Grupa d.o.o. (AS12417)	961
Hrvatski Telekom d.d.	CLOUDFLARENET (AS13335)	45
escape.hr	Plus Hosting Grupa d.o.o. (AS12417)	82
infoitdns.com	Plus Hosting Grupa d.o.o. (AS12417)	1614
xhosting.biz	Hetzner Online GmbH (AS24940)	268
Hrvatski Telekom d.d.	Hrvatski Telekom d.d. (AS13046)	1024
mojsite.com	Hostinger International Limited (AS47583)	5
mplustech.eu	Cloudflare London, LLC (AS209242)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	36
controlpanel.si	Webtasy, d.o.o. (AS43128)	117
CLOUDFLARENET	INCAPSULA (AS19551)	120
MICROSOFT-CORP-MSN-AS-BLOCK	A1 Hrvatska d.o.o. (AS12810)	9
AMAZON-02	GOOGLE (AS15169)	405
studio4web.com	Mittwald CM Service GmbH & Co. KG (AS15817)	1
NUCDN	Team Internet AG (AS61969)	116
ACTIVE 24, s.r.o.	VSHosting s.r.o. (AS43541)	6
otvorena.com	Plus Hosting Grupa d.o.o. (AS12417)	83
netim.net	Eurofiber France SAS (AS24935)	162
awsdns-01.net	AMAZON-AES (AS14618)	1
OVH SAS	SIEL, d.o.o. (AS51790)	1
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	106
podrska.hr	Contabo GmbH (AS51167)	39
revoloop.agency	Hetzner Online GmbH (AS24940)	3
freedns.si	T-2, d.o.o. (AS34779)	6
co.uk	AMAZON-02 (AS16509)	32
hostingcentar.com	Hetzner Online GmbH (AS24940)	224
GANDI SAS	GANDI SAS (AS29169)	172
INTERNET CZ, a.s.	Contabo GmbH (AS51167)	1
IONOS SE	DIGITALOCEAN-ASN (AS14061)	2
CRATIS d.o.o.	CRATIS d.o.o. (AS61094)	86
CROCWEB	CROCWEB (AS63068)	41
CLOUDFLARENET	SETCOR d.o.o. (AS61211)	55
GOOGLE	Wix.com Ltd. (AS58182)	501
