NSONE	AMAZON-02 (AS16509)	6
cloudflare.com	CLOUDFLARENET (AS13335)	126
IONOS SE	united-domains GmbH (AS202108)	17
LIQUIDWEB	LIQUIDWEB (AS32244)	6
CLOUDFLARENET	INCAPSULA (AS19551)	25
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	5
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	7
GANDI SAS	GANDI SAS (AS29169)	48
Safenames Ltd.	Safenames Ltd. (AS60819)	13
anycast.io	Hetzner Online GmbH (AS24940)	1
OVH SAS	OVH SAS (AS16276)	19
porsche.asia	Dr. Ing. h.c. F. Porsche AG (AS33848)	2
CLOUDFLARENET	AMAZON-02 (AS16509)	42
iwantmyname.net	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
markmonitor.com	AMAZON-02 (AS16509)	49
iwantmyname.net	FASTLY (AS54113)	1
perf1.com	Nameshield SAS (AS20756)	4
cloudflare.com	AMAZON-02 (AS16509)	13
startlogic.com	BIZLAND-SD (AS29873)	2
GANDI SAS	FASTLY (AS54113)	2
trouble-free.net	IS-AS-1 (AS19318)	1
iwantmyname.net	AMAZON-02 (AS16509)	2
safenames.com	Safenames Ltd. (AS60819)	5
f5clouddns.com	F5 Networks SARL (AS35280)	2
SECURITYSERVICES	Vodafone Ono, S.A. (AS6739)	1
LIQUIDNETLTD1	LIQUIDNETLTD1 (AS14555)	16
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	4
LIQUIDWEB	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
SECURITYSERVICES	CSC (AS19574)	59
AMAZON-02	Team Internet AG (AS206834)	6
nameshield.net	AMAZON-AES (AS14618)	1
dnsimple.com	AMAZON-02 (AS16509)	1
dan.com	AMAZON-02 (AS16509)	2
1984.is	AMAZON-02 (AS16509)	1
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-AES (AS14618)	2
awsdns-04.com	AMAZON-AES (AS14618)	1
ipcom GmbH	AMAZON-02 (AS16509)	11
awsdns-07.net	AMAZON-02 (AS16509)	2
netim.net	Eurofiber France SAS (AS24935)	19
NUCDN	Datacenter Luxembourg S.A. (AS24611)	8
CLOUDFLARENET	Hostinger International Limited (AS47583)	17
NUCDN	Team Internet AG (AS61969)	8
managed-ip.com	InfoServe GmbH (AS9188)	1
GOOGLE	GOOGLE (AS15169)	2
SECURITYSERVICES	SECURITYSERVICES (AS12008)	6
aecid.ht	Aire Networks Del Mediterraneo Sl Unipersonal (AS29119)	1
atom.com	AMAZON-AES (AS14618)	2
Host Europe GmbH	GO-DADDY-COM-LLC (AS398787)	2
linqhost.eu	VERISIGN-ILG1 (AS30060)	1
NUCDN	Koninklijke Luchtvaart Maatschappij N.V. (AS28806)	1
awsdns-02.net	AMAZON-02 (AS16509)	1
AMAZON-02	OVH SAS (AS16276)	33
cloudflare.com	Telia Eesti AS (AS3249)	1
awsdns-14.org	AMAZON-02 (AS16509)	2
globvill.de	Global Village GmbH (AS13039)	1
awsdns-02.net	GOOGLE (AS15169)	1
dnspod.net	Tencent Building, Kejizhongyi Avenue (AS132203)	1
ipcom GmbH	CLOUDFLARENET (AS13335)	1
variomedia.de	ScaleUp Technologies GmbH & Co. KG (AS29014)	2
awsdns-20.com	AMAZON-AES (AS14618)	1
registrar-servers.com	ChangLian Network Technology Co., Limited (AS137443)	1
GANDI SAS	Scaleway S.a.s. (AS12876)	2
bb-online.info	AS-VULTR (AS20473)	1
iwantmyname.net	AMAZON-AES (AS14618)	2
SECURITYSERVICES	COGECO-PEER1 (AS13768)	3
GO-DADDY-COM-LLC	AMAZON-02 (AS16509)	1
mywhc.ca	GTCOMM (AS36666)	1
SECURITYSERVICES	Bayerische Motoren Werke Aktiengesellschaft (AS8590)	1
nameshield.net	Nameshield SAS (AS20756)	6
bytesexual.net	DIGITALOCEAN-ASN (AS14061)	1
iptwins.com	OVH SAS (AS16276)	2
awsdns-03.net	AMAZON-02 (AS16509)	1
iptwins.com	UNIFIEDLAYER-AS-1 (AS46606)	1
nic.ru	Yandex.Cloud LLC (AS200350)	1
easyname.eu	dogado GmbH (AS208582)	2
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	14
transversal.ht	ORACLE-BMC-31898 (AS31898)	1
iwantmyname.net	GOOGLE-CLOUD-PLATFORM (AS396982)	4
agrotechnique.com	DIMENOC (AS33182)	2
CLOUDFLARENET	AMAZON-AES (AS14618)	2
xserver.jp	Xserver Inc. (AS131965)	1
awsdns-39.net	AMAZON-AES (AS14618)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	6
iwantmyname.net	Hetzner Online GmbH (AS24940)	1
ns14.net	hostNET Medien GmbH (AS34895)	1
iwantmyname.net	DIGITALOCEAN-ASN (AS14061)	2
Hetzner Online GmbH	High5! B.V. (AS60131)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Infomaniak Network SA (AS29222)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	6
awsdns-20.org	AMAZON-02 (AS16509)	1
ne.kr	Korea Telecom (AS4766)	1
awsdns-13.com	AMAZON-02 (AS16509)	1
monopost.com	Greysom Limited (AS12678)	2
gofruits.co	GOOGLE-CLOUD-PLATFORM (AS396982)	3
world4you.at	WVNET Information und Kommunikation GmbH (AS29081)	1
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	4
rrpproxy.net	Scaleway S.a.s. (AS12876)	1
netnamed.net	OVH SAS (AS16276)	1
amigokit.com	UNINET (AS8151)	1
markmonitor.com	HILTON-E (AS26529)	4
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	6
wusel.network	OVH SAS (AS16276)	1
GO-DADDY-COM-LLC	GO-DADDY-COM-LLC (AS398101)	3
transversal.ht	AS-VULTR (AS20473)	1
emkiobsdn03.	Sixsigma Networks Mexico, S.A. de C.V. (AS22908)	1
ACCESS HAITI S.A.	ACCESS HAITI S.A. (AS27759)	4
GANDI SAS	AMAZON-AES (AS14618)	2
servedcomputing.com	Akamai Connected Cloud (AS63949)	1
Akamai International B.V.	AKAMAI-AS (AS16625)	1
AMAZON-02	Cloudflare London, LLC (AS209242)	1
epik.com	EPIK-LLC (AS394456)	4
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	4
ngninfra.net	Host Europe GmbH (AS8972)	2
ericsson.se	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	1
leaseweb.nl	LeaseWeb Netherlands B.V. (AS60781)	1
yourhostingaccount.com	BIZLAND-SD (AS29873)	2
markmonitor.com	Deutsche Telekom AG (AS3320)	1
Host Europe GmbH	AMAZON-02 (AS16509)	8
LIQUIDWEB	OIS1 (AS26337)	1
cloudflare.com	DIGITALOCEAN-ASN (AS14061)	4
iwantmyname.net	DATABANK-DFW (AS13767)	1
Akamai Connected Cloud	SQUARESPACE (AS53831)	2
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	6
o2switch.net	O2switch SAS (AS50474)	1
credit-suisse.com	UBS Group AG (AS8729)	5
GANDI SAS	TAS France SAS (AS8554)	1
cloudflare.com	COGECO-PEER1 (AS13768)	1
teamviewer.com	ANEXIA Internetdienstleistungs GmbH (AS42473)	1
SECURITYSERVICES	CSC Administrative Services Limited (AS34922)	1
domeny.tv	Dataspace P.s.a. (AS50599)	1
nsroot1.com	CSC (AS19574)	4
NSONE	GOOGLE (AS15169)	3
transversal.ht	GO-DADDY-COM-LLC (AS398101)	1
register.it	Register S.p.A. (AS39729)	3
cloudflare.com	AS-WHOLESAIL (AS20055)	1
hostingww.com	LNH-INC (AS20021)	1
sr.ht	High5! B.V. (AS60131)	1
dns.com	GNET INC. (AS9294)	3
acn.ht	Alpha Communications Network (AS27653)	1
AMAZON-02	FASTLY (AS54113)	2
CLOUDFLARENET	Host Europe GmbH (AS21499)	1
co.uk	AMAZON-AES (AS14618)	8
MICROSOFT-CORP-MSN-AS-BLOCK	GO-DADDY-COM-LLC (AS398787)	1
nominus.com	FASTLY (AS54113)	1
he.net	TZULO (AS11878)	1
ondns.uk	AMAZON-AES (AS14618)	1
vpn.ht	Scaleway S.a.s. (AS12876)	2
transip.eu	Signet B.V. (AS20857)	1
serverstack.com	SERVERSTACK-ASN (AS46652)	2
sedoparking.com	SEDO GmbH (AS47846)	5
Host Europe GmbH	DIGITALOCEAN-ASN (AS14061)	1
netflix.net	AMAZON-02 (AS16509)	1
systemdns.com	AMAZON-AES (AS14618)	2
kivial.it	IONOS SE (AS8560)	1
SECURITYSERVICES	AMAZON-AES (AS14618)	11
ipcom GmbH	DXC-AS3360 (AS3360)	1
acens.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
usethisnameserver.com	HURRICANE (AS6939)	2
GOOGLE	Wix.com Ltd. (AS58182)	7
awsdns-00.com	AMAZON-02 (AS16509)	1
SECURITYSERVICES	AMAZON-02 (AS16509)	5
kv-gmbh.de	Hetzner Online GmbH (AS24940)	1
GANDI SAS	KOUMBIT (AS7765)	1
afraid.org	AMAZON-AES (AS14618)	1
Hetzner Online GmbH	Contabo GmbH (AS51167)	2
AMAZON-02	TATA Communications formerly VSNL is Leading ISP (AS4755)	1
a2hosting.com	A2HOSTING (AS55293)	1
ef-ns.de	Verein zur Foerderung eines Deutschen Forschungsnetzes e.V. (AS680)	1
com.tr	Superonline Iletisim Hizmetleri A.S. (AS34984)	1
NUCDN	Julius Blum GmbH (AS197964)	1
epic.com	EPICSYS (AS10359)	1
dnspod.net	Alibaba US Technology Co., Ltd. (AS45102)	2
webstarts.com	MOVECLICKLLC (AS40015)	1
iwantmyname.net	InterNetX GmbH (AS15456)	4
es.ht	Wildcard UK Limited (AS34119)	1
CLOUDFLARENET	Akamai Connected Cloud (AS63949)	1
ns14.net	Plusnet GmbH (AS20676)	1
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
cloudflare.com	Its Integra SAS (AS8723)	1
awsdns-18.org	AMAZON-02 (AS16509)	1
GANDI SAS	GANDI SAS (AS203476)	1
iwantmyname.net	SERVERSTADIUM (AS27323)	1
GANDI SAS	Hetzner Online GmbH (AS213230)	1
dnsvisa.com	CLOUDFLARENET (AS13335)	1
awsdns-17.net	AMAZON-02 (AS16509)	1
MICROSOFT-CORP-MSN-AS-BLOCK	CSC (AS19574)	2
nodevm.com	NAMEHERO-KCDC (AS399250)	1
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
hetzner.com	Scaleway S.a.s. (AS12876)	1
SECURITYSERVICES	HURRICANE (AS6939)	1
amzndns.com	AMAZON-02 (AS16509)	1
tizoo.com	TiZoo Sarl (AS209042)	1
IONOS SE	Hetzner Online GmbH (AS24940)	1
secureserver.net	GO-DADDY-COM-LLC (AS398101)	1
dreamhost.com	DREAMHOST-AS (AS26347)	2
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	2
n0c.com	PLANETHOSTER-8 (AS53589)	2
awsdns-19.com	AMAZON-02 (AS16509)	1
3m.com	AMAZON-02 (AS16509)	2
hostnet.nl	One.com A/S (AS51468)	3
wibehost.com	NAMEHERO-KCDC (AS399250)	3
dig.com	AMAZON-02 (AS16509)	2
awsdns-00.net	AMAZON-02 (AS16509)	1
whois.ht	Alibaba US Technology Co., Ltd. (AS45102)	1
cloudflare.com	FD-298-8796 (AS8796)	1
reg.ru	Domain names registrar REG.RU, Ltd (AS197695)	1
cloudns.net	Hetzner Online GmbH (AS24940)	2
GANDI SAS	Cloudflare London, LLC (AS209242)	2
ns14.net	InterNetX GmbH (AS15456)	3
netim.net	Wix.com Ltd. (AS58182)	1
OVH SAS	Infomaniak Network SA (AS29222)	1
awsdns-01.com	WBD-AS40703 (AS40703)	1
awsdns-27.com	AMAZON-02 (AS16509)	1
NSONE	AMAZON-AES (AS14618)	1
Hetzner Online GmbH	Hostinger International Limited (AS47583)	1
awsdns-01.org	Nexon Asia Pacific Pty Ltd (AS17766)	1
AMAZON-02	WHG Hosting Services Ltd (AS14670)	1
abdns.biz	Aruba S.p.A. (AS31034)	1
GANDI SAS	uvensys GmbH (AS58010)	1
register.be	COLT Technology Services Group Limited (AS8220)	1
domainoo.fr	Planet Service SARL (AS61168)	1
sanxion.org	E-GATE-COMMUNICATIONS (AS13657)	1
att.net	UPS (AS12217)	1
SECURITYSERVICES	International Business Machines Corporation (AS204764)	1
cloudflare.com	Hetzner Online GmbH (AS24940)	2
exoscale.ch	AMAZON-02 (AS16509)	1
qwest.net	LEVEL3 (AS3356)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	2
site5.com	UNIFIEDLAYER-AS-1 (AS46606)	1
awsdns-16.net	SQUARESPACE (AS53831)	1
cloudflare.com	SQUARESPACE (AS53831)	2
Hetzner Online GmbH	AUTOMATTIC (AS2635)	1
peer1.net	COGECO-PEER1 (AS13768)	1
lexsynergy.info	Akamai Connected Cloud (AS63949)	2
ui-dns.biz	IONOS SE (AS8560)	2
dns.sb	GOOGLE-CLOUD-PLATFORM (AS396982)	1
linode.com	GOOGLE (AS15169)	1
regzone.cz	ZONER a.s. (AS34222)	3
DIGICERT	OVH SAS (AS16276)	1
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	5
wolverinedns.com	ASACENET1 (AS22878)	2
sprinthost.net	Sprinthost.ru LLC (AS35278)	1
nameshield.net	Itinsell Cloud SAS (AS34235)	1
awsdns-20.com	AMAZON-02 (AS16509)	1
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	3
awsdns-25.net	AMAZON-02 (AS16509)	5
vighor.com	NL-811-40021 (AS40021)	1
ui-dns.biz	Connective Online Limited (AS39175)	1
awsdns-18.com	ARPNET (AS25795)	1
cephaiti.ht	ORACLE-BMC-31898 (AS31898)	1
register.it	AMAZON-AES (AS14618)	1
iwantmyname.net	SQUARESPACE (AS53831)	1
OVH SAS	AMAZON-AES (AS14618)	1
emirates.com	AMAZON-02 (AS16509)	1
SECURITYSERVICES	UUNET (AS702)	1
kasserver.com	Neue Medien Muennich GmbH (AS34788)	2
serveriai.lt	UAB Interneto vizija (AS212531)	1
cloudflare.com	Eurofiber France SAS (AS39405)	1
transversal.ht	AMAZON-AES (AS14618)	2
njalla.fo	ab stract ltd (AS39287)	2
ovh.ca	OVH SAS (AS16276)	1
ybk.im	ORACLE-BMC-31898 (AS31898)	1
cloudflare.com	Netsec Limited (AS45753)	1
registrar-servers.com	Instra Corporation Pty Ltd (AS133104)	1
alight.com	AMAZON-02 (AS16509)	1
awsdns-14.com	AMAZON-02 (AS16509)	1
cloudflare.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
cloudflare.com	IQWeb FZ-LLC (AS59692)	1
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Hetzner Online GmbH	DIGITALOCEAN-ASN (AS14061)	1
awsdns-11.org	World Registry of Internet Domains LTD (AS199029)	1
bearingpoint.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
linode.com	Akamai Connected Cloud (AS63949)	1
hetzner.com	Hetzner Online GmbH (AS213230)	1
subdomain.net	Hetzner Online GmbH (AS24940)	2
hostingww.com	AMAZON-02 (AS16509)	1
prodomaines.com	Bdl Systemes SAS (AS38926)	1
awsdns-11.org	AMAZON-AES (AS14618)	1
biz.ht	Zetta Hosting Solutions LLC. (AS44476)	2
ACCESS HAITI S.A.	GO-DADDY-COM-LLC (AS398787)	1
facebook.com	FACEBOOK (AS32934)	2
nike.com	AMAZON-02 (AS16509)	2
hostpapa.com	ONIAAS (AS40092)	1
rwhmax.com	HVC-AS (AS29802)	1
intel.com	INTEL-SC-AS (AS4983)	1
superb.net	ORACLE-BMC-31898 (AS31898)	1
cafe24.com	Korea Telecom (AS4766)	1
AMAZON-02	CLOUDFLARENET (AS13335)	1
excedonet.net	GleSYS AB (AS42708)	1
awsdns-15.com	WBD-AS40703 (AS40703)	1
m-d.net	Scaleway S.a.s. (AS12876)	1
awsdns-11.org	AMAZON-02 (AS16509)	1
GANDI SAS	SOFTLAYER (AS36351)	1
widhost.net	Made Network Srl (AS13182)	1
IONOS SE	IONOS SE (AS8560)	1
CLOUDFLARENET	OVH SAS (AS16276)	3
homedepot.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
DIGICERT	DIGICERT (AS16552)	1
cloudns.net	AMAZON-AES (AS14618)	1
iwantmyname.com	FASTLY (AS54113)	1
cloudns.net	Datacamp Limited (AS60068)	1
AMAZON-02	GOOGLE (AS15169)	3
awsdns-20.net	DACEN-2 (AS31863)	1
GANDI SAS	GOOGLE-CLOUD-PLATFORM (AS396982)	1
GANDI SAS	GO-DADDY-COM-LLC (AS398787)	1
NSONE	GOOGLE-CLOUD-PLATFORM (AS396982)	1
LIQUIDWEB	ACCESS HAITI S.A. (AS27759)	1
exonet.nl	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Host Europe GmbH	AMAZON-AES (AS14618)	1
awsdns-30.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
ezprovider.com	AMAZON-02 (AS16509)	1
dnshost.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
ne.jp	Xserver Inc. (AS131965)	1
value-domain.com	AMAZON-02 (AS16509)	1
GANDI SAS	OVH SAS (AS16276)	4
SECURITYSERVICES	AS14725 (AS14725)	1
cscudns.com	CSC (AS19574)	1
AMAZON-02	SQUARESPACE (AS53831)	2
justhost.com	UNIFIEDLAYER-AS-1 (AS46606)	1
GANDI SAS	Societe Francaise Du Radiotelephone - SFR SA (AS15557)	1
netim.net	AMAZON-AES (AS14618)	1
vultr.com	AS-VULTR (AS20473)	1
heilight.de	netcup GmbH (AS197540)	1
arvixe.com	UNIFIEDLAYER-AS-1 (AS46606)	1
vrvy.net	Datacenter Luxembourg S.A. (AS24611)	1
argewebhosting.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
kaliber.io	GOOGLE-CLOUD-PLATFORM (AS396982)	1
CLOUDFLARENET	AUTOMATTIC (AS2635)	1
glipac.ch	Bluewin (AS3303)	1
Akamai International B.V.	CSC (AS19574)	2
markmonitor.zone	AMAZON-02 (AS16509)	1
wwe.com	AMAZON-AES (AS14618)	1
websitewelcome.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
OVH SAS	Groupe LWS SARL (AS210403)	1
i-landhost.ca	IWEB-AS (AS32613)	1
inmotionhosting.com	IMH-IAD (AS54641)	2
guzelhosting.com	GNET Internet Telekomunikasyon A.S. (AS42846)	1
liquidweb.com	LIQUIDWEB (AS32244)	1
iwantmyname.com	H2nexus Ltd (AS215730)	1
awsdns-10.org	AMAZON-AES (AS14618)	1
Akamai International B.V.	Marubeni OKI Network Solutions Inc. (AS4677)	1
yandex.net	LLC Smart Ape (AS56694)	1
routing.net	Hosting.de GmbH (AS12574)	1
namesrv.ch	green.ch AG (AS1836)	1
portsdns.net	Tele2 SWIPnet (AS1257)	2
site4now.net	SHARKTECH (AS46844)	1
GANDI SAS	AMAZON-02 (AS16509)	1
CLOUDFLARENET	NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED (AS17439)	1
SECURITYSERVICES	EXPEDIENT (AS17054)	1
awsdns-42.org	AMAZON-02 (AS16509)	1
GANDI SAS	VIDEOTRON (AS5769)	1
cloudflare.com	GOOGLE-CLOUD-PLATFORM (AS396982)	2
afternic.com	AMAZON-02 (AS16509)	1
NUCDN	Cloudlayer8 Limited (AS197648)	1
NUCDN	GO-DADDY-COM-LLC (AS398101)	1
netzquadrat.de	CLOUDFLARENET (AS13335)	1
awsdns-25.net	WBD-AS40703 (AS40703)	1
cloudflare.com	AMAZON-AES (AS14618)	1
planethoster.net	PLANETHOSTER-8 (AS53589)	1
safenames.com	AMAZON-02 (AS16509)	1
Hetzner Online GmbH	Cyberse GmbH & Co. KG (AS208208)	1
spaceship.net	AMAZON-02 (AS16509)	1
bluecatdns.com	AMAZON-AES (AS14618)	1
worldnic.com	Wix.com Ltd. (AS58182)	1
ipcom GmbH	AMAZON-AES (AS14618)	2
safenames.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
NUCDN	OVH SAS (AS16276)	1
awsdns-14.net	AMAZON-02 (AS16509)	1
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	1
AMAZON-02	WHG Hosting Services Ltd (AS216180)	2
CLOUDFLARENET	TATA Communications formerly VSNL is Leading ISP (AS4755)	1
awsdns-32.net	AMAZON-02 (AS16509)	1
kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
dnsdienst.de	dogado GmbH (AS8648)	1
cloudflare.com	EDNS (AS16686)	1
IONOS SE	kyberio GmbH (AS24679)	1
inwx.de	AMAZON-02 (AS16509)	1
parklogic.com	Akamai Connected Cloud (AS63949)	1
smart.car	AMAZON-02 (AS16509)	1
dondominio.com	Soluciones Corporativas IP, SL (AS57910)	1
dodns.net	united-domains GmbH (AS202108)	1
sanofi-synthelabo.com	AMAZON-02 (AS16509)	1
cloudflare.com	UAB Cherry Servers (AS204770)	1
markmonitor.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
njalla.fo	IPTransit Business LTD (AS213893)	1
pcf-corp.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
portsdns.net	FASTLY (AS54113)	1
cloudflare.com	NL-811-40021 (AS40021)	1
awsdns-06.org	AMAZON-02 (AS16509)	2
cloudflare.com	AS-VULTR (AS20473)	1
ru.ht	AS-VULTR (AS20473)	1
awsdns-13.org	AMAZON-02 (AS16509)	1
routing.net	meerfarbig GmbH & Co. KG (AS34549)	1
bravehost.com	COGENT-174 (AS174)	1
awsdns-12.org	AMAZON-02 (AS16509)	1
iwantmyname.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
awsdns-18.org	GOOGLE-CLOUD-PLATFORM (AS396982)	1
NUCDN	GOOGLE-CLOUD-PLATFORM (AS396982)	1
awsdns-15.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
philips.com	AMAZON-02 (AS16509)	1
AMAZON-02	RENDER (AS397273)	1
GANDI SAS	Diabolocom SAS (AS39781)	1
awsdns-28.org	AMAZON-02 (AS16509)	1
xerox.com	XEROX-WB (AS22390)	1
cloudns.net	Team Internet AG (AS61969)	1
Akamai International B.V.	NCUBE-OREGON-AS (AS1219)	1
GANDI SAS	JCOM Co., Ltd. (AS4721)	1
SECURITYSERVICES	FASTLY (AS54113)	1
justhost.com	WEEBLY (AS27647)	1
dnshost.net	GleSYS AB (AS42708)	1
netim.net	Scaleway S.a.s. (AS12876)	1
