Hostpoint AG	Hostpoint AG (AS29097)	30
CLOUDFLARENET	CLOUDFLARENET (AS13335)	28786
registrar-servers.com	NAMECHEAP-NET (AS22612)	3857
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	939
CLOUDFLARENET	Hostinger International Limited (AS47583)	19654
PT Qwords Company International	PT Qwords Company International (AS58404)	702
PT Dewa Bisnis Digital	Contabo GmbH (AS51167)	1
CLOUDFLARENET	OVH SAS (AS16276)	98
rumahweb.com	CV. Rumahweb Indonesia (AS58487)	6244
PT Cloud Hosting Indonesia	PT Cloud Hosting Indonesia (AS136052)	1011
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	526
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	1668
CLOUDFLARENET	Wix.com Ltd. (AS58182)	30
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	2606
rumahweb.biz	AMAZON-02 (AS16509)	234
Hostinger International Limited	Hostinger International Limited (AS47583)	667
Host Europe GmbH	AMAZON-02 (AS16509)	4255
PT Cloud Hosting Indonesia	PT Awan Data Teknologi (AS151592)	1
idcloudhost.com	PT Cloud Hosting Indonesia (AS136052)	50
NSONE	AMAZON-02 (AS16509)	559
AMAZON-AES	AMAZON-AES (AS14618)	316
joker.com	Suomi Communications Oy (AS16302)	6
PT Biznet Gio Nusantara	PT Biznet Gio Nusantara (AS133800)	436
NUCDN	Team Internet AG (AS61969)	45
registrar-servers.com	Akamai Connected Cloud (AS63949)	1748
stabilized.net	RISINGNET (AS33211)	1
LEASEWEB SINGAPORE PTE. LTD.	PT. Beon Intermedia (AS55688)	412
subjersey.id	PT Infinys System Indonesia (AS58397)	1
webhostbox.net	PUBLIC-DOMAIN-REGISTRY (AS394695)	35
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	298
AMAZON-02	AMAZON-02 (AS16509)	954
ARDH GLOBAL INDONESIA, PT	ARDH GLOBAL INDONESIA, PT (AS45731)	138
Akamai Connected Cloud	Akamai Connected Cloud (AS63949)	392
idcloudhosting.com	Alibaba US Technology Co., Ltd. (AS45102)	7
PT. Raja Sepadan Abadi	PT. Raja Sepadan Abadi (AS45146)	123
AMAZON-02	A2HOSTING (AS55293)	101
co.id	PT. Telekomunikasi Selular (AS23693)	6
sertindo.id	PT. EXABYTES NETWORK INDONESIA (AS136170)	1
rumahweb.biz	GOOGLE (AS15169)	465
CLOUDFLARENET	Akamai Connected Cloud (AS63949)	256
bodis.com	AMAZON-02 (AS16509)	296
rumahweb.biz	KANTOR KESEHATAN PELABUHAN KELAS II SEMARANG (AS140002)	1
rumahweb.biz	DIGITALOCEAN-ASN (AS14061)	389
co.id	PT. Jupiter Jala Arta (AS131775)	390
idcloudhosting.com	PT. EXABYTES NETWORK INDONESIA (AS136170)	912
net.id	Alibaba US Technology Co., Ltd. (AS45102)	5
GOOGLE	GOOGLE (AS15169)	19
registrar-servers.com	FASTLY (AS54113)	38
PT. Core Mediatech D-NET	PT Infinys System Indonesia (AS58397)	2
GOOGLE	PT. Eka Mas Republik (AS63859)	2
rumahweb.com	PhoenixNAP (AS59210)	38
ipcom GmbH	AMAZON-02 (AS16509)	71
GOOGLE	Wix.com Ltd. (AS58182)	495
dewaweb.com	PT DEWAWEB (AS139456)	740
idwebhost.com	PT JC Indonesia (AS46050)	544
OVH SAS	OVH SAS (AS16276)	124
VITAL-DNS	AMAZON-AES (AS14618)	2
SECURITYSERVICES	CSC (AS19574)	344
net.id	PT. Core Mediatech D-NET (AS9794)	39
