dnsireland.com	Team Blue Carrier Limited (AS29550)	6619
blacknightdns.com	AMAZON-AES (AS14618)	86
ns15.net	InterNetX GmbH (AS15456)	1
reg365.net	Team Blue Internet Services Uk Limited (AS8622)	12961
webhostingireland.ie	Team Blue Carrier Limited (AS29550)	12562
unknown	Team Blue Carrier Limited (AS29550)	148
markmonitor.com	Optimizely AB (AS30811)	4
blacknightdns.com	AMAZON-02 (AS16509)	2903
CLOUDFLARENET	CLOUDFLARENET (AS13335)	11798
AMAZON-02	GOOGLE (AS15169)	3378
Host Europe GmbH	Host Europe GmbH (AS21499)	86
SECURITYSERVICES	CSC (AS19574)	1731
ipcom GmbH	LeaseWeb Netherlands B.V. (AS60781)	4772
blacknightdns.com	Blacknight Internet Solutions Limited (AS39122)	2913
blacknightdns.com	SQUARESPACE (AS53831)	449
AMAZON-02	AMAZON-02 (AS16509)	1739
blacknight.com	Team Internet AG (AS61969)	5436
WebWorld	WebWorld (AS30900)	673
blacknight.com	Blacknight Internet Solutions Limited (AS39122)	12570
reg365.net	SQUARESPACE (AS53831)	868
dnsireland.com	Digiweb ltd (AS31122)	3151
Deutsche Telekom AG	Blacknight Internet Solutions Limited (AS39122)	1
CLOUDFLARENET	ONIAAS (AS40092)	639
cscudns.com	Internet Names for Business Inc (AS9115)	1
webhostingireland.ie	Blacknight Internet Solutions Limited (AS39122)	5208
webhostingireland.ie	Ikoula Net SAS (AS21409)	3
Signet B.V.	Signet B.V. (AS20857)	845
GOOGLE	Wix.com Ltd. (AS58182)	4687
routing.net	Hosting.de GmbH (AS12574)	7
ipcom GmbH	AMAZON-02 (AS16509)	438
dnsireland.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	59
IONOS SE	IPB Internet Provider in Berlin GmbH (AS20647)	26
contabo.net	Contabo GmbH (AS51167)	70
smarthost.ie	AMAZON-02 (AS16509)	43
MICROSOFT-CORP-MSN-AS-BLOCK	CLOUDFLARENET (AS13335)	334
co.za	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
hostireland.com	Leeson Telecom Holdings Ltd (AS56410)	162
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	314
dnsireland.com	SQUARESPACE (AS53831)	550
dnsireland.com	Redcentric Solutions Ltd (AS31463)	3
CLOUDFLARENET	IONOS SE (AS8560)	56
Host Europe GmbH	AMAZON-02 (AS16509)	706
heanet.ie	HEAnet CLG (AS1213)	119
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	20
AMAZON-02	A2HOSTING (AS55293)	437
layer5solutions.com	Netnorth Limited (AS25376)	1
dnsimple.com	AMAZON-02 (AS16509)	45
Buy Limited	Blacknight Internet Solutions Limited (AS39122)	3
CLOUDFLARENET	Contabo GmbH (AS51167)	81
webserver.ie	AMAZON-02 (AS16509)	21
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	849
DIGICERT	DIGICERT (AS16552)	143
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	411
AUTOMATTIC	AUTOMATTIC (AS2635)	778
Cork Internet Exchange Limited	Cork Internet Exchange Limited (AS47720)	1066
blacknightdns.com	DIGITALOCEAN-ASN (AS14061)	166
CLOUDFLARENET	Hostinger International Limited (AS47583)	1541
NSONE	Team Blue Carrier Limited (AS29550)	1
AMAZON-02	DIGITALOCEAN-ASN (AS14061)	75
DIGITALOCEAN-ASN	OVH SAS (AS16276)	8
webhostingireland.ie	Tele2 SWIPnet (AS1257)	1
OVH SAS	OVH SAS (AS16276)	632
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	117
Cyber_Folks S.A.	Beyond.pl sp. z o.o. (AS31229)	42
webhostingireland.ie	Cloudflare London, LLC (AS209242)	158
Cork Internet Exchange Limited	AMAZON-02 (AS16509)	24
Cloud DNS Ltd	Digiweb ltd (AS31122)	91
anuhosting.net	Asimo Networks B.V. (AS49127)	37
DIGICERT	AUTOMATTIC (AS2635)	110
secure-ssl-server.net	WebWorld (AS30900)	541
CLOUDFLARENET	IDKOM Networks GmbH (AS12931)	6
webhostingireland.ie	FASTLY (AS54113)	124
CLOUDFLARENET	Iomart Cloud Services Limited (AS20860)	19
webhostingireland.ie	AUTOMATTIC (AS2635)	18
SECURITYSERVICES	AMAZON-02 (AS16509)	256
gov.ie	AMAZON-02 (AS16509)	119
blacknight.com	GOOGLE (AS15169)	485
phase8.net	Team Blue Internet Services Uk Limited (AS8622)	487
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	269
CLOUDFLARENET	netcup GmbH (AS197540)	8
co.uk	Iomart Cloud Services Limited (AS20860)	24
blacknight.com	AMAZON-02 (AS16509)	1189
fastsecurehost.com	Iomart Cloud Services Limited (AS21130)	880
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	350
SECURITYSERVICES	CSC Administrative Services Limited (AS34922)	71
reg365.net	Digiweb ltd (AS31122)	125
CLOUDFLARENET	GOOGLE (AS15169)	167
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	52
dig.com	AMAZON-02 (AS16509)	82
CLOUDFLARENET	INCAPSULA (AS19551)	226
gov.ie	The Internet Business Ltd (AS41678)	6
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	116
smarthost.ie	Digiweb ltd (AS31122)	201
dnsireland.com	AMAZON-02 (AS16509)	612
CLOUDFLARENET	DREAMHOST-AS (AS26347)	288
AMAZON-02	Team Internet AG (AS61969)	793
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	652
reg365.net	Cloudflare London, LLC (AS209242)	214
spiralhosting.com	acens Technologies, S.L. (AS16371)	1
blacknight.com	AMAZON-AES (AS14618)	135
Ans Academy Limited	Krystal Hosting Ltd (AS12488)	1
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	227
MICROSOFT-CORP-MSN-AS-BLOCK	noris network AG (AS12337)	1
actonserver.net	Hetzner Online GmbH (AS24940)	2
CLOUDFLARENET	AS40676 (AS40676)	5
webhostingireland.ie	Iomart Cloud Services Limited (AS21130)	10
bodis.com	AMAZON-02 (AS16509)	96
AMAZON-02	WHG Hosting Services Ltd (AS51713)	224
SECURITYSERVICES	15347 (AS15347)	2
reg365.net	Combell NV (AS34762)	1122
NSONE	INTERNAP-BLOCK-4 (AS14742)	2
CLOUDFLARENET	AMAZON-02 (AS16509)	952
Akamai International B.V.	Akamai International B.V. (AS20940)	95
CLOUDFLARENET	UAB Interneto vizija (AS212531)	60
unknown	ONIAAS (AS40092)	4
webhostingireland.ie	SQUARESPACE (AS53831)	772
co.uk	AMAZON-02 (AS16509)	325
CLOUDFLARENET	Heart Internet limited (AS20738)	5
NUCDN	Datacenter Luxembourg S.A. (AS24611)	387
serveriai.lt	UAB Interneto vizija (AS212531)	58
myhostns.net	Wix.com Ltd. (AS58182)	8
Safenames Ltd.	Safenames Ltd. (AS60819)	391
gocloudns.com	velia.net Internetdienste GmbH (AS29066)	38
markmonitor.com	AMAZON-02 (AS16509)	986
CLOUDFLARENET	IPB Internet Provider in Berlin GmbH (AS20647)	4
AMAZON-02	OVH SAS (AS16276)	277
thednscompany.com	Signet B.V. (AS20857)	2
blacknight.com	SQUARESPACE (AS53831)	783
co.uk	IONOS SE (AS8560)	168
dnsireland.com	CLOUDFLARENET (AS13335)	633
dnsireland.com	Wix.com Ltd. (AS58182)	59
blacknightdns.com	OVH SAS (AS16276)	47
reg365.net	Register S.p.A. (AS39729)	1003
opst.de	AMAZON-02 (AS16509)	1
glazedigital.com	Iomart Cloud Services Limited (AS20860)	2
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	1105
kylos.pl	LH.pl Sp. z o.o. (AS203417)	6
reg365.net	AMAZON-02 (AS16509)	886
co.uk	Zen Internet Ltd (AS13037)	2
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	205
SEDO GmbH	SEDO GmbH (AS47846)	84
reg365.net	AMAZON-AES (AS14618)	761
vpsdns.net	WebWorld (AS30900)	139
blacknightdns.com	CLOUDFLARENET (AS13335)	582
l4dns.com	ORACLE-BMC-31898 (AS31898)	3
blacknight.com	FORTRESSITX (AS25653)	64
AMAZON-AES	AMAZON-AES (AS14618)	142
reg365.net	CLOUDFLARENET (AS13335)	926
NUCDN	Team Internet AG (AS61969)	275
CLOUDFLARENET	COLT Technology Services Group Limited (AS8220)	1
Iomart Cloud Services Limited	Iomart Cloud Services Limited (AS20860)	128
managed-ip.com	InterNetX GmbH (AS15456)	28
dnsireland.com	THEROCKETSCIENCEGROUP (AS14782)	2
AMAZON-02	ATT-INTERNET4 (AS7018)	11
blacknight.com	Hetzner Online GmbH (AS24940)	181
Akamai International B.V.	INCAPSULA (AS19551)	12
blacknight.com	Hostinger International Limited (AS47583)	75
blacknightdns.com	UK-2 Limited (AS13213)	2
blacknight.com	DIGITALOCEAN-ASN (AS14061)	277
