uPress Inc	O.m.c. Computers & Communications Ltd (AS44709)	14
CLOUDFLARENET	CLOUDFLARENET (AS13335)	3422
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	222
GOOGLE	Wix.com Ltd. (AS58182)	981
Interspace Ltd.	Interspace Ltd. (AS21350)	749
co.il	Bezeq International Ltd. (AS8551)	1130
Interspace Ltd.	O.m.c. Computers & Communications Ltd (AS44709)	46
Host Europe GmbH	Cellcom Fixed Line Communication L.P (AS1680)	3
co.uk	Hetzner Online GmbH (AS24940)	82
uPress Inc	uPress Inc (AS209622)	647
net.il	Cellcom Fixed Line Communication L.P (AS1680)	221
stabletransit.com	RACKSPACE (AS27357)	26
co.il	Triple C Cloud Computing Ltd. (AS50463)	16
Bezeq International Ltd.	Bezeq International Ltd. (AS8551)	78
co.il	O.m.c. Computers & Communications Ltd (AS44709)	243
awsdns-09.net	AMAZON-02 (AS16509)	2
co.il	AS-VULTR (AS20473)	22
co.il	LiveDns Ltd (AS201857)	40
co.il	FASTLY (AS54113)	18
co.il	Kamatera Inc (AS204548)	14
co.il	Interspace Ltd. (AS21350)	3
awsdns-00.com	OVH SAS (AS16276)	1
co.il	Hetzner Online GmbH (AS24940)	108
stabletransit.com	AS-COLOCROSSING (AS36352)	1
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	58
scoldns.com	AMAZON-02 (AS16509)	1
co.il	Cellcom Fixed Line Communication L.P (AS1680)	142
CLOUDFLARENET	Hostinger International Limited (AS47583)	407
ahoyhosting.net	Bezeq International Ltd. (AS8551)	4
co.il	AMAZON-AES (AS14618)	85
co.il	uPress Inc (AS209622)	387
jetserver.net	uPress Inc (AS209622)	1
edomain1.net	Partner Communications Ltd. (AS12400)	2
SECURITYSERVICES	Interspace Ltd. (AS21350)	1
AMAZON-02	GOOGLE (AS15169)	194
CLOUDFLARENET	Enix Ltd (AS52148)	3
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	22
co.il	DIGITALOCEAN-ASN (AS14061)	144
Interspace Ltd.	Hostinger International Limited (AS47583)	7
aivision.cz	CASABLANCA INT a.s. (AS15685)	1
vultr.com	Partner Communications Ltd. (AS12400)	1
co.il	OVH SAS (AS16276)	27
dwebhost.net	O.m.c. Computers & Communications Ltd (AS44709)	2
duginetwork.com	O.m.c. Computers & Communications Ltd (AS44709)	3
co.il	Wix.com Ltd. (AS58182)	20
domeinbalie.nl	CLDIN B.V. (AS48635)	1
co.il	S.P.D. Hosting LTD (AS207605)	117
dtnt.info	uPress Inc (AS209622)	16
CLOUDFLARENET	AMAZON-02 (AS16509)	103
AMAZON-02	AMAZON-02 (AS16509)	283
Akamai International B.V.	Akamai International B.V. (AS20940)	11
nadns1.com	Nameshield SAS (AS20756)	1
routing.net	Hosting.de GmbH (AS12574)	6
awsdns-07.net	AMAZON-02 (AS16509)	5
Interspace Ltd.	Partner Communications Ltd. (AS12400)	27
co.il	CLOUDFLARENET (AS13335)	165
net.il	Partner Communications Ltd. (AS12400)	150
afraid.org	DIGITALOCEAN-ASN (AS14061)	1
nichosting.info	CNC, a.s. (AS50128)	1
co.il	ORACLE-BMC-31898 (AS31898)	55
AMAZON-02	WHG Hosting Services Ltd (AS209341)	4
nameshield.net	Nameshield SAS (AS20756)	13
co.il	AMAZON-02 (AS16509)	89
awsdns-10.org	AMAZON-02 (AS16509)	3
register.it	Register S.p.A. (AS39729)	13
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	7
dodihosting.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	4
Bezeq International Ltd.	Cellcom Fixed Line Communication L.P (AS1680)	14
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	38
perf1.com	AMAZON-02 (AS16509)	2
co.il	Partner Communications Ltd. (AS12400)	268
bydgoszcz.pl	Hetzner Online GmbH (AS24940)	2
dtnt.info	Partner Communications Ltd. (AS12400)	31
co.il	One System Integration LTD (AS199391)	13
AMAZON-02	Team Internet AG (AS206834)	23
net.il	Government ICT Authority - Israel (AS8867)	1
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	15
CLOUDFLARENET	INCAPSULA (AS19551)	33
stabletransit.com	SUCURI-SEC (AS30148)	1
stabletransit.com	CLOUDFLARENET (AS13335)	6
jetserver.net	Bezeq International Ltd. (AS8551)	58
org.il	Bezeq International Ltd. (AS8551)	7
Hydra Communications Ltd	Enix Ltd (AS52148)	5
CLOUDFLARENET	DREAMHOST-AS (AS26347)	60
awsdns-08.org	Wix.com Ltd. (AS58182)	1
CLOUDFLARENET	Bezeq International Ltd. (AS8551)	67
co.il	Contabo GmbH (AS51167)	11
Dream Vps Ltd	Dream Vps Ltd (AS213038)	16
jetdns.net	O.m.c. Computers & Communications Ltd (AS44709)	21
net.il	AMAZON-02 (AS16509)	27
Interspace Ltd.	DIGITALOCEAN-ASN (AS14061)	26
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	17
Interspace Ltd.	CLOUDFLARENET (AS13335)	51
co.il	GOOGLE-CLOUD-PLATFORM (AS396982)	84
awsdns-16.net	AMAZON-02 (AS16509)	3
Interspace Ltd.	GOOGLE-CLOUD-PLATFORM (AS396982)	28
Safenames Ltd.	AS-VULTR (AS20473)	2
sedoparking.com	SEDO GmbH (AS47846)	9
SECURITYSERVICES	CSC (AS19574)	96
GOOGLE	O.m.c. Computers & Communications Ltd (AS44709)	2
awsdns-35.net	AMAZON-02 (AS16509)	1
co.il	RENDER (AS397273)	24
dtnt.info	Bezeq International Ltd. (AS8551)	114
stabletransit.com	Cellcom Fixed Line Communication L.P (AS1680)	6
tres-w.com	UK-2 Limited (AS13213)	2
AMAZON-02	A2HOSTING (AS55293)	28
dtnt.info	DIGITALOCEAN-ASN (AS14061)	23
markmonitor.com	AMAZON-02 (AS16509)	85
CLOUDFLARENET	Partner Communications Ltd. (AS12400)	97
cloudns.net	AMAZON-02 (AS16509)	2
name-services.com	CABLE-NET-1 (AS6128)	1
tevapharm.com	SECURITYSERVICES (AS12008)	1
net.il	uPress Inc (AS209622)	31
mymsn.eu	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	One System Integration LTD (AS199391)	7
dtnt.info	O.m.c. Computers & Communications Ltd (AS44709)	39
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	16
net.il	NTT-DATA-2914 (AS2914)	3
da.direct	Hetzner Online GmbH (AS24940)	2
MICROSOFT-CORP-MSN-AS-BLOCK	Cloudflare London, LLC (AS209242)	3
ereznet.com	Cellcom Fixed Line Communication L.P (AS1680)	3
co.il	GOOGLE (AS15169)	27
Interspace Ltd.	uPress Inc (AS209622)	22
CLOUDFLARENET	O.m.c. Computers & Communications Ltd (AS44709)	51
proginter.com	Bari Maor (AS215107)	4
awsdns-03.org	AMAZON-02 (AS16509)	3
co.il	Kamatera Inc (AS41436)	4
Interspace Ltd.	UNIFIEDLAYER-AS-1 (AS46606)	3
IONOS SE	IONOS SE (AS8560)	15
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	13
org.il	Partner Communications Ltd. (AS12400)	19
AMAZON-02	WHG Hosting Services Ltd (AS51713)	12
org.il	Star Network and Promotion LTD (AS49157)	5
co.il	Bezeq- THE ISRAEL TELECOMMUNICATION CORP. LTD. (AS6810)	2
dtnt.info	Expim Ltd (AS201415)	4
awsdns-14.com	AMAZON-02 (AS16509)	2
Interspace Ltd.	Host Europe GmbH (AS21499)	2
dtnt.info	Kamatera Inc (AS204548)	3
atern.us	Snel.com B.V. (AS62370)	2
co.il	Cloudflare London, LLC (AS209242)	14
awsdns-16.com	AMAZON-02 (AS16509)	1
registrar-servers.com	AS-VULTR (AS20473)	2
stabletransit.com	DREAMHOST-AS (AS26347)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	9
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	56
MICROSOFT-CORP-MSN-AS-BLOCK	Partner Communications Ltd. (AS12400)	7
netim.net	Eurofiber France SAS (AS24935)	28
net.il	GOOGLE (AS15169)	5
Interspace Ltd.	AMAZON-02 (AS16509)	28
co.il	SQUARESPACE (AS53831)	6
Bezeq International Ltd.	Partner Communications Ltd. (AS12400)	12
awsdns-00.com	AMAZON-02 (AS16509)	3
uPress Inc	Partner Communications Ltd. (AS12400)	60
dtnt.info	AS-26496-GO-DADDY-COM-LLC (AS26496)	1
net.il	QUICKPACKET (AS46261)	1
Interspace Ltd.	SQUIXA PTY LIMITED (AS136133)	9
CLOUDFLARENET	ITC NG ltd (AS202940)	1
site5.com	UNIFIEDLAYER-AS-1 (AS46606)	4
co.il	CLOUD LEASE Ltd (AS206446)	9
stabletransit.com	DIGITALOCEAN-ASN (AS14061)	6
digima.host	Enix Ltd (AS52148)	4
GOOGLE	AMAZON-02 (AS16509)	5
pookh.net	O.m.c. Computers & Communications Ltd (AS44709)	2
CLOUDFLARENET	Cellcom Fixed Line Communication L.P (AS1680)	30
CLOUDFLARENET	Ddos-guard Ltd (AS57724)	4
CLOUDFLARENET	uPress Inc (AS209622)	34
tumblr.com	AUTOMATTIC (AS2635)	1
GANDI SAS	GANDI SAS (AS29169)	35
