CLOUDFLARENET	Hostinger International Limited (AS47583)	216734
Host Europe GmbH	CLOUDFLARENET (AS13335)	29651
CLOUDFLARENET	CLOUDFLARENET (AS13335)	75513
Host Europe GmbH	Amarutu Technology Ltd (AS206264)	3
Host Europe GmbH	AMAZON-02 (AS16509)	453545
AMAZON-02	AMAZON-AES (AS14618)	622
AMAZON-AES	AMAZON-AES (AS14618)	3949
webhostbox.net	UNIFIEDLAYER-AS-1 (AS46606)	11415
Host Europe GmbH	UNIFIEDLAYER-AS-1 (AS46606)	2378
AMAZON-02	AMAZON-02 (AS16509)	19410
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	464
Host Europe GmbH	AMAZON-AES (AS14618)	1404
odinc.in	Akamai Connected Cloud (AS63949)	1
theajaykc.com	UNIFIEDLAYER-AS-1 (AS46606)	1
Host Europe GmbH	Bharti Airtel Ltd., Telemedia Services (AS24560)	360
Host Europe GmbH	DIGITALOCEAN-ASN (AS14061)	4220
Host Europe GmbH	Cloudflare London, LLC (AS209242)	4541
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	15477
bigrockservers.com	Contabo Asia Private Limited (AS141995)	1
GOOGLE	SQUARESPACE (AS53831)	7420
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	7107
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	16103
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	26372
netfox.ru	NetFox Ltd. (AS41098)	1
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	18958
CLOUDFLARENET	AMAZON-02 (AS16509)	37608
systemdns.com	netcup GmbH (AS197540)	3
solidhosting.pro	DIGITAL SNAP (AS150055)	940
sedoparking.com	SEDO GmbH (AS47846)	8837
NSONE	AMAZON-02 (AS16509)	8967
Deutsche Telekom AG	Deutsche Telekom AG (AS3320)	9
Rediff.com India Limited	Rediff.com India Limited (AS38224)	3558
Host Europe GmbH	Hostinger International Limited (AS47583)	7449
CLOUDFLARENET	TECHTRENO SOLUTIONS PRIVATE LIMITED (AS150078)	12
hostgatorwebservers.com	PUBLIC-DOMAIN-REGISTRY (AS394695)	1544
unknown	AS-26496-GO-DADDY-COM-LLC (AS26496)	233
Host Europe GmbH	Contabo GmbH (AS51167)	721
Host Europe GmbH	PUBLIC-DOMAIN-REGISTRY (AS394695)	2371
Tier 4 Cloud Services	Tier 4 Cloud Services (AS146943)	250
ipcom GmbH	InterNetworX Management GmbH (AS48596)	202
codesgesture.in	QTIME BUSINESSES PRIVATE LIMITED (AS141004)	1
intermesh.net	GOOGLE-CLOUD-PLATFORM (AS396982)	10550
unknown	YOTTA NETWORK SERVICES PRIVATE LIMITED (AS140641)	55
GOOGLE	UNIFIEDLAYER-AS-1 (AS46606)	149
GOOGLE	Wix.com Ltd. (AS58182)	20513
CLOUDFLARENET	PUBLIC-DOMAIN-REGISTRY (AS394695)	4510
LIMESTONENETWORKS	LIMESTONENETWORKS (AS46475)	108
Host Europe GmbH	Wix.com Ltd. (AS58182)	2619
plreseller.com	Hetzner Online GmbH (AS24940)	204
AMAZON-02	GOOGLE (AS15169)	1115
IONOS SE	united-domains GmbH (AS202108)	2291
irepairzone.in	DIGITALOCEAN-ASN (AS14061)	1
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	3010
NSONE	SQUARESPACE (AS53831)	847
second-ns.com	Hetzner Online GmbH (AS24940)	213
progressstar.co	Bharti Airtel Ltd., Telemedia Services (AS24560)	2
IONOS SE	IONOS SE (AS8560)	2170
CLOUDFLARENET	CtrlS (AS18229)	338
CROCWEB	CROCWEB (AS63068)	213
hostgator.in	PUBLIC-DOMAIN-REGISTRY (AS394695)	1455
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	6180
NSONE	Akamai International B.V. (AS20940)	3
nsresponse.com	AS-COLOCROSSING (AS36352)	10
SECURITYSERVICES	Contabo GmbH (AS51167)	48
bigrockservers.com	UNIFIEDLAYER-AS-1 (AS46606)	2531
Good Domain Registry Private Limited	Good Domain Registry Private Limited (AS132322)	1657
Host Europe GmbH	EWEBGURU (AS133643)	94
velia.net Internetdienste GmbH	velia.net Internetdienste GmbH (AS29066)	796
CLOUD-SOUTH	CLOUD-SOUTH (AS13886)	309
AMAZON-02	Akamai Connected Cloud (AS63949)	2918
Host Europe GmbH	BHARTI Airtel Ltd. (AS9498)	192
Host Europe GmbH	Akamai Connected Cloud (AS63949)	834
sapsons.in	282, Sector 19 (AS132420)	1
webhostbox.net	PUBLIC-DOMAIN-REGISTRY (AS394695)	10011
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	591
Dreamscape Networks Limited	Dreamscape Networks Limited (AS38719)	2264
weberest.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	AUTOMATTIC (AS2635)	70
hostgator.in	UNIFIEDLAYER-AS-1 (AS46606)	3184
Host Europe GmbH	Good Domain Registry Private Limited (AS132322)	84
OVH SAS	OVH SAS (AS16276)	4134
Host Europe GmbH	Team Internet AG (AS206834)	24
CLOUDFLARENET	COGENT-174 (AS174)	140
CLOUDFLARENET	GOOGLE (AS15169)	2119
Host Europe GmbH	Host Europe GmbH (AS21499)	685
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	923
NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED	NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED (AS17439)	2399
AUTOMATTIC	AUTOMATTIC (AS2635)	2883
Facts Online Pvt Ltd	Facts Online Pvt Ltd (AS135175)	67
CLOUDFLARENET	VOODOO1 (AS19867)	1082
redvisiontech.com	EMAX GLOBAL MEDIA PVT. LTD (AS133694)	116
metagas.in	Cloudlinks Technologies Pvt Ltd (AS151774)	1
bodis.com	AMAZON-02 (AS16509)	5441
CONFLUENCE-NETWORK-INC	CONFLUENCE-NETWORK-INC (AS40034)	2568
SEDO GmbH	SEDO GmbH (AS47846)	4308
SECURITYSERVICES	Sify Limited (AS9583)	5
CLOUDFLARENET	FASTLY (AS54113)	2113
weblome.digital	DIGITALOCEAN-ASN (AS14061)	2
AMAZON-02	Team Internet AG (AS61969)	2221
CLOUDFLARENET	NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED (AS17439)	227
Host Europe GmbH	Tier 4 Cloud Services (AS146943)	242
282, Sector 19	282, Sector 19 (AS132420)	660
DATA INGENIOUS GLOBAL LIMITED	DATA INGENIOUS GLOBAL LIMITED (AS17753)	93
AMAZON-02	OVH SAS (AS16276)	981
IS-AS-1	IS-AS-1 (AS19318)	1106
hostingraja.org	Ovi Hosting Pvt Ltd (AS135822)	723
Hostinger International Limited	Hostinger International Limited (AS47583)	9578
eglueweb.com	Hetzner Online GmbH (AS24940)	147
AMAZON-02	WHG Hosting Services Ltd (AS36454)	234
one.com	AMAZON-02 (AS16509)	53
hostingraja.org	QTIME BUSINESSES PRIVATE LIMITED (AS141004)	1072
solidhosting.pro	Parallel Web Cloud Services (AS137035)	733
tradeimex.in	Hostinger International Limited (AS47583)	1
Host Europe GmbH	SUCURI-SEC (AS30148)	408
Host Europe GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	3611
Host Europe GmbH	AUTOMATTIC (AS2635)	500
CLOUDFLARENET	DREAMHOST-AS (AS26347)	1666
CLOUDFLARENET	FIBERHUB (AS53340)	5
idowa.de	Deutsche Telekom AG (AS3320)	2
GOOGLE	AMAZON-02 (AS16509)	905
one.com	One.com A/S (AS51468)	1684
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	4729
282, Sector 19	AMAZON-02 (AS16509)	1
markmonitor.com	AMAZON-02 (AS16509)	1312
Host Europe GmbH	DREAMHOST-AS (AS26347)	62
AMAZON-02	A2HOSTING (AS55293)	1784
GOOGLE	CLOUDFLARENET (AS13335)	4433
GANDI SAS	GANDI SAS (AS29169)	2099
Host Europe GmbH	GOOGLE (AS15169)	3014
Host Europe GmbH	FASTLY (AS54113)	5218
Host Europe GmbH	ESDS Software Solution Limited. (AS45815)	258
SECURITYSERVICES	FASTLY (AS54113)	353
CLOUDFLARENET	SSASN2 (AS20454)	89
iguruji.in	Hetzner Online GmbH (AS24940)	2
Host Europe GmbH	CtrlS (AS18229)	625
SECURITYSERVICES	CSC (AS19574)	2401
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	889
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	1584
CLOUDFLARENET	PONYNET (AS53667)	561
muumuu-domain.com	GMO Internet Group, Inc. (AS7506)	148
MS HARVIL MEDIA	MS HARVIL MEDIA (AS134465)	7
Host Europe GmbH	Reliance Jio Infocomm Limited (AS55836)	114
solidhosting.pro	Web Werks India Pvt. Ltd. (AS133296)	575
co.in	UNIFIEDLAYER-AS-1 (AS46606)	283
bigrock.com	UNIFIEDLAYER-AS-1 (AS46606)	1488
racconti.in	Diadem Technologies Pvt. Ltd. (AS132937)	1
CLOUDFLARENET	Absolute Networks Pvt Ltd (AS146859)	7
Host Europe GmbH	GO-DADDY-COM-LLC (AS398787)	353
1usd.net	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	GOOGLE-2 (AS19527)	134
speedhost.in	Gazon Communications India Limited (AS132770)	1
CLOUDFLARENET	IONOS SE (AS8560)	217
weddingsinthailand.in	LIQUIDWEB (AS32244)	1
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	1884
aarnacorp.in	Imegh Private Limited (AS153328)	1
CLOUDFLARENET	SEDO GmbH (AS47846)	456
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	809
K Media Tech Ltd.	K Media Tech Ltd. (AS210250)	95
Host Europe GmbH	282, Sector 19 (AS132420)	1127
hover.com	TUCOWS (AS15348)	406
sparkhub.in	QTIME BUSINESSES PRIVATE LIMITED (AS141004)	1
Host Europe GmbH	Mieux Technologies Pvt Ltd (AS150044)	22
SECURITYSERVICES	DIGITALOCEAN-ASN (AS14061)	397
protondns.net	Proton Internet Llp (AS138233)	174
SECURITYSERVICES	AMAZON-02 (AS16509)	1372
bio-essence.in	CLOUDFLARENET (AS13335)	1
astrologue.in	ESDS Software Solution Limited. (AS45815)	1
QTIME BUSINESSES PRIVATE LIMITED	QTIME BUSINESSES PRIVATE LIMITED (AS141004)	257
SOFTLAYER	UK-2 Limited (AS13213)	5
freehosting.com	Hetzner Online GmbH (AS24940)	494
interactivedns.com	Nettigritty Private Limited (AS149580)	243
EWEBGURU	EWEBGURU (AS133643)	552
dnsperfect.net	Hetzner Online GmbH (AS24940)	29
co.in	AS-26496-GO-DADDY-COM-LLC (AS26496)	44
SECURITYSERVICES	Akamai Connected Cloud (AS63949)	2466
NSONE	OVH SAS (AS16276)	25
hostingraja.org	ZNet Cloud Services (AS133683)	368
IONOS SE	Hetzner Online GmbH (AS24940)	91
hostingnameservers.com	Hetzner Online GmbH (AS24940)	47
desiclik.in	BACOM (AS577)	1
Host Europe GmbH	V-Connect Systems And Services Pvt. Ltd. (AS140163)	29
iprholidays.in	PUBLIC-DOMAIN-REGISTRY (AS394695)	1
NSONE	SEDO GmbH (AS47846)	2161
hostingraja.org	IONOS SE (AS8560)	1
Host Europe GmbH	Imegh Private Limited (AS153328)	29
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	1591
Host Europe GmbH	Cato Networks Ltd (AS13150)	1
cloudns.net	Contabo Asia Private Limited (AS141995)	17
SECURITYSERVICES	Cloudflare London, LLC (AS209242)	72
Host Europe GmbH	Iconz-Webvisions Pte. Ltd. (AS9892)	1
SSASN2	SSASN2 (AS20454)	937
CLOUDFLARENET	Excellmedia (AS17754)	3
intermesh.net	AMAZON-AES (AS14618)	12
SSASN2	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	4
CLOUDFLARENET	Ferenz Networks (AS266400)	1
dataverseeinc.in	282, Sector 19 (AS132420)	1
AS48707 OPS PL sp. z o.o.	AS48707 OPS PL sp. z o.o. (AS48707)	46
AMAZON-02	Team Internet AG (AS206834)	775
hostingraja.in	WHG Hosting Services Ltd (AS199404)	139
GOOGLE	Palm Court Bldg M, 501B, 5th Floor, New Link Road (AS132415)	17
CLOUDFLARENET	OVH SAS (AS16276)	843
Contabo Asia Private Limited	Contabo Asia Private Limited (AS141995)	394
Host Europe GmbH	DIGITAL SNAP (AS150055)	324
Host Europe GmbH	QTIME BUSINESSES PRIVATE LIMITED (AS141004)	492
hostingraja.org	AMAZON-AES (AS14618)	4
netsons.net	Netsons s.r.l. (AS60087)	25
LEAPSWITCH NETWORKS PRIVATE LIMITED	LEAPSWITCH NETWORKS PRIVATE LIMITED (AS132335)	515
BUNNYWAY, informacijske storitve d.o.o.	Datacamp Limited (AS60068)	822
CLOUDFLARENET	Akamai Connected Cloud (AS63949)	516
123ns.de	Mittwald CM Service GmbH & Co. KG (AS15817)	1
alexhost.com	Alexhost Srl (AS200019)	2
CLOUDFLARENET	DIGITAL SNAP (AS150055)	189
NSONE	SOFTLAYER (AS36351)	961
Host Europe GmbH	HVC-AS (AS29802)	227
solvehub.in	MilesWeb Internet Services Pvt Ltd (AS135222)	2
ipcom GmbH	AMAZON-02 (AS16509)	766
solidhosting.pro	AS-VULTR (AS20473)	234
Wildcard UK Limited	Wildcard UK Limited (AS34119)	106
CLOUDFLARENET	AMAZON-AES (AS14618)	562
AMAZON-02	WHG Hosting Services Ltd (AS199404)	4867
ishikainfotech.net	WHG Hosting Services Ltd (AS199404)	2
eduappz.in	WEBYNE DATA CENTRE PRIVATE LIMITED (AS151734)	1
nethorizon.pl	Orange Polska Spolka Akcyjna (AS5617)	1
managed-ip.com	InterNetX GmbH (AS15456)	51
netafraz.com	Netafraz Iranian Ltd. (AS212216)	22
Ovi Hosting Pvt Ltd	Ovi Hosting Pvt Ltd (AS135822)	15
name-services.com	AMAZON-02 (AS16509)	226
hostgator.com	INCAPSULA (AS19551)	5
mydevil.net	Atman Sp. z o.o. (AS57367)	15
Host Europe GmbH	WHG Hosting Services Ltd (AS199404)	638
globehost.org	PUBLIC-DOMAIN-REGISTRY (AS394695)	55
DIGICERT	CNSQ-AS32298 (AS32298)	1
Host Europe GmbH	WEHOSTWEBSITES-COM (AS30475)	20
PUBLIC-DOMAIN-REGISTRY	PUBLIC-DOMAIN-REGISTRY (AS394695)	1048
nicns.net	OVH SAS (AS16276)	10
designswala.com	UNIFIEDLAYER-AS-1 (AS46606)	2
Hetzner Online GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	5
Host Europe GmbH	Hetzner Online GmbH (AS24940)	1581
LIQUIDWEB	LIQUIDWEB (AS32244)	381
Host Europe GmbH	Scaleway S.a.s. (AS12876)	46
securehostdns.com	WHG Hosting Services Ltd (AS199404)	244
CLOUDFLARENET	netcup GmbH (AS197540)	67
Web Werks India Pvt. Ltd.	Web Werks India Pvt. Ltd. (AS133296)	195
CLOUDFLARENET	Gujarat Telelink Pvt Ltd (AS45916)	19
site4now.net	SHARKTECH (AS46844)	476
knowyourdata.in	AMAZON-02 (AS16509)	1
server.yogitabhatt	EWEBGURU (AS133643)	1
one.com	CLOUDFLARENET (AS13335)	98
iseencloud.com	Hetzner Online GmbH (AS24940)	23
Host Europe GmbH	LIQUIDNETLTD1 (AS14555)	17
interactivedns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	7
Knipp Medien und Kommunikation GmbH	ScaleUp Technologies GmbH & Co. KG (AS29014)	67
HVC-AS	HVC-AS (AS29802)	218
Host Europe GmbH	Micro Hosting Private Limited (AS134926)	123
unknown	Contabo GmbH (AS51167)	46
CLOUDFLARENET	Aerosol Io Ltd (AS151166)	331
Host Europe GmbH	Sub 6 Limited (AS200083)	1
serverhostgroup.com	OVH SAS (AS16276)	357
Host Europe GmbH	ELXIRE DATA SERVICES PVT. LTD. (AS133647)	8
renewyourname.net	AMAZON-02 (AS16509)	1472
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1878
Host Europe GmbH	A2HOSTING (AS55293)	341
CLOUDFLARENET	AS-GLOBALTELEHOST (AS63023)	13
net.au	SYNERGY WHOLESALE PTY LTD (AS45638)	21
Rediff.com India Limited	Net2secure Private Limited (AS152543)	1
Domain names registrar REG.RU, Ltd	Ddos-guard Ltd (AS57724)	25
CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	585
Cloud DNS Ltd	NForce Entertainment B.V. (AS43350)	24
CLOUDFLARENET	Contabo GmbH (AS51167)	766
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	1468
CLOUDFLARENET	AS-26496-GO-DADDY-COM-LLC (AS26496)	957
Host Europe GmbH	Tata Teleservices ISP AS (AS45820)	101
ReadyDedis, LLC	ReadyDedis, LLC (AS140543)	16
hostsky.in	Hathway IP Over Cable Internet (AS17488)	39
AMAZON-02	AS-COLOCROSSING (AS36352)	5
PAIR-NETWORKS	PAIR-NETWORKS (AS7859)	67
Host Europe GmbH	SSASN2 (AS20454)	125
bigrock.com	PUBLIC-DOMAIN-REGISTRY (AS394695)	1439
CLOUDFLARENET	H4Y-TECHNOLOGIES (AS397373)	6
interactivedns.com	Akamai Connected Cloud (AS63949)	27
defindia.net	Cyfuture India Pvt. Ltd. (AS55470)	52
da.direct	EWEBGURU (AS133643)	42
herosite.pro	AMAZON-02 (AS16509)	9
linode.com	Akamai Connected Cloud (AS63949)	365
CLOUDFLARENET	UAB Interneto vizija (AS212531)	21
SECURITYSERVICES	ORACLE-BMC-31898 (AS31898)	31
AMAZON-02	WHG Hosting Services Ltd (AS209341)	71
HURRICANE	PT. EXABYTES NETWORK INDONESIA (AS136170)	1
Host Europe GmbH	Netclues Technologies Private Limited (AS138246)	67
Beget LLC	Beget LLC (AS198610)	112
IBEE Software Solutions Pvt. Ltd.	IBEE Software Solutions Pvt. Ltd. (AS58909)	324
DFW-DATACENTER	DFW-DATACENTER (AS30277)	23
Hydra Communications Ltd	Enix Ltd (AS52148)	282
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	1882
TURNKEY-INTERNET	TURNKEY-INTERNET (AS40244)	85
SECURITYSERVICES	PRIVATESYSTEMS (AS63410)	3
Host Europe GmbH	Palm Court Bldg M, 501B, 5th Floor, New Link Road (AS132415)	1275
hostgatorwebservers.com	UNIFIEDLAYER-AS-1 (AS46606)	1079
herosite.pro	DIGITAL SNAP (AS150055)	1339
NUCDN	CLOUDFLARENET (AS13335)	8
Host Europe GmbH	Growthpond Technology Pvt Ltd (AS139571)	321
dns.ws	CENTURYLINK-LEGACY-SAVVIS (AS3561)	5
meab.in	Ovi Hosting Pvt Ltd (AS135822)	1
co.in	Contabo GmbH (AS51167)	26
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	873
FACEBOOK	FACEBOOK (AS32934)	11
DFW-DATACENTER	Rediff.com India Limited (AS38224)	1
RACKSPACE	Team Internet AG (AS61969)	896
co.in	TATA Communications formerly VSNL is Leading ISP (AS4755)	94
woznex.com	Parallel Web Cloud Services (AS137035)	2
domainsredirect.com	WEBWERKSAS1 (AS33480)	19
Signet B.V.	Signet B.V. (AS20857)	1273
SECURITYSERVICES	Hostinger International Limited (AS47583)	238
Florian Kolb	Florian Kolb (AS58087)	29
bigrockservers.com	PUBLIC-DOMAIN-REGISTRY (AS394695)	1911
co.in	Hetzner Online GmbH (AS24940)	262
CLOUDFLARENET	INCAPSULA (AS19551)	415
ENET-2	ENET-2 (AS10297)	20
dnspod.net	AMAZON-02 (AS16509)	4
hostingraja.in	Ovi Hosting Pvt Ltd (AS135822)	820
Host Europe GmbH	Iomart Cloud Services Limited (AS20860)	35
