SECURITYSERVICES	CSC (AS19574)	439
Internet a Islandi hf	Internet a Islandi hf (AS1850)	2732
simnet.is	Mila hf (AS6677)	79
1984.is	SQUARESPACE (AS53831)	244
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	3084
MICROSOFT-CORP-MSN-AS-BLOCK	SQUARESPACE (AS53831)	13
CLOUDFLARENET	A2HOSTING (AS55293)	11
CLOUDFLARENET	AMAZON-02 (AS16509)	712
1984.is	CLOUDFLARENET (AS13335)	277
CLOUDFLARENET	CLOUDFLARENET (AS13335)	4447
Internet a Islandi hf	CLOUDFLARENET (AS13335)	679
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	111
hyp.net	Domeneshop AS (AS12996)	1025
Ljosleidarinn ehf	Origo ehf (AS29689)	2
IONOS SE	IONOS SE (AS8560)	50
GOOGLE	Wix.com Ltd. (AS58182)	815
NUCDN	Datacenter Luxembourg S.A. (AS24611)	164
Opin Kerfi hf	Sensa ehf (AS43892)	13
1984.is	1984 ehf (AS44925)	3241
AMAZON-02	Advania Island ehf (AS44515)	14
CLOUDFLARENET	Ljosleidarinn ehf (AS12969)	52
opex.is	Origo ehf (AS29689)	5
aftermarket.hosting	AS48707 OPS PL sp. z o.o. (AS48707)	1
Internet a Islandi hf	SQUARESPACE (AS53831)	240
SECURITYSERVICES	FASTLY (AS54113)	81
AMAZON-02	Icelandair ehf (AS202030)	1
lithiumdns.net	OVH SAS (AS16276)	1
swis.nl	TrueFullstaq B.V. (AS15703)	1
one.com	One.com A/S (AS51468)	83
co.uk	AMAZON-02 (AS16509)	55
hysing.is	Advania Island ehf (AS44515)	155
ipcom GmbH	PlusServer GmbH (AS61157)	1
IONOS SE	united-domains GmbH (AS202108)	272
1984.is	Hetzner Online GmbH (AS24940)	59
Internet a Islandi hf	FASTLY (AS54113)	89
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	52
xnet.is	Ljosleidarinn ehf (AS12969)	259
ipcom GmbH	InterNetworX Management GmbH (AS48596)	52
AMAZON-02	AMAZON-02 (AS16509)	504
Tolvu- og Rafeindapjonusta Sudurlands ehf	Tolvu- og Rafeindapjonusta Sudurlands ehf (AS59396)	152
techsupport.is	DIGITALOCEAN-ASN (AS14061)	61
stefna.is	AMAZON-02 (AS16509)	196
simnet.is	Sensa ehf (AS43892)	64
nsd.de	HKN GmbH (AS12676)	5
NUCDN	AMAZON-02 (AS16509)	8
ipcom GmbH	OVH SAS (AS16276)	4
Internet a Islandi hf	AMAZON-AES (AS14618)	56
Opin Kerfi hf	Opin Kerfi hf (AS60690)	556
1984.is	COGECO-PEER1 (AS13768)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	220
hostnet.nl	One.com A/S (AS51468)	36
SECURITYSERVICES	AMAZON-02 (AS16509)	311
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	113
co.za	Afrihost (AS37611)	2
ns14.net	SysEleven GmbH (AS25291)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	232
CLOUDFLARENET	FASTLY (AS54113)	62
Opin Kerfi hf	DIGITALOCEAN-ASN (AS14061)	6
