CLOUDFLARENET	AMAZON-02 (AS16509)	148
AMAZON-02	OVH SAS (AS16276)	47
MICROSOFT-CORP-MSN-AS-BLOCK	Sure (Guernsey) Limited (AS8680)	5
markmonitor.com	AMAZON-02 (AS16509)	63
CLOUDFLARENET	CLOUDFLARENET (AS13335)	371
ipcom GmbH	WEEBLY (AS27647)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	14
swizzonic.ch	Register S.p.A. (AS39729)	3
channelislandhosting.net	Krystal Hosting Ltd (AS12488)	35
awsdns-25.net	AMAZON-02 (AS16509)	4
xenserve.com	34SP.com Limited (AS41357)	11
Enix Ltd	Enix Ltd (AS52148)	7
OVH SAS	OVH SAS (AS16276)	25
awsdns-05.net	AMAZON-02 (AS16509)	1
netim.net	Eurofiber France SAS (AS24935)	71
equinoxe.de	Continum Ag (AS20849)	1
CLOUDFLARENET	INCAPSULA (AS19551)	16
co.uk	IONOS SE (AS8560)	41
SECURITYSERVICES	CSC (AS19574)	107
AMAZON-02	GOOGLE (AS15169)	71
abovedomains.com	Trellian Pty. Limited (AS133618)	4
GANDI SAS	CLOUDFLARENET (AS13335)	1
CLOUDFLARENET	AMAZON-AES (AS14618)	4
Signet B.V.	Signet B.V. (AS20857)	13
hostnet.nl	One.com A/S (AS51468)	21
routing.net	Hosting.de GmbH (AS12574)	4
GOOGLE	Wix.com Ltd. (AS58182)	99
cihdns.net	WHG Hosting Services Ltd (AS51713)	92
co.uk	NTT Global Data Centers EMEA UK Ltd. (AS29017)	2
ipcom GmbH	AMAZON-02 (AS16509)	5
Cloud DNS Ltd	Cloudflare London, LLC (AS209242)	15
GANDI SAS	GANDI SAS (AS29169)	50
knipp.de	Host Europe GmbH (AS8972)	1
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	42
Safenames Ltd.	Safenames Ltd. (AS60819)	18
Host Europe GmbH	AMAZON-02 (AS16509)	55
NUCDN	Datacenter Luxembourg S.A. (AS24611)	5
krystal.uk	Krystal Hosting Ltd (AS12488)	6
dns.com	AS-COLOCROSSING (AS36352)	1
Cloud DNS Ltd	Hetzner Online GmbH (AS24940)	3
CLOUDFLARENET	LIQUIDWEB (AS32244)	4
eukns.com	Iomart Cloud Services Limited (AS20860)	2
AMAZON-02	AMAZON-02 (AS16509)	3
GOOGLE	SQUARESPACE (AS53831)	14
Host Europe GmbH	CLOUDFLARENET (AS13335)	2
MICROSOFT-CORP-MSN-AS-BLOCK	Nuco Technologies Ltd (AS45014)	1
netim.net	AMAZON-02 (AS16509)	6
1984.is	GOOGLE (AS15169)	1
MICROSOFT-CORP-MSN-AS-BLOCK	GOOGLE-CLOUD-PLATFORM (AS396982)	7
Sure (Guernsey) Limited	AMAZON-02 (AS16509)	3
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	21
co.uk	AMAZON-02 (AS16509)	28
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	24
Buy Limited	AS-VULTR (AS20473)	6
cihdns.net	CLOUDFLARENET (AS13335)	9
CLOUDFLARENET	CNSERVERS (AS40065)	24
Logicalis Guernsey Ltd	GOOGLE-CLOUD-PLATFORM (AS396982)	8
globvill.de	Global Village GmbH (AS13039)	2
awsdns-40.com	AMAZON-02 (AS16509)	1
co.uk	Cloudflare London, LLC (AS209242)	6
Cloud DNS Ltd	Awareness Software Limited (AS34931)	1
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	13
uk2.net	The Hut.com Limited (AS197651)	1
co.uk	GOOGLE-CLOUD-PLATFORM (AS396982)	5
contabo.net	Contabo GmbH (AS51167)	2
CLOUDFLARENET	GOOGLE (AS15169)	3
conova communications GmbH	LINZ STROM GAS WAERME GmbH fuer Energiedienstleistungen und Telekommunikation (AS35369)	5
1984.is	HVC-AS (AS29802)	8
o2switch.net	O2switch SAS (AS50474)	1
cfdns.biz	Mythic Beasts Ltd (AS44684)	3
Akamai Connected Cloud	Hydra Communications Ltd (AS25369)	1
DIGICERT	Akamai Connected Cloud (AS63949)	1
IONOS SE	IONOS SE (AS8560)	32
Sure (Guernsey) Limited	Foreshore Limited (AS13173)	2
ORACLE-BMC-31898	ORACLE-BMC-31898 (AS31898)	1
blacknight.com	Heart Internet limited (AS20738)	11
DIGICERT	AMAZON-02 (AS16509)	6
Awareness Software Limited	Awareness Software Limited (AS34931)	5
afraid.org	SOFTLAYER (AS36351)	3
DIGICERT	CLOUDFLARENET (AS13335)	2
cloudhosting.uk	Krystal Hosting Ltd (AS12488)	6
Hostpoint AG	Hostpoint AG (AS29097)	9
CLOUDFLARENET	SQUARESPACE (AS53831)	41
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	7
CLOUDFLARENET	Hostinger International Limited (AS47583)	22
CLOUDFLARENET	KPN B.V. (AS1136)	1
SECURITYSERVICES	SECURITYSERVICES (AS12008)	25
GANDI SAS	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
NSONE	AMAZON-02 (AS16509)	12
firstsolutions.je	IONOS SE (AS8560)	1
AUTOMATTIC	AUTOMATTIC (AS2635)	13
bridport.ch	green.ch AG (AS1836)	1
bassspeaker.com	JTGlobal (AS8681)	3
xidrasservice.com	Xidras GmbH (AS42557)	1
ipage.com	BIZLAND-SD (AS29873)	1
co.uk	AS-VULTR (AS20473)	19
net.uk	UKDedicated LTD (AS34282)	2
co.uk	SQUARESPACE (AS53831)	12
cihdns.net	GOOGLE (AS15169)	5
JTGlobal	JTGlobal (AS8681)	1
Akamai Connected Cloud	Mythic Beasts Ltd (AS44684)	4
ng-it.net	AMAZON-02 (AS16509)	3
Akamai Connected Cloud	STEADFAST (AS32748)	8
ipcom GmbH	dataforest GmbH (AS58212)	1
intellyhosting.be	Vodafone Libertel B.V. (AS33915)	1
phase8.net	Team Blue Internet Services Uk Limited (AS8622)	8
Akamai Connected Cloud	Wix.com Ltd. (AS58182)	3
credit-suisse.com	UBS Group AG (AS8729)	6
Host Europe GmbH	Cloudflare London, LLC (AS209242)	5
CLOUDFLARENET	AS-VULTR (AS20473)	8
bureau.partners	Signet B.V. (AS20857)	1
gransy.com	MasterDC s.r.o. (AS24971)	1
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	5
Akamai Connected Cloud	Amito Ltd (AS57168)	2
blacknight.com	Blacknight Internet Solutions Limited (AS39122)	7
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	13
SECURITYSERVICES	COGECO-PEER1 (AS13768)	7
co.uk	ICUK Computing Services Limited (AS51561)	2
enix.org	Enix SAS (AS48813)	1
Host Europe GmbH	Host Europe GmbH (AS21499)	7
Ans Academy Limited	Ans Academy Limited (AS61323)	29
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	5
cihdns.net	IONOS SE (AS8560)	33
cihdns.net	GOOGLE-CLOUD-PLATFORM (AS396982)	2
awsdns-08.org	INVESCO (AS14630)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Andrews & Arnold Ltd (AS20712)	3
Iomart Cloud Services Limited	Easyspace Limited (AS33968)	3
AMAZON-02	A2HOSTING (AS55293)	12
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	20
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	50
GANDI SAS	ORACLE-BMC-31898 (AS31898)	1
trustcloud.uk	JTGlobal (AS8681)	1
kivial.it	IONOS SE (AS8560)	1
Sure (Guernsey) Limited	Watchfront Limited (AS41489)	3
Akamai Connected Cloud	Leaseweb Deutschland GmbH (AS28753)	4
CLOUDFLARENET	Sprinthost.ru LLC (AS35278)	1
pt.lu	Swissquote Bank SA (AS31141)	2
AMAZON-AES	AMAZON-AES (AS14618)	13
1and1-dns.biz	Cloudflare London, LLC (AS209242)	1
cihdns.net	NForce Entertainment B.V. (AS43350)	27
Logicalis Guernsey Ltd	Redcentric Solutions Ltd (AS31463)	1
value-domain.com	GMO Internet Group, Inc. (AS58791)	1
mythic-beasts.com	Mythic Beasts Ltd (AS44684)	2
kualo.net	Kualo Limited (AS204436)	2
cihdns.net	AMAZON-AES (AS14618)	6
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	35
bit2host.eu	CL-1379-14537 (AS14537)	1
CLOUDFLARENET	Heart Internet limited (AS20738)	3
Cloud DNS Ltd	KPN B.V. (AS1136)	3
ns-serve.net	ConnectingBytes GmbH (AS34568)	1
Akamai Connected Cloud	LIQUIDWEB (AS32244)	1
delaval.com	Optimizely AB (AS30811)	1
CLOUDFLARENET	Eurofiber France SAS (AS24935)	2
regery.net	Contabo GmbH (AS51167)	1
perf1.com	Nameshield SAS (AS20756)	2
1984.is	IONOS SE (AS8560)	2
GOOGLE	CLOUDFLARENET (AS13335)	5
IONOS SE	united-domains GmbH (AS202108)	18
Sure (Guernsey) Limited	Sure (Guernsey) Limited (AS8680)	10
co.uk	Fastvision Limited (AS30909)	1
SECURITYSERVICES	CSC Administrative Services Limited (AS34922)	4
co.uk	Akamai Connected Cloud (AS63949)	1
iwantmyname.net	AMAZON-AES (AS14618)	1
register.it	Register S.p.A. (AS39729)	5
GOOGLE	Cloudflare London, LLC (AS209242)	5
forpsi.cz	INTERNET CZ, a.s. (AS24806)	2
ipcom GmbH	InterNetworX Management GmbH (AS48596)	5
cihdns.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
mastercontractors.je	Awareness Software Limited (AS34931)	1
CLOUDFLARENET	FASTLY (AS54113)	9
co.uk	Team Blue Carrier Limited (AS34920)	1
SECURITYSERVICES	CENTURYLINK-LEGACY-SAVVIS (AS3561)	2
SECURITYSERVICES	AUTOMATTIC (AS2635)	2
vas-hosting.com	SH.cz s.r.o. (AS39392)	2
AMAZON-02	SQUARESPACE (AS53831)	3
MICROSOFT-CORP-MSN-AS-BLOCK	GO-DADDY-COM-LLC (AS398787)	1
ericsson.se	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
1and1-dns.biz	IONOS SE (AS8560)	6
awsdns-23.net	FASTLY (AS54113)	1
markal.net	OVH SAS (AS16276)	1
first-ns.de	WIIT AG (AS24961)	1
SERVERSTACK-ASN	SERVERSTACK-ASN (AS46652)	7
wix.com	Wix.com Ltd. (AS58182)	1
EDNS	GOOGLE-CLOUD-PLATFORM (AS396982)	1
awsdns-02.net	AMAZON-02 (AS16509)	2
dnsblizzard.com	Xidras GmbH (AS42557)	2
xnameserver.net	Network Services Ltd. (AS44574)	6
awsdns-09.net	FIXME GmbH (AS200603)	1
netim.net	Wix.com Ltd. (AS58182)	1
co.uk	Heart Internet limited (AS20738)	6
MICROSOFT-CORP-MSN-AS-BLOCK	GOOGLE (AS15169)	10
awsdns-01.net	AMAZON-02 (AS16509)	1
wwdh.hu	Hetzner Online GmbH (AS24940)	1
Akamai Connected Cloud	IONOS SE (AS8560)	1
awsdns-18.org	AMAZON-02 (AS16509)	2
CLOUDFLARENET	Amito Ltd (AS57168)	1
cihdns.net	Cloudflare London, LLC (AS209242)	9
alltrades.je	Awareness Software Limited (AS34931)	1
exohosting.cz	VNET a.s. (AS29405)	1
CLOUDFLARENET	OVH SAS (AS16276)	4
nscluster.es	Destiny N.V (AS28707)	1
GOOGLE-CLOUD-PLATFORM	SQUARESPACE (AS53831)	5
CLOUDFLARENET	Hong Kong Communications International Co., Limited (AS140227)	1
thinline.cz	PRO-ZETA a.s. (AS60606)	2
bcahosting.com	A2HOSTING (AS55293)	1
MICROSOFT-CORP-MSN-AS-BLOCK	LIQUIDWEB (AS32244)	3
redbackinternet.net	Node4 Limited (AS31727)	3
getcourse.ru	HLL LLC (AS51115)	1
Cloud DNS Ltd	SQUARESPACE (AS53831)	3
MICROSOFT-CORP-MSN-AS-BLOCK	Heart Internet limited (AS20738)	3
Akamai Connected Cloud	GO-DADDY-COM-LLC (AS400754)	2
MICROSOFT-CORP-MSN-AS-BLOCK	Cloudflare London, LLC (AS209242)	8
linode.com	Akamai Connected Cloud (AS63949)	1
mojsite.com	Plus Hosting Grupa d.o.o. (AS12417)	1
one.com	One.com A/S (AS51468)	12
DIGICERT	Cloudflare London, LLC (AS209242)	6
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	9
hostyourservices.net	SYNERGY WHOLESALE PTY LTD (AS45638)	1
Akamai Connected Cloud	Cloudflare London, LLC (AS209242)	1
hostko.net	Telemach Slovenija d.o.o. (AS41828)	1
SECURITYSERVICES	Deutsche Bank AG (AS8373)	2
ng-it.net	DIGITALOCEAN-ASN (AS14061)	1
MICROSOFT-CORP-MSN-AS-BLOCK	ODERLAND Webbhotell AB (AS44136)	1
Akamai Connected Cloud	Zen Internet Ltd (AS13037)	1
hostinguk.net	Iomart Cloud Services Limited (AS20860)	1
xgoservers.com	Hetzner Online GmbH (AS24940)	1
